source,target
adap-org/9710001,cond-mat/9712027
cond-mat/9607066,cond-mat/9712027
adap-org/9702003,cond-mat/9712027
cond-mat/9705075,cond-mat/9712318
cond-mat/9903228,cond-mat/9908480
cond-mat/9812215,cond-mat/9908480
adap-org/9810005,cond-mat/9903108
adap-org/9809003,cond-mat/9903108
cond-mat/9705075,cond-mat/9705087
adap-org/9811005,cond-mat/9904071
cond-mat/9811227,cond-mat/9904071
adap-org/9712006,adap-org/9811005
cond-mat/9811162,adap-org/9811005
adap-org/9712006,cond-mat/9811162
adap-org/9708006,cond-mat/9811162
cond-mat/9810142,cond-mat/9811162
adap-org/9712006,cond-mat/9811227
cond-mat/9806138,cond-mat/9811227
cond-mat/9712318,cond-mat/9811227
cond-mat/9811162,cond-mat/9811227
adap-org/9811005,cond-mat/9812215
cond-mat/9811227,cond-mat/9812215
adap-org/9712006,cond-mat/9812215
cond-mat/9810142,cond-mat/9812215
adap-org/9603001,cond-mat/9906076
cond-mat/9612097,cond-mat/9906076
cond-mat/9904071,cond-mat/9903415
cond-mat/9607066,adap-org/9710001
adap-org/9712006,adap-org/9904003
adap-org/9902001,adap-org/9904003
cond-mat/9904071,adap-org/9904003
cond-mat/9811227,adap-org/9904003
cond-mat/9904419,cond-mat/9907068
cond-mat/9903357,cond-mat/9907068
cond-mat/9904055,cond-mat/9907068
cond-mat/9907038,cond-mat/9907068
cond-mat/9801309,cs/9908014
adap-org/9811001,cs/9908014
cond-mat/9803308,cs/9908014
cond-mat/9811162,cs/9908014
cond-mat/9809265,cs/9908014
cond-mat/9901022,cs/9908014
adap-org/9811002,cs/9908014
adap-org/9712001,cs/9908014
cond-mat/9802177,cs/9908014
adap-org/9710003,cs/9908014
adap-org/9601001,cond-mat/9601030
adap-org/9712006,cond-mat/9802177
cond-mat/9712318,cond-mat/9802177
adap-org/9811005,cond-mat/9903228
adap-org/9902001,cond-mat/9903228
cond-mat/9712318,cond-mat/9903228
cond-mat/9811227,cond-mat/9903228
cond-mat/9811162,cond-mat/9903228
cond-mat/9812215,cond-mat/9903228
adap-org/9712006,cond-mat/9903228
cond-mat/9806138,cond-mat/9903228
cond-mat/9903164,cond-mat/9903228
cond-mat/9903108,cond-mat/9903357
cond-mat/9903357,cond-mat/9904419
cond-mat/9705087,adap-org/9905005
adap-org/9507003,adap-org/9610001
adap-org/9508002,adap-org/9610001
adap-org/9401002,adap-org/9610001
adap-org/9806002,adap-org/9812003
adap-org/9806004,adap-org/9812003
adap-org/9808003,adap-org/9911001
adap-org/9811001,adap-org/9911001
adap-org/9903004,adap-org/9911001
adap-org/9809003,adap-org/9810005
adap-org/9811005,cond-mat/9810142
cond-mat/9712318,cond-mat/9810142
cond-mat/9812215,cond-mat/9810142
adap-org/9712006,cond-mat/9810142
cond-mat/9806138,cond-mat/9810142
cond-mat/9811227,adap-org/9902001
cond-mat/9812215,adap-org/9902001
adap-org/9708006,adap-org/9902001
cond-mat/9810142,adap-org/9902001
adap-org/9907002,physics/9912012
hep-th/9401047,hep-th/9401067
adap-org/9808003,adap-org/9811001
adap-org/9806002,adap-org/9907008
adap-org/9812003,adap-org/9907008
adap-org/9808003,adap-org/9903004
cond-mat/9903415,adap-org/9912002
adap-org/9902001,cond-mat/9905039
cond-mat/9904071,cond-mat/9905039
cond-mat/9811227,cond-mat/9905039
cond-mat/9811162,cond-mat/9905039
adap-org/9712006,cond-mat/9803308
adap-org/9708006,cond-mat/9803308
adap-org/9407003,cond-mat/9506097
cond-mat/9601030,cond-mat/9607180
adap-org/9810005,adap-org/9907010
adap-org/9809003,adap-org/9907010
adap-org/9810004,adap-org/9903001
adap-org/9810003,adap-org/9903001
adap-org/9610001,adap-org/9611005
adap-org/9601001,adap-org/9801001
cond-mat/9601030,adap-org/9801001
hep-th/9401067,hep-th/9404137
adap-org/9811005,cond-mat/9903164
adap-org/9902001,cond-mat/9903164
cond-mat/9811227,cond-mat/9903164
cond-mat/9811162,cond-mat/9903164
cond-mat/9812215,cond-mat/9903164
adap-org/9712006,cond-mat/9903164
cond-mat/9607180,physics/9912005
cond-mat/9808039,physics/9912005
cond-mat/9911474,physics/9912005
adap-org/9903001,adap-org/9907002
adap-org/9810004,adap-org/9907002
adap-org/9810003,adap-org/9907002
adap-org/9702003,physics/9710023
adap-org/9802001,adap-org/9812004
adap-org/9808003,adap-org/9909003
hep-th/9401047,adap-org/9409002
cond-mat/9901351,cond-mat/9901353
solv-int/9909010,solv-int/9909028
cond-mat/9712318,adap-org/9912003
adap-org/9904003,adap-org/9912003
adap-org/9908002,adap-org/9910003
cond-mat/9802177,cs/9905005
cond-mat/9809265,cs/9905005
cond-mat/9712027,adap-org/9611003
adap-org/9801003,adap-org/9611003
cond-mat/9702134,cond-mat/9708101
