id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9906076,"Replica Symmetry Breaking in Short-Range Spin Glasses: Theoretical
  Foundations and Numerical Evidences",2.503206055436889e-05,0.0004210568423318,42.0,15.0
cs/9908014,An Introduction to Collective Intelligence,9.09495133914865e-06,5.7715299899642086e-05,12.0,5.0
adap-org/9708004,Symmetry Breaking and Adaptation: Evidence from a Toy Model of a Virus,8.305722970597898e-06,0.0,4.0,0.0
physics/9912012,Dynamic Fitness Landscapes in Molecular Evolution,7.821502457253823e-06,0.0,3.0,3.0
cond-mat/9909078,Effective potential for the reaction-diffusion-decay system,7.380371814439666e-06,0.0,2.0,2.0
adap-org/9804001,"Generic Emergence of Power Law Distributions and L\'evy-Stable
  Intermittent Fluctuations in Discrete Logistic Systems",6.796018667942487e-06,0.0,8.0,0.0
physics/9912005,"Bayesian Field Theory: Nonparametric Approaches to Density Estimation,
  Regression, Classification, and Inverse Quantum Problems",6.21737073044464e-06,0.0,7.0,2.0
adap-org/9907004,A dynamical model of non regulated markets,6.112633733755345e-06,0.0,5.0,0.0
cond-mat/9801061,Garden of Eden states in traffic models,5.9966886438487085e-06,0.0,2.0,0.0
cond-mat/9906017,Algorithmic Complexity in Minority Game,5.700839135890636e-06,3.9729394552635765e-06,7.0,2.0
cs/9912012,Avoiding Braess' Paradox through Collective Intelligence,5.252326499503554e-06,0.0,2.0,0.0
adap-org/9504005,Hydrodynamic Description of Granular Convection,5.166885510381309e-06,0.0,2.0,0.0
physics/9710023,Aftershocks in Coherent-Noise Models,4.790218299313383e-06,0.0,3.0,1.0
physics/9812016,Lifetimes of agents under external stress,4.775563454392716e-06,0.0,3.0,0.0
cond-mat/9812215,Irrelevance of memory in the minority game,4.740749016298962e-06,0.0004141319949346,5.0,11.0
cond-mat/9712027,Introduction to the statistical theory of Darwinian evolution,4.734155682121559e-06,0.0,5.0,25.0
cond-mat/9908480,"Exact solution of a modified El Farol's bar problem: Efficiency and the
  role of market impact",4.5104283324750405e-06,9.863629339152187e-05,3.0,27.0
adap-org/9708001,Emergence of Algorithmic Languages in Genetic Systems,4.463257124271671e-06,0.0,5.0,1.0
cond-mat/9906249,Capital flow in a two-component dynamical system,4.459220157990226e-06,0.0,12.0,2.0
adap-org/9905005,"A microsimulation of traders activity in the stock market: the role of
  heterogeneity, agents' interactions and trade frictions",4.2314006236373644e-06,0.0,5.0,9.0
adap-org/9505004,Hydrodynamic effects in density waves of granular flows,4.12546872851625e-06,0.0,1.0,0.0
adap-org/9410001,"Belavkin-Kolokoltsov Watch-Dog Effects in Interactively Controlled
  Stochastic Computer-Graphic Dynamical Systems. A Summary of Mathematical
  Researches",3.895828764866227e-06,0.0,7.0,0.0
adap-org/9907003,Strategy Selection in the Minority Game,3.728778348301647e-06,1.975330645046937e-06,9.0,1.0
cond-mat/9702054,Aging in a Model of Self-Organized Criticality,3.68907542890178e-06,0.0,3.0,2.0
solv-int/9902010,"Lax Pair Formulation and Multi-soliton Solution of the Integrable Vector
  Nonlinear Schrodinger Equation",3.639501128747021e-06,0.0,5.0,2.0
cond-mat/9907068,Mean-field theory for scale-free random networks,3.5503316984244555e-06,0.0,12.0,9.0
adap-org/9501003,"A set of hard spheres with tangential inelastic collision as a model of
  granular matter: $1/f^\alpha$ fluctuation, non-Gaussian distribution, and
  convective motion",3.5125599140372022e-06,0.0,2.0,2.0
