id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9503161,"Decaying Turbulence and the Dynamics of Diffusing Vortices with
  Conservation Laws",1.3189329710618589e-06,0.0,0.0,2.0
ao-sci/9605001,"Kardar-Parisi-Zhang model for the fractal structure of cumulus cloud
  fields",1.3189329710618589e-06,0.0,0.0,1.0
ao-sci/9502001,"North Atlantic thermohaline circulation predictability in a coupled
  ocean-atmosphere model",,,,
ao-sci/9502002,"A linear thermohaline oscillator driven by stochastic atmospheric
  forcing",,,,
ao-sci/9503001,"A Scaling Theory for Horizontally Homogeneous, Baroclinically Unstable
  Flow on a Beta-Plane",,,,
ao-sci/9504001,The stability of a zonally averaged thermohaline circulation model,,,,
ao-sci/9505001,"Interpretation of TOVS Water Vapor Radiances Using a Random Strong Line
  Model",,,,
ao-sci/9508001,Mechanisms of Seasonal - ENSO interaction,,,,
ao-sci/9509001,"Hadley circulations and large scale motions of moist convection in the
  two dimensional numerical model",,,,
ao-sci/9510001,A Stochastic Diffusion Model of Climate Change,,,,
ao-sci/9605002,Analysis and modeling of scale-invariance in plankton abundance,,,,
ao-sci/9606001,"Entropic ""sound"" in the atmosphere",,,,
ao-sci/9608001,Interdecadal variability and oceanic thermohaline adjustment,,,,
ao-sci/9609001,Sub-Suns and Low Reynolds Number Flow,,,,
chao-dyn/9510015,Estimating the Attractor Dimension of the Equatorial Weather System,,,,
chao-dyn/9605010,A Hamiltonian weak-wave model for shallow-water flow,,,,
comp-gas/9605001,"Estimating the Fractal Dimension, K_2-entropy, and the Predictability of
  the Atmosphere",,,,
