id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9608151,Initial Stages of Bose-Einstein Condensation,5.633949150030979e-06,0.0,2.0,1.0
hep-ph/9609232,Could Spontaneous Transitions be Spontaneous?,5.3613071276339406e-06,0.0,3.0,3.0
cond-mat/9607188,Renormalization Group Theory of the Three-Dimensional Dilute Bose Gas,4.635275048279667e-06,0.0,7.0,1.0
hep-th/9605052,Effective Field Theory for Coherent Optical Pulse Propagation,4.488361666701763e-06,0.0,2.0,2.0
chem-ph/9608001,"Monte Carlo Optimization of Trial Wave Functions in Quantum Mechanics
  and Statistical Mechanics",4.199458373837573e-06,0.0,3.0,2.0
atom-ph/9511001,On the Use of Quantum Algebras in Rotation-Vibration Spectroscopy,3.414200726067809e-06,0.0,1.0,3.0
atom-ph/9607001,"State Measurements with Short Laser Pulses and Lower-Efficiency Photon
  Detectors",3.231781322326967e-06,0.0,3.0,1.0
atom-ph/9606007,Stimulation of Beta Decay due to a Bose-Einstein Condensate,3.0472482127272877e-06,0.0,2.0,0.0
atom-ph/9607003,Centrifugal Effects in a Bose-Einstein Condensate,2.731762097185185e-06,0.0,4.0,0.0
cond-mat/9512102,Memory Loss and Auger Processes in a Many Body Theory of Charge Transfer,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9605092,Generalized Bloch equations for a strongly driven tunneling system,2.4711431321721443e-06,0.0,1.0,0.0
hep-ph/9606298,Dyon mass bounds from electric dipole moments,2.4711431321721443e-06,0.0,2.0,1.0
hep-th/9604100,QED for a Fibrillar Medium of Two-Level Atoms,2.017153926261741e-06,0.0,1.0,2.0
quant-ph/9606025,Quantum jumps as decoherent histories,1.8950380516170012e-06,0.0,1.0,2.0
hep-ph/9608491,"Effective field theories for QED bound states: extending Nonrelativistic
  QED to study retardation effects",1.60698551133943e-06,0.0,1.0,37.0
cond-mat/9606016,Excited states of a static dilute spherical Bose condensate in a trap,1.4835344226490424e-06,0.0,1.0,3.0
gr-qc/9510002,Stochastic Theory of Accelerated Detectors in a Quantum Field,1.3573399764322014e-06,0.0,1.0,4.0
quant-ph/9512022,Negative entropy and information in quantum mechanics,1.3189329710618589e-06,0.0,0.0,22.0
astro-ph/9510123,"Motion and Ionization Equilibrium of Hydrogen Atoms in Superstrong
  Magnetic Field",1.3189329710618589e-06,0.0,0.0,2.0
nucl-th/9604046,What Do We Learn from Atomic Physics about Fundamental Symmetries?,1.3189329710618589e-06,0.0,0.0,1.0
atom-ph/9606001,"Evolution of a Bose-condensed gas under variations of the confining
  potential",1.3189329710618589e-06,0.0,0.0,4.0
atom-ph/9603009,Decoherence in Ion Trap Quantum Computers,1.3189329710618589e-06,0.0,0.0,1.0
hep-ph/9604368,Sonoluminescence and the Heimlich Effect,1.3189329710618589e-06,0.0,0.0,9.0
hep-ph/9607374,Relativistic corrections to the positronium decay rate revisited,1.3189329710618589e-06,0.0,0.0,6.0
