id,title,pagerank,betweenness,in_degree,out_degree
hep-th/9905229,Fractons and Fractal Statistics,3.108551512798182e-05,0.0,25.0,0.0
chao-dyn/9908011,Forced Burgers Turbulence in 3-Dimensions,2.622078246868604e-05,8.761581551457375e-05,33.0,2.0
cond-mat/9809360,The approach to thermal equilibrium in quantized chaotic systems,2.426477014944828e-05,0.0,26.0,9.0
cond-mat/9709058,"Solitons and diffusive modes in the noiseless Burgers equation:
  Stability analysis",1.5735028520764476e-05,9.95091377580036e-06,9.0,3.0
cond-mat/9912110,"Singularities and the distribution of density in the Burgers/adhesion
  model",1.3646784734957733e-05,8.363545000425361e-05,4.0,6.0
chao-dyn/9804045,Macroscopic chaos in globally coupled maps,1.3423803402703878e-05,0.0,3.0,1.0
chao-dyn/9509014,How to Run Algorithmic Information Theory on a Computer,1.3295733452298886e-05,0.0,8.0,0.0
cond-mat/9812165,"Chaos in Quantum Dots: Dynamical Modulation of Coulomb Blockade Peak
  Heights",1.2631466025357411e-05,0.0,1.0,5.0
chao-dyn/9701023,Wound-up phase turbulence in the Complex Ginzburg-Landau equation,1.1824447841130918e-05,0.0,10.0,2.0
cond-mat/9904215,Effective action for stochastic partial differential equations,1.12874051602235e-05,5.970548265480216e-06,5.0,3.0
cond-mat/9904391,Effective potential for the massless KPZ equation,1.1267378596053922e-05,0.0,2.0,3.0
chao-dyn/9712015,"Quantum Mechanics and Semiclassics of Hyperbolic n-Disk Scattering
  Systems",1.1067148833794452e-05,0.0,10.0,2.0
cond-mat/9904207,"Effective potential for classical field theories subject to stochastic
  noise",1.099343992020706e-05,0.0,4.0,1.0
chao-dyn/9805009,Collective Chaos,1.0895119137962116e-05,0.0,2.0,1.0
chao-dyn/9906014,Frozen spatial chaos induced by boundaries,1.0065433688167495e-05,0.0,5.0,3.0
cond-mat/9710133,Soliton approach to the noisy Burgers equation: Steepest descent method,9.815028175155028e-06,0.0,6.0,1.0
cond-mat/9707187,Quantum Versus Classical Decay Laws in Open Chaotic Systems,9.15211124249012e-06,0.0,2.0,1.0
hep-th/9606130,2-Dimensional Turbulence: yet another Conformal Field Theory Solution,8.883173247609499e-06,4.158590831677762e-07,29.0,21.0
quant-ph/9902016,"Double Solution with Chaos: Completion of de Broglie's Nonlinear Wave
  Mechanics and Its Intrinsic Unification with the Causally Extended Relativity",8.27972350655063e-06,1.5192222662971202e-05,11.0,6.0
cond-mat/9909078,Effective potential for the reaction-diffusion-decay system,7.380371814439666e-06,0.0,2.0,2.0
quant-ph/9902015,"Double Solution with Chaos: Dynamic Redundance and Causal Wave-Particle
  Duality",7.300611266213012e-06,1.3912466613310533e-05,11.0,9.0
chao-dyn/9811015,Definition of fractal measures arising from fractional calculus,7.214383427118034e-06,0.0,3.0,0.0
gr-qc/9612060,The tale of two centres,7.06465197296119e-06,5.999834959009454e-06,8.0,3.0
chao-dyn/9612019,The role of singularities in chaotic spectroscopy,6.8088841638452775e-06,0.0,6.0,0.0
chao-dyn/9512002,Practical and algorithmical manifestations of quantum chaos,6.614142670444895e-06,0.0,4.0,0.0
hep-th/9707173,"Exact Two-Point Correlation Functions of Turbulence Without Pressure in
  Three-Dimensions",6.378597387486955e-06,1.1941096530960432e-05,10.0,1.0
cond-mat/9811399,Phase Transition in the Passive Scalar Advection,6.361434952021164e-06,0.0,2.0,10.0
chao-dyn/9712008,Spatial Correlations in Chaotic Eigenfunctions,6.347733714156326e-06,0.0,11.0,0.0
chao-dyn/9909030,Numerical study of a three-dimensional generalized stadium billiard,6.331834397982535e-06,0.0,1.0,0.0
chao-dyn/9908009,"A Trace Formula for Products of Diagonal Matrix Elements in Chaotic
  Systems",6.31852202366747e-06,0.0,6.0,0.0
chao-dyn/9711020,Random Matrix Elements and Eigenfunctions in Chaotic Systems,6.263521680744111e-06,0.0,9.0,3.0
chao-dyn/9611007,Passive Scalar: Scaling Exponents and Realizability,6.234494999550296e-06,0.0,7.0,0.0
cond-mat/9709059,"Morphology and scaling in the noisy Burgers equation: Soliton approach
  to the strong coupling fixed point",6.231947585600305e-06,0.0,1.0,2.0
chao-dyn/9907006,The quantum three-dimensional Sinai billiard - a semiclassical analysis,6.157465455999856e-06,0.0,6.0,1.0
cond-mat/9909285,Critical statistics in a power-law random banded matrix ensemble,6.119333032687596e-06,6.032432057618278e-06,4.0,3.0
cond-mat/9809136,"Kinetic Ising model in an oscillating field: Avrami theory for the
  hysteretic response and finite-size scaling for the dynamic phase transition",6.113071727288424e-06,0.0,2.0,3.0
hep-th/9710103,Various Shades of Blue's Functions,6.109448112946871e-06,0.0001914616148771,19.0,12.0
chao-dyn/9502021,"Dynamical Simulation of Fluidized Beds --- Hydrodynamically Interacting
  Granular Particles",6.033403976617764e-06,0.0,4.0,2.0
chao-dyn/9904029,"Exit time of turbulent signals: a way to detect the intermediate
  dissipative range",6.000939756027827e-06,0.0,2.0,0.0
chao-dyn/9702004,"A direct link between the quantum-mechanical and semiclassical
  determination of scattering resonances",5.978213332807091e-06,0.0,3.0,2.0
chao-dyn/9907018,"Anomalous scaling of a passive scalar advected by the synthetic
  compressible flow",5.795244435468687e-06,0.0,6.0,7.0
chao-dyn/9911004,"Quantum limit of the laser linewidth in chaotic cavities and statistics
  of residues of scattering matrix poles",5.7657493960328655e-06,0.0,4.0,0.0
cond-mat/9906017,Algorithmic Complexity in Minority Game,5.700839135890636e-06,3.9729394552635765e-06,7.0,2.0
chao-dyn/9808014,A Matrix Element for Chaotic Tunnelling Rates and Scarring Intensities,5.639721075225431e-06,0.0,5.0,2.0
chao-dyn/9912015,"The effect of forcing on the spatial structure and spectra of
  chaotically advected passive scalars",5.606000327112092e-06,0.0,1.0,0.0
quant-ph/9912100,"Quantum Computing, NP-complete Problems and Chaotic Dynamics",5.441079230899272e-06,9.28256882070929e-08,12.0,5.0
chao-dyn/9511004,Symbolic Dynamics and Periodic Orbits for the Cardioid Billiard,5.419980382932927e-06,0.0,3.0,1.0
chao-dyn/9910001,Kicked Burgers Turbulence,5.346024265977915e-06,1.3931279286120504e-05,5.0,8.0
cond-mat/9808150,"Ergodic properties of a generic non-integrable quantum many-body system
  in thermodynamic limit",5.325782784835101e-06,0.0,5.0,2.0
chao-dyn/9911003,"Structure of Quantum Chaotic Wavefunctions: Ergodicity, Localization,
  and Transport",5.276587382561437e-06,0.0,2.0,0.0
chao-dyn/9809016,Maps for analysis of nonlinear dynamics,5.265852223504732e-06,0.0,6.0,0.0
cond-mat/9712153,Correlations of Wave Functions in Disordered Systems,5.233993758209181e-06,0.0,6.0,2.0
chao-dyn/9509005,"Edge Diffraction, Trace Formulae and the Cardioid Billiard",5.074670476788378e-06,0.0,1.0,4.0
cond-mat/9807363,Nonergodic Behavior of Interacting Bosons in Harmonic Traps,5.072970560527422e-06,0.0,4.0,0.0
chao-dyn/9806004,"Renormalization group and anomalous scaling in a simple model of passive
  scalar advection in compressible flow",5.066800160489815e-06,0.0,6.0,1.0
chao-dyn/9510016,"Sensitivity of the eigenfunctions and the level curvature distribution
  in quantum billiards",4.9331190207894044e-06,0.0,4.0,1.0
chao-dyn/9811004,"Symmetries, invariants and cascades in a shell model of turbulence",4.904984352554163e-06,0.0,2.0,0.0
cond-mat/9507057,Analytical Results for Random Band Matrices with Preferential Basis,4.7931660795707736e-06,0.0,5.0,1.0
cond-mat/9805023,Quantal Brownian Motion - Dephasing and Dissipation,4.790025861903353e-06,0.0,5.0,0.0
hep-ph/9906390,Density correlators in a self-similar cascade,4.775563454392716e-06,0.0,3.0,2.0
gr-qc/9610065,Chaos in Static Axisymmetric Spacetimes II : non-vacuum case,4.745342426746292e-06,0.0,5.0,1.0
chao-dyn/9808011,"Anomalous scaling regimes of a passive scalar advected by the synthetic
  velocity field",4.719198313918415e-06,0.0,5.0,4.0
chao-dyn/9906033,Controlling a leaky tap,4.651340137579245e-06,0.0,3.0,0.0
chao-dyn/9808018,Hyperchaos synchronization with a zero driving variable,4.651340137579245e-06,0.0,3.0,0.0
chao-dyn/9809013,Scar and Antiscar Quantum Effects in Open Chaotic Systems,4.617581509945091e-06,0.0,2.0,0.0
chao-dyn/9911005,The passive polymer problem,4.60133120873313e-06,0.0,5.0,6.0
chao-dyn/9907023,The multifractal structure of chaotically advected chemical fields,4.593943964501726e-06,0.0,3.0,1.0
