id,title,pagerank,betweenness,in_degree,out_degree
nucl-th/9609014,Algebraic model of an oblate top,7.090473202660525e-06,0.0,3.0,0.0
chem-ph/9608001,"Monte Carlo Optimization of Trial Wave Functions in Quantum Mechanics
  and Statistical Mechanics",4.199458373837573e-06,0.0,3.0,2.0
chem-ph/9508002,"Electrostatic potential of a homogeneously charged square and cube in
  two and three dimensions",3.62335329328243e-06,0.0,2.0,0.0
atom-ph/9511001,On the Use of Quantum Algebras in Rotation-Vibration Spectroscopy,3.414200726067809e-06,0.0,1.0,3.0
nucl-th/9606012,Perturbation of Embedded Eigenvalue by a Near-Lying Resonance,2.7540289062824667e-06,0.0,4.0,2.0
cond-mat/9605092,Generalized Bloch equations for a strongly driven tunneling system,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9512102,Memory Loss and Auger Processes in a Many Body Theory of Charge Transfer,2.4711431321721443e-06,0.0,1.0,0.0
comp-gas/9501002,Renormalized Equilibria of a Schloegl Model Lattice Gas,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9608108,Cooperative Chiral Order in Copolymers of Chiral and Achiral Units,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9510054,"Underpotential deposition of Cu on Au(111) in sulfate-containing
  electrolytes: a theoretical and experimental study",2.4711431321721443e-06,0.0,1.0,0.0
nucl-th/9512016,Quantum Algebraic Symmetries in Nuclear and Molecular Physics,2.0102590677280302e-06,0.0,2.0,0.0
cond-mat/9509078,Dynamical simulation of transport in one-dimensional quantum wires,1.917007261739015e-06,0.0,2.0,1.0
chem-ph/9604004,A Criterion That Determines Fast Folding of Proteins: A Model Study,1.8950380516170012e-06,0.0,1.0,0.0
cond-mat/9603150,Slow relaxation in granular compaction,1.8950380516170012e-06,0.0,1.0,6.0
chem-ph/9512004,Evidence for Non-Random Hydrophobicity Structures in Protein Chains,1.8950380516170012e-06,0.0,1.0,0.0
cond-mat/9609189,A Variational Approach to Nonlocal Exciton-Phonon Coupling,1.60698551133943e-06,0.0,1.0,0.0
chem-ph/9411008,"Funnels, Pathways and the Energy Landscape of Protein Folding: A
  Synthesis",1.3189329710618589e-06,0.0,0.0,4.0
cond-mat/9602009,Diffusion-annihilation dynamics in one spatial dimension,1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9603006,"From Heisenberg matrix mechanics to EBK quantization: theory and first
  applications",1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9512001,Monte-Carlo studies of bosonic van der Waals clusters,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9605183,"Microscopic Reversibility and Macroscopic Behavior: Physical
  Explanations and Mathematical Derivations",1.3189329710618589e-06,0.0,0.0,2.0
chem-ph/9605002,"Identification of Amino Acid Sequences with Good Folding Properties in
  an Off-Lattice Model",1.3189329710618589e-06,0.0,0.0,2.0
cond-mat/9512019,"Entropic Barriers, Frustration and Order: Basic Ingredients in Protein
  Folding",1.3189329710618589e-06,0.0,0.0,2.0
cond-mat/9510103,"Exciton effects and nonlinear optical response in soliton lattice states
  of doped conjugated polymers",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9507023,Liquids with Chiral Bond Order,1.3189329710618589e-06,0.0,0.0,2.0
chem-ph/9606002,A local anharmonic treatment of vibrations of methane,1.3189329710618589e-06,0.0,0.0,3.0
quant-ph/9505012,"Feynman-Kac Kernels in Markovian Representations of the Schroedinger
  Interpolating Dynamics",1.3189329710618589e-06,0.0,0.0,1.0
hep-lat/9507021,Hyper-Systolic Parallel Computing,1.3189329710618589e-06,0.0,0.0,1.0
quant-ph/9502019,"Variational perturbation expansion for strong-coupling coefficients of
  the anharmonic oscillator",1.3189329710618589e-06,0.0,0.0,20.0
quant-ph/9502018,"Scaling property of variational perturbation expansion for general
  anharmonic oscillator",1.3189329710618589e-06,0.0,0.0,7.0
cond-mat/9509047,Imbibition: An Example of Nonconserved Cellular Automaton,1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9404003,"Quantum Annealing: A New Method for Minimizing Multidimensional
  Functions",1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9604002,"Boson-realization model for the vibrational spectra of tetrahedral
  molecules",1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9505001,On finite-size effects in computer simulations using the Ewald potential,1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9505005,On the free energy of ionic hydration,1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9603002,"A Symmetry Adapted Approach to Molecular Spectroscopy: The Anharmonic
  Oscillator Symmetry Model",1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9603005,On the energy spectrum of the C60-fullerene anion,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9503145,"Critical point and coexistence curve properties of the Lennard-Jones
  fluid: A finite-size scaling study",1.3189329710618589e-06,0.0,0.0,4.0
chem-ph/9604005,A general algebraic model for molecular vibrational spectroscopy,1.3189329710618589e-06,0.0,0.0,2.0
quant-ph/9608027,On a Generalized Oscillator System: Interbasis Expansions,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9609021,Tunneling with the Lorentz Force and the Friction,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9609091,"Optical absorption of strongly correlated half-filled Mott-Hubbard
  chains",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9509099,Theory of Chiral Order in Random Copolymers,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9408054,"Quasi-classical path integral approach to supersymmetric quantum
  mechanics",1.3189329710618589e-06,0.0,0.0,1.0
