source,target
cmp-lg/9504032,cmp-lg/9607007
cmp-lg/9510008,cmp-lg/9511001
cmp-lg/9406029,cmp-lg/9406031
cmp-lg/9406030,cmp-lg/9406031
cmp-lg/9406028,cmp-lg/9406031
cmp-lg/9606022,cmp-lg/9606024
cmp-lg/9406029,cmp-lg/9406030
cmp-lg/9406031,cmp-lg/9406030
cmp-lg/9504032,cmp-lg/9707006
cmp-lg/9607007,cmp-lg/9707006
cmp-lg/9504032,cmp-lg/9804002
cmp-lg/9505031,cmp-lg/9804002
cmp-lg/9506014,cmp-lg/9604007
cmp-lg/9406013,cmp-lg/9506018
cmp-lg/9511001,cmp-lg/9601008
cmp-lg/9510008,cmp-lg/9601008
cmp-lg/9601006,cmp-lg/9601008
cmp-lg/9511001,cmp-lg/9601006
cmp-lg/9510008,cmp-lg/9601006
cmp-lg/9601008,cmp-lg/9601006
cmp-lg/9504032,cmp-lg/9802001
cmp-lg/9503003,cmp-lg/9802001
cmp-lg/9607007,cmp-lg/9802001
cmp-lg/9707006,cmp-lg/9802001
cmp-lg/9405001,cmp-lg/9509001
cmp-lg/9409002,cmp-lg/9509001
cmp-lg/9410016,cmp-lg/9804001
cmp-lg/9508004,cmp-lg/9804001
cmp-lg/9508004,cmp-lg/9706004
cmp-lg/9612001,cmp-lg/9706004
cmp-lg/9605012,cmp-lg/9706004
cmp-lg/9506021,cmp-lg/9706004
cmp-lg/9606011,cmp-lg/9706004
cmp-lg/9706003,cmp-lg/9706004
cmp-lg/9410029,cmp-lg/9706004
cmp-lg/9508004,cmp-lg/9706003
cmp-lg/9605012,cmp-lg/9706003
cmp-lg/9706004,cmp-lg/9706003
cmp-lg/9405007,cmp-lg/9706003
cmp-lg/9504030,cmp-lg/9706003
cmp-lg/9601009,cmp-lg/9702005
cmp-lg/9607025,cmp-lg/9702006
cmp-lg/9506018,cmp-lg/9703003
cmp-lg/9603001,cmp-lg/9704003
cmp-lg/9412003,cmp-lg/9708011
cmp-lg/9408011,cmp-lg/9708011
cmp-lg/9603002,cmp-lg/9711002
cmp-lg/9704010,cmp-lg/9712007
cmp-lg/9607028,cmp-lg/9802002
cmp-lg/9604001,cmp-lg/9802002
cmp-lg/9606005,cmp-lg/9802002
cmp-lg/9606030,cmp-lg/9802002
cmp-lg/9610003,cmp-lg/9805007
cmp-lg/9605031,cmp-lg/9805007
cmp-lg/9712004,cmp-lg/9805011
cmp-lg/9508004,cmp-lg/9807005
cmp-lg/9503015,cmp-lg/9807005
cmp-lg/9804001,cmp-lg/9807005
cmp-lg/9612005,cmp-lg/9807006
cmp-lg/9404008,cmp-lg/9601002
cmp-lg/9505041,cmp-lg/9604023
cmp-lg/9406031,cmp-lg/9605038
cmp-lg/9407015,cmp-lg/9605038
cmp-lg/9602003,cmp-lg/9608003
cmp-lg/9410008,cmp-lg/9608003
cmp-lg/9604007,cmp-lg/9608004
cmp-lg/9511001,cmp-lg/9608014
cmp-lg/9510008,cmp-lg/9608014
cmp-lg/9601008,cmp-lg/9608014
cmp-lg/9503011,cmp-lg/9610004
cmp-lg/9606019,cmp-lg/9611003
cmp-lg/9605031,cmp-lg/9611003
cmp-lg/9606022,cmp-lg/9611003
cmp-lg/9606024,cmp-lg/9611003
cmp-lg/9503003,cmp-lg/9503004
cmp-lg/9406023,cmp-lg/9505035
cmp-lg/9406010,cmp-lg/9505040
cmp-lg/9410026,cmp-lg/9505040
cmp-lg/9502010,cmp-lg/9505040
cmp-lg/9406011,cmp-lg/9505040
cmp-lg/9509001,cmp-lg/9509002
cmp-lg/9409003,cmp-lg/9509002
cmp-lg/9404001,cmp-lg/9404003
