id,title,pagerank,betweenness,in_degree,out_degree
comp-gas/9905002,"Construction of Molecular Dynamics Like Cellular Automata Models for
  Simulation of Compressible Fluid Dynamic Systems",9.47540792109486e-06,0.0,13.0,0.0
comp-gas/9811002,Crystalline Computation,9.421721828910368e-06,0.0,14.0,1.0
hep-lat/9701001,"Perturbation theory predictions and Monte Carlo simulations for the 2-d
  O(n) non-linear sigma-model",6.837306504382678e-06,0.0,9.0,10.0
cond-mat/9801061,Garden of Eden states in traffic models,5.9966886438487085e-06,0.0,2.0,0.0
quant-ph/9701019,Simulating quantum mechanics on a quantum computer,5.970765092521855e-06,0.0,9.0,19.0
comp-gas/9704001,Lattice Gas Prediction is P-complete,4.199458373837573e-06,0.0,3.0,1.0
quant-ph/9611005,"Quantum mechanics of lattice gas automata. I. One particle plane waves
  and potentials",3.5792532810631853e-06,0.0,7.0,8.0
quant-ph/9611038,Simulating Ising Spin Glasses on a Quantum Computer,3.4542215747918378e-06,0.0,9.0,9.0
comp-gas/9902001,Exact results for deterministic cellular automata traffic models,3.334427866519169e-06,0.0,5.0,10.0
comp-gas/9506001,SAMPLING ALMOST PERIODIC FUNCTIONS WITH RANDOM PROBES OF FINITE DENSITY,2.4711431321721443e-06,0.0,1.0,0.0
chao-dyn/9307010,"Dependence of extensive chaos on the spatial correlation length
  (substantial revision)",2.4711431321721443e-06,0.0,1.0,1.0
chao-dyn/9508001,"Simulating Three-Dimensional Hydrodynamics on a Cellular-Automata
  Machine",2.4711431321721443e-06,0.0,1.0,1.0
comp-gas/9501002,Renormalized Equilibria of a Schloegl Model Lattice Gas,2.4711431321721443e-06,0.0,1.0,0.0
hep-lat/9402012,"Variational description of statistical field theories using Daubechies'
  wavelets",2.4711431321721443e-06,0.0,1.0,2.0
cond-mat/9707007,Object orientation and visualization of physics in two dimensions,2.4711431321721443e-06,0.0,1.0,0.0
quant-ph/9604003,From quantum cellular automata to quantum lattice gases,2.177803439352525e-06,0.0,4.0,27.0
quant-ph/9605023,Unitarity in one dimensional nonlinear quantum cellular automata,2.065163630032568e-06,0.0,4.0,11.0
cond-mat/9907412,The rate of entropy increase at the edge of chaos,2.01621506402474e-06,0.0,4.0,9.0
quant-ph/9703027,Quantum lattice gases and their invariants,1.994348819065661e-06,0.0,3.0,4.0
quant-ph/9604011,On the absence of homogeneous scalar unitary cellular automata,1.953719831345276e-06,0.0,4.0,8.0
quant-ph/9701016,Quantum lattice-gas models for the many-body Schrodinger equation,1.917051757088013e-06,0.0,4.0,8.0
