source,target
cond-mat/0104155,cond-mat/0106096
cond-mat/0006132,cond-mat/0106096
cond-mat/9701016,cond-mat/9702070
cond-mat/0212469,cond-mat/0303516
cond-mat/9908216,cond-mat/0303516
cond-mat/9711279,cond-mat/9802092
cond-mat/9710024,cond-mat/9802092
cond-mat/0004407,cond-mat/0006132
cond-mat/0206239,cond-mat/0207140
cond-mat/0003032,cond-mat/0103393
cond-mat/0207140,cond-mat/0206239
cond-mat/0110363,cond-mat/0206239
physics/0009032,physics/0007070
cond-mat/0303445,cond-mat/0212490
cond-mat/9910278,cond-mat/0212070
cond-mat/9906076,cond-mat/9904303
cond-mat/0006045,cond-mat/9911226
cond-mat/9907499,cond-mat/9911226
cond-mat/0206316,cond-mat/0202473
cond-mat/0204413,cond-mat/0202473
cond-mat/0111174,cond-mat/0602212
cond-mat/9808140,cond-mat/9906076
cond-mat/9903370,cond-mat/9906076
cond-mat/9701016,cond-mat/9906076
cond-mat/9904303,cond-mat/9906076
cond-mat/0008115,cond-mat/0007113
cond-mat/0012161,cond-mat/0007113
cond-mat/0012451,cond-mat/0007113
cond-mat/9903370,cond-mat/9904124
cond-mat/0012275,cond-mat/0101114
cond-mat/0006211,cond-mat/0402037
cond-mat/0007113,cond-mat/0402037
cond-mat/0402036,cond-mat/0402037
cond-mat/0307583,cond-mat/0402037
cond-mat/0302371,cond-mat/0402037
cond-mat/0212070,cond-mat/0307713
cond-mat/0412023,cond-mat/0412158
cond-mat/0503012,cond-mat/0406345
cond-mat/9802108,cond-mat/9802104
cond-mat/0006211,cond-mat/0302371
cond-mat/0211521,cond-mat/0302371
cond-mat/0505453,cond-mat/0507085
cond-mat/0104264,cond-mat/0008115
physics/0607272,cond-mat/0505185
physics/0512011,cond-mat/0505185
cond-mat/0412761,cond-mat/0505185
cond-mat/9904124,cond-mat/0005173
cond-mat/9903370,cond-mat/0005173
cond-mat/0002128,cond-mat/0005173
cond-mat/9911226,cond-mat/0005173
cond-mat/9802104,cond-mat/9802108
cond-mat/9906076,cond-mat/9910278
cond-mat/9904303,cond-mat/9910278
cond-mat/0006211,cond-mat/0005541
cond-mat/0002130,cond-mat/0005541
cond-mat/9704155,cond-mat/9711279
cond-mat/9902036,cond-mat/9809357
cond-mat/9902231,cond-mat/9809357
