id,title,pagerank,betweenness,in_degree,out_degree
math-ph/0703019,"Integrable Structure of Ginibre's Ensemble of Real Random Matrices and a
  Pfaffian Integration Theorem",9.689213738909653e-05,0.0,2.0,0.0
cond-mat/0611707,Universality class of 3D site-diluted and bond-diluted Ising systems,7.599698137996484e-05,0.0,26.0,0.0
cond-mat/0601278,Synchronization in Small-World-Connected Computer Networks,7.232840378709774e-05,1.0269392641045748e-05,70.0,2.0
cond-mat/0612656,Dynamic crossover in the global persistence at criticality,5.645178383003461e-05,0.0,1.0,0.0
cond-mat/0611346,"Functional Renormalization for Disordered Systems, Basic Recipes and
  Gourmet Dishes",5.114427728932098e-05,0.0,26.0,0.0
cond-mat/0104072,"""Single Ring Theorem"" and the Disk-Annulus Phase Transition",4.2616322036767295e-05,1.990182755160072e-06,51.0,1.0
cond-mat/0109126,Replica treatment of non-Hermitian disordered Hamiltonians,4.17905961596307e-05,0.0,5.0,0.0
cond-mat/0303207,Developments in Random Matrix Theory,4.160142971296562e-05,0.0010170513923027,42.0,3.0
cond-mat/0606211,Thermodynamic formalism for systems with Markov dynamics,4.068421786170623e-05,7.903778890706461e-06,25.0,4.0
physics/0505008,Socioeconomic development and stability: A complex network blueprint,3.870907628082788e-05,0.0,29.0,0.0
cond-mat/0207421,Phase transitions in two-dimensional random Potts models,3.654197011093791e-05,2.133435697103564e-06,28.0,6.0
cond-mat/0701301,"Extreme fluctuations in noisy task-completion landscapes on scale-free
  networks",3.565338323427106e-05,6.70401529035815e-06,4.0,1.0
cond-mat/0303516,The structure and function of complex networks,3.512526677791997e-05,6.795209096651202e-05,38.0,36.0
cond-mat/0502448,Strong disorder RG approach of random systems,3.50097337546642e-05,1.238725217320899e-05,22.0,6.0
cond-mat/0408048,"Thermal fluctuations in pinned elastic systems: field theory of rare
  events and droplets",3.3395164989500206e-05,6.612199145938859e-07,35.0,5.0
cond-mat/0211279,"Level-spacing distributions of the Gaussian unitary random matrix
  ensemble",3.3203834518309376e-05,1.85458491867262e-07,11.0,1.0
cond-mat/0409486,"The O(n) Model in the $n\to 0$ Limit (self-avoiding-walks) and
  Logarithmic Conformal Field Theory",3.2098257880810405e-05,0.0,34.0,0.0
cond-mat/0612654,Diffusion Poles and the Anderson Transition,3.139855362288937e-05,0.0,8.0,0.0
cond-mat/0406334,Ma-Dasgupta renormalization studies of various disordered systems,2.958504323526104e-05,0.0,16.0,0.0
cond-mat/0311029,Disorder effects in diluted magnetic semiconductors,2.943748797924349e-05,0.0,26.0,0.0
cond-mat/0702244,"Extreme value problems in Random Matrix Theory and other disordered
  systems",2.92699411975186e-05,0.0,13.0,0.0
hep-th/0411030,"Unquenched QCD Dirac Operator Spectra at Nonzero Baryon Chemical
  Potential",2.8302922308024897e-05,1.844147736739832e-05,72.0,14.0
cond-mat/0212140,"Energy spectra and eigenstates of quasiperiodic tight-binding
  Hamiltonians",2.7352795048055272e-05,0.0,23.0,2.0
cond-mat/0111519,"Dynamics and Configurational Entropy in the LW Model for Supercooled
  Orthoterphenyl",2.5688455859278445e-05,1.990182755160072e-06,9.0,1.0
cond-mat/0606728,The random-anisotropy model in the strong-anisotropy limit,2.5154923596902168e-05,0.0,13.0,0.0
cond-mat/0505185,Characterization of complex networks: A survey of measurements,2.5059551597593083e-05,1.4078208441774217e-05,17.0,16.0
cond-mat/9906076,"Replica Symmetry Breaking in Short-Range Spin Glasses: Theoretical
  Foundations and Numerical Evidences",2.503206055436889e-05,0.0004210568423318,42.0,15.0
cond-mat/0110013,"Superconductivity in an Exactly Solvable Model of the Pseudogap State:
  Absence of Self Averaging",2.441388687247509e-05,1.7657697122109094e-06,14.0,1.0
cond-mat/0606320,"High-temperature series for the bond-diluted Ising model in 3, 4 and 5
  dimensions",2.301055856574168e-05,2.187460839906536e-06,18.0,2.0
cond-mat/0311378,"Exact multi-electronic electron-concentration dependent ground-states
  for disordered two-dimensional two-band systems in presence of disordered
  hoppings and finite on-site random interactions",2.2756710727846923e-05,0.0,9.0,0.0
cond-mat/0412448,"Maximal planar networks with large clustering coefficient and power-law
  degree distribution",2.229395874726417e-05,7.646721809353703e-06,18.0,1.0
cond-mat/0701116,"Growing dynamical length, scaling and heterogeneities in the 3d
  Edwards-Anderson model",2.19164578137828e-05,0.0,14.0,0.0
hep-lat/0306002,Localization in Lattice QCD,2.160560080457869e-05,9.743516915135006e-06,61.0,35.0
cond-mat/0603657,On the number of circuits in random graphs,2.104337050928349e-05,3.974177131106338e-06,9.0,2.0
cond-mat/0202039,Potential Energy Landscape Equation of State,2.0952757277903944e-05,0.0,1.0,0.0
cond-mat/0605470,"Quasi-stationary criticality of the Order-Parameter of the d=3
  Random-Field Ising Antiferromagnet Fe(0.85)Zn(0.15)F2: A Synchrotron X-ray
  Scattering Study",2.0708131140352245e-05,0.0,5.0,0.0
physics/0612121,Identifying Complex Networks by Random Walks,2.0421446037104837e-05,0.0,5.0,0.0
cond-mat/0612537,Dynamics of neural cryptography,2.0315275813224955e-05,0.0,12.0,0.0
cond-mat/0603350,The number of matchings in random graphs,2.025414237535378e-05,0.0,7.0,3.0
cond-mat/0111090,"Finite-Size Scaling of the Level Compressibility at the Anderson
  Transition",1.9565028480083438e-05,0.0,25.0,0.0
cond-mat/0609617,Electron transport in disordered graphene,1.945074982314684e-05,5.175066286709832e-06,23.0,4.0
cond-mat/0610817,3D Ising and other models from symplectic fermions,1.9078973286099785e-05,2.9991605912269505e-06,13.0,2.0
cond-mat/0208182,"Scaling, domains, and states in the four-dimensional random field Ising
  magnet",1.8320222325008112e-05,5.970548265480216e-06,19.0,2.0
cond-mat/0602257,"Quantum Adiabatic Evolution Algorithm and Quantum Phase Transition in
  3-Satisfiability Problem",1.819848450441023e-05,0.0,5.0,0.0
cond-mat/0610744,"Anderson transition: numerical vs analytical results (comment on the
  review article by P.Markos cond-mat/0609580)",1.817190183023184e-05,7.4260550565674335e-09,8.0,1.0
cond-mat/0604124,"Critical behavior of the random-anisotropy model in the
  strong-anisotropy limit",1.8102826575201477e-05,1.2485958035171297e-07,31.0,1.0
cond-mat/9906378,"Critical exponents of random XX and XY chains: Exact results via random
  walks",1.8077420265978163e-05,1.990182755160072e-06,3.0,1.0
cond-mat/0501199,"Functional Renormalization for pinned elastic systems away from their
  steady states",1.7971458406451664e-05,5.574732161871437e-06,5.0,4.0
cond-mat/0001358,"Universal Statistics of Inviscid Burgers Turbulence in Arbitrary
  Dimensions",1.7841562734964774e-05,0.0,11.0,0.0
cond-mat/0301630,"Quantum interference in nested d-wave superconductors: a real-space
  perspective",1.7812825051455674e-05,2.815350623619081e-06,4.0,2.0
cond-mat/0211106,Hiking through glassy phases: physics beyond aging,1.7802015936342483e-05,7.131679552509473e-06,9.0,4.0
cond-mat/0605211,"On the identification of quasiprimary scaling operators in local
  scale-invariance",1.7787453247073704e-05,5.803640459193826e-06,2.0,6.0
cond-mat/0607498,"Ising spin glass models versus Ising models: an effective mapping at
  high temperature I. General result",1.7397478827716036e-05,1.990182755160072e-06,2.0,1.0
cond-mat/0211446,Ising model on 3D random lattices: A Monte Carlo study,1.738557575303258e-05,0.0,15.0,0.0
cond-mat/9904280,"Random quantum magnets with long-range correlated disorder: Enhancement
  of critical and Griffiths-McCoy singularities",1.7265941840436538e-05,0.0,3.0,1.0
cond-mat/0509012,"Scaling Invariance in Spectra of Complex Networks: A Diffusion Factorial
  Moment Approach",1.717280706880739e-05,1.1139082584851151e-08,6.0,1.0
cond-mat/0312327,Aging Dynamics of the Heisenberg Spin Glass,1.712723597740542e-05,1.165014905160354e-05,5.0,4.0
cond-mat/0510563,"Influence Functional for Decoherence of Interacting Electrons in
  Disordered Conductors",1.7106545009149605e-05,3.980365510320144e-06,17.0,7.0
cond-mat/0411656,"Supersymmetry Breaking in Disordered Systems and Relation to Functional
  Renormalization and Replica-Symmetry Breaking",1.7084871748352633e-05,0.0,14.0,1.0
cond-mat/9910431,Mode-coupling theory for heteropolymers,1.68877474561246e-05,3.965513400207009e-06,5.0,2.0
q-bio/0503041,"Morphological complex networks: Can individual morphology determine the
  general connectivity and dynamics of networks?",1.656017445778808e-05,2.91766361054897e-06,16.0,2.0
cond-mat/0106096,Statistical mechanics of complex networks,1.654360914784671e-05,0.0001718433929188,41.0,69.0
cond-mat/0404223,"Thermal conduction of one-dimensional isotopically disordered harmonic
  lattice",1.648207859927941e-05,0.0,2.0,0.0
cond-mat/0501252,Strength Distribution in Derivative Networks,1.637582086900839e-05,0.0,11.0,0.0
cond-mat/0504681,A Crash Course on Aging,1.624672866680453e-05,0.0,4.0,0.0
cond-mat/0703080,"Microwave photoconductivity of a 2D electron gas: Mechanisms and their
  interplay at high radiation power",1.616694673570563e-05,0.0,8.0,0.0
cond-mat/0402627,Energy size effects of two-dimensional Ising spin glasses,1.6056402309857544e-05,0.0,13.0,0.0
cond-mat/9909289,"Thermodynamic chaos and infinitely many critical exponents in the
  Baxter-Wu model",1.593682615331487e-05,0.0,6.0,0.0
cond-mat/0510556,"Decoherence in weak localization I: Pauli principle in influence
  functional",1.5862350892783696e-05,3.980365510320144e-06,19.0,3.0
cond-mat/0510438,Some applications of recent theories of disordered systems,1.577277849487592e-05,0.0,13.0,0.0
cond-mat/0311235,"Inelastically scattering particles and wealth distribution in an open
  economy",1.565502104796302e-05,8.085613237960267e-05,25.0,5.0
cond-mat/0207273,Temperature shifts in the Sinai model: static and dynamical effects,1.5628252763012777e-05,2.4272591384894693e-06,13.0,3.0
cond-mat/0211082,"Limit order market analysis and modelling: on an universal cause for
  over-diffusive prices",1.5594606851532255e-05,0.0,13.0,0.0
cond-mat/0211590,"Quantum interference effect on the density of states in disordered
  d-wave superconductors",1.551546694323288e-05,4.5490199241316e-06,4.0,1.0
cond-mat/0504750,"Fluctuation theorem for non-equilibrium relaxational systems driven by
  external forces",1.542367257626719e-05,3.858435685060224e-06,7.0,3.0
cond-mat/0310100,Critical properties of the three- and four-dimensional gauge glass,1.5204597022536784e-05,1.36403318067636e-05,13.0,1.0
cond-mat/0110363,Statistical Physics of the Glass Phase,1.5133168888446596e-05,5.664550867977796e-05,28.0,3.0
cond-mat/0703466,Local scale-invariance in disordered systems,1.5012465513101006e-05,2.2373371003760853e-08,7.0,1.0
cond-mat/0504082,Dynamical scaling in Ising and vector spin glasses,1.4973086966979024e-05,0.0,8.0,0.0
cond-mat/9911221,"Universality and multifractal behaviour of spin-spin correlation
  functions in disordered Potts models",1.4880572650910818e-05,2.0962652375401166e-06,10.0,2.0
cond-mat/0503750,"The Landau-Lifshitz/Looyenga dielectric mixture expression and its
  self-similar fractal nature",1.4789824897991052e-05,0.0,6.0,0.0
physics/0510239,An evolving network model with community structure,1.4585835643181208e-05,0.0,10.0,0.0
cond-mat/0610639,"Quantum critical spin liquids and conformal field theory in 2+1
  dimensions",1.4541925164453107e-05,2.966168923860256e-07,9.0,2.0
quant-ph/9907009,The importance of quantum decoherence in brain processes,1.438953358328472e-05,9.920160359714877e-06,16.0,9.0
cond-mat/0611715,"Numerical evidence for relevance of disorder in a Poland-Scheraga DNA
  denaturation model with self-avoidance: Scaling behavior of average
  quantities",1.4282212440432694e-05,1.9976088102166394e-06,8.0,1.0
cond-mat/0605120,Anchored Critical Percolation Clusters and 2-D Electrostatics,1.4240217175715389e-05,0.0,13.0,0.0
cond-mat/0512004,Euclidean random matrices: solved and open problems,1.4238996129349766e-05,0.0,13.0,0.0
cond-mat/0703527,Entanglement entropy in aperiodic singlet phases,1.4200997883692864e-05,0.0,7.0,0.0
cond-mat/0612523,Replica symmetric spin glass field theory,1.4093507851222591e-05,0.0,12.0,0.0
cond-mat/0411291,Dynamical breakdown of the Ising spin-glass order under a magnetic field,1.4092046663326464e-05,1.9976088102166394e-06,2.0,3.0
cond-mat/0510681,"Scaling Invariance in Wave Functions of Quantum Systems on Complex
  Networks",1.4054997627244811e-05,0.0,4.0,0.0
cond-mat/0701216,"How to calculate the fractal dimension of a complex network: the box
  covering algorithm",1.3966035994471294e-05,0.0,3.0,0.0
cond-mat/0605676,"Exploring self-similarity of complex cellular networks: The
  edge-covering method with simulated annealing and log-periodic sampling",1.395688152456577e-05,1.990182755160072e-06,2.0,1.0
cond-mat/0005173,First Steps in Glass Theory,1.3819535351954446e-05,7.491920571854901e-06,22.0,7.0
cond-mat/0412638,"Static properties of the dissipative random quantum Ising ferromagnetic
  chain",1.3803934962616058e-05,3.2042166611527225e-06,3.0,1.0
cond-mat/0411528,The so-called two dimensional metal-insulator transition,1.3802097483145036e-05,1.0985616515242533e-05,8.0,7.0
cond-mat/0206035,Energy dynamics in the Sinai model,1.3787559667672278e-05,2.000207929486438e-06,9.0,2.0
cond-mat/0508042,"Disordered ultracold atomic gases in optical lattices: A case study of
  Fermi-Bose mixtures",1.3709510642684836e-05,4.843785215223402e-05,21.0,4.0
hep-th/0207273,"The Neveu-Schwarz and Ramond Algebras of Logarithmic Superconformal
  Field Theory",1.3683137127510836e-05,1.9335388238649914e-06,50.0,9.0
physics/0205030,Thinking about the brain,1.34689317241518e-05,0.0,16.0,5.0
cond-mat/0406682,"Diluted models in statistical mechanics: Out of equilibrium dynamics and
  optimization algorithms",1.3460446708778158e-05,0.0,8.0,0.0
cond-mat/0312338,"Broad relaxation spectrum and the field theory of glassy dynamics for
  pinned elastic systems",1.3459132927488952e-05,2.416661195406314e-06,10.0,5.0
chao-dyn/9804045,Macroscopic chaos in globally coupled maps,1.3423803402703878e-05,0.0,3.0,1.0
cond-mat/0205644,Universality classes in nonequilibrium lattice systems,1.3378100647073986e-05,0.0002637749231547,20.0,26.0
cond-mat/0603819,Sudden emergence of q-regular subgraphs in random graphs,1.3362932187697617e-05,0.0,3.0,1.0
physics/0509078,Minority Games with heterogeneous timescales,1.3293422724972802e-05,0.0,10.0,0.0
cond-mat/0501656,"Effect of nonmagnetic disorder on criticality in the ""dirty"" U(1) spin
  liquid",1.3070200289907805e-05,4.082827031100637e-08,5.0,1.0
cond-mat/0406750,Unusual localisation effects in quantum percolation,1.3018323913790416e-05,0.0,9.0,0.0
cond-mat/0512019,Coupled logistic maps and non-linear differential equations,1.3007407643066008e-05,0.0,3.0,0.0
cond-mat/0503108,"Extremal noise events, intermittency and Log-Poisson statistics in
  non-equilibrium aging of complex systems",1.2917239994728224e-05,0.0,4.0,0.0
cond-mat/0212490,"Violation of the fluctuation-dissipation theorem in glassy systems:
  basic notions and the numerical evidence",1.2824278033577968e-05,1.4966450841774836e-05,10.0,17.0
cond-mat/0111172,Zero Temperature Properties of RNA Secondary Structures,1.2776791735726514e-05,1.5271967912557248e-06,4.0,1.0
cond-mat/0209333,Chaos in temperature in the Sherrington-Kirkpatrick model,1.2750845870404836e-05,1.4250953275222266e-07,4.0,3.0
cond-mat/0103393,Singular Fermi Liquids,1.2726619636650874e-05,0.0006815005067211,22.0,16.0
physics/0701089,"On the Separability of Attractors in Grandmother Dynamic Systems with
  Structured Connectivity",1.2685636130691484e-05,0.0,14.0,0.0
cond-mat/0009378,Disorder and Two-Particle Interaction in Low-Dimensional Quantum Systems,1.2650082626560288e-05,0.0,13.0,0.0
cond-mat/0410019,"Disorder induced transitions in layered Coulomb gases and application to
  flux lattices in superconductors",1.2596714499712457e-05,0.0,7.0,0.0
cond-mat/0401506,Heterogeneities and local fluctuations in glassy systems,1.258958586152862e-05,2.403382485049872e-06,10.0,2.0
cond-mat/0607518,"Ising spin glass models versus Ising models: an effective mapping at
  high temperature II. Applications to graphs and networks",1.2568762062682773e-05,0.0,1.0,0.0
cond-mat/0504411,Disorder-Driven Non-Fermi Liquid Behavior of Correlated Electrons,1.2546101215251791e-05,2.271502762133356e-06,8.0,1.0
cond-mat/0702545,The classical granular temperature and slightly beyond,1.2520039875220534e-05,0.0,3.0,1.0
cond-mat/0412674,"""Glassy Dynamics"" in Ising Spin Glasses -- Experiment and Simulation",1.2512527517332296e-05,3.018909133253224e-06,5.0,1.0
cond-mat/0312712,Expanded Complex Networks and their Percolations,1.2506403060796802e-05,2.016173947858058e-06,9.0,5.0
gr-qc/0110077,A Geometric Renormalisation Group in Discrete Quantum Space-Time,1.2503884063121646e-05,1.2623636309545045e-06,24.0,5.0
cond-mat/0408557,"Plateaux formation, abrupt transitions, and fractional states in a
  competitive population with limited resources",1.2462874402113052e-05,3.297168445115952e-06,6.0,3.0
cond-mat/0402037,"Correlation Length of the Two-Dimensional Ising Spin Glass with Gaussian
  Interactions",1.2455066335474511e-05,9.958339830856928e-06,16.0,2.0
cond-mat/0602337,Discrete Scale Invariance in Scale Free Graphs,1.2445434809102769e-05,3.980365510320144e-06,13.0,1.0
cond-mat/0011335,"Delocalization effects and charge reorganizations induced by repulsive
  interactions in strongly disordered chains",1.24453228181355e-05,3.980365510320144e-06,7.0,2.0
cond-mat/0407347,"Inhomogeneity-induced second-order phase transitions in Potts model on
  hierarchical lattices",1.2390133913282386e-05,0.0,5.0,0.0
