source,target
cond-mat/9901214,cond-mat/0001147
cond-mat/0108396,cond-mat/0111314
cond-mat/0106599,cond-mat/0112079
cond-mat/0610621,cond-mat/0511293
cond-mat/0409527,cond-mat/0511293
cond-mat/0401653,cond-mat/0511293
cond-mat/0112079,cond-mat/0511293
cond-mat/9901214,cond-mat/9907326
cond-mat/0201282,cond-mat/0302550
cond-mat/0401592,cond-mat/0311284
cond-mat/0311522,cond-mat/0403710
cond-mat/0109386,cond-mat/0110531
cond-mat/0302196,cond-mat/0402031
cond-mat/0111314,cond-mat/0201282
cond-mat/0108396,cond-mat/0201282
cond-mat/0202397,cond-mat/0205453
cond-mat/0109436,cond-mat/0103458
cond-mat/0204404,cond-mat/0103458
cond-mat/0208214,cond-mat/0208155
cond-mat/0208155,cond-mat/0208214
cond-mat/0311284,cond-mat/0401592
cond-mat/0603103,cond-mat/0603104
cond-mat/0504407,cond-mat/0606397
cond-mat/0108396,cond-mat/0111045
cond-mat/0310472,cond-mat/0308320
cond-mat/0309191,cond-mat/0308320
cond-mat/0406030,cond-mat/0402153
cond-mat/0408115,cond-mat/0402153
cond-mat/0603104,cond-mat/0603103
cond-mat/0208155,cond-mat/0211031
cond-mat/0208214,cond-mat/0211031
cond-mat/9804056,cond-mat/9910066
cond-mat/0111314,cond-mat/0505215
cond-mat/0405484,cond-mat/0505215
cond-mat/9909188,cond-mat/9909364
cond-mat/9811039,cond-mat/9909364
cond-mat/0602137,cond-mat/0703793
cond-mat/0703697,cond-mat/0701396
cond-mat/0612640,cond-mat/0701396
cond-mat/9811079,cond-mat/9809136
cond-mat/9911148,cond-mat/0004027
cond-mat/0606397,cond-mat/0504407
cond-mat/0406030,cond-mat/0408115
cond-mat/0402153,cond-mat/0408115
cond-mat/0111314,cond-mat/0201411
cond-mat/0111045,cond-mat/0201411
cond-mat/0401592,cond-mat/0404035
cond-mat/0112190,cond-mat/0106331
cond-mat/0703793,cond-mat/0602137
cond-mat/0103458,cond-mat/0204404
cond-mat/0310368,cond-mat/0406436
cond-mat/0401231,cond-mat/0406436
cond-mat/0009337,cond-mat/0009227
cond-mat/0303149,cond-mat/0309191
cond-mat/0308320,cond-mat/0309191
cond-mat/0110531,cond-mat/0109386
nucl-th/0010028,nucl-th/0010027
cond-mat/0512003,cond-mat/0509225
cond-mat/0701396,cond-mat/0703697
cond-mat/0611307,cond-mat/0606245
cond-mat/0606245,cond-mat/0611307
physics/0303046,cond-mat/0304167
cond-mat/0405363,cond-mat/0407245
cond-mat/0304167,physics/0303046
cond-mat/0209664,cond-mat/0209663
cond-mat/0209663,cond-mat/0209664
cond-mat/0511221,cond-mat/0601343
cond-mat/9910066,cond-mat/0002464
cond-mat/0002409,cond-mat/0002464
cond-mat/9711184,cond-mat/9711170
cond-mat/0508506,cond-mat/0601216
cond-mat/9711170,cond-mat/9711184
cond-mat/0601216,cond-mat/0508506
nucl-th/0010027,nucl-th/0010028
cond-mat/0509225,cond-mat/0512003
cond-mat/0412275,cond-mat/0406680
cond-mat/0407245,cond-mat/0405363
cond-mat/0504764,cond-mat/0505482
cond-mat/0406680,cond-mat/0412275
cond-mat/0505482,cond-mat/0504764
cond-mat/0601343,cond-mat/0511221
cond-mat/0106331,cond-mat/0112190
cond-mat/0607009,cond-mat/0607349
cond-mat/0506735,cond-mat/0607349
cond-mat/9809136,cond-mat/9811079
cond-mat/0506735,cond-mat/0607009
cond-mat/0107241,cond-mat/0310099
cond-mat/9702249,cond-mat/9710138
cond-mat/0103458,cond-mat/0109436
cond-mat/9909364,cond-mat/9909188
cond-mat/0011050,cond-mat/0011372
cond-mat/0510083,cond-mat/0505487
cond-mat/0008407,cond-mat/0010310
cond-mat/0005207,cond-mat/0006283
cond-mat/0307379,cond-mat/0501535
cond-mat/0508255,cond-mat/0603380
cond-mat/0111314,cond-mat/0603380
cond-mat/0106544,cond-mat/0107241
cond-mat/0310368,cond-mat/0405001
cond-mat/0401231,cond-mat/0405001
cond-mat/0207299,cond-mat/0207683
cond-mat/0701396,cond-mat/0612640
cond-mat/0703697,cond-mat/0612640
cond-mat/0609688,cond-mat/0609633
cond-mat/9907346,cond-mat/0001398
cond-mat/0505487,cond-mat/0510083
cond-mat/0503445,cond-mat/0510083
cond-mat/0203020,cond-mat/0412556
cond-mat/0201229,cond-mat/0203404
cond-mat/0111314,cond-mat/0203404
physics/0411038,physics/0504172
cond-mat/0201126,cond-mat/0207299
cond-mat/0302550,cond-mat/0308571
cond-mat/0607654,cond-mat/0610057
cond-mat/0603530,cond-mat/0610057
cond-mat/0603428,cond-mat/0610057
cond-mat/0603530,cond-mat/0606372
cond-mat/0209064,cond-mat/0207542
cond-mat/0303350,cond-mat/0304557
cond-mat/0207683,cond-mat/0209256
cond-mat/0207299,cond-mat/0209256
cond-mat/0207542,cond-mat/0209256
cond-mat/0404349,cond-mat/0412017
cond-mat/0606372,cond-mat/0603530
cond-mat/0605637,cond-mat/0607418
cond-mat/0111314,cond-mat/0201229
cond-mat/0409563,cond-mat/0411667
cond-mat/0609633,cond-mat/0609688
cond-mat/9808165,cond-mat/0003271
cond-mat/0611221,cond-mat/0608229
cond-mat/9807004,cond-mat/9901009
cond-mat/9806378,cond-mat/9808137
cond-mat/0404035,cond-mat/0409524
cond-mat/0112404,cond-mat/0207318
cond-mat/0409333,cond-mat/0506079
cond-mat/0505215,cond-mat/0508255
cond-mat/0405001,cond-mat/0405003
cond-mat/0208241,cond-mat/0401653
cond-mat/0608229,cond-mat/0602194
cond-mat/0308320,cond-mat/0310472
cond-mat/0508617,cond-mat/0610241
cond-mat/0403435,cond-mat/0405565
cond-mat/0203404,cond-mat/0206347
cond-mat/0201411,cond-mat/0206347
cond-mat/0609637,cond-mat/0610413
cond-mat/0304289,cond-mat/0307144
cond-mat/0409563,cond-mat/0410722
cond-mat/0206485,cond-mat/0209039
cond-mat/0111045,cond-mat/0204092
cond-mat/0104098,cond-mat/0111392
cond-mat/0109386,cond-mat/0203103
cond-mat/0602194,cond-mat/0611221
cond-mat/0406540,cond-mat/0406379
cond-mat/0406379,cond-mat/0406540
cond-mat/0210402,cond-mat/0407530
cond-mat/0309191,cond-mat/0312287
hep-ph/9809420,hep-ph/9909528
cond-mat/0111254,cond-mat/0403468
cond-mat/0308179,cond-mat/0308173
cond-mat/0308173,cond-mat/0308179
cond-mat/0104253,cond-mat/0106483
cond-mat/0211244,cond-mat/0304350
cond-mat/0603642,cond-mat/0605539
cond-mat/0401653,cond-mat/0605539
cond-mat/0208241,cond-mat/0605539
cond-mat/0603305,cond-mat/0605539
cond-mat/0005247,cond-mat/0006210
cond-mat/0004027,cond-mat/0002082
cond-mat/0205619,cond-mat/0207601
cond-mat/0611026,cond-mat/0608305
cond-mat/0604590,cond-mat/0609226
cond-mat/0511256,cond-mat/0609226
cond-mat/0409078,cond-mat/0511626
cond-mat/0002464,cond-mat/0011090
cond-mat/0611714,cond-mat/0611693
cond-mat/0105430,cond-mat/0211581
cond-mat/0310099,cond-mat/0401579
cond-mat/9901214,cond-mat/0003065
cond-mat/0001147,cond-mat/0003065
cond-mat/0610057,cond-mat/0701347
cond-mat/0508617,cond-mat/0701614
cond-mat/0301084,cond-mat/0305331
cond-mat/0108355,cond-mat/0111198
cond-mat/0109127,cond-mat/0111244
cond-mat/0207542,cond-mat/0209064
cond-mat/0209256,cond-mat/0302036
cond-mat/0207683,cond-mat/0302036
cond-mat/0106483,cond-mat/0607654
cond-mat/0106058,cond-mat/0112404
cond-mat/0508137,cond-mat/0509346
cond-mat/0208214,cond-mat/0309623
cond-mat/9910066,cond-mat/0002409
cond-mat/0003472,cond-mat/0007438
cond-mat/0304133,cond-mat/0304474
cond-mat/0011372,cond-mat/0112287
cond-mat/0101389,cond-mat/0112287
cond-mat/0106150,cond-mat/0110657
cond-mat/0110656,cond-mat/0110657
cond-mat/0304350,cond-mat/0211244
cond-mat/0509346,cond-mat/0508137
cond-mat/0010310,cond-mat/0008407
cond-mat/0112336,cond-mat/0205619
cond-mat/0104253,cond-mat/0105389
cond-mat/0503445,cond-mat/0505565
cond-mat/0208200,cond-mat/0307770
cond-mat/0208201,cond-mat/0307770
cond-mat/0411148,cond-mat/0504180
cond-mat/0304474,cond-mat/0304133
cond-mat/9811079,cond-mat/9812344
cond-mat/9809136,cond-mat/9812344
cond-mat/9811039,cond-mat/9812344
cond-mat/0502386,cond-mat/0507228
cond-mat/0206523,cond-mat/0303276
cond-mat/0110531,cond-mat/0301501
cond-mat/0504142,cond-mat/0508732
cond-mat/0602024,cond-mat/0605359
cond-mat/0110657,cond-mat/0110656
hep-ph/9909528,hep-ph/9809420
cond-mat/0201282,cond-mat/0202071
cond-mat/0201229,cond-mat/0202071
cond-mat/0201411,cond-mat/0202071
cond-mat/0111314,cond-mat/0202071
cond-mat/0208200,cond-mat/0208201
cond-mat/0007079,cond-mat/0008155
cond-mat/0605539,cond-mat/0610621
cond-mat/0409078,cond-mat/0606081
cond-mat/0304289,cond-mat/0403369
cond-mat/0001398,cond-mat/0102024
cond-mat/0211244,cond-mat/0308090
cond-mat/0304350,cond-mat/0308090
cond-mat/0506777,cond-mat/0508005
cond-mat/0106483,cond-mat/0109251
cond-mat/0104253,cond-mat/0109251
cond-mat/0105389,cond-mat/0105461
cond-mat/0508530,cond-mat/0602647
cond-mat/0103161,cond-mat/0103287
cond-mat/0603333,cond-mat/0603642
cond-mat/0008089,cond-mat/0306347
cond-mat/0111045,cond-mat/0203119
cond-mat/0201282,cond-mat/0203119
cond-mat/0111314,cond-mat/0203119
cond-mat/0202071,cond-mat/0204209
cond-mat/0111314,cond-mat/0204209
cond-mat/0412017,cond-mat/0504755
cond-mat/0508617,cond-mat/0609347
cond-mat/0607394,cond-mat/0612534
cond-mat/0507156,cond-mat/0601161
cond-mat/0106606,cond-mat/0208381
cond-mat/0004460,cond-mat/0208381
cond-mat/0005013,cond-mat/0111420
cond-mat/0004027,cond-mat/0111420
cond-mat/0403468,cond-mat/0503710
cond-mat/0407628,cond-mat/0503247
cond-mat/0603717,cond-mat/0703374
cond-mat/0607394,cond-mat/0703374
cond-mat/0006210,cond-mat/0006388
cond-mat/9811039,cond-mat/9909158
cond-mat/0111314,cond-mat/0309547
cond-mat/0508091,cond-mat/0512561
cond-mat/0508005,cond-mat/0512330
cond-mat/0511626,cond-mat/0512177
cond-mat/0503445,cond-mat/0511574
cond-mat/0509326,cond-mat/0511095
cond-mat/0401231,cond-mat/0510842
cond-mat/0506079,cond-mat/0510485
cond-mat/0507697,cond-mat/0510276
cond-mat/0506079,cond-mat/0510276
cond-mat/0503247,cond-mat/0509574
cond-mat/0505215,cond-mat/0507187
cond-mat/0505583,cond-mat/0506745
cond-mat/0101363,cond-mat/0506462
cond-mat/0310099,cond-mat/0506353
cond-mat/0406343,cond-mat/0506393
cond-mat/0412510,cond-mat/0505331
cond-mat/0407530,cond-mat/0504512
cond-mat/0410448,cond-mat/0504438
cond-mat/0111254,cond-mat/0503750
cond-mat/0403468,cond-mat/0503750
cond-mat/0503710,cond-mat/0503750
cond-mat/0412571,cond-mat/0502381
cond-mat/0409324,cond-mat/0502227
cond-mat/0302550,cond-mat/0501165
cond-mat/0308571,cond-mat/0501165
cond-mat/0406320,cond-mat/0411698
cond-mat/0410456,cond-mat/0411271
cond-mat/0406571,cond-mat/0410507
cond-mat/0407057,cond-mat/0407686
cond-mat/0403369,cond-mat/0407609
cond-mat/0304289,cond-mat/0407609
cond-mat/0407257,cond-mat/0407256
cond-mat/0403153,cond-mat/0406203
cond-mat/0312156,cond-mat/0404502
cond-mat/0310067,cond-mat/0404345
cond-mat/0111045,cond-mat/0404304
cond-mat/0307152,cond-mat/0403494
cond-mat/0204209,cond-mat/0403105
cond-mat/0402201,cond-mat/0402630
cond-mat/0401636,cond-mat/0402638
cond-mat/0204404,cond-mat/0401221
cond-mat/0307320,cond-mat/0312441
cond-mat/0304322,cond-mat/0312275
cond-mat/0303276,cond-mat/0312100
cond-mat/0309547,cond-mat/0311029
cond-mat/0111045,cond-mat/0311029
cond-mat/0111314,cond-mat/0311029
cond-mat/0211581,cond-mat/0310151
cond-mat/0208239,cond-mat/0310098
cond-mat/0305331,cond-mat/0309162
cond-mat/0302036,cond-mat/0309066
cond-mat/0206485,cond-mat/0308463
cond-mat/0307145,cond-mat/0307707
cond-mat/0307144,cond-mat/0307513
cond-mat/0304289,cond-mat/0307513
cond-mat/0212136,cond-mat/0307361
cond-mat/0110488,cond-mat/0306275
cond-mat/0111262,cond-mat/0304416
cond-mat/0206129,cond-mat/0304117
cond-mat/0211031,cond-mat/0303260
cond-mat/0208214,cond-mat/0303260
cond-mat/0208155,cond-mat/0303260
cond-mat/0301501,cond-mat/0303004
cond-mat/0207318,cond-mat/0301419
cond-mat/0212136,cond-mat/0212343
cond-mat/0207318,cond-mat/0210581
cond-mat/0208381,cond-mat/0210243
cond-mat/0106606,cond-mat/0210243
cond-mat/0004460,cond-mat/0210243
cond-mat/9910404,cond-mat/0208547
cond-mat/0112079,cond-mat/0208547
cond-mat/0203404,cond-mat/0207287
cond-mat/0111314,cond-mat/0207287
cond-mat/0108262,cond-mat/0206401
cond-mat/0112336,cond-mat/0206155
cond-mat/0109386,cond-mat/0203619
cond-mat/0203103,cond-mat/0203619
cond-mat/0110531,cond-mat/0203619
cond-mat/0111392,cond-mat/0204015
cond-mat/0201229,cond-mat/0203080
cond-mat/0201411,cond-mat/0203080
cond-mat/0111300,cond-mat/0203080
cond-mat/0111314,cond-mat/0203080
cond-mat/0112255,cond-mat/0201263
cond-mat/0111392,cond-mat/0201093
cond-mat/0111138,cond-mat/0112141
cond-mat/9905209,cond-mat/0111263
cond-mat/0109251,cond-mat/0111230
cond-mat/0105210,cond-mat/0108384
cond-mat/0011352,cond-mat/0108384
cond-mat/0101070,cond-mat/0108208
cond-mat/0112287,cond-mat/0108245
cond-mat/0105430,cond-mat/0107630
cond-mat/0105330,cond-mat/0105628
cond-mat/0008089,cond-mat/0012274
cond-mat/0011090,cond-mat/0011122
cond-mat/0009337,cond-mat/0009430
cond-mat/0008155,cond-mat/0009284
cond-mat/0007079,cond-mat/0009284
cond-mat/9911148,cond-mat/0001179
cond-mat/9905052,cond-mat/9909247
cond-mat/9811039,cond-mat/9909142
cond-mat/9904341,cond-mat/9908196
cond-mat/9905133,cond-mat/9907362
cond-mat/9812344,cond-mat/9904028
physics/0411038,physics/0506219
physics/0504172,physics/0506219
