id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0511293,Electronic Structure Calculations using Dynamical Mean Field Theory,9.204141593451451e-05,4.1813347642495406e-05,37.0,10.0
hep-th/0612003,Effective Action of Domain Wall Networks,6.402986011075547e-05,6.528612011733026e-07,121.0,2.0
cond-mat/0001147,"Magnetic Susceptibilities of Spin-1/2 Antiferromagnetic Heisenberg
  Ladders and Applications to Ladder Oxide Compounds",5.595434161822344e-05,0.000180927500456,53.0,37.0
cond-mat/0311029,Disorder effects in diluted magnetic semiconductors,2.943748797924349e-05,0.0,26.0,0.0
cond-mat/0212140,"Energy spectra and eigenstates of quasiperiodic tight-binding
  Hamiltonians",2.7352795048055272e-05,0.0,23.0,2.0
cond-mat/0605539,"Dynamical mean-field theory using Wannier functions: a flexible route to
  electronic structure calculations of strongly correlated materials",2.1505887147904087e-05,1.990182755160072e-06,11.0,1.0
cond-mat/0003271,"Thermodynamics of Spin S = 1/2 Antiferromagnetic Uniform and
  Alternating-Exchange Heisenberg Chains",1.853783668520809e-05,1.0282115831323268e-06,19.0,3.0
cond-mat/0304350,"On the (anisotropic) uniform metallic ground states of fermions
  interacting through arbitrary two-body potentials in d dimensions",1.7819755034452854e-05,2.925584883307001e-06,12.0,3.0
cond-mat/0108384,"Theory of High \tc Ferromagnetism in $SrB_6$ family: A case of Doped
  Spin-1 Mott insulator in a Valence Bond Solid Phase",1.7679277463674545e-05,0.0,8.0,0.0
cond-mat/0610621,"Theory of quasiparticle spectra for Fe, Co, and Ni: bulk and surface",1.755646968679901e-05,0.0,1.0,1.0
cond-mat/0110657,Vacancy diffusion in the Cu(001) surface II: Random walk theory,1.753351486075828e-05,0.0,5.0,1.0
cond-mat/0101390,"Monte Carlo determination of the phase diagram of the double-exchange
  model",1.7496479361715327e-05,0.0,3.0,0.0
cond-mat/0606081,"Quasiparticle band structure of infinite hydrogen fluoride and hydrogen
  chloride chains",1.7341667439744537e-05,0.0,7.0,1.0
cond-mat/0605169,Fermion pairing with spin-density imbalance in an optical lattice,1.64039252464753e-05,1.5221106851930855e-06,11.0,1.0
cond-mat/0111263,Extrinsic Magnetotransport Phenomena in Ferromagnetic Oxides,1.6299421364298668e-05,0.0,9.0,0.0
cond-mat/0505487,Conductance oscillations in zigzag platinum chains,1.596946936433162e-05,0.0,2.0,3.0
cond-mat/0012100,Tribological Behavior of Very Thin Confined Films,1.530482123025472e-05,0.0,4.0,0.0
cond-mat/0503750,"The Landau-Lifshitz/Looyenga dielectric mixture expression and its
  self-similar fractal nature",1.4789824897991052e-05,0.0,6.0,0.0
cond-mat/0207318,"Pressure-dependence of electron-phonon coupling and the superconducting
  phase in hcp Fe - a linear response study",1.460494068935074e-05,3.980365510320144e-06,5.0,2.0
cond-mat/0510083,The Smeagol method for spin- and molecular-electronics,1.4425440397697172e-05,0.0,10.0,1.0
cond-mat/0203245,"Magnetoresistances observed by decomposition of the magnetic moment in
  La1-xCaxMnO3 films",1.4335376214690854e-05,0.0,2.0,0.0
cond-mat/0608474,Clustering induced suppression of ferromagnetism in diluted magnets,1.4232371719448711e-05,0.0,4.0,0.0
cond-mat/0611147,Unusual field and temperature dependence of Hall effect in graphene,1.4038545498418216e-05,0.0,10.0,0.0
cond-mat/0005173,First Steps in Glass Theory,1.3819535351954446e-05,7.491920571854901e-06,22.0,7.0
cond-mat/0010310,Aharonov-Bohm effect of excitons in nano-rings,1.324444369892745e-05,0.0,6.0,3.0
cond-mat/0611265,"Current distribution in systems with anomalous diffusion:
  renormalisation group approach",1.3050368379395309e-05,0.0,3.0,0.0
cond-mat/0701754,"Low-temperature phase transformations of PZT in the morphotropic
  phase-boundary region",1.2736890332857097e-05,0.0,1.0,0.0
cond-mat/0001075,Near-Field Microwave Microscopy of Materials Properties,1.2716811265351246e-05,0.0,10.0,0.0
cond-mat/0608707,Electromagnons in multiferroic YMn2O5 and TbMn2O5,1.2258757998619255e-05,0.0,4.0,0.0
cond-mat/0510835,"The Topological Non-connectivity Threshold and magnetic phase
  transitions in classical anisotropic long-range interacting spin system",1.2114691788476257e-05,0.0,8.0,0.0
cond-mat/0603347,Phase transitions in random magnetic bilayer,1.1915527766733584e-05,0.0,2.0,0.0
cond-mat/0509574,Current-induced motion of a domain wall in magnetic nanowires,1.1887857197824803e-05,0.0,7.0,0.0
cond-mat/0703590,Excited states from time-dependent density functional theory,1.1649285037004108e-05,0.0,5.0,0.0
cond-mat/0308090,"On the break in the single-particle energy dispersions and the
  `universal' nodal Fermi velocity in the high-temperature copper-oxide
  superconductors",1.1550646365557804e-05,9.926160258945134e-07,10.0,1.0
cond-mat/0510329,"The effect of magnetic impurities in a two-band superconductor: A
  point-contact study of Mn-substituted MgB2 single crystals",1.1537020704296687e-05,0.0,2.0,1.0
cond-mat/0110656,Vacancy diffusion in the Cu(001) surface I: An STM study,1.1489567259249096e-05,0.0,2.0,1.0
cond-mat/0309066,"Vibrational properties of hexagonal LiBC: Infrared and Raman
  spectroscopy",1.1397778671803504e-05,0.0,3.0,0.0
cond-mat/0610201,Transport regimes in surface disordered graphene sheets,1.1252203751348813e-05,6.1598827723745045e-06,6.0,2.0
cond-mat/0607418,General Relativity in Electrical Engineering,1.113147442603618e-05,0.0,3.0,1.0
cond-mat/0304416,Two band gap field-dependent thermal conductivity of $MgB_2$,1.1119624423010277e-05,0.0,13.0,0.0
cond-mat/0207601,Dynamical properties of vibrofluidized granular mixtures,1.102330328502161e-05,0.0,6.0,2.0
cond-mat/0503513,Charge and spin density modulations in semiconductor quantum wires,1.0919626282408985e-05,0.0,5.0,0.0
cond-mat/0112508,Whither Correlated Electron Theory?,1.086238800430313e-05,0.0,5.0,0.0
cond-mat/0504574,Density minimum and liquid-liquid phase transition,1.0803815979107977e-05,0.0,3.0,1.0
cond-mat/0403105,"Dielectric Function of Diluted Magnetic Semiconductors in the Infrared
  Regime",1.077171271116613e-05,0.0,4.0,0.0
cond-mat/0508732,"Current induced transverse spin-wave instability in thin ferromagnets:
  beyond linear stability analysis",1.0507149490162803e-05,0.0,6.0,1.0
cond-mat/0410722,"The different development of the anisotropic upper critical field in
  MgB2 by aluminum and carbon doping",1.0325954844859306e-05,2.009278325305531e-06,5.0,2.0
cond-mat/0010347,"The universal behavior of one-dimensional, multi-species branching and
  annihilating random walks with exclusion",1.0250417608838522e-05,0.0,8.0,0.0
cond-mat/0512330,"Recent progress in first-principles studies of magnetoelectric
  multiferroics",1.022479840960164e-05,0.0,3.0,0.0
cond-mat/0505241,"Interorbital charge transfers and Fermi-surface deformations in strongly
  correlated metals: models, BaVS$_3$ and Na$_{x}$CoO$_2$",1.022343963233825e-05,0.0,5.0,1.0
cond-mat/0609226,"Mechanical and Dielectric Response of PZT and Tetragonal to Monoclinic
  Phase Transition: I. Theory",1.0165346049660076e-05,1.990182755160072e-06,5.0,1.0
cond-mat/0111230,"Critical Temperature Tc versus Charging Energy Ec in
  Molecular-Intercalated Fullerenes",1.0119862294372767e-05,0.0,3.0,0.0
cond-mat/0412505,Strong Coupling Solver for the Quantum Impurity Model,1.0084519807406344e-05,1.990182755160072e-06,3.0,1.0
cond-mat/0410069,What does intrinsic tunnelling spectroscopy really examine?,1.0035981464025362e-05,3.980365510320144e-06,8.0,1.0
cond-mat/0403548,"Magnetic characterization of the frustrated three-leg ladder compound
  [(CuCl2tachH)3Cl]Cl2",9.919513451922902e-06,0.0,2.0,2.0
cond-mat/0610057,"Combining the advantages of superconducting MgB2 and CaC6 in one
  material: suggestions from first-principles calculations",9.68438922914318e-06,5.970548265480216e-06,3.0,2.0
cond-mat/0011122,Soft Phonon Anomalies in Relaxor Ferroelectrics,9.645560145221256e-06,0.0,1.0,0.0
cond-mat/0210318,Theoretical models of ferromagnetic III-V semiconductors,9.586474110592438e-06,1.1085908992190832e-07,6.0,1.0
cond-mat/0602112,"Half-metallic ferromagnetism induced by dynamic electron correlations in
  VAs",9.500351194171348e-06,0.0,3.0,0.0
cond-mat/0304474,Subwavelength imaging by a left-handed material superlens,9.498695879533651e-06,0.0,4.0,1.0
cond-mat/0610857,Local fluctuations in the aging of a simple glass,9.396453296905387e-06,0.0,12.0,1.0
cond-mat/0603534,Damped Soft Phonons and Diffuse Scattering in 40PMN-60PT,9.379002847531143e-06,0.0,4.0,0.0
cond-mat/0407257,Thermal transport in antiferromagnetic spin-chain materials,9.2936232268918e-06,7.960731020640288e-06,2.0,2.0
cond-mat/0112404,Raman Scattering of Metals to Very High Pressures,9.208520364921802e-06,5.970548265480216e-06,2.0,1.0
cond-mat/0309623,"Continuum limit of amorphous elastic bodies (II): Response to a point
  source",9.169860655137378e-06,0.0,5.0,1.0
cond-mat/0703196,Spin transverse force and quantum transverse transport,9.137526562661872e-06,0.0,5.0,0.0
cond-mat/0408115,"Phenomenological models of dielectric functions and screened Coulomb
  potential",9.118420389799552e-06,1.0946005153380396e-05,5.0,2.0
cond-mat/0006239,Real-Space Mesh Techniques in Density Functional Theory,9.111774774101171e-06,0.0,4.0,0.0
cond-mat/0202171,Response functions of gapped spin systems in high magnetic field,9.086242441631372e-06,3.5362166936035393e-08,2.0,1.0
cond-mat/0502232,"Evidence for a smooth superconductor to normal state transition for
  nonzero applied magnetic field in RbOs2O6",9.072630152672871e-06,0.0,2.0,0.0
cond-mat/0701162,Electron scattering from a mesoscopic disk in Rashba system,9.06119805556113e-06,0.0,9.0,0.0
quant-ph/0501122,"Van der Waals interaction between microparticle and uniaxial crystal
  with application to hydrogen atoms and multiwall carbon nanotubes",8.98972252945699e-06,0.0,3.0,0.0
cond-mat/9901214,"Exchange interactions and magnetic properties of the layered vanadates
  CaV2O5, MgV2O5, CaV3O7 and CaV4O9",8.984607563755146e-06,0.0,5.0,5.0
hep-th/0505218,Casimir effect for thin films from imperfect materials,8.961261605126368e-06,1.990182755160072e-06,1.0,1.0
cond-mat/0605239,Molecular-Spintronics: the art of driving spin through molecules,8.958546554756343e-06,0.0,6.0,0.0
cond-mat/0212136,Left handed materials,8.902683781638894e-06,0.0,9.0,2.0
cond-mat/9905248,"Fluctuations, response and aging dynamics in a simple glass-forming
  liquid out of equilibrium",8.835728251238032e-06,1.9284165675500154e-05,8.0,6.0
cond-mat/0210243,"High temperature specific heat and magnetic measurements in
  Nd0.5Sr0.5MnO3 and R0.5Ca0.5MnO3 (R=Nd, Sm, Dy and Ho) samples",8.761470339441656e-06,0.0,5.0,0.0
cond-mat/0203404,"Impurity-Semiconductor Band Hybridization Effects on the Critical
  Temperature of Diluted Magnetic Semiconductors",8.755172770524356e-06,3.5554219662128566e-05,7.0,4.0
cond-mat/0611026,"Athermal Shear-Transformation-Zone Theory of Amorphous Plastic
  Deformation II: Analysis of Simulated Amorphous Silicon",8.695461132256746e-06,5.970548265480216e-06,1.0,2.0
cond-mat/0502351,"Sign Changes of Intrinsic Spin Hall Effect in Semiconductors and Simple
  Metals: First-Principles Calculations",8.662895382375807e-06,2.0014632864126675e-06,9.0,3.0
cond-mat/0401619,"Insulator to Metal Transition Induced by Disorder in a Model for
  Manganites",8.605925131403159e-06,3.996567812261746e-06,3.0,3.0
cond-mat/0111244,"The interplay between double exchange, super-exchange, and Lifshitz
  localization in doped manganites",8.59833018982051e-06,3.962013332670034e-05,5.0,2.0
cond-mat/0502005,Spin Polarization and Dichroism Effects by Electric Field,8.589946288862724e-06,0.0,7.0,1.0
cond-mat/0207491,"Optical Properties of Layered Superconductors near the Josephson Plasma
  Resonance",8.50107259623705e-06,0.0,2.0,1.0
cond-mat/0405707,"Work and heat fluctuations in two-state systems: a trajectory
  thermodynamics formalism",8.490479328479513e-06,0.0,8.0,0.0
cond-mat/0308108,Magnetic and orbital order in overdoped bilayer manganites,8.46527976160636e-06,0.0,6.0,0.0
cond-mat/0208155,Anisotropic elastic theory of preloaded granular media,8.392032619658367e-06,5.373493438932194e-05,4.0,6.0
cond-mat/0307770,"Is Room Temperature Superconductivity in Carbon Nanotubes Too Wonderful
  to Believe?",8.343220238541139e-06,0.0,6.0,2.0
