id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0606771,"Ultracold atomic gases in optical lattices: mimicking condensed matter
  physics and beyond",7.970681459008962e-05,0.000176218172033,70.0,37.0
cond-mat/0703766,Fundamental noise in matter interferometers,7.430240685848463e-05,5.27722008658782e-06,24.0,3.0
cond-mat/0507256,"Bose - Einstein Condensate Superfluid-Mott Insulator Transition in an
  Optical Lattice",6.304463312786123e-05,5.591936747757834e-06,37.0,2.0
cond-mat/0410417,Universality in Few-body Systems with Large Scattering Length,6.178184100335142e-05,0.0002989902253399,91.0,46.0
cond-mat/0602345,"Numerical Modeling of Coexistence, Competition and Collapse of Rotating
  Spiral Waves in Three-Level Excitable Media with Discrete Active Centers and
  Absorbing Boundaries",5.919188876086369e-05,0.0,10.0,0.0
cond-mat/0703465,Unitary Fermi gas in the epsilon expansion,5.04136081670071e-05,2.6070592009989773e-05,94.0,1.0
hep-ph/0702245,Magnetic strings as part of Yang-Mills plasma,5.010159513664301e-05,0.0,28.0,0.0
quant-ph/0609178,"Coexistence of unlimited bipartite and genuine multipartite
  entanglement: Promiscuous quantum correlations arising from discrete to
  continuous variable systems",4.720848124746504e-05,1.852810879226397e-05,5.0,4.0
cond-mat/0607835,Fermi gas near unitarity around four and two spatial dimensions,4.409497842610911e-05,2.466281270998181e-05,4.0,12.0
quant-ph/0611035,"Determination of ground state properties in quantum spin systems by
  single qubit unitary operations and entanglement excitation energies",3.926335865251154e-05,0.0,2.0,1.0
cond-mat/0410460,"A Computational Study of Rotating Spiral Waves and Spatio-Temporal
  Transient Chaos in a Deterministic Three-Level Active System",3.90067361630225e-05,1.990182755160072e-06,24.0,1.0
quant-ph/0605112,Area law and vacuum reordering in harmonic networks,3.671368393967909e-05,0.0001198259834895,57.0,4.0
cond-mat/0508240,"Gauge-invariant Effective Action for the Dynamics of Bose-Einstein
  condensates with a fixed number of atoms",3.584958505179545e-05,2.1161899641650773e-05,11.0,2.0
hep-th/0607152,Notes on Collective Field Theory of Matrix and Spin Calogero Models,3.508007792014419e-05,1.8967143997068543e-06,39.0,3.0
math-ph/0703048,"Conservation Laws and Hamilton's Equations for Systems with Long-Range
  Interaction and Memory",3.228056074218865e-05,0.0,15.0,0.0
cond-mat/0603273,Ultracold atomic Bose and Fermi spinor gases in optical lattices,2.8305624815946317e-05,2.771084555996615e-05,21.0,9.0
hep-th/0607033,Physics and Mathematics of Calogero particles,2.7778336262898505e-05,3.1935319537230444e-06,37.0,5.0
cond-mat/0508388,Hydraulic Jump in One-dimensional Flow,2.745068383724543e-05,0.0,2.0,1.0
cond-mat/0505181,"Short-range coherence of a lattice Bose atom gas in the Mott insulating
  phase",2.5439586477010048e-05,1.966037155557027e-06,5.0,2.0
quant-ph/0607188,Symmetries and noise in quantum walk,2.541999862143836e-05,1.990182755160072e-06,5.0,1.0
hep-th/0606256,Universal terms for the entanglement entropy in 2+1 dimensions,2.535054771216607e-05,2.667851963595028e-05,40.0,5.0
math-ph/0611061,"Admissible Transformations and Normalized Classes of Nonlinear
  Schroedinger Equations",2.515835370367609e-05,0.0,13.0,0.0
quant-ph/0611271,Entanglement entropy and the simulation of Quantum Mechanics,2.406752181665348e-05,0.0,20.0,0.0
cond-mat/0607730,Normal state of a polarized Fermi gas at unitarity,2.329393250176109e-05,1.414184593847756e-06,12.0,2.0
cond-mat/0509161,"Extended Bose Hubbard model of interacting bosonic atoms in optical
  lattices: from superfluidity to density waves",2.2876563503584783e-05,1.883739282218597e-06,7.0,1.0
cond-mat/0604115,"Conditions of Low Dimensionality for Strongly Interacting Atoms Under a
  Transverse Trap",2.2068891808452948e-05,0.0,4.0,0.0
hep-th/0504202,Finite Volume Gauge Theory Partition Functions in Three Dimensions,2.0937444471845623e-05,7.72973428689217e-08,38.0,2.0
quant-ph/0501110,Entanglement and majorization in (1+1)-dimensional quantum systems,2.027357375110605e-05,0.0001816731246919,18.0,8.0
cond-mat/0608452,Temporal dynamics of tunneling. Hydrodynamic approach,1.986689169819527e-05,0.0,3.0,0.0
cond-mat/0607491,"Collective modes as a probe of the equation of state for partially
  polarized Fermi gases",1.9354513719778703e-05,2.499951287658288e-06,26.0,1.0
cond-mat/0602119,"Effect of thermal fluctuations on spin degrees of freedom in spinor
  Bose-Einstein condensates",1.914459778895204e-05,1.9976088102166394e-06,6.0,2.0
quant-ph/0602096,Entanglement in Graph States and its Applications,1.913911785362329e-05,0.0001410577228169,35.0,36.0
cond-mat/0601604,"Thermal fluctuations of vortex clusters in quasi-two-dimensional
  Bose-Einstein condensate",1.9122221314095194e-05,4.9643178053153285e-06,8.0,2.0
cond-mat/0506622,"Multi-flavor bosonic Hubbard models in the first excited Bloch band of
  an optical lattice",1.907305627738817e-05,7.66108944857874e-06,8.0,4.0
cond-mat/0409179,"On distribution of number of trades in different time windows in the
  stock market",1.8919052887321655e-05,0.0,15.0,0.0
hep-ph/0505177,"Adventures in Theoretical Physics: Selected Papers of Stephen L. Adler
  -- Commentaries",1.8436945510132355e-05,2.7616303296341463e-05,16.0,11.0
cond-mat/0601269,Phase transitions in the boson-fermion resonance model in one dimension,1.81361127489885e-05,1.9629611670654582e-06,18.0,1.0
cond-mat/0606081,"Quasiparticle band structure of infinite hydrogen fluoride and hydrogen
  chloride chains",1.7341667439744537e-05,0.0,7.0,1.0
