source,target
cond-mat/0605684,cond-mat/0608454
cond-mat/0605039,cond-mat/0608454
cond-mat/0207599,cond-mat/0211604
cond-mat/0505689,cond-mat/0508603
cond-mat/0411090,cond-mat/0508603
cond-mat/0608454,cond-mat/0608662
cond-mat/0605039,cond-mat/0608662
cond-mat/0411090,cond-mat/0504394
cond-mat/0404274,cond-mat/0504394
cond-mat/0402383,cond-mat/0408104
cond-mat/0404274,cond-mat/0408104
cond-mat/0608662,cond-mat/0610274
cond-mat/0608454,cond-mat/0610274
cond-mat/0605039,cond-mat/0605684
cond-mat/0309329,cond-mat/0402383
cond-mat/0404274,cond-mat/0502087
cond-mat/0411090,cond-mat/0502087
cond-mat/0402383,cond-mat/0502087
cond-mat/0408104,cond-mat/0502087
cond-mat/0604476,cond-mat/0606155
cond-mat/0611104,cond-mat/0612103
cond-mat/0610274,cond-mat/0612103
cond-mat/0608662,cond-mat/0612103
cond-mat/0508603,cond-mat/0512596
cond-mat/0411090,cond-mat/0512596
cond-mat/0204129,cond-mat/0205474
cond-mat/0608611,cond-mat/0703011
cond-mat/0604476,cond-mat/0612415
cond-mat/0610274,cond-mat/0612268
cond-mat/0612103,cond-mat/0612268
quant-ph/0609133,cond-mat/0612213
cond-mat/0608662,cond-mat/0610006
