source,target
cond-mat/0404313,cond-mat/0410417
cond-mat/0004169,cond-mat/0010265
cond-mat/0405182,cond-mat/0405240
cond-mat/0308325,cond-mat/0405240
cond-mat/0209139,cond-mat/0205283
cond-mat/0210121,cond-mat/0205283
cond-mat/0311558,cond-mat/0403049
cond-mat/0107423,cond-mat/0108323
cond-mat/0308250,cond-mat/0310765
cond-mat/0302196,cond-mat/0402031
cond-mat/0309329,cond-mat/0402031
cond-mat/0312591,cond-mat/0505453
cond-mat/9904125,cond-mat/9906280
cond-mat/0402278,cond-mat/0407373
cond-mat/0309078,cond-mat/0311617
cond-mat/0007089,cond-mat/0007062
cond-mat/0308054,cond-mat/0308240
cond-mat/0203301,cond-mat/0209139
cond-mat/0205283,cond-mat/0209139
cond-mat/0108310,cond-mat/0209139
cond-mat/0007089,cond-mat/0009093
cond-mat/0007062,cond-mat/0009093
cond-mat/0106042,cond-mat/0106228
cond-mat/0009093,cond-mat/0007089
cond-mat/0007062,cond-mat/0007089
cond-mat/0505453,cond-mat/0312591
cond-mat/0409740,cond-mat/0312591
cond-mat/0008423,cond-mat/0101424
cond-mat/0005001,cond-mat/0101424
cond-mat/0305008,cond-mat/0308325
cond-mat/0403265,cond-mat/0401475
cond-mat/0403150,cond-mat/0401475
cond-mat/9910188,cond-mat/0004169
cond-mat/0208214,cond-mat/0208155
cond-mat/0208155,cond-mat/0208214
cond-mat/0307554,cond-mat/0401311
cond-mat/0403561,cond-mat/0404613
cond-mat/0103312,cond-mat/0104344
cond-mat/0403321,cond-mat/0403089
cond-mat/0205644,cond-mat/0304023
cond-mat/0210615,cond-mat/0304023
cond-mat/0307368,cond-mat/0305008
cond-mat/0301532,cond-mat/0305008
cond-mat/0505734,cond-mat/0508268
cond-mat/0504407,cond-mat/0606397
cond-mat/0305008,cond-mat/0307368
cond-mat/0306549,cond-mat/0307368
cond-mat/0104585,cond-mat/0310330
cond-mat/0311172,cond-mat/0311558
cond-mat/0005456,cond-mat/0103312
cond-mat/0104344,cond-mat/0103312
cond-mat/0304046,cond-mat/0308512
cond-mat/0108310,cond-mat/0203301
cond-mat/0404613,cond-mat/0403561
cond-mat/0007089,cond-mat/0102220
cond-mat/0102049,cond-mat/0102220
cond-mat/0306580,cond-mat/0307554
cond-mat/0508268,cond-mat/0505734
cond-mat/0606397,cond-mat/0504407
cond-mat/9701138,cond-mat/9701110
cond-mat/9701139,cond-mat/9701110
cond-mat/0109002,cond-mat/0105140
cond-mat/0307368,cond-mat/0307130
cond-mat/0305008,cond-mat/0307130
cond-mat/0107387,cond-mat/0108004
cond-mat/0702322,cond-mat/0404250
cond-mat/0608230,cond-mat/0404250
cond-mat/0109192,cond-mat/0109537
cond-mat/0607529,cond-mat/0607527
cond-mat/0607528,cond-mat/0607527
cond-mat/0208155,cond-mat/0308054
