id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0410417,Universality in Few-body Systems with Large Scattering Length,6.178184100335142e-05,0.0002989902253399,91.0,46.0
cond-mat/0408018,"Stochastic models of Lagrangian acceleration of fluid particle in
  developed turbulence",5.357327659636347e-05,1.028474877927202e-05,42.0,3.0
gr-qc/0703117,"Trans-Planckian physics and signature change events in Bose gas
  hydrodynamics",3.897403305869557e-05,4.860613620013942e-07,24.0,1.0
physics/0508215,The hydraulic jump as a white hole,3.507218448616137e-05,8.547092653076202e-08,8.0,1.0
cond-mat/0408048,"Thermal fluctuations in pinned elastic systems: field theory of rare
  events and droplets",3.3395164989500206e-05,6.612199145938859e-07,35.0,5.0
gr-qc/0612134,From Quantum Hydrodynamics to Quantum Gravity,2.858878898920868e-05,2.531995394316764e-06,15.0,3.0
cond-mat/0111519,"Dynamics and Configurational Entropy in the LW Model for Supercooled
  Orthoterphenyl",2.5688455859278445e-05,1.990182755160072e-06,9.0,1.0
cond-mat/0412581,Fixed-Connectivity Membranes,2.3677878389440872e-05,0.0,24.0,0.0
cond-mat/0106076,Statistical Theory for the Kardar-Parisi-Zhang Equation in 1+1 Dimension,2.3630069881960413e-05,0.0,41.0,0.0
cond-mat/0609593,A fluctuating environment as a source of periodic modulation,2.3525371809909635e-05,7.960731020640288e-06,1.0,1.0
cond-mat/0508614,Fluctuation pressure of a fluid membrane between walls through six loops,2.2985570603437165e-05,0.0,17.0,0.0
cond-mat/0202039,Potential Energy Landscape Equation of State,2.0952757277903944e-05,0.0,1.0,0.0
hep-th/0502057,Accelerating universes driven by bulk particles,2.037041205783756e-05,5.236587642034645e-06,52.0,6.0
cond-mat/0312415,"Conditional Lagrangian acceleration statistics in turbulent flows with
  Gaussian distributed velocities",2.010951299820084e-05,0.0,21.0,1.0
cond-mat/0411734,Sensitivity of the stress response function to packing preparation,1.968947869589763e-05,1.990182755160072e-06,5.0,2.0
cond-mat/0402135,Quantum phase transitions in two-dimensional systems,1.9278030339326728e-05,0.0,13.0,0.0
cond-mat/0211106,Hiking through glassy phases: physics beyond aging,1.7802015936342483e-05,7.131679552509473e-06,9.0,4.0
cond-mat/0509777,"Crystalline Particle Packings on a Sphere with Long Range Power Law
  Potentials",1.69906678780505e-05,8.199878704437421e-06,14.0,4.0
cond-mat/9910431,Mode-coupling theory for heteropolymers,1.68877474561246e-05,3.965513400207009e-06,5.0,2.0
gr-qc/0603093,Horizons and Ergoregions in Superfluids,1.664082009423885e-05,1.1338935042804795e-06,7.0,2.0
cond-mat/0608537,Transition to Superfluid Turbulence,1.6428739970824618e-05,1.6091711277986778e-07,6.0,2.0
cond-mat/9809238,Aspects of the Noisy Burgers Equation,1.6278254279383742e-05,3.980365510320144e-06,3.0,2.0
cond-mat/0404250,Spherical Vesicles Distorted by a Grafted Latex Bead: An Exact Solution,1.5970624685774952e-05,0.0,6.0,1.0
cond-mat/0610399,Equilibrium and transport properties of constrained systems,1.596689379370772e-05,0.0,14.0,0.0
cond-mat/9709058,"Solitons and diffusive modes in the noiseless Burgers equation:
  Stability analysis",1.5735028520764476e-05,9.95091377580036e-06,9.0,3.0
cond-mat/0501118,From the stress response function (back) to the sandpile `dip',1.5549007047311627e-05,0.0,6.0,1.0
cond-mat/0606619,Dynamics of vortices and interfaces in superfluid 3He,1.5480144989441718e-05,1.8379596418326743e-06,5.0,2.0
cond-mat/0504750,"Fluctuation theorem for non-equilibrium relaxational systems driven by
  external forces",1.542367257626719e-05,3.858435685060224e-06,7.0,3.0
hep-th/0605259,"Symmetry Aspects in Nonrelativistic Multi-Scalar Field Models and
  Application to a Coupled Two-Species Dilute Bose Gas",1.4858150860839572e-05,0.0,8.0,0.0
cond-mat/0109011,"Jamming, hysteresis and oscillation in scalar models for shear
  thickening",1.4712853485071765e-05,0.0,5.0,1.0
cond-mat/9907335,Loop Model with Generalized Fugacity in Three Dimensions,1.4656930701074827e-05,1.990182755160072e-06,13.0,2.0
cond-mat/0204221,"Power laws and stretched exponentials in a noisy finite-time-singularity
  model",1.4548659144094214e-05,0.0,10.0,0.0
cond-mat/0612279,"Logarithmic Singularities of Specific Heat and Related Properties of
  Liquid $^4He$ Near $\lambda-$Point",1.451198290195602e-05,0.0,5.0,0.0
cond-mat/0610819,"Dynamics and Instabilities of Defects in Two-Dimensional Crystals on
  Curved Backgrounds",1.432953898750952e-05,0.0,12.0,0.0
cond-mat/0611715,"Numerical evidence for relevance of disorder in a Poland-Scheraga DNA
  denaturation model with self-avoidance: Scaling behavior of average
  quantities",1.4282212440432694e-05,1.9976088102166394e-06,8.0,1.0
cond-mat/0108224,Rheological instability in a simple shear thickening model,1.4207116632123408e-05,0.0,4.0,1.0
cond-mat/0108195,"Formation and Decay of Vortex Lattices in Bose-Einstein Condensates at
  Finite Temperatures",1.4031212612765987e-05,7.4260550565674335e-09,7.0,1.0
cond-mat/0410306,Internal Stress in a Model Elasto-Plastic Fluid,1.3948007315006473e-05,3.980365510320144e-06,3.0,2.0
cond-mat/0502024,Slow dynamics in glassy soft matter,1.385638169628978e-05,0.0,9.0,0.0
cond-mat/0507183,Density-functional theory for fermions in the unitary regime,1.3826615463221856e-05,9.479784692817098e-07,27.0,4.0
cond-mat/0305670,"Scaling Theory and Exactly Solved Models In the Kinetics of Irreversible
  Aggregation",1.3695889927029895e-05,0.0,2.0,0.0
cond-mat/0401526,"Magnetization plateaus for spin-one bosons in optical lattices:
  Stern-Gerlach experiments with strongly correlated atoms",1.358055542680282e-05,6.82814258105722e-06,7.0,3.0
cond-mat/0312338,"Broad relaxation spectrum and the field theory of glassy dynamics for
  pinned elastic systems",1.3459132927488952e-05,2.416661195406314e-06,10.0,5.0
cond-mat/0205644,Universality classes in nonequilibrium lattice systems,1.3378100647073986e-05,0.0002637749231547,20.0,26.0
cond-mat/9712287,"Thermal dephasing and the echo effect in a confined Bose-Einstein
  condensate",1.3305975935444856e-05,0.0,5.0,0.0
cond-mat/0301238,The Inelastic Maxwell Model,1.31127681436047e-05,2.429805214508864e-05,7.0,8.0
cond-mat/0203148,Stresses in lipid membranes,1.2971921638962208e-05,0.0,3.0,1.0
cond-mat/0006413,Memory in aged granular media,1.285797591893252e-05,0.0,3.0,1.0
cond-mat/0205190,Slow light and the phase of a Bose-Einstein condensate,1.2600886300142832e-05,4.988671883672617e-07,3.0,1.0
cond-mat/0702545,The classical granular temperature and slightly beyond,1.2520039875220534e-05,0.0,3.0,1.0
cond-mat/0703164,Non-equilibrium dynamics of spin facilitated glass models,1.2184447197955242e-05,0.0,9.0,0.0
cond-mat/0509600,"Fickian crossover and lengthscales from two point functions in
  supercooled liquids",1.2171150950115017e-05,0.0,3.0,0.0
cond-mat/0011075,"Influence of the flow on the anchoring of nematic liquid crystals on a
  Langmuir-Blodgett monolayer studied by optical second-harmonic generation",1.2159461270332995e-05,0.0,4.0,1.0
cond-mat/0010484,"Sensitive methods for estimating the anchoring strength of nematic
  liquid crystals on Langmuir-Blodgett monolayers of fatty acids",1.2159461270332995e-05,0.0,4.0,1.0
cond-mat/0012415,Dynamics in a supercooled molecular liquid: Theory and Simulations,1.2069990204057671e-05,3.980365510320144e-06,4.0,2.0
cond-mat/0605752,"Fluorescent contacts measure the coordination number and entropy of a 3D
  jammed emulsion packing",1.2056765683677236e-05,0.0,1.0,0.0
cond-mat/0702471,"Crystalline Order On Riemannian Manifolds With Variable Gaussian
  Curvature And Boundary",1.2028577210701737e-05,1.990182755160072e-06,9.0,1.0
cond-mat/0602332,Designing Langevin microdynamics in macrocosm,1.185815303347746e-05,0.0,5.0,0.0
cond-mat/0405254,Phase Diagram for Ultracold Bosons in Optical Lattices and Superlattices,1.1824212634458996e-05,0.0,8.0,0.0
cond-mat/9910375,Physics of glassy systems,1.174344436776591e-05,0.0,6.0,0.0
cond-mat/0006383,Universality Classes of Self-Avoiding Fixed-Connectivity Membranes,1.1667966371706148e-05,0.0003151244882663,10.0,2.0
cond-mat/0405334,Theory of Nonlinear Matter Waves in Optical Lattices,1.1533712114706271e-05,0.0,8.0,0.0
cond-mat/0012277,"Polymer Films in the Normal-Liquid and Supercooled State: A Review of
  Recent Monte Carlo Simulation Results",1.1422145849329498e-05,0.0,7.0,0.0
cond-mat/0404174,Temperature Anisotropy in a Driven Granular Gas,1.1312192634613418e-05,0.0,3.0,0.0
cond-mat/0703725,Different facets of the raise and peel model,1.1272073071942651e-05,0.0,2.0,0.0
cond-mat/0206104,In-situ velocity imaging of ultracold atoms using slow--light,1.1207941518863154e-05,6.01757603956794e-07,4.0,1.0
cond-mat/0007217,"Orthogonality catastrophe and decoherence of a confined Bose-Einstein
  condensate at finite temperature",1.118201292727848e-05,0.0,3.0,0.0
cond-mat/0110389,Vortices near surfaces of Bose-Einstein condensates,1.1166442640312897e-05,5.955696155367081e-06,11.0,2.0
cond-mat/0405534,"Theoretical Characterization of the Interface in a Nonequilibrium
  Lattice System",1.1152615016205758e-05,0.0,1.0,0.0
cond-mat/0207601,Dynamical properties of vibrofluidized granular mixtures,1.102330328502161e-05,0.0,6.0,2.0
cond-mat/0703372,Gas-Liquid Coexistence in the Primitive Model for Water,1.0993921162611258e-05,0.0,4.0,0.0
q-bio/0512033,"Explicit factorization of external coordinates in constrained
  Statistical Mechanics models",1.0828916672836616e-05,0.0,3.0,1.0
q-bio/0601042,"Quantum mechanical calculation of the effects of stiff and rigid
  constraints in the conformational equilibrium of the Alanine dipeptide",1.0828916672836616e-05,0.0,3.0,1.0
cond-mat/0409430,Equation of state of non-additive $d$-dimensional hard-sphere mixtures,1.0803815979107977e-05,0.0,3.0,1.0
cond-mat/0011450,Numerical model for granular compaction under vertical tapping,1.0711347654282396e-05,0.0,3.0,0.0
cond-mat/0604440,"Modeling molecular conduction in DNA wires: Charge transfer theories and
  dissipative quantum transport",1.0705290557018151e-05,0.0,1.0,0.0
cond-mat/9712243,"Jamming transition in a homogeneous one-dimensional system: the Bus
  Route Model",1.0629530119337172e-05,0.0,8.0,0.0
cond-mat/0002038,The Statistical Mechanics of Membranes,1.0608142423573654e-05,0.0003312850979914,15.0,4.0
cond-mat/0403562,"Critical behavior of the two dimensional 2A->3A, 4A->0 binary system",1.0353711038183577e-05,4.5231426253638e-08,7.0,1.0
cond-mat/9911379,Interacting Topological Defects on Frozen Topographies,1.034778165810938e-05,0.0,9.0,9.0
cond-mat/0501447,"Imprinting the memory into paste and its visualization as crack patterns
  in drying process",1.0344842322247726e-05,0.0,2.0,1.0
cond-mat/0406233,The role of diffusion in branching and annihilation random walk models,1.0319216884012649e-05,0.0,3.0,0.0
cond-mat/0605276,Random anisotropy disorder in superfluid 3He-A in aerogel,1.019139528452233e-05,1.9976088102166394e-06,6.0,1.0
cond-mat/0307222,"Competition between homogeneous and local processes in a diffusive
  many-body system",1.0135070245097035e-05,0.0,3.0,0.0
cond-mat/9903002,"Instability of Non-vortex State toward a Quantized Vortex in
  Bose-Einstein Condensate under External Rotation",1.012273635345619e-05,0.0,8.0,0.0
cond-mat/0403721,"Effective interactions, Fermi-Bose duality, and ground states of
  ultracold atomic vapors in tight de Broglie waveguides",1.006564182337634e-05,4.071215847534542e-06,12.0,4.0
cond-mat/0308054,"Reorganization of a dense granular assembly: the `unjamming response
  function'",1.0032314391240683e-05,1.658485629300057e-05,3.0,2.0
cond-mat/0401475,"Description beyond the mean field approximation of an electrolyte
  confined between two planar metallic electrodes",1.001867144379302e-05,0.0,4.0,3.0
cond-mat/0303263,"Studies of Mass and Size Effects in Three-Dimensional Vibrofluidized
  Granular Mixtures",1.000982018191657e-05,0.0,5.0,2.0
cond-mat/9710133,Soliton approach to the noisy Burgers equation: Steepest descent method,9.815028175155028e-06,0.0,6.0,1.0
cond-mat/0606584,"On Irregular Interconnect Fabrics for Self-Assembled Nanoscale
  Electronics",9.74124413237002e-06,7.4260550565674335e-09,3.0,1.0
cond-mat/0608230,Axially symmetric membranes with polar tethers,9.722080164445368e-06,0.0,1.0,2.0
physics/0609139,Single DNA conformations and biological function,9.700175958974429e-06,0.0,7.0,0.0
cond-mat/0110237,Plasticity in current-driven vortex lattices,9.6517062599699e-06,0.0,7.0,0.0
cond-mat/0606747,Bounds on the shear load of cohesionless granular matter,9.60068093542824e-06,0.0,4.0,0.0
cond-mat/0311098,"Stochastic model of the conditional acceleration of a fluid particle in
  developed turbulence",9.59001160113717e-06,0.0,16.0,2.0
cond-mat/0008208,Effective attraction between like-charged colloids in a 2D plasma,9.457124726835416e-06,0.0,9.0,1.0
cond-mat/0209429,"Mean-field model for the interference of matter waves from a
  three-dimensional optical trap",9.375977644941205e-06,1.7832079920834566e-05,3.0,4.0
cond-mat/0212336,Collision statistics of driven granular materials,9.365490764599916e-06,0.0,6.0,0.0
cond-mat/0305049,Bubble dynamics in DNA,9.234691633794632e-06,0.0,3.0,0.0
cond-mat/0408282,Routes to spatiotemporal chaos in the rheology of nematogenic fluids,9.133868773459028e-06,0.0,5.0,1.0
cond-mat/0211215,"Loss of superfluidity in a Bose-Einstein condensate on an optical
  lattice via a novel classical phase transition",9.090873155752e-06,0.0,7.0,0.0
cond-mat/0309392,Dipole Interactions In Nanosystems,9.087592082995425e-06,0.0,2.0,1.0
cond-mat/9701110,Role of Metastable States in Phase Ordering Dynamics,9.087592082995425e-06,0.0,2.0,2.0
cond-mat/0502658,"Dynamical density functional theory: binary phase-separating colloidal
  fluid in a cavity",9.075500737442549e-06,0.0,1.0,0.0
cond-mat/0411047,Superfluid-insulator transition in a moving system of interacting bosons,8.984726529663337e-06,3.073708305259989e-05,5.0,6.0
cond-mat/0204177,"Surface modes and vortex formation in dilute Bose-Einstein condensates
  at finite temperatures",8.906380879128508e-06,1.990182755160072e-06,5.0,1.0
cond-mat/0308516,Two-dimensional tunnel bifurcations with dissipation,8.897031956070778e-06,0.0,3.0,0.0
cond-mat/0612680,"Force networks and the dynamic approach to jamming in sheared granular
  media",8.88715787419929e-06,0.0,2.0,0.0
cond-mat/0408571,Sequential Monte Carlo Methods for Protein Folding,8.874244421703289e-06,0.0,4.0,1.0
cond-mat/0402278,"Feshbach resonances with large background scattering length: interplay
  with open-channel resonances",8.761416779357357e-06,2.3160534352163817e-06,8.0,2.0
cond-mat/0506323,Dynamical projection of atoms to Feshbach molecules at strong coupling,8.74181316877853e-06,7.307608758927337e-06,7.0,3.0
cond-mat/0308431,"Excitation spectroscopy of vortex lattices in a rotating Bose-Einstein
  condensate",8.705991460921592e-06,2.0128145419991344e-06,9.0,2.0
cond-mat/0007246,Dissipative dynamics of vortex arrays in anisotropic traps,8.675301643462772e-06,9.90140674208991e-09,7.0,1.0
cond-mat/0501224,Static and Dynamic Properties of Trapped Fermionic Tonks-Girardeau Gases,8.650192179865356e-06,0.0,2.0,0.0
cond-mat/0401516,Tkachenko oscillations and the compressibility of a rotating Bose gas,8.629303308568215e-06,0.0,8.0,0.0
cond-mat/0702322,"Inverted catenoids, curvature singularities and tethered membranes",8.617573300924441e-06,0.0,1.0,1.0
cond-mat/0402225,"Splitting in the Excitation Spectrum of A Bose-Einstein Condensate
  Undergoing Strong Rabi Oscillations",8.613763547280861e-06,0.0,2.0,1.0
cond-mat/0203335,Lipid membranes with an edge,8.602790161294417e-06,0.0,1.0,1.0
cond-mat/0404613,"Out of equilibrium generalized Stokes-Einstein relation: determination
  of the effective temperature of an aging medium",8.474773316479297e-06,7.960731020640288e-06,3.0,2.0
cond-mat/0512681,"Boundary critical behaviour at m-axial Lifshitz points of semi-infinite
  systems with a surface plane perpendicular to a modulation axis",8.469562142776538e-06,0.0,8.0,0.0
cond-mat/0208155,Anisotropic elastic theory of preloaded granular media,8.392032619658367e-06,5.373493438932194e-05,4.0,6.0
cond-mat/0405252,"System of elastic hard spheres which mimics the transport properties of
  a granular gas",8.351680922470598e-06,0.0,3.0,3.0
cond-mat/0311464,Dynamics of nematic elastomers,8.261130154901542e-06,0.0,1.0,0.0
cond-mat/0112393,"Quasiparticle spectrum and dynamical stability of an atomic
  Bose-Einstein condensate coupled to a degenerate Fermi gas",8.257779714566222e-06,0.0009537676260762,8.0,1.0
cond-mat/0306683,Phase diagram of two-component bosons on an optical lattice,8.228010919517741e-06,1.5559356768545508e-06,9.0,1.0
cond-mat/0607527,Discontinuous Molecular Dynamics for Semi-Flexible and Rigid Bodies,8.216042892347698e-06,0.0,2.0,2.0
cond-mat/0209051,"Temperature Dependence of Vortex Nucleation in Gaseous Bose-Einstein
  Condensates",8.211541287554882e-06,0.0,1.0,0.0
cond-mat/0306204,"Spin-exchange interactions of spin-one bosons in optical lattices:
  singlet, nematic and dimerized Phases",8.179342649274826e-06,2.055823660670988e-05,14.0,5.0
cond-mat/9807349,Dynamical quantum noise in Bose-Einstein condensates,8.167821398940234e-06,0.0,12.0,0.0
cond-mat/0106235,Vortex Nucleation in a Stirred Bose-Einstein Condensate,8.161017057071559e-06,1.9867261033420744e-05,9.0,9.0
cond-mat/0404272,Propagation of sound in a Bose Einstein condensate in an optical lattice,8.109579737041172e-06,1.4852110113134864e-08,4.0,3.0
physics/0601073,"Properties of quasi-one-dimensional molecules with Feshbach resonance
  interaction",8.105149815581686e-06,0.0,4.0,0.0
cond-mat/0206155,Fluctuation-Dissipation relations in Driven Granular Gases,8.075403885895563e-06,0.0,8.0,0.0
cond-mat/0612677,Long Range Correlations in Granular Shear Flow I: Numerical Evidence,8.046039987166697e-06,1.990182755160072e-06,2.0,1.0
cond-mat/0012388,Is there something of the MCT in orientationally disordered crystals ?,8.021668218872587e-06,0.0,4.0,0.0
cond-mat/0105100,Solitons in the noisy Burgers equation,8.01137218141886e-06,0.0,3.0,5.0
cond-mat/0608557,"The Importance of Boundary Conditions for Fluctuation Induced Forces
  between Colloids at Interfaces",7.990451036522245e-06,0.0,1.0,0.0
cond-mat/0607529,Numerical implementation of the exact dynamics of free rigid bodies,7.947473267438013e-06,0.0,3.0,1.0
cond-mat/0212597,Anisotropic pseudo-potential for polarized dilute quantum gases,7.935381921885137e-06,0.0,1.0,1.0
cond-mat/0501047,Influence of pore-scale disorder on viscous fingering during drainage,7.891905268412647e-06,0.0,1.0,0.0
cond-mat/0203541,Computer Simulations of charged systems,7.88939939378466e-06,0.0,6.0,0.0
cond-mat/0306135,Discrete breathers in protein secondary structure,7.825559241310054e-06,0.0,6.0,2.0
physics/9912012,Dynamic Fitness Landscapes in Molecular Evolution,7.821502457253823e-06,0.0,3.0,3.0
cond-mat/0407597,"Quantum phase transition for the BEC--BCS crossover in condensed matter
  physics and CPT violation in elementary particle physics",7.787868604897991e-06,0.0001067095640331,16.0,10.0
