source,target
cond-mat/9905227,cond-mat/9707221
cond-mat/9906426,cond-mat/9707221
cond-mat/9807393,cond-mat/9707221
cond-mat/9912210,cond-mat/9707221
cond-mat/0202506,cond-mat/0012164
cond-mat/9811345,cond-mat/0012164
hep-th/0002034,cond-mat/0012164
cond-mat/0105551,cond-mat/0012164
hep-lat/9805013,cond-mat/0012164
cond-mat/9904038,cond-mat/0012164
cond-mat/0202017,cond-mat/0012164
cond-mat/0110287,cond-mat/0012164
cond-mat/9701016,cond-mat/9702070
cond-mat/0106096,cond-mat/0106144
cond-mat/0004407,cond-mat/0106144
cond-mat/9811345,cond-mat/9904038
chao-dyn/9908011,cond-mat/9912110
cond-mat/9902004,cond-mat/9907407
cond-mat/0304065,cond-mat/0205644
cond-mat/0012164,cond-mat/0205644
cond-mat/0011110,cond-mat/0206239
cond-mat/0406147,cond-mat/0409292
cond-mat/0106144,cond-mat/0404593
cond-mat/0303516,cond-mat/0404593
cond-mat/0106096,cond-mat/0404593
cond-mat/9705206,cond-mat/9705266
cond-mat/0411512,hep-th/0505062
cond-mat/9701016,cond-mat/9906076
cond-mat/0309292,math-ph/0602049
cond-mat/0412372,math-ph/0602049
cond-mat/0605402,cond-mat/0512494
cond-mat/9812227,cond-mat/0004330
cond-mat/9811345,cond-mat/0004330
cond-mat/0404358,cond-mat/0407262
cond-mat/0406354,cond-mat/0408343
cond-mat/0404593,cond-mat/0408343
quant-ph/0609098,quant-ph/0703044
cond-mat/0701527,quant-ph/0703044
cond-mat/0301354,cond-mat/0303288
cond-mat/0301238,cond-mat/0311235
cond-mat/0006211,cond-mat/0302371
cond-mat/0107065,cond-mat/0111541
cond-mat/0203448,cond-mat/0111541
cond-mat/0411047,cond-mat/0504026
cond-mat/0404593,cond-mat/0505185
cond-mat/0205644,cond-mat/0304023
cond-mat/0302151,cond-mat/0304023
cond-mat/0410432,cond-mat/0410357
cond-mat/0501483,cond-mat/0410357
cond-mat/0412088,cond-mat/0410357
cond-mat/0410146,cond-mat/0410357
cond-mat/0311046,cond-mat/0410357
cond-mat/0012164,cond-mat/0410357
hep-th/0212161,cond-mat/0410357
cond-mat/0410712,cond-mat/0410357
cond-mat/9702070,cond-mat/0410357
cond-mat/0406147,cond-mat/0410357
cond-mat/0406289,cond-mat/0410357
cond-mat/0307542,cond-mat/0410357
cond-mat/0412479,cond-mat/0410357
cond-mat/0407515,cond-mat/0312329
cond-mat/0012164,cond-mat/0309060
cond-mat/9705266,cond-mat/9705206
cond-mat/0202473,cond-mat/0210489
cond-mat/0204587,cond-mat/0407444
cond-mat/0401026,cond-mat/0407444
cond-mat/0004330,cond-mat/0407444
cond-mat/0209580,hep-th/0212161
cond-mat/9904038,cond-mat/0006211
cond-mat/0106144,cond-mat/0405022
cond-mat/0303516,cond-mat/0405022
cond-mat/0403346,cond-mat/0405022
cond-mat/0205644,cond-mat/0304065
cond-mat/0304023,cond-mat/0304065
cond-mat/0302151,cond-mat/0304065
cond-mat/0610260,cond-mat/0609672
