id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9707221,The Loop Algorithm,0.0001886825825843,0.0012924929783002,140.0,42.0
cond-mat/0012164,Critical Phenomena and Renormalization-Group Theory,0.0001810560300707,0.0034247502594734,302.0,101.0
cond-mat/0410357,Ageing Properties of Critical Systems,0.0001592173197939,2.7019560180473253e-05,137.0,14.0
hep-th/0701191,"Nonlinear Aspects of the Renormalization Group Flows of Dyson's
  Hierarchical Model",0.0001056324348334,2.024203556709627e-06,55.0,2.0
math-ph/0703019,"Integrable Structure of Ginibre's Ensemble of Real Random Matrices and a
  Pfaffian Integration Theorem",9.689213738909653e-05,0.0,2.0,0.0
quant-ph/0703044,Entanglement in Many-Body Systems,9.60997531994056e-05,0.0001067060995236,26.0,9.0
cond-mat/0511660,Flow Equations and Normal Ordering. A Survey,8.330934235534466e-05,3.980365510320144e-06,76.0,1.0
cond-mat/0106144,Evolution of networks,8.310458642176169e-05,0.0006643328842099,135.0,46.0
hep-th/0609075,Entanglement and Nonunitary Evolution,7.468247612459961e-05,1.1592489713815726e-06,46.0,1.0
cond-mat/0703766,Fundamental noise in matter interferometers,7.430240685848463e-05,5.27722008658782e-06,24.0,3.0
cond-mat/0610266,"Slow dynamics in critical ferromagnetic vector models relaxing from a
  magnetized initial state",7.396086377114602e-05,1.990182755160072e-06,48.0,1.0
cond-mat/0601278,Synchronization in Small-World-Connected Computer Networks,7.232840378709774e-05,1.0269392641045748e-05,70.0,2.0
quant-ph/0702069,Entanglement of Gaussian states,7.087483376295203e-05,6.911855839937879e-07,45.0,1.0
quant-ph/0701221,"Entanglement in continuous variable systems: Recent advances and current
  perspectives",6.902398812265861e-05,2.498256512854964e-05,20.0,4.0
hep-th/0701172,High-accuracy scaling exponents in the local potential approximation,6.276278868296595e-05,0.0,36.0,1.0
cond-mat/0509682,"Multicritical behavior in the fully frustrated XY model and related
  systems",6.014418184939448e-05,5.1982385395972036e-08,48.0,1.0
hep-lat/0703020,Infra-red divergences in the large-N expansion,5.912691968907112e-05,0.0,50.0,0.0
cond-mat/0612656,Dynamic crossover in the global persistence at criticality,5.645178383003461e-05,0.0,1.0,0.0
quant-ph/0609071,"Optical state engineering, quantum communication, and robustness of
  entanglement promiscuity in three-mode Gaussian states",5.377908440475896e-05,0.0,6.0,2.0
cond-mat/0408018,"Stochastic models of Lagrangian acceleration of fluid particle in
  developed turbulence",5.357327659636347e-05,1.028474877927202e-05,42.0,3.0
hep-th/0607232,Logarithmic Minimal Models,5.311199548224967e-05,1.8039432446406976e-06,43.0,6.0
physics/0603024,"Applying Free Random Variables to Random Matrix Analysis of Financial
  Data. Part I: A Gaussian Case",5.156170475646394e-05,2.768533233086758e-06,34.0,1.0
cond-mat/0612594,"Gravitational Dynamics of an Infinite Shuffled Lattice: Particle
  Coarse-grainings, Non-linear Clustering and the Continuum Limit",5.088252977447184e-05,0.0,19.0,0.0
cond-mat/0505293,"Geometrically constrained statistical systems on regular and random
  lattices: From folding to meanders",4.970234564353155e-05,2.102665501253012e-06,51.0,2.0
hep-th/0605142,"Entanglement-Entropy for Groundstates, Low-lying and Highly Excited
  Eigenstates of General (Lattice) Hamiltonians",4.68045241899141e-05,3.898439859746586e-07,23.0,1.0
cond-mat/0703055,Spectral densities of scale-free networks,4.4568579127885896e-05,5.992826430649918e-06,2.0,1.0
math-ph/0602049,2D growth processes: SLE and Loewner chains,4.390118579137464e-05,3.675037490948991e-05,79.0,9.0
nucl-th/0701048,Temperature-dependent errors in nuclear lattice simulations,4.384218372956314e-05,0.0,33.0,0.0
cond-mat/0610550,Critical curves in conformally invariant statistical systems,4.363563524831063e-05,0.0,24.0,0.0
cond-mat/0511122,On gonihedric loops and quantum gravity,4.267607540666539e-05,0.0,20.0,0.0
cond-mat/0104072,"""Single Ring Theorem"" and the Disk-Annulus Phase Transition",4.2616322036767295e-05,1.990182755160072e-06,51.0,1.0
physics/0603186,"Spectral properties of empirical covariance matrices for data with
  power-law tails",4.224746774459584e-05,7.783504779266857e-07,4.0,3.0
cond-mat/0604412,Critical aging of Ising ferromagnets relaxing from an ordered state,4.1102064872734274e-05,7.793823214353892e-06,47.0,2.0
cond-mat/0606211,Thermodynamic formalism for systems with Markov dynamics,4.068421786170623e-05,7.903778890706461e-06,25.0,4.0
quant-ph/0703277,"Strong Monogamy of Bipartite and Genuine Multipartite Entanglement: The
  Gaussian Case",4.008789908415268e-05,1.527454408018397e-05,4.0,1.0
hep-th/0601191,"The partition function of interfaces from the Nambu-Goto effective
  string theory",3.908032998462871e-05,1.161752093479257e-06,39.0,1.0
cond-mat/0611353,Fixed point stability and decay of correlations,3.861531963691896e-05,0.0,30.0,0.0
math-ph/0207041,"Entropy production rates of bistochastic strictly contractive quantum
  channels on a matrix algebra",3.84056369936268e-05,1.990182755160072e-06,1.0,1.0
cond-mat/0703228,Phase diagram of the chromatic polynomial on a torus,3.7513059243754506e-05,0.0,17.0,0.0
math-ph/0607046,"Stochastic geometry of critical curves, Schramm-Loewner evolutions, and
  conformal field theory",3.647444819909739e-05,1.389716169614952e-07,59.0,1.0
cond-mat/0401026,Spanning forests and the q-state Potts model in the limit q \to 0,3.621655729367743e-05,1.6397342622371368e-05,49.0,10.0
cond-mat/0412497,"Decay of a superfluid currents in a moving system of strongly
  interacting bosons",3.60252480889369e-05,8.559597005961854e-05,18.0,4.0
cond-mat/0701301,"Extreme fluctuations in noisy task-completion landscapes on scale-free
  networks",3.565338323427106e-05,6.70401529035815e-06,4.0,1.0
cond-mat/0303516,The structure and function of complex networks,3.512526677791997e-05,6.795209096651202e-05,38.0,36.0
cond-mat/0701331,Spin chain simulations with a meron cluster algorithm,3.445357206214825e-05,0.0,8.0,0.0
