source,target
cond-mat/9711022,cond-mat/9707221
cond-mat/9901214,cond-mat/9707221
cond-mat/9807393,cond-mat/9707221
cond-mat/0204320,cond-mat/9707221
cond-mat/0001147,cond-mat/9707221
cond-mat/0105464,cond-mat/9707221
cond-mat/9807127,cond-mat/9707221
cond-mat/0206092,cond-mat/9707221
cond-mat/0003271,cond-mat/9707221
cond-mat/0107115,cond-mat/9707221
cond-mat/0009202,cond-mat/0310405
cond-mat/0109146,cond-mat/0310405
cond-mat/0307592,cond-mat/0310405
cond-mat/0106286,cond-mat/0310405
cond-mat/0211027,cond-mat/0310405
cond-mat/0301303,cond-mat/0310405
cond-mat/0404005,cond-mat/0410445
cond-mat/0107421,cond-mat/0201140
cond-mat/9812379,cond-mat/0001147
cond-mat/9711022,cond-mat/0001147
cond-mat/9908250,cond-mat/0001147
cond-mat/9901214,cond-mat/0001147
cond-mat/0208334,cond-mat/0210683
cond-mat/0304094,cond-mat/0210683
cond-mat/0106286,cond-mat/0109146
cond-mat/0103396,cond-mat/0109146
cond-mat/0008005,cond-mat/0104347
cond-mat/9609076,cond-mat/9704103
cond-mat/0310405,cond-mat/0312617
cond-mat/0310504,cond-mat/0312617
cond-mat/0311466,cond-mat/0312617
cond-mat/0006055,cond-mat/0103393
cond-mat/9807366,cond-mat/0103393
cond-mat/0008005,cond-mat/0103393
cond-mat/0409292,cond-mat/0410407
cond-mat/0409363,cond-mat/0410407
cond-mat/0001147,cond-mat/0410407
cond-mat/0103044,cond-mat/0202425
cond-mat/0312447,cond-mat/0404055
cond-mat/0104347,cond-mat/0111478
cond-mat/0107271,cond-mat/0111478
cond-mat/0310405,cond-mat/0403123
cond-mat/0307587,cond-mat/0403123
cond-mat/0401041,cond-mat/0403123
cond-mat/0010395,cond-mat/0403123
cond-mat/0401041,cond-mat/0507459
cond-mat/0410445,cond-mat/0507459
cond-mat/0309572,cond-mat/0507459
cond-mat/0003492,cond-mat/0010001
cond-mat/9807127,cond-mat/9908250
cond-mat/9908008,cond-mat/9910231
cond-mat/0503727,cond-mat/0510608
cond-mat/0404614,cond-mat/0409292
cond-mat/0006055,cond-mat/0008005
cond-mat/0102111,cond-mat/0107421
cond-mat/0610621,cond-mat/0511293
cond-mat/0603548,cond-mat/0511293
cond-mat/0503764,cond-mat/0511293
cond-mat/0701105,cond-mat/0511293
cond-mat/0409527,cond-mat/0511293
cond-mat/0601507,cond-mat/0511293
cond-mat/0603553,cond-mat/0511293
cond-mat/0602451,cond-mat/0511293
cond-mat/0603227,cond-mat/0511293
cond-mat/0609702,cond-mat/0511293
cond-mat/0111478,cond-mat/0204566
cond-mat/0009002,cond-mat/0009202
cond-mat/9910231,cond-mat/0009202
cond-mat/0402485,cond-mat/0305081
cond-mat/9705206,cond-mat/9705266
cond-mat/0605402,cond-mat/0512494
cond-mat/0702475,cond-mat/0512494
cond-mat/0510053,cond-mat/0511334
cond-mat/0510218,cond-mat/0511334
cond-mat/0510608,cond-mat/0511334
cond-mat/0601271,cond-mat/0511334
cond-mat/0511085,cond-mat/0511334
cond-mat/0511334,cond-mat/0511460
cond-mat/0601271,cond-mat/0511460
cond-mat/0403406,cond-mat/0405038
cond-mat/9808167,cond-mat/0405038
cond-mat/0201140,cond-mat/0405038
cond-mat/0005250,cond-mat/0405038
cond-mat/0403123,cond-mat/0511085
cond-mat/0503764,cond-mat/0511085
cond-mat/0503715,cond-mat/0511085
cond-mat/0504778,cond-mat/0511085
cond-mat/0404055,cond-mat/0511085
cond-mat/0312447,cond-mat/0511085
cond-mat/0505241,cond-mat/0511085
cond-mat/0209061,cond-mat/0208334
cond-mat/0108238,cond-mat/0208334
cond-mat/0210683,cond-mat/0208334
cond-mat/0108238,cond-mat/0112343
cond-mat/0510286,cond-mat/0601048
cond-mat/0512634,cond-mat/0601048
cond-mat/0310405,cond-mat/0401041
cond-mat/0312617,cond-mat/0401041
cond-mat/0310504,cond-mat/0401041
cond-mat/0311466,cond-mat/0401041
cond-mat/0104519,cond-mat/0105593
cond-mat/0009202,cond-mat/0108238
cond-mat/0105593,cond-mat/0108238
cond-mat/0108171,cond-mat/0108238
cond-mat/0104519,cond-mat/0108238
cond-mat/0108214,cond-mat/0108238
cond-mat/0502461,cond-mat/0503727
cond-mat/9808167,cond-mat/0412421
cond-mat/0001147,cond-mat/0412421
cond-mat/0512115,cond-mat/0510286
cond-mat/0404005,cond-mat/0510286
cond-mat/0512634,cond-mat/0510286
cond-mat/0601048,cond-mat/0510286
cond-mat/0103396,cond-mat/0105446
cond-mat/0108214,cond-mat/0301303
cond-mat/0106286,cond-mat/0301303
cond-mat/9704064,cond-mat/0309572
cond-mat/0504703,cond-mat/0509021
cond-mat/0105446,cond-mat/0108214
cond-mat/0106286,cond-mat/0108214
cond-mat/0104519,cond-mat/0108214
cond-mat/0103396,cond-mat/0108214
cond-mat/0510286,cond-mat/0512634
cond-mat/0108238,cond-mat/0109419
cond-mat/0008048,cond-mat/0109419
cond-mat/0108214,cond-mat/0109419
cond-mat/0107115,cond-mat/0109419
cond-mat/0601507,cond-mat/0605526
cond-mat/0511293,cond-mat/0605526
cond-mat/9901191,cond-mat/0003085
cond-mat/9910514,cond-mat/0003085
cond-mat/0307728,cond-mat/0312594
cond-mat/0312499,cond-mat/0312594
cond-mat/0302622,cond-mat/0306651
cond-mat/0403123,cond-mat/0503764
cond-mat/0507459,cond-mat/0512115
cond-mat/0410445,cond-mat/0512115
cond-mat/0302152,cond-mat/0307592
cond-mat/0106286,cond-mat/0311466
cond-mat/0103396,cond-mat/0311466
cond-mat/0206282,cond-mat/0311466
cond-mat/9811005,cond-mat/0311466
cond-mat/0108214,cond-mat/0311466
cond-mat/0401041,cond-mat/0411761
cond-mat/0607202,cond-mat/0602528
cond-mat/9705266,cond-mat/9705206
quant-ph/0610099,cond-mat/0512165
cond-mat/0409292,cond-mat/0512165
cond-mat/0605597,cond-mat/0512165
cond-mat/0511334,cond-mat/0602304
cond-mat/0511085,cond-mat/0602304
cond-mat/0404055,cond-mat/0602304
cond-mat/0012117,cond-mat/0302622
cond-mat/0302550,cond-mat/0303513
cond-mat/0302622,cond-mat/0303513
cond-mat/0103044,cond-mat/0207622
cond-mat/0307153,cond-mat/0309140
cond-mat/0602406,cond-mat/0601372
cond-mat/0408489,cond-mat/0601372
cond-mat/0502292,cond-mat/0601372
cond-mat/0407085,cond-mat/0312499
cond-mat/0312594,cond-mat/0312499
cond-mat/0310405,cond-mat/0502464
cond-mat/0109146,cond-mat/0502464
cond-mat/0105104,cond-mat/0502464
cond-mat/0108214,cond-mat/0502464
cond-mat/0009202,cond-mat/0104519
cond-mat/0105593,cond-mat/0104519
quant-ph/0610099,cond-mat/0605597
quant-ph/0601019,cond-mat/0605597
cond-mat/0605194,cond-mat/0605597
cond-mat/0512165,cond-mat/0605597
cond-mat/0409292,cond-mat/0605597
cond-mat/9805386,cond-mat/9807265
cond-mat/9802053,cond-mat/9807265
cond-mat/0006055,cond-mat/0107380
cond-mat/9910432,cond-mat/0007299
cond-mat/0410599,cond-mat/0504650
cond-mat/0602528,cond-mat/0504650
cond-mat/0606075,cond-mat/0504650
cond-mat/0304096,cond-mat/0312447
cond-mat/0410407,cond-mat/0510321
cond-mat/0003377,cond-mat/0010395
cond-mat/0601271,cond-mat/0602451
cond-mat/0403123,cond-mat/0602451
cond-mat/0511334,cond-mat/0602451
cond-mat/0409227,cond-mat/0408115
cond-mat/9802053,cond-mat/9805386
cond-mat/9711229,cond-mat/9805386
cond-mat/0208361,hep-th/0512261
cond-mat/0406513,cond-mat/0412663
cond-mat/0410224,cond-mat/0412663
nucl-th/0509038,quant-ph/0510016
cond-mat/0511085,cond-mat/0601271
cond-mat/0505089,quant-ph/0602094
cond-mat/0105284,cond-mat/0106037
cond-mat/0109419,cond-mat/0211027
cond-mat/0208334,cond-mat/0211027
cond-mat/9803131,cond-mat/9904213
cond-mat/0407587,cond-mat/0407563
cond-mat/0407094,cond-mat/0407563
cond-mat/0101027,cond-mat/0110048
cond-mat/0105200,cond-mat/0110048
cond-mat/0307728,cond-mat/0312595
cond-mat/9912200,cond-mat/0202455
hep-ph/0407265,cond-mat/0408344
cond-mat/0404005,cond-mat/0408344
cond-mat/0408329,cond-mat/0408344
cond-mat/0410596,cond-mat/0407094
cond-mat/0407563,cond-mat/0407094
cond-mat/0410224,cond-mat/0407094
cond-mat/0407587,cond-mat/0407094
cond-mat/0005328,cond-mat/0107271
cond-mat/0107151,cond-mat/0107271
cond-mat/0009201,cond-mat/0107271
cond-mat/9707221,cond-mat/0107115
cond-mat/0401041,cond-mat/0408329
cond-mat/9910231,cond-mat/0408329
cond-mat/0404005,cond-mat/0408329
cond-mat/0408344,cond-mat/0408329
cond-mat/0409470,cond-mat/0408329
cond-mat/0012117,cond-mat/0105200
cond-mat/0206529,cond-mat/0205226
cond-mat/0109309,cond-mat/0205226
cond-mat/0312594,cond-mat/0407085
cond-mat/0312499,cond-mat/0407085
cond-mat/0312617,cond-mat/0403182
cond-mat/0012117,cond-mat/0202531
cond-mat/0106286,cond-mat/0310504
cond-mat/0301303,cond-mat/0310504
cond-mat/0507459,cond-mat/0605306
cond-mat/0107271,cond-mat/0109309
cond-mat/0511460,cond-mat/0603227
cond-mat/0511334,cond-mat/0603227
cond-mat/0001147,cond-mat/0107431
cond-mat/0404614,cond-mat/0407429
cond-mat/0512494,cond-mat/0702475
cond-mat/9701023,cond-mat/0605402
cond-mat/0506151,cond-mat/0505393
cond-mat/0503764,cond-mat/0505393
quant-ph/0307131,quant-ph/0309188
cond-mat/0307338,quant-ph/0309188
cond-mat/0511293,cond-mat/0511442
cond-mat/0505230,cond-mat/0502652
cond-mat/0410445,cond-mat/0502652
cond-mat/0407216,cond-mat/0410720
cond-mat/0410599,cond-mat/0410720
cond-mat/0405271,cond-mat/0410720
cond-mat/0312540,cond-mat/0409363
cond-mat/0405211,cond-mat/0409363
cond-mat/0610539,cond-mat/0610540
cond-mat/0511334,cond-mat/0606003
cond-mat/0511460,cond-mat/0606003
cond-mat/9908008,cond-mat/9912020
cond-mat/0504650,cond-mat/0702377
cond-mat/0702366,cond-mat/0702377
cond-mat/0605316,cond-mat/0702377
cond-mat/0606075,cond-mat/0702377
cond-mat/0703633,cond-mat/0702377
cond-mat/0702377,cond-mat/0605316
hep-th/0002123,hep-th/0006243
cond-mat/9707221,cond-mat/9711022
cond-mat/0103456,cond-mat/0107138
cond-mat/9712219,cond-mat/0301071
cond-mat/0610540,cond-mat/0610539
cond-mat/0701087,cond-mat/0610539
cond-mat/0611414,cond-mat/0610539
cond-mat/0608129,cond-mat/0610539
cond-mat/0412663,cond-mat/0410224
cond-mat/0107431,cond-mat/0109524
cond-mat/0001147,cond-mat/0109524
cond-mat/0512115,cond-mat/0701052
cond-mat/0606346,cond-mat/0701052
cond-mat/0612040,cond-mat/0701052
cond-mat/0601048,cond-mat/0701052
cond-mat/0404005,cond-mat/0506457
cond-mat/0006085,cond-mat/0006265
cond-mat/9912020,cond-mat/0006265
cond-mat/0208361,cond-mat/0504703
cond-mat/0103633,cond-mat/0504703
cond-mat/0510098,cond-mat/0512173
cond-mat/0510801,cond-mat/0512241
cond-mat/0105200,cond-mat/0111393
cond-mat/0103396,cond-mat/0206451
cond-mat/0412421,cond-mat/0507390
cond-mat/0507380,cond-mat/0507390
cond-mat/0006055,cond-mat/0009201
cond-mat/0006055,cond-mat/0005328
cond-mat/9711022,cond-mat/9807127
cond-mat/9707221,cond-mat/9807127
cond-mat/0403155,cond-mat/0312630
cond-mat/0312540,cond-mat/0405211
cond-mat/0210248,cond-mat/0311421
cond-mat/0303611,cond-mat/0311421
hep-th/0207232,cond-mat/0311421
cond-mat/0508313,cond-mat/0601507
cond-mat/0511293,cond-mat/0601507
cond-mat/0511085,cond-mat/0601507
cond-mat/9706073,cond-mat/9708185
cond-mat/0606154,cond-mat/0606159
cond-mat/0406023,cond-mat/0402184
cond-mat/0304629,cond-mat/0304641
cond-mat/9803256,cond-mat/9810014
cond-mat/9809380,cond-mat/9901057
cond-mat/0507327,cond-mat/0511416
cond-mat/0405271,cond-mat/0410599
cond-mat/0410720,cond-mat/0410599
cond-mat/0512115,cond-mat/0609250
cond-mat/0409141,cond-mat/0401474
cond-mat/0304641,cond-mat/0307578
cond-mat/0511460,cond-mat/0604057
cond-mat/0607078,cond-mat/0604057
cond-mat/0307338,cond-mat/0309438
cond-mat/0210683,cond-mat/0402565
cond-mat/0512494,cond-mat/0511257
cond-mat/0508691,cond-mat/0510449
cond-mat/0503764,cond-mat/0510449
hep-th/9810113,cond-mat/9811005
cond-mat/0104347,cond-mat/0307153
cond-mat/0402253,cond-mat/0307153
cond-mat/0407563,cond-mat/0407587
