id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0610456,The flow equation approach to the pairing instability problem,0.0001081549980995,0.0,3.0,0.0
cond-mat/0602236,Flow equation approach to the pairing problems,7.980261243849611e-05,1.990182755160072e-06,4.0,1.0
nucl-th/0609084,Density-functional theory for the pairing Hamiltonian,7.755877675217917e-05,5.550613675571813e-07,25.0,2.0
cond-mat/0702620,"Long-range coupling and scalable architecture for superconducting flux
  qubits",6.334675799107252e-05,1.968210794208611e-06,44.0,1.0
cond-mat/0509682,"Multicritical behavior in the fully frustrated XY model and related
  systems",6.014418184939448e-05,5.1982385395972036e-08,48.0,1.0
hep-ph/0702021,The rigidity of crystalline color superconducting quark matter,5.906069208639211e-05,2.396874890597114e-06,79.0,5.0
hep-th/0702066,"Dynamical stabilization of runaway potentials and landscape of vacua at
  finite density",4.815476654500488e-05,5.694166143041185e-07,21.0,2.0
cond-mat/0703005,Phase-space theory for dispersive detectors of superconducting qubits,4.130040039038486e-05,2.4753516855224776e-09,6.0,1.0
cond-mat/0203479,Optical Conductivity in a Two - Dimensional Model of the Pseudogap State,4.120481964125445e-05,0.0,11.0,0.0
hep-ph/0108159,Formation of topological defects in gauge field theories,3.976236505826843e-05,5.799550277206924e-05,69.0,12.0
cond-mat/0209191,"Superconductivity of overdoped cuprates: the modern face of the
  ancestral two-electron exchange",3.746777852733889e-05,7.912541431589646e-06,29.0,2.0
cond-mat/0408344,"A model of phase fluctuations in a lattice d-wave superconductor:
  application to the Cooper pair charge-density-wave in underdoped cuprates",3.620744718631244e-05,0.0003243248716761,15.0,8.0
cond-mat/0412497,"Decay of a superfluid currents in a moving system of strongly
  interacting bosons",3.60252480889369e-05,8.559597005961854e-05,18.0,4.0
cond-mat/0511334,"Pseudogap and high-temperature superconductivity from weak to strong
  coupling. Towards quantitative theory",3.518648182073665e-05,3.279858849657205e-05,17.0,9.0
hep-th/0609031,Dynamical stabilization of runaway potentials at finite density,3.3090615545716974e-05,4.074986473267576e-07,17.0,1.0
hep-lat/0402021,Duality and scaling in 3-dimensional scalar electrodynamics,3.229623619332376e-05,8.822760646270247e-06,36.0,2.0
nucl-th/0611097,Relativistic BCS-BEC crossover in a boson-fermion model,3.19865339499119e-05,5.962550829146541e-06,29.0,3.0
hep-ph/0703141,What atomic liquids can teach us about quark liquids,3.1928243563696206e-05,0.0,39.0,0.0
cond-mat/0601372,Quantum phase transitions from topology in momentum space,3.1877638424797416e-05,6.901020500629588e-05,21.0,13.0
cond-mat/0312641,Why Vortex Lattice Melting Theory is Science Fiction,3.156454858728969e-05,0.0,24.0,0.0
cond-mat/0102452,"Flux Phase as a Dynamic Jahn-Teller Phase: Berryonic Matter in the
  Cuprates?",3.115132796200106e-05,3.7363065044437145e-07,15.0,2.0
cond-mat/0506515,"Towards a global theory for the high T_c cuprates: Explanation of the
  puzzling optical properties",3.113425857682297e-05,0.0,24.0,0.0
cond-mat/0212491,"Temperature dependence of the specific heat and the penetration depth of
  anisotropic-gap BCS superconductors for a factorizable pairing potential",3.1099990648203547e-05,1.989170111288722e-06,12.0,2.0
cond-mat/0607078,"Strong electronic correlations in superconducting organic charge
  transfer salts",3.1015909512139946e-05,5.070951431374272e-06,16.0,1.0
cond-mat/9911108,Dispersion of Ordered Stripe Phases in the Cuprates,2.994382252663362e-05,0.0004933153941596,34.0,3.0
cond-mat/0012301,"Two-particle self-consistent approximation, pseudogap and
  superconductivity in the attractive Hubbard model",2.989546653447552e-05,0.0,28.0,0.0
hep-ph/0703276,On the ground state of gapless two flavor color superconductors,2.924970132393597e-05,0.0,73.0,0.0
cond-mat/0702027,High-energy magnetic excitations from dynamic stripes in LBCO (x=1/8),2.904184006269723e-05,1.7141482769955803e-06,8.0,1.0
cond-mat/0703223,"""Waterfalls"" phenomenon in superconducting cuprates",2.855835148394668e-05,1.1896109704675662e-06,12.0,1.0
cond-mat/0405038,SO(5) Theory of Antiferromagnetism and Superconductivity,2.8527664010137e-05,5.5723629324388095e-05,25.0,11.0
cond-mat/0604057,"Antiferromagnetism and Superconductivity in layered organic conductors:
  Variational cluster approach",2.771656009585507e-05,4.012508813342771e-06,3.0,2.0
hep-ph/0605208,Topological Defects from First Order Gauge Theory Phase Transitions,2.7596504650009187e-05,0.0,24.0,0.0
cond-mat/0507459,How optimal inhomogeneity produces high temperature superconductivity,2.7441161993066524e-05,3.399121650109727e-05,45.0,11.0
