id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0306138,Heat kernel expansion: user's manual,8.921083380956964e-05,0.0004847181473103,162.0,54.0
cond-mat/0304363,Random matrix theory and symmetric spaces,5.707766058986665e-05,7.082954942172007e-06,83.0,9.0
hep-th/0003190,"A Collection of Exercises in Two-Dimensional Physics, Part 1",4.926360093773162e-05,2.5619240618061808e-05,78.0,11.0
hep-th/0111228,Bits and Pieces in Logarithmic Conformal Field Theory,3.657257139383127e-05,0.0015231256104299,127.0,67.0
cond-mat/0307559,Vortex Rings in two Component Bose-Einstein Condensates,3.250509516907189e-05,8.092611320955428e-05,30.0,6.0
hep-th/0109162,Quantum Field Theory on Noncommutative Spaces,3.216292833367945e-05,0.0023302478754585,245.0,345.0
cond-mat/0210312,Dynamics of glassy systems,3.1689188739820154e-05,0.0009709577040732,36.0,92.0
hep-th/9905229,Fractons and Fractal Statistics,3.108551512798182e-05,0.0,25.0,0.0
cond-mat/0303557,"Density Matrix Renormalization: A Review of the Method and its
  Applications",2.9847686978945227e-05,0.0009804778858551,39.0,3.0
cond-mat/0304344,"There is life in the old horse yet or what else we can learn studying
  spin-1/2 XY chains",2.8447688234113028e-05,0.0,14.0,0.0
hep-th/0008222,"Fractal statistics, fractal index and fractons",2.8286897607004105e-05,6.779994806793523e-05,6.0,1.0
cond-mat/0306407,"Non-linear Response of the trap model in the aging regime : Exact
  results in the strong disorder limit",2.750758565682875e-05,1.5966840803580124e-06,14.0,1.0
cond-mat/0309644,Adiabatic quantum pump in the presence of external ac voltages,2.703506512242138e-05,0.0,17.0,0.0
cond-mat/0211196,Granular media: some ideas from statistical physics,2.665589099060133e-05,5.985975010806061e-05,27.0,6.0
cond-mat/0106247,Numerical study of quantum percolation,2.426064315816521e-05,0.0,2.0,0.0
hep-th/0002181,"Fractal index, central charge and fractons",2.419855194445155e-05,7.5549271760619e-06,5.0,4.0
cond-mat/0306675,"Low Temperature Properties of Finite Dimensional Ising Spin Glasses :
  (some) Numerical Simulations",2.370139583640055e-05,0.0009742844857354,18.0,3.0
hep-th/0208202,"Integrable aspects of the scaling q-state Potts models II: finite-size
  effects",2.3451468561804506e-05,1.4561674741093027e-06,45.0,3.0
hep-th/0309077,Affine Toda-Sutherland Systems,2.2089077001803637e-05,3.41774098290059e-08,15.0,1.0
cond-mat/9901306,Reaction Diffusion Models in One Dimension with Disorder,2.178689225755542e-05,0.0,21.0,5.0
hep-th/0206226,Rotational Symmetry Breaking in Multi-Matrix Models,2.1381966929891404e-05,1.7581183183676626e-06,74.0,15.0
gr-qc/0005091,Superfluid analogies of cosmological phenomena,2.095795831569396e-05,0.0008292726086434,33.0,53.0
cond-mat/0310378,"A fourth-order time-splitting Laguerre-Hermite pseudo-spectral method
  for Bose-Einstein condensates",1.9607585684171308e-05,0.0,2.0,0.0
cond-mat/0303650,Multiplicative Noise in Non-equilibrium Phase Transitions: A tutorial,1.932586101062299e-05,1.7937635989138633e-05,14.0,7.0
hep-ph/0108236,Supersymmetry Structure and Phenomena,1.882314141830108e-05,0.0001360458226487,74.0,19.0
