id,title,pagerank,betweenness,in_degree,out_degree
quant-ph/0412143,Limits on Efficient Computation in the Physical World,2.7521244920157797e-05,0.0029479994478036,100.0,3.0
hep-th/0602072,Computational complexity of the landscape I,2.4023928901861395e-05,0.0068229769815117,61.0,20.0
cs/0607036,Combinatorial laplacians and positivity under partial transpose,2.281742582748254e-05,1.990182755160072e-06,21.0,1.0
cs/0604113,One-in-Two-Matching Problem is NP-complete,2.1771329158181355e-05,0.0,14.0,0.0
quant-ph/0612107,"How a Clebsch-Gordan Transform Helps to Solve the Heisenberg Hidden
  Subgroup Problem",2.157632942233928e-05,0.0,18.0,0.0
cond-mat/0603350,The number of matchings in random graphs,2.025414237535378e-05,0.0,7.0,3.0
cs/0703059,Geometry and the complexity of matrix multiplication,1.8002094679962426e-05,0.0,6.0,0.0
quant-ph/0611021,Merlin-Arthur Games and Stoquastic Complexity,1.761667652666611e-05,2.4753516855224776e-09,10.0,1.0
quant-ph/0505188,Lower Bounds on Matrix Rigidity via a Quantum Argument,1.5170246019152643e-05,1.990182755160072e-06,10.0,1.0
quant-ph/0602114,"The quantum measurement problem and physical reality: a computation
  theoretic perspective",1.292949649198721e-05,0.0,17.0,0.0
quant-ph/0412187,"Quantum Computing, Postselection, and Probabilistic Polynomial-Time",1.2313305327060553e-05,1.974005740999684e-05,15.0,11.0
quant-ph/0502072,NP-complete Problems and Physical Reality,1.1813775888480143e-05,6.745354401851358e-05,32.0,5.0
cs/0604003,Hypercomputing the Mandelbrot Set?,1.1177345564908152e-05,0.0,1.0,0.0
cs/0506081,Three lines proof of the lower bound for the matrix rigidity,9.369103706547652e-06,0.0,1.0,1.0
cs/0412022,Zeno machines and hypercomputation,8.674352702158302e-06,1.990182755160072e-06,7.0,1.0
quant-ph/0305028,Polynomial degree vs. quantum query complexity,8.580318411269921e-06,6.280679278711842e-06,22.0,9.0
quant-ph/0311039,Multilinear Formulas and Skepticism of Quantum Computing,8.399769799828203e-06,1.2651221993271826e-05,15.0,6.0
quant-ph/0504012,Quantum search algorithms,8.045270554725352e-06,1.9806580323701277e-06,29.0,2.0
