id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0504025,Point process model of 1/f noise versus a sum of Lorentzians,1.0893747286915562e-05,7.046440502284184e-06,12.0,3.0
cond-mat/0304132,Causalities of the Taiwan Stock Market,5.295247239606113e-06,0.0,4.0,0.0
cs/0307053,"Hamevol1.0: a C++ code for differential equations based on Runge-Kutta
  algorithm. An application to matter enhanced neutrino oscillation",4.742562398462867e-06,0.0,8.0,0.0
cs/0506089,"Field geology with a wearable computer: 1st results of the Cyborg
  Astrobiologist System",4.411123543442139e-06,0.0,3.0,0.0
astro-ph/0504006,Virtual Observatory: From Concept to Implementation,4.260462129331721e-06,0.0,4.0,1.0
math/0309285,An Algorithm for Optimal Partitioning of Data on an Interval,3.62335329328243e-06,0.0,2.0,1.0
cs/0510034,COMODI: On the Graphical User Interface,3.62335329328243e-06,0.0,2.0,0.0
cs/0311011,"On an explicit finite difference method for fractional diffusion
  equations",3.5551959620992585e-06,0.0,2.0,1.0
cond-mat/0412723,Modelling financial markets by the multiplicative sequence of trades,3.348758391394161e-06,4.885753495776897e-07,5.0,4.0
cs/0509012,Kriging Scenario For Capital Markets,3.1564676950366884e-06,0.0,2.0,0.0
cs/0305055,Goodness-of-fit of the Heston model,3.078280775473588e-06,0.0,1.0,0.0
cs/0609001,"A Robust Solution Procedure for Hyperelastic Solids with Large Boundary
  Deformation",3.0472482127272877e-06,0.0,2.0,0.0
cond-mat/0301307,Nonextensive statistical mechanics and economics,2.8928011107265413e-06,6.442869050953456e-06,5.0,4.0
cond-mat/0303089,Multiplicative point process as a model of trading activity,2.8183614485973225e-06,4.885753495776897e-07,4.0,5.0
cs/0407029,Static versus Dynamic Arbitrage Bounds on Multivariate Option Prices,2.697084014042981e-06,0.0,2.0,0.0
cs/0410005,A dynamical model of a GRID market,2.587952801650048e-06,0.0,1.0,0.0
cs/0507025,Comparison of Resampling Schemes for Particle Filtering,2.4711431321721443e-06,0.0,1.0,0.0
cs/0307064,Implementing an Agent Trade Server,2.4711431321721443e-06,0.0,1.0,0.0
cs/0506034,"A Taxonomy of Data Grids for Distributed Data Sharing, Management and
  Processing",2.4711431321721443e-06,0.0,1.0,0.0
cs/0605073,"Analytic Properties and Covariance Functions of a New Class of
  Generalized Gibbs Random Fields",2.4060086373771908e-06,0.0,1.0,2.0
q-bio/0403036,The Triplet Genetic Code had a Doublet Predecessor,2.3926175333662813e-06,0.0,3.0,0.0
cs/0505058,"The Cyborg Astrobiologist: Scouting Red Beds for Uncommon Features with
  Geological Significance",2.2960610328299915e-06,0.0,2.0,1.0
cs/0510027,A Market Test for the Positivity of Arrow-Debreu Prices,2.120978933487838e-06,0.0,1.0,0.0
cs/0506051,"Comparison of two different implementations of a
  finite-difference-method for first-order pde in mathematica and matlab",1.9803101477411127e-06,0.0,1.0,0.0
physics/0007075,Optimization of Trading Physics Models of Markets,1.955466569203392e-06,0.0,1.0,0.0
cs/0610120,Classdesc and Graphcode: support for scientific programming in C++,1.8950380516170012e-06,0.0,1.0,0.0
cs/0502076,Learning nonsingular phylogenies and hidden Markov models,1.8950380516170012e-06,0.0,1.0,0.0
cs/0406021,A direct formulation for sparse PCA using semidefinite programming,1.8950380516170012e-06,0.0,1.0,0.0
cs/0306097,A family of metrics on contact structures based on edge ideals,1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0604024,The transposition distance for phylogenetic trees,1.8950380516170012e-06,0.0,1.0,0.0
cs/0609145,A Semidefinite Relaxation for Air Traffic Flow Scheduling,1.8950380516170012e-06,0.0,1.0,0.0
cs/0111054,The similarity metric,1.8563310916148584e-06,0.0,2.0,3.0
cs/0304009,Stochastic Volatility in a Quantitative Model of Stock Market Returns,1.72520813686752e-06,0.0,1.0,1.0
cond-mat/0002331,"From naive to sophisticated behavior in multiagents based financial
  market models",1.6754612126118354e-06,0.0,2.0,2.0
cs/0303031,A Bird's eye view of Matrix Distributed Processing,1.6595327799251628e-06,0.0,2.0,0.0
hep-lat/0505005,Parallel Programming with Matrix Distributed Processing,1.619608361258071e-06,0.0,1.0,1.0
cs/0410071,The Cyborg Astrobiologist: First Field Experience,1.60698551133943e-06,0.0,1.0,2.0
cs/0609079,Modern Statistics by Kriging,1.3189329710618589e-06,0.0,0.0,3.0
cs/0204056,Trading Agents for Roaming Users,1.3189329710618589e-06,0.0,0.0,1.0
