id,title,pagerank,betweenness,in_degree,out_degree
math/0702239,Polyhedral representation conversion up to symmetries,2.325121631157688e-05,0.0,3.0,0.0
cs/0412046,Quasiconvex Programming,2.3018288394152277e-05,0.0,9.0,1.0
cs/0412025,Minimum Dilation Stars,1.5072745317256025e-05,0.0,1.0,1.0
cs/0607094,Upright-Quad Drawing of st-Planar Learning Spaces,9.758290355368548e-06,0.0,5.0,0.0
math/0210052,"Criteria for Balance in Abelian Gain Graphs, with Applications to
  Piecewise-Linear Geometry",8.647801664806624e-06,0.0,3.0,2.0
cs/0304018,Quasiconvex Analysis of Backtracking Algorithms,8.557712187303251e-06,0.0,7.0,2.0
cs/0610092,Happy endings for flip graphs,7.6100624052910576e-06,0.0,2.0,0.0
cs/9908003,Ununfoldable Polyhedra with Convex Faces,7.092384155769953e-06,0.0,3.0,4.0
cs/0307023,Testing Bipartiteness of Geometric Intersection Graphs,6.373609706468238e-06,0.0,4.0,0.0
cs/0701045,Polygon Convexity: Another O(n) Test,5.430880348249121e-06,0.0,3.0,0.0
cs/0512073,Schwerdtfeger-Fillmore-Springer-Cnops Construction Implemented in GiNaC,5.229028763014751e-06,0.0,2.0,2.0
cs/0604034,"Squarepants in a Tree: Sum of Subtree Clustering and Hyperbolic Pants
  Decomposition",5.227445218134388e-06,0.0,3.0,0.0
cs/0007042,Computational Geometry Column 39,4.580159970007856e-06,0.0,3.0,0.0
math/0510263,Cubic Partial Cubes from Simplicial Arrangements,4.411552577449143e-06,0.0,3.0,1.0
cs/0512042,Points on Computable Curves,4.165555570275477e-06,0.0,1.0,0.0
math/0604584,"Enumeration of non-orientable 3-manifolds using face pairing graphs and
  union-find",3.88952783210807e-06,0.0,3.0,1.0
cs/0107024,Enumerating Foldings and Unfoldings between Polygons and Polytopes,3.888061612129075e-06,0.0,2.0,1.0
cs/0110054,Vertex-Unfoldings of Simplicial Manifolds,3.888061612129075e-06,0.0,2.0,0.0
cs/9909001,Emerging Challenges in Computational Topology,3.719370806708288e-06,0.0,5.0,2.0
cs/0108020,Flipping Cubical Meshes,3.5811193810024943e-06,0.0,4.0,0.0
q-bio/0610017,"Number sequence representation of protein structures based on the second
  derivative of a folded tetrahedron sequence",3.3749066596554898e-06,0.0,1.0,0.0
cs/0703153,The periodic domino problem is undecidable in the hyperbolic plane,3.3749066596554898e-06,0.0,1.0,0.0
cs/0410044,An Example of Clifford Algebras Calculations with GiNaC,3.368447926064598e-06,0.0,1.0,3.0
math/0408122,Perfect Delaunay Polytopes and Perfect Inhomogeneous Forms,3.343951855096574e-06,0.0,2.0,1.0
cs/0406020,Algorithms for Drawing Media,3.339701409299373e-06,0.0,3.0,2.0
cs/9908005,Polygonal Chains Cannot Lock in 4D,3.2671434218216862e-06,0.0,2.0,2.0
cs/0210020,"Tetris is Hard, Even to Approximate",3.2505926093504603e-06,0.0,1.0,0.0
cs/0304025,Computational Geometry Column 44,3.2377093426431747e-06,0.0,2.0,0.0
cs/0106032,Hinged Kite Mirror Dissection,3.001809991938506e-06,0.0,2.0,3.0
cs/0412095,"Partitioning Regular Polygons into Circular Pieces II:Nonconvex
  Partitions",2.923024895913817e-06,0.0,1.0,0.0
cs/9910009,Locked and Unlocked Polygonal Chains in 3D,2.6319495192480272e-06,0.0,1.0,2.0
cs/0007019,"Examples, Counterexamples, and Enumeration Results for Foldings and
  Unfoldings between Polygons and Polytopes",2.6289266828598087e-06,0.0,1.0,2.0
cs/0107023,Vertex-Unfoldings of Simplicial Polyhedra,2.6289266828598087e-06,0.0,1.0,2.0
cs/0207057,Physical Traces: Quantum vs. Classical Information Processing,2.563114877646984e-06,0.0,2.0,8.0
nlin/0410062,"A method to discern complexity in two-dimensional patterns generated by
  coupled map lattices",2.4711431321721443e-06,0.0,1.0,1.0
cs/0703147,The finite tiling problem is undecidable in the hyperbolic plane,2.4711431321721443e-06,0.0,1.0,1.0
cs/0701096,"About the domino problem in the hyperbolic plane, a new solution",2.4711431321721443e-06,0.0,1.0,0.0
cs/0511084,Ramsey partitions and proximity data structures,2.4711431321721443e-06,0.0,1.0,1.0
cs/0307027,Deterministic Sampling and Range Counting in Geometric Data Streams,2.429735359900988e-06,0.0,2.0,0.0
cs/0009024,Computing the Depth of a Flat,2.429735359900988e-06,0.0,2.0,0.0
cs/0007021,PushPush and Push-1 are NP-hard in 2D,2.429735359900988e-06,0.0,2.0,0.0
cs/0702013,"A polynomial time algorithm to approximate the mixed volume within a
  simply exponential factor",2.25053788980118e-06,0.0,1.0,0.0
cs/0212007,Optimized Color Gamuts for Tiled Displays,2.216996446913695e-06,0.0,2.0,2.0
cs/0101006,"Optimal Moebius Transformations for Information Visualization and
  Meshing",2.183090591894573e-06,0.0,2.0,3.0
cs/9907018,Hinged Dissection of Polyominoes and Polyforms,2.1309374023216702e-06,0.0,1.0,2.0
cs/0604022,Locked and Unlocked Chains of Planar Shapes,2.1309374023216702e-06,0.0,1.0,0.0
