source,target
cmp-lg/9504032,cmp-lg/9607007
cs/0007013,cs/0106059
cmp-lg/9510008,cmp-lg/9511001
cmp-lg/9406029,cmp-lg/9406031
cmp-lg/9406030,cmp-lg/9406031
cmp-lg/9406028,cmp-lg/9406031
cmp-lg/9606022,cmp-lg/9606024
cmp-lg/9505011,cs/9811004
cs/0001002,cs/9811004
cmp-lg/9406029,cmp-lg/9406030
cmp-lg/9406031,cmp-lg/9406030
cmp-lg/9504032,cmp-lg/9707006
cmp-lg/9607007,cmp-lg/9707006
cmp-lg/9504032,cmp-lg/9804002
cmp-lg/9505031,cmp-lg/9804002
cmp-lg/9506014,cmp-lg/9604007
cmp-lg/9406013,cmp-lg/9506018
cs/9903003,cs/9907003
cmp-lg/9511001,cmp-lg/9601008
cmp-lg/9510008,cmp-lg/9601008
cmp-lg/9601006,cmp-lg/9601008
cmp-lg/9511001,cmp-lg/9601006
cmp-lg/9510008,cmp-lg/9601006
cmp-lg/9601008,cmp-lg/9601006
cmp-lg/9504032,cmp-lg/9802001
cmp-lg/9503003,cmp-lg/9802001
cmp-lg/9607007,cmp-lg/9802001
cmp-lg/9707006,cmp-lg/9802001
cmp-lg/9405001,cmp-lg/9509001
cmp-lg/9409002,cmp-lg/9509001
cmp-lg/9410016,cmp-lg/9804001
cmp-lg/9508004,cmp-lg/9804001
cs/0106059,cs/0408027
cmp-lg/9508004,cmp-lg/9706004
cmp-lg/9612001,cmp-lg/9706004
cmp-lg/9605012,cmp-lg/9706004
cmp-lg/9506021,cmp-lg/9706004
cmp-lg/9606011,cmp-lg/9706004
cmp-lg/9706003,cmp-lg/9706004
cmp-lg/9410029,cmp-lg/9706004
cs/9904009,cs/9811018
cmp-lg/9808008,cs/9811018
cs/9810012,cs/9811018
cs/0009027,cs/9811018
cs/9904008,cs/9811018
cs/9811004,cs/9811018
cs/9812004,cs/9810012
cs/9811018,cs/9810012
cs/0106059,cs/9810012
cs/0001002,cs/9810012
cmp-lg/9508004,cmp-lg/9706003
cmp-lg/9605012,cmp-lg/9706003
cmp-lg/9706004,cmp-lg/9706003
cmp-lg/9405007,cmp-lg/9706003
cmp-lg/9504030,cmp-lg/9706003
cmp-lg/9601009,cmp-lg/9702005
cmp-lg/9607025,cmp-lg/9702006
cmp-lg/9506018,cmp-lg/9703003
cmp-lg/9603001,cmp-lg/9704003
cmp-lg/9412003,cmp-lg/9708011
cmp-lg/9408011,cmp-lg/9708011
cmp-lg/9603002,cmp-lg/9711002
cmp-lg/9704010,cmp-lg/9712007
cmp-lg/9607028,cmp-lg/9802002
cmp-lg/9604001,cmp-lg/9802002
cmp-lg/9606005,cmp-lg/9802002
cmp-lg/9606030,cmp-lg/9802002
cmp-lg/9610003,cmp-lg/9805007
cmp-lg/9605031,cmp-lg/9805007
cmp-lg/9712004,cmp-lg/9805011
cmp-lg/9508004,cmp-lg/9807005
cmp-lg/9503015,cmp-lg/9807005
cmp-lg/9804001,cmp-lg/9807005
cmp-lg/9612005,cmp-lg/9807006
cmp-lg/9404008,cmp-lg/9601002
cmp-lg/9505041,cmp-lg/9604023
cmp-lg/9406031,cmp-lg/9605038
cmp-lg/9407015,cmp-lg/9605038
cmp-lg/9602003,cmp-lg/9608003
cmp-lg/9410008,cmp-lg/9608003
cmp-lg/9604007,cmp-lg/9608004
cmp-lg/9511001,cmp-lg/9608014
cmp-lg/9510008,cmp-lg/9608014
cmp-lg/9601008,cmp-lg/9608014
cmp-lg/9503011,cmp-lg/9610004
cmp-lg/9606019,cmp-lg/9611003
cmp-lg/9605031,cmp-lg/9611003
cmp-lg/9606022,cmp-lg/9611003
cmp-lg/9606024,cmp-lg/9611003
cmp-lg/9503003,cmp-lg/9503004
cmp-lg/9406023,cmp-lg/9505035
cmp-lg/9406010,cmp-lg/9505040
cmp-lg/9410026,cmp-lg/9505040
cmp-lg/9502010,cmp-lg/9505040
cmp-lg/9406011,cmp-lg/9505040
cmp-lg/9509001,cmp-lg/9509002
cmp-lg/9409003,cmp-lg/9509002
cmp-lg/9404001,cmp-lg/9404003
cmp-lg/9806013,cs/9907013
cmp-lg/9605010,cs/9812018
cs/9811004,cs/9902027
cmp-lg/9808001,cs/9905001
cmp-lg/9706014,cs/9906005
cmp-lg/9606024,cs/9906006
cmp-lg/9504026,cs/9906014
cmp-lg/9411002,cs/9906026
cs/0412098,cs/0504089
cs/0105030,cs/0308022
cs/9911006,cs/0208020
cs/0105001,cs/0208020
cs/0105030,cs/0204004
cs/0105030,cs/0204020
cmp-lg/9804002,cs/0204025
cs/9903003,cs/0204026
cs/9907003,cs/0204026
cs/0204005,cs/0205028
cs/0105001,cs/0112003
cmp-lg/9805009,cs/0109023
cs/0105030,cs/0110014
cs/9911006,cs/0008032
cmp-lg/9510008,cs/0008033
cmp-lg/9802001,cs/0010030
cmp-lg/9707006,cs/0010030
cs/9903003,cs/0010033
cs/9907003,cs/0010033
cs/9809024,cs/0005015
cmp-lg/9504032,cs/0006044
cmp-lg/9606029,cs/0006044
cmp-lg/9607007,cs/0006044
cs/9903003,cs/0007022
cs/9903003,cs/0007023
cs/9906015,cs/0008004
cs/9906004,cs/0008004
cs/9911011,cs/0008015
cs/0005025,cs/0008015
