id,title,pagerank,betweenness,in_degree,out_degree
cs/9811018,P-model Alternative to the T-model,2.641625769192378e-05,0.0,6.0,1.0
cmp-lg/9706004,An Empirical Comparison of Probability Models for Dependency Grammar,2.4444621004418785e-05,0.0,7.0,1.0
cs/9810012,Ultrametric Distance in Syntax,2.4311239297000843e-05,1.990182755160072e-06,6.0,1.0
cmp-lg/9706003,Three New Probabilistic Models for Dependency Parsing: An Exploration,1.938725247493525e-05,0.0,5.0,1.0
cmp-lg/9406031,A Psycholinguistically Motivated Parser for CCG,7.953518940214449e-06,0.0,3.0,2.0
cmp-lg/9601008,Noun Phrase Reference in Japanese-to-English Machine Translation,5.979993124258332e-06,0.0,3.0,2.0
cmp-lg/9802002,A Hybrid Environment for Syntax-Semantic Tagging,5.927773615503002e-06,0.0,4.0,0.0
cmp-lg/9505040,Text Chunking using Transformation-Based Learning,5.927773615503002e-06,0.0,4.0,0.0
cs/0010030,Reduction of Intermediate Alphabets in Finite-State Transducer Cascades,5.510109693606079e-06,0.0,2.0,0.0
cmp-lg/9509002,"Conserving Fuel in Statistical Language Learning: Predicting Data
  Requirements",5.430880348249121e-06,0.0,2.0,0.0
cmp-lg/9605038,Efficient Normal-Form Parsing for Combinatory Categorial Grammar,5.317071437638881e-06,0.0,2.0,0.0
cond-mat/0403233,Artificial Sequences and Complexity Measures,5.19936710597502e-06,0.0,6.0,0.0
cmp-lg/9807005,Graph Interpolation Grammars as Context-Free Automata,5.041110242914184e-06,0.0,3.0,0.0
cmp-lg/9406030,The complexity of normal form rewrite sequences for Associativity,4.740966357083738e-06,0.0,2.0,1.0
cmp-lg/9601006,"Possessive Pronouns as Determiners in Japanese-to-English Machine
  Translation",4.5168171075584285e-06,0.0,3.0,1.0
cmp-lg/9608014,Classifiers in Japanese-to-English Machine Translation,4.5168171075584285e-06,0.0,3.0,0.0
cmp-lg/9611003,Data-Oriented Language Processing. An Overview,4.42539925570841e-06,0.0,4.0,0.0
cs/0701181,A Note on Local Ultrametricity in Text,4.036013177194856e-06,0.0,1.0,2.0
cs/0210025,An Algorithm for Pattern Discovery in Time Series,3.74491211126436e-06,0.0,4.0,4.0
cmp-lg/9509001,How much is enough?: Data requirements for statistical NLP,3.62335329328243e-06,0.0,2.0,1.0
cs/0008015,Temiar Reduplication in One-Level Prosodic Morphology,3.62335329328243e-06,0.0,2.0,0.0
cmp-lg/9708011,Similarity-Based Approaches to Natural Language Processing,3.62335329328243e-06,0.0,2.0,0.0
cmp-lg/9608003,Stylistic Variation in an Information Retrieval Experiment,3.62335329328243e-06,0.0,2.0,0.0
cs/0008004,Comparing two trainable grammatical relations finders,3.62335329328243e-06,0.0,2.0,0.0
cs/0204025,Phonology,3.5556593651521584e-06,0.0,1.0,0.0
cs/0412098,The Google Similarity Distance,3.4990187908037217e-06,0.0,1.0,3.0
cmp-lg/9802001,"Look-Back and Look-Ahead in the Conversion of Hidden Markov Models into
  Finite State Transducers",3.4629176482959063e-06,0.0,4.0,1.0
cs/0504089,Universal Similarity,3.3817361725173822e-06,0.0,3.0,0.0
cmp-lg/9608004,Patterns of Language - A Population Model for Language Structure,3.3749066596554898e-06,0.0,1.0,0.0
cmp-lg/9703003,A Semantics-based Communication System for Dysphasic Subjects,3.3749066596554898e-06,0.0,1.0,0.0
cs/0006044,Finite-State Non-Concatenative Morphotactics,3.145906119929853e-06,0.0,3.0,0.0
cmp-lg/9805007,Parsing Inside-Out,3.0472482127272877e-06,0.0,2.0,0.0
cs/9811004,Does Meaning Evolve?,3.0472482127272877e-06,0.0,2.0,2.0
cmp-lg/9804001,"Graph Interpolation Grammars: a Rule-based Approach to the Incremental
  Parsing of Natural Languages",2.759195672449716e-06,0.0,2.0,1.0
cmp-lg/9804002,The Proper Treatment of Optimality in Computational Phonology,2.7015851643942016e-06,0.0,2.0,1.0
cs/9902027,Autocatalytic Theory of Meaning,2.5728606972295104e-06,0.0,1.0,0.0
cmp-lg/9506018,"Intelligent Voice Prosthesis: Converting Icons into Natural Language
  Sentences",2.4711431321721443e-06,0.0,1.0,1.0
cmp-lg/9604007,Collocational Grammar,2.4711431321721443e-06,0.0,1.0,1.0
cs/0106059,CHR as grammar formalism. A first report,2.4711431321721443e-06,0.0,1.0,2.0
cmp-lg/9505035,Development of a Spanish Version of the Xerox Tagger,2.4711431321721443e-06,0.0,1.0,0.0
cmp-lg/9711002,Approximating Context-Free Grammars with a Finite-State Calculus,2.4711431321721443e-06,0.0,1.0,0.0
cmp-lg/9702005,Software Infrastructure for Natural Language Processing,2.4711431321721443e-06,0.0,1.0,0.0
cmp-lg/9704003,Machine Transliteration,2.4711431321721443e-06,0.0,1.0,0.0
cs/9907013,Corpus Annotation for Parser Evaluation,2.4711431321721443e-06,0.0,1.0,0.0
