source,target
quant-ph/9611031,quant-ph/9603004
quant-ph/9906103,quant-ph/9911043
quant-ph/0409029,quant-ph/9906103
quant-ph/0204063,quant-ph/0304112
quant-ph/0204022,quant-ph/0304112
quant-ph/9906103,quant-ph/0409029
quant-ph/9911043,quant-ph/0204022
quant-ph/0205128,quant-ph/0306161
quant-ph/9906103,quant-ph/0405101
quant-ph/9911043,quant-ph/0204063
cs/0011004,quant-ph/0409201
quant-ph/0409125,quant-ph/0409201
quant-ph/9906103,quant-ph/9810067
cs/0207080,cs/0301022
cs/0207079,cs/0301022
cs/0207080,math/0506180
quant-ph/0410017,quant-ph/0504207
quant-ph/9911043,quant-ph/0212043
quant-ph/9906103,quant-ph/0212043
cs/0401030,cs/0402060
quant-ph/0306161,quant-ph/0503139
quant-ph/0205128,quant-ph/0503139
quant-ph/0204022,quant-ph/0508149
quant-ph/9906103,quant-ph/9910087
cs/0410024,cs/0411065
quant-ph/0307200,quant-ph/0407200
quant-ph/0307200,quant-ph/0405089
quant-ph/0306118,quant-ph/0405089
quant-ph/9906103,quant-ph/0111099
quant-ph/9911043,quant-ph/0111099
math/0209267,math/0311047
math/0209267,math/0410068
math/0404076,math/0411644
math/0209267,math/0411644
math/0404076,math/0512140
cs/9907040,cs/9911007
cs/0605028,cs/0702051
cs/0607011,cs/0702095
cs/0605028,cs/0702112
cs/0401030,cs/0612038
cs/0112014,cs/0612038
cs/0402060,cs/0612038
cs/0611066,cs/0611067
cs/0607131,cs/0610036
math/0209267,cs/0609091
cs/0501014,cs/0608024
cs/0509036,cs/0608024
cs/0409005,cs/0606063
cs/0112014,cs/0602012
cs/0402060,cs/0602012
cs/0401030,cs/0602012
math/0506180,cs/0602063
math/0505487,cs/0602063
math/0506180,cs/0601049
math/0505487,cs/0601049
cs/0611065,cs/0509059
quant-ph/0505089,cs/0506003
cs/0301022,cs/0309010
cs/9904005,cs/0204041
cs/0110019,cs/0206020
cs/0005026,cs/0010013
quant-ph/0605041,quant-ph/0611033
