id,title,pagerank,betweenness,in_degree,out_degree
quant-ph/0401041,"Quantum Watermarking by Frequency of Error when Observing Qubits in
  Dissimilar Bases",3.87655033506555e-05,0.0,4.0,0.0
cs/0701085,Variations on the Fibonacci Universal Code,1.7775437937957215e-05,0.0,2.0,0.0
quant-ph/0701168,Using quantum key distribution for cryptographic purposes: a survey,1.1301313514556956e-05,0.0,13.0,0.0
math/0509523,Permutation Polynomials modulo m,1.026119467838564e-05,0.0,3.0,2.0
quant-ph/0405089,Combinatorial Approaches in Quantum Information Theory,6.975451553424628e-06,1.0193144619312202e-06,12.0,2.0
cs/0612038,"Non-Archimedean analysis, T-functions, and cryptography",6.04429362832881e-06,0.0,5.0,0.0
quant-ph/0611033,Approximate Randomization of Quantum States With Fewer Bits of Key,5.927897179649229e-06,0.0,3.0,0.0
quant-ph/0508149,Variable Bias Coin Tossing,5.813219750016872e-06,0.0,3.0,1.0
quant-ph/0204022,A New Protocol and Lower Bounds for Quantum Coin Flipping,5.159126340488651e-06,0.0,5.0,11.0
quant-ph/0403069,"Computational Indistinguishability between Quantum States and Its
  Cryptographic Application",5.103215742306914e-06,0.0,5.0,1.0
quant-ph/0503027,A Three-Stage Quantum Cryptography Protocol,4.99597713211323e-06,0.0,3.0,0.0
cs/0204041,Trust Brokerage Systems for the Internet,4.7530577026366125e-06,0.0,3.0,0.0
cs/0506003,Authentication and routing in simple Quantum Key Distribution networks,4.626646950292932e-06,0.0,2.0,0.0
math/0311047,Assessing security of some group based cryptosystems,4.349725255294025e-06,0.0,6.0,0.0
cs/0501017,Public Key Cryptography based on Semigroup Actions,4.31215572623082e-06,0.0,2.0,0.0
quant-ph/0306161,"How to reuse a one-time pad and other notes on authentication,
  encryption and protection of quantum information",4.215793196726431e-06,6.134636895574934e-05,15.0,8.0
quant-ph/0304112,Multiparty Quantum Coin Flipping,4.20272557708608e-06,1.8565137641418583e-08,7.0,8.0
