id,title,pagerank,betweenness,in_degree,out_degree
cs/0311031,"Towards an Intelligent Database System Founded on the SP Theory of
  Computing and Cognition",4.370789514553709e-06,0.0,6.0,0.0
cs/0412098,The Google Similarity Distance,3.4990187908037217e-06,0.0,1.0,3.0
cs/0401015,Query Answering in Peer-to-Peer Data Exchange Systems,3.4370183180622248e-06,0.0,2.0,0.0
cs/0307073,Search and Navigation in Relational Databases,3.3749066596554898e-06,0.0,1.0,0.0
cs/0410053,"An Extended Generalized Disjunctive Paraconsistent Data Model for
  Disjunctive Information",2.4711431321721443e-06,0.0,1.0,0.0
cs/0211020,"Monadic Datalog and the Expressive Power of Languages for Web
  Information Extraction",2.4711431321721443e-06,0.0,1.0,0.0
cs/0004007,Deciding first-order properties of locally tree-decomposable structures,2.4711431321721443e-06,0.0,1.0,0.0
cs/9904002,A geometric framework for modelling similarity search,2.4711431321721443e-06,0.0,1.0,0.0
cs/0505059,"Consistent query answers on numerical databases under aggregate
  constraints",2.4711431321721443e-06,0.0,1.0,0.0
cs/0610011,Creation and use of Citations in the ADS,2.3469198153586743e-06,0.0,1.0,0.0
cs/0010033,A Formal Framework for Linguistic Annotation (revised version),2.2158564365873934e-06,0.0,2.0,0.0
cs/0204026,Querying Databases of Annotated Speech,2.2158564365873934e-06,0.0,2.0,0.0
cs/0212004,Minimal-Change Integrity Maintenance Using Tuple Deletions,1.8950380516170012e-06,0.0,1.0,1.0
cs/0211042,Database Repairs and Analytic Tableaux,1.8950380516170012e-06,0.0,1.0,0.0
cs/0703056,Unasssuming View-Size Estimation Techniques in OLAP,1.8950380516170012e-06,0.0,1.0,0.0
cs/0703058,"A Comparison of Five Probabilistic View-Size Estimation Techniques in
  OLAP",1.8950380516170012e-06,0.0,1.0,0.0
cs/0007023,Towards a query language for annotation graphs,1.5493750032839157e-06,0.0,1.0,0.0
cs/0307032,Data Management and Mining in Astrophysical Databases,1.3189329710618589e-06,0.0,0.0,1.0
cs/0610010,"One-Pass, One-Hash n-Gram Statistics Estimation",1.3189329710618589e-06,0.0,0.0,2.0
cs/0106046,"Expressing the cone radius in the relational calculus with real
  polynomial constraints",1.3189329710618589e-06,0.0,0.0,1.0
cs/9901004,"On the geometry of similarity search: dimensionality curse and
  concentration of measure",1.3189329710618589e-06,0.0,0.0,1.0
cs/0503032,"Complexity and Approximation of Fixing Numerical Attributes in Databases
  Under Integrity Constraints",1.3189329710618589e-06,0.0,0.0,1.0
cs/0310012,A Formal Comparison of Visual Web Wrapper Generators,1.3189329710618589e-06,0.0,0.0,1.0
