id,title,pagerank,betweenness,in_degree,out_degree
cs/0611128,"Scale-Free Overlay Topologies with Hard Cutoffs for Unstructured
  Peer-to-Peer Networks",3.507727815371592e-05,0.0,3.0,0.0
cs/0606060,"Complex Networks: New Concepts and Tools for Real-Time Imaging and
  Vision",1.3435705668679707e-05,0.0,9.0,0.0
cs/9908014,An Introduction to Collective Intelligence,9.09495133914865e-06,5.7715299899642086e-05,12.0,5.0
cs/0307019,Lattice QCD Production on Commodity Clusters at Fermilab,7.018216001623021e-06,0.0,1.0,0.0
cond-mat/9812344,"Parallelization of a Dynamic Monte Carlo Algorithm: a Partially
  Rejection-Free Conservative Approach",6.915007342277379e-06,0.0,4.0,2.0
cs/0404014,A Modular and Fault-Tolerant Data Transport Framework,5.2789020724367525e-06,0.0,7.0,1.0
cs/9912012,Avoiding Braess' Paradox through Collective Intelligence,5.252326499503554e-06,0.0,2.0,0.0
hep-lat/0307015,"On the scaling of computational particle physics codes on cluster
  computers",5.033491530514588e-06,3.6702055102807546e-08,7.0,2.0
physics/0612134,Effective networks for real-time distributed processing,4.78415957435246e-06,0.0,3.0,0.0
physics/0410226,"THE CAVES Project - Collaborative Analysis Versioning Environment
  System; THE CODESH Project - Collaborative Development Shell",4.657503078974051e-06,0.0,1.0,0.0
astro-ph/0112092,"Systolic and Hyper-Systolic Algorithms for the Gravitational N-Body
  Problem, with an Application to Brownian Motion",4.339136880022827e-06,2.1167452561663348e-05,3.0,5.0
quant-ph/0304112,Multiparty Quantum Coin Flipping,4.20272557708608e-06,1.8565137641418583e-08,7.0,8.0
cs/0211013,"Algorithmic scalability in globally constrained conservative parallel
  discrete event simulations of asynchronous systems",3.574625039529804e-06,0.0,1.0,1.0
cs/0209023,Practical Load Balancing for Content Requests in Peer-to-Peer Networks,3.49912997646896e-06,0.0,2.0,0.0
cs/0306043,Skip Graphs,3.3749066596554898e-06,0.0,1.0,0.0
cond-mat/9909114,"From Massively Parallel Algorithms and Fluctuating Time Horizons to
  Non-equilibrium Surface Growth",3.202008927026733e-06,0.0,1.0,1.0
cs/0303016,Fast Parallel I/O on Cluster Computers,2.931679760450033e-06,1.7484414587728044e-06,6.0,1.0
cs/0412038,"Tycoon: an Implementation of a Distributed, Market-based Resource
  Allocation System",2.4711431321721443e-06,0.0,1.0,1.0
cs/0302022,Fault-tolerant routing in peer-to-peer systems,2.4711431321721443e-06,0.0,1.0,1.0
cs/0409024,Aperiodic Tilings: Breaking Translational Symmetry,2.4711431321721443e-06,0.0,1.0,1.0
cs/0702042,A Formal Model for Programming Wireless Sensor Networks,2.4711431321721443e-06,0.0,1.0,0.0
cs/9908002,"After Compilers and Operating Systems : The Third Advance in Application
  Support",2.4711431321721443e-06,0.0,1.0,0.0
cs/0112020,Concurrent computing machines and physical space-time,2.4711431321721443e-06,0.0,1.0,0.0
cs/0407058,Communication-Aware Processor Allocation for Supercomputers,2.4711431321721443e-06,0.0,1.0,0.0
cs/0511094,A Machine-Independent port of the MPD language run time system to NetBSD,2.4711431321721443e-06,0.0,1.0,0.0
cs/0604109,CMS Software Distribution on the LCG and OSG Grids,2.4711431321721443e-06,0.0,1.0,0.0
cs/0401006,"Cluster computing performances using virtual processors and mathematical
  software",2.4711431321721443e-06,0.0,1.0,0.0
cs/0501021,"Large-scale lattice Boltzmann simulations of complex fluids: advances
  through the advent of computational grids",2.4711431321721443e-06,0.0,1.0,0.0
cs/0506034,"A Taxonomy of Data Grids for Distributed Data Sharing, Management and
  Processing",2.4711431321721443e-06,0.0,1.0,0.0
cs/0010013,A Public-key based Information Management Model for Mobile Agents,2.4711431321721443e-06,0.0,1.0,0.0
cs/9905005,General Principles of Learning-Based Multi-Agent Systems,2.418492420972594e-06,0.0,2.0,1.0
hep-lat/0308005,"Parallel implementation of a lattice-gauge-theory code: studying quark
  confinement on PC clusters",2.3376058541254275e-06,1.7504207905988487e-06,4.0,6.0
cs/0307036,Small-World File-Sharing Communities,2.300725523621532e-06,7.4260550565674335e-09,1.0,1.0
cs/9905003,Collective Choice Theory in Collaborative Computing,2.120978933487838e-06,0.0,1.0,0.0
cs/9908013,Collective Intelligence for Control of Distributed Dynamical Systems,2.111630434508683e-06,0.0,4.0,0.0
cs/0409032,"Desynchronization and Speedup in an Asynchronous Conservative Parallel
  Update Protocol",2.087073078468716e-06,0.0,2.0,2.0
cs/0602068,"Parallel Symbolic Computation of Curvature Invariants in General
  Relativity",1.971745160783518e-06,0.0,2.0,0.0
cs/0303026,Preserving Peer Replicas By Rate-Limited Sampled Voting in LOCKSS,1.8950380516170012e-06,0.0,1.0,0.0
cs/0006030,Multiagent Control of Self-reconfigurable Robots,1.8950380516170012e-06,0.0,1.0,3.0
cs/0701075,"Open-architecture Implementation of Fragment Molecular Orbital Method
  for Peta-scale Computing",1.8950380516170012e-06,0.0,1.0,0.0
math/0608733,Context for models of concurrency,1.8950380516170012e-06,0.0,1.0,0.0
cs/0610120,Classdesc and Graphcode: support for scientific programming in C++,1.8950380516170012e-06,0.0,1.0,0.0
math/0508533,On the cascade rollback synchronization,1.8950380516170012e-06,0.0,1.0,1.0
cond-mat/0401229,On the Evolution of Time Horizons in Parallel and Grid Simulations,1.8950380516170012e-06,0.0,1.0,1.0
cs/9904020,"ODP channel objects that provide services transparently for distributing
  processing systems",1.8950380516170012e-06,0.0,1.0,2.0
cs/0411050,Utilizing Reconfigurable Hardware Processors via Grid Services,1.703003024765287e-06,0.0,1.0,0.0
cs/0411075,A Self-Reconfigurable Computing Platform Hardware Architecture,1.703003024765287e-06,0.0,1.0,0.0
astro-ph/0703485,Towards Distributed Petascale Computing,1.703003024765287e-06,0.0,1.0,1.0
cs/0405053,Synchronous Relaxation for Parallel Ising Spin Simulations,1.703003024765287e-06,0.0,1.0,2.0
cs/0303031,A Bird's eye view of Matrix Distributed Processing,1.6595327799251628e-06,0.0,2.0,0.0
hep-lat/0004007,"Matrix Distributed Processing: A set of C++ Tools for implementing
  generic lattice computations on parallel systems",1.6547532124420126e-06,2.985274132740108e-06,2.0,7.0
cs/0407066,ParFORM: Parallel Version of the Symbolic Manipulation Program FORM,1.5338009134419884e-06,0.0,3.0,2.0
cs/0109004,Parallel Computing on a PC Cluster,1.4835344226490424e-06,0.0,1.0,2.0
astro-ph/9912134,"Interfacing Interpreted and Compiled Languages to Support Applications
  on a Massively Parallel Network of Workstations (MP-NOW)",1.3359408347109411e-06,0.0,1.0,0.0
cs/0306055,BlueOx: A Java Framework for Distributed Data Analysis,1.3335417551030498e-06,0.0,1.0,0.0
cs/0407017,"A Low Cost Distributed Computing Approach to Pulsar Searches at a Small
  College",1.325406061854613e-06,0.0,1.0,0.0
