source,target
physics/0009032,physics/0007070
nlin/0006025,physics/0007070
physics/0004057,physics/0007070
cs/9901014,physics/0007070
cond-mat/0009165,physics/0007070
cs/9912008,cs/0004001
cs/0004001,quant-ph/0011122
cs/9912008,quant-ph/0011122
cs/0506004,cs/0506041
cs/0506007,cs/0506041
cs/0505083,cs/0506041
cs/0606093,cs/0506004
cs/0505083,cs/0506004
cs/0506041,cs/0506004
cs/0506004,cs/0606093
cs/0505083,cs/0606093
cs/0506041,cs/0606093
nlin/0006025,cs/0210025
physics/0007070,cond-mat/0009165
physics/0004057,nlin/0006025
cs/0506004,cs/0506007
cs/0505083,cs/0506007
cs/0506041,cs/0506007
cs/0103015,cs/0302012
cs/0207097,cs/0302012
quant-ph/0011122,cs/0302012
cs/0506004,cs/0511058
cs/0505083,cs/0511058
cs/0512059,cs/0511058
cs/0506041,cs/0511058
physics/0007070,physics/0009032
nlin/0006025,physics/0009032
physics/0004057,physics/0009032
cs/9901014,physics/0009032
cs/0511058,cs/0512059
cs/0506041,cs/0512059
cs/0210025,cs/0406011
cs/0606093,cs/0607067
cs/0603110,cs/0606077
cs/0004001,cs/0102018
cs/0102018,cs/0207097
cs/0012011,cs/0207097
quant-ph/0011122,cs/0207097
cs/0105025,cs/0207097
cs/0004001,cs/0012011
cs/0607067,cs/0607136
cs/0606093,cs/0607136
cs/0511058,cs/0607134
cs/0506004,cs/0607134
cs/0606093,cs/0607134
cs/0506041,cs/0607134
cs/0512059,cs/0607134
cs/0607067,cs/0607134
cs/0505083,cs/0607134
cs/0107033,math/0105235
quant-ph/0011122,cs/0701120
cs/0004001,cs/0701125
cs/0607136,cs/0609045
cs/0511058,cs/0609045
cs/0506004,cs/0609045
cs/0606093,cs/0609045
cs/0512059,cs/0609045
cs/0607067,cs/0609045
cs/0607134,cs/0609045
quant-ph/0011122,cs/0507041
quant-ph/0011122,cs/0508043
cs/0501028,cs/0502004
quant-ph/0011122,cs/0503026
cs/0204052,cs/0309015
cs/0301014,cs/0306036
quant-ph/0011122,cs/0306036
cs/0004001,cs/0204040
cs/0004001,cs/0106036
quant-ph/0011122,cs/0106036
cs/0004001,cs/0101019
