id,title,pagerank,betweenness,in_degree,out_degree
physics/0007070,"Predictability, complexity and learning",1.226015183387453e-05,0.0,20.0,10.0
cs/0609045,Metric entropy in competitive on-line prediction,1.141554075563908e-05,0.0,7.0,0.0
cs/0302012,The New AI: General & Sound & Relevant for Physics,9.529117872953568e-06,2.985274132740108e-06,6.0,3.0
cs/9908014,An Introduction to Collective Intelligence,9.09495133914865e-06,5.7715299899642086e-05,12.0,5.0
physics/0009032,Information theory and learning: a physical approach,8.669252579238984e-06,0.0,18.0,2.0
cs/0607134,Leading strategies in competitive on-line prediction,5.418497295467596e-06,0.0,7.0,1.0
cs/0207097,Optimal Ordered Problem Solver,4.861985539809649e-06,0.0,4.0,1.0
cs/0506041,Competitive on-line learning with a convex loss function,4.219293954522469e-06,0.0,3.0,6.0
cs/0511011,The Impact of Social Networks on Multi-Agent Recommender Systems,3.929929438147267e-06,0.0,1.0,0.0
quant-ph/0011122,Algorithmic Theories of Everything,3.906074167692073e-06,2.4745801305132824e-05,5.0,15.0
cs/0210025,An Algorithm for Pattern Discovery in Time Series,3.74491211126436e-06,0.0,4.0,4.0
quant-ph/0411140,Improved Bounds on Quantum Learning Algorithms,3.69921463482929e-06,0.0,2.0,2.0
cs/0412098,The Google Similarity Distance,3.4990187908037217e-06,0.0,1.0,3.0
cs/0511058,On-line regression competitive with reproducing kernel Hilbert spaces,3.437204147250898e-06,0.0,4.0,3.0
cs/0512059,Competing with wild prediction rules,2.9338698722567488e-06,0.0,2.0,3.0
cs/0306036,Sequence Prediction based on Monotone Complexity,2.7504423588240776e-06,0.0,2.0,0.0
physics/0610051,Structural Inference of Hierarchies in Networks,2.7477566474032742e-06,1.1855363910363431e-06,1.0,1.0
cond-mat/0009165,"Occam factors and model-independent Bayesian learning of continuous
  distributions",2.63325480671671e-06,0.0,1.0,4.0
cs/0506004,Non-asymptotic calibration and resolution,2.5903403026107627e-06,0.0,3.0,6.0
cs/0506007,Defensive forecasting for linear protocols,2.522467233781108e-06,0.0,3.0,1.0
cs/0606093,Predictions as statements and decisions,2.522467233781108e-06,0.0,3.0,5.0
cs/0606077,On Sequence Prediction for Arbitrary Measures,2.4711431321721443e-06,0.0,1.0,1.0
math/0105235,Mathematics of learning,2.4711431321721443e-06,0.0,1.0,0.0
cs/9906005,Memory-Based Shallow Parsing,2.4711431321721443e-06,0.0,1.0,0.0
cs/0502004,Asymptotic Log-loss of Prequential Maximum Likelihood Codes,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0401033,Parametric Inference for Biological Sequence Analysis,2.4711431321721443e-06,0.0,1.0,1.0
cs/0211007,Approximating Incomplete Kernel Matrices by the em Algorithm,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0602183,Nonlinear parametric model for Granger causality of time series,2.4711431321721443e-06,0.0,1.0,0.0
cs/0308025,"Controlled hierarchical filtering: Model of neocortical sensory
  processing",2.4711431321721443e-06,0.0,1.0,1.0
cs/9905005,General Principles of Learning-Based Multi-Agent Systems,2.418492420972594e-06,0.0,2.0,1.0
cs/0406011,"Blind Construction of Optimal Nonlinear Recursive Predictors for
  Discrete Sequences",2.3524240798252057e-06,0.0,2.0,2.0
cs/0009001,Complexity analysis for algorithmically simple strings,2.332930898007217e-06,0.0,1.0,1.0
cs/0607136,Competing with Markov prediction strategies,2.3019616852077628e-06,0.0,2.0,1.0
cs/9908013,Collective Intelligence for Control of Distributed Dynamical Systems,2.111630434508683e-06,0.0,4.0,0.0
cs/0312018,Mapping Subsets of Scholarly Information,1.912778586725516e-06,0.0,1.0,0.0
cs/0309015,"Reliable and Efficient Inference of Bayesian Networks from Sparse Data
  by Statistical Learning Theory",1.8950380516170012e-06,0.0,1.0,0.0
cs/0004001,"A Theory of Universal Artificial Intelligence based on Algorithmic
  Complexity",1.8950380516170012e-06,0.0,1.0,8.0
cond-mat/0511159,Learning by message-passing in networks of discrete synapses,1.8950380516170012e-06,0.0,1.0,0.0
cs/0502076,Learning nonsingular phylogenies and hidden Markov models,1.8950380516170012e-06,0.0,1.0,0.0
cs/0106036,"Convergence and Error Bounds for Universal Prediction of Nonbinary
  Sequences",1.7987436883202868e-06,0.0,2.0,0.0
cs/0607067,Competing with stationary prediction strategies,1.7816328086349507e-06,0.0,1.0,3.0
cs/0612117,"Statistical Mechanics of On-line Learning when a Moving Teacher Goes
  around an Unlearnable True Teacher",1.60698551133943e-06,0.0,1.0,0.0
cs/0612030,Loop corrections for approximate inference,1.60698551133943e-06,0.0,1.0,2.0
cs/0508043,Sequential Predictions based on Algorithmic Complexity,1.598232197713792e-06,0.0,1.0,0.0
cs/0503026,On Generalized Computable Universal Priors and their Convergence,1.598232197713792e-06,0.0,1.0,0.0
cs/0701120,Algorithmic Complexity Bounds on Future Prediction Errors,1.598232197713792e-06,0.0,1.0,0.0
cs/0507041,Monotone Conditional Complexity Bounds on Future Prediction Errors,1.598232197713792e-06,0.0,1.0,0.0
