id,title,pagerank,betweenness,in_degree,out_degree
cs/9908014,An Introduction to Collective Intelligence,9.09495133914865e-06,5.7715299899642086e-05,12.0,5.0
cond-mat/0601021,Characterizing correlations of flow oscillations at bottlenecks,6.595868685722698e-06,0.0,5.0,0.0
nlin/0609033,Fame Emerges as a Result of Small Memory,6.562222645108905e-06,0.0,4.0,0.0
cs/9912012,Avoiding Braess' Paradox through Collective Intelligence,5.252326499503554e-06,0.0,2.0,0.0
physics/0510117,Modeling bursts and heavy tails in human dynamics,4.6550580227754655e-06,0.0,5.0,3.0
cs/0511011,The Impact of Social Networks on Multi-Agent Recommender Systems,3.929929438147267e-06,0.0,1.0,0.0
nlin/0211013,A Spin Glass Model of Human Logic Systems,3.589408331622433e-06,7.960731020640288e-06,1.0,1.0
nlin/0411063,"Detecting synchronization in spatially extended discrete systems by
  complexity measurements",3.3749066596554898e-06,0.0,1.0,0.0
cs/9912011,Adaptivity in Agent-Based Routing for Data Networks,2.902659663719872e-06,0.0,1.0,0.0
cs/0306119,A Method for Solving Distributed Service Allocation Problems,2.902659663719872e-06,0.0,1.0,0.0
cs/0511012,"Parameters Affecting the Resilience of Scale-Free Networks to Random
  Failures",2.598039282245321e-06,1.990182755160072e-06,1.0,1.0
cs/0410005,A dynamical model of a GRID market,2.587952801650048e-06,0.0,1.0,0.0
cs/0603020,Reasoning About Knowledge of Unawareness,2.4711431321721443e-06,0.0,1.0,1.0
cs/0702068,"Distributed Decision Through Self-Synchronizing Sensor Networks in the
  Presence of Propagation Delays and Nonreciprocal Channels",2.4711431321721443e-06,0.0,1.0,0.0
cs/0608057,Hybrid Elections Broaden Complexity-Theoretic Resistance to Control,2.4711431321721443e-06,0.0,1.0,0.0
cs/0703097,"On Approximating Optimal Weighted Lobbying, and Frequency of Correctness
  versus Average-Case Polynomial Time",2.4711431321721443e-06,0.0,1.0,0.0
