id,title,pagerank,betweenness,in_degree,out_degree
cs/0512073,Schwerdtfeger-Fillmore-Springer-Cnops Construction Implemented in GiNaC,5.229028763014751e-06,0.0,2.0,2.0
cs/0605090,Mathematica: A System of Computer Programs,4.715121399099865e-06,0.0,3.0,0.0
nlin/0407062,"Construction of Single-valued Solutions for Nonintegrable Systems with
  the Help of the Painleve Test",3.7642439946736098e-06,0.0,3.0,3.0
cs/0510034,COMODI: On the Graphical User Interface,3.62335329328243e-06,0.0,2.0,0.0
cs/9809105,Hyper-Systolic Matrix Multiplication,3.3749066596554898e-06,0.0,1.0,0.0
cs/0410044,An Example of Clifford Algebras Calculations with GiNaC,3.368447926064598e-06,0.0,1.0,3.0
cs/0401006,"Cluster computing performances using virtual processors and mathematical
  software",2.4711431321721443e-06,0.0,1.0,0.0
cs/0609129,"One approach to the digital visualization of hedgehogs in holomorphic
  dynamics",2.4711431321721443e-06,0.0,1.0,0.0
cs/0604066,Univariate polynomial real root isolation: Continued Fractions revisited,2.4711431321721443e-06,0.0,1.0,0.0
hep-ph/0411100,"LSJK - a C++ library for arbitrary-precision numeric evaluation of the
  generalized log-sine functions",2.4420340610205125e-06,9.50900136704692e-09,3.0,3.0
cs/0606023,"Parallel Evaluation of Mathematica Programs in Remote Computers
  Available in Network",2.429735359900988e-06,0.0,2.0,1.0
cs/0610120,Classdesc and Graphcode: support for scientific programming in C++,1.8950380516170012e-06,0.0,1.0,0.0
cs/0509070,"A Maple Package for Computing Groebner Bases for Linear Recurrence
  Relations",1.8849516847429144e-06,1.000793526998472e-06,3.0,6.0
cs/0303004,Reliability Conditions in Quadrature Algorithms,1.8033601126281784e-06,0.0,1.0,0.0
hep-th/0208218,"Introducing LambdaTensor1.0 - A package for explicit symbolic and
  numeric Lie algebra and Lie group calculations",1.7922472202774598e-06,9.081280972907963e-06,3.0,4.0
cs/0409033,Mean and Variance Estimation by Kriging,1.703003024765287e-06,0.0,1.0,1.0
cs/0604088,How to Run Mathematica Batch-files in Background ?,1.703003024765287e-06,0.0,1.0,2.0
cs/0201007,Algorithm for generating orthogonal matrices with rational elements,1.703003024765287e-06,0.0,1.0,2.0
