id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0602345,"Numerical Modeling of Coexistence, Competition and Collapse of Rotating
  Spiral Waves in Three-Level Excitable Media with Discrete Active Centers and
  Absorbing Boundaries",5.919188876086369e-05,0.0,10.0,0.0
cond-mat/0410460,"A Computational Study of Rotating Spiral Waves and Spatio-Temporal
  Transient Chaos in a Deterministic Three-Level Active System",3.90067361630225e-05,1.990182755160072e-06,24.0,1.0
quant-ph/9907009,The importance of quantum decoherence in brain processes,1.438953358328472e-05,9.920160359714877e-06,16.0,9.0
physics/0601118,Learning about knowledge: A complex network approach,1.0848545622982576e-05,1.247939730745011e-06,5.0,3.0
cs/0703149,Exploring Logic Artificial Chemistries: An Illogical Attempt?,9.51751443265099e-06,0.0,1.0,0.0
cs/0412023,Multidimensional data classification with artificial neural networks,5.762704557658616e-06,0.0,2.0,0.0
cs/0307060,Neural realisation of the SP theory: cell assemblies revisited,5.172835476979688e-06,0.0,7.0,0.0
cs/0204041,Trust Brokerage Systems for the Internet,4.7530577026366125e-06,0.0,3.0,0.0
cs/0402014,"Self-Organising Networks for Classification: developing Applications to
  Science Analysis for Astroparticle Physics",4.509948737656293e-06,1.990182755160072e-06,3.0,1.0
nlin/0609038,From Neuron to Neural Networks dynamics,3.911405833560001e-06,0.0,3.0,0.0
cs/0205061,"Aging, double helix and small world property in genetic algorithms",3.7012657112466978e-06,0.0,1.0,0.0
cs/0403003,Genetic Algorithms and Quantum Computation,2.5298212165000584e-06,0.0,1.0,0.0
nlin/0506061,Transmitting a signal by amplitude modulation in a chaotic network,2.47514856872844e-06,0.0,3.0,0.0
physics/0101021,Adaptive evolution on neutral networks,2.4711431321721443e-06,0.0,1.0,0.0
cs/0607007,Theory of sexes by Geodakian as it is advanced by Iskrin,2.4711431321721443e-06,0.0,1.0,0.0
cs/0602055,"Revisiting Evolutionary Algorithms with On-the-Fly Population Size
  Adjustment",2.4711431321721443e-06,0.0,1.0,0.0
physics/0102009,Self-adaptive exploration in evolutionary search,2.4711431321721443e-06,0.0,1.0,0.0
cs/0308025,"Controlled hierarchical filtering: Model of neocortical sensory
  processing",2.4711431321721443e-06,0.0,1.0,1.0
cs/0312047,Mapping weblog communities,2.173458546909728e-06,0.0,3.0,0.0
q-bio/0605020,Laws in Darwinian Evolutionary Theory,2.087073078468716e-06,0.0,2.0,0.0
cond-mat/0104214,Extremal Optimization for Graph Partitioning,1.8950380516170012e-06,0.0,1.0,0.0
cs/0701003,"Magnification Laws of Winner-Relaxing and Winner-Enhancing Kohonen
  Feature Maps",1.703003024765287e-06,0.0,1.0,0.0
cs/0001027,Pattern Discovery and Computational Mechanics,1.43889051050059e-06,0.0,1.0,1.0
cond-mat/0208414,Winner-Relaxing Self-Organizing Maps,1.3189329710618589e-06,0.0,0.0,3.0
astro-ph/0402591,Evolutionary design of photometric systems and its application to Gaia,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0403011,"Memorization in a neural network with adjustable transfer function and
  conditional gating",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/0010337,Optimization with Extremal Dynamics,1.3189329710618589e-06,0.0,0.0,2.0
cs/0602051,"On the utility of the multimodal problem generator for assessing the
  performance of Evolutionary Algorithms",1.3189329710618589e-06,0.0,0.0,1.0
cs/0603090,Topological Grammars for Data Approximation,1.3189329710618589e-06,0.0,0.0,1.0
cs/0405063,Let's Get Ready to Rumble: Crossover Versus Mutation Head to Head,1.3189329710618589e-06,0.0,0.0,1.0
cs/0105025,Market-Based Reinforcement Learning in Partially Observable Worlds,1.3189329710618589e-06,0.0,0.0,1.0
cs/0307031,"Automatic Classification using Self-Organising Neural Networks in
  Astrophysical Experiments",1.3189329710618589e-06,0.0,0.0,2.0
cs/0408006,Why Two Sexes?,1.3189329710618589e-06,0.0,0.0,1.0
cs/0202009,Non-negative sparse coding,1.3189329710618589e-06,0.0,0.0,2.0
adap-org/9807003,Development and Evolution of Neural Networks in an Artificial Chemistry,,,,
adap-org/9903003,Evolution of genetic organization in digital organisms,,,,
astro-ph/0502164,"Particle Swarm Optimization: An efficient method for tracing periodic
  orbits in 3D galactic potentials",,,,
cond-mat/0110165,Jamming Model for the Extremal Optimization Heuristic,,,,
cond-mat/0202190,"Threshold Disorder as a Source of Diverse and Complex Behavior in Random
  Nets",,,,
cond-mat/9902011,Cortical Potential Distributions and Cognitive Information Processing,,,,
cond-mat/9906206,"Ocular dominance patterns in mammalian visual cortex: A wire length
  minimization approach",,,,
cs/0006005,Novelty Detection for Robot Neotaxis,,,,
cs/0006006,A Real-Time Novelty Detector for a Mobile Robot,,,,
cs/0006007,Novelty Detection on a Mobile Robot Using Habituation,,,,
cs/0006039,"Orthogonal Least Squares Algorithm for the Approximation of a Map and
  its Derivatives with a RBF Network",,,,
cs/0102014,"On the predictability of Rainfall in Kerala- An application of ABF
  Neural Network",,,,
cs/0104011,Potholes on the Royal Road,,,,
cs/0108009,Artificial Neurons with Arbitrarily Complex Internal Structures,,,,
cs/0108011,On Classes of Functions for which No Free Lunch Results Hold,,,,
