id,title,pagerank,betweenness,in_degree,out_degree
cs/0611128,"Scale-Free Overlay Topologies with Hard Cutoffs for Unstructured
  Peer-to-Peer Networks",3.507727815371592e-05,0.0,3.0,0.0
cond-mat/0106096,Statistical mechanics of complex networks,1.654360914784671e-05,0.0001718433929188,41.0,69.0
cond-mat/0404593,The shortest path to complex networks,1.6529934134427936e-05,0.0001083482457285,19.0,12.0
cond-mat/0204102,Accelerated growth of networks,7.602998138767531e-06,3.1629646557977715e-05,15.0,5.0
cs/0206011,A Statistical Physics Perspective on Web Growth,7.361984275037008e-06,0.0,3.0,1.0
cond-mat/0602611,"k-core (bootstrap) percolation on complex networks: Critical phenomena
  and nonlocal effects",7.340817644004221e-06,5.853081576403605e-08,7.0,1.0
cs/0607080,New Model of Internet Topology Using k-shell Decomposition,7.319313424148455e-06,1.990182755160072e-06,3.0,1.0
cond-mat/0203227,Ising Model on Networks with an Arbitrary Distribution of Connections,6.718002801356636e-06,9.878881041751656e-06,7.0,5.0
cond-mat/0501169,"Towards a Theory of Scale-Free Graphs: Definition, Properties, and
  Implications (Extended Version)",6.056313659559851e-06,1.0115762658074322e-05,4.0,4.0
cs/0511007,"K-core decomposition of Internet graphs: hierarchies, self-similarity
  and measurement biases",5.866725662627713e-06,1.1550971838494378e-05,4.0,7.0
cs/0612040,The Workshop on Internet Topology (WIT) Report,5.407328793111961e-06,0.0,3.0,0.0
cond-mat/0506330,A program generating homogeneous random graphs with given weights,5.396414230520362e-06,3.980365510320144e-06,3.0,1.0
cs/9912012,Avoiding Braess' Paradox through Collective Intelligence,5.252326499503554e-06,0.0,2.0,0.0
cond-mat/0609098,"Synchronization in Weighted Uncorrelated Complex Networks in a Noisy
  Environment: Optimization and Connections with Transport Efficiency",5.242324830116169e-06,5.06771873786375e-06,6.0,5.0
cs/0506003,Authentication and routing in simple Quantum Key Distribution networks,4.626646950292932e-06,0.0,2.0,0.0
cs/0608088,Radial Structure of the Internet,4.031176180036077e-06,0.0,2.0,0.0
quant-ph/0505089,Quantum key distribution with trusted quantum relay,4.017182936561178e-06,1.990182755160072e-06,2.0,1.0
cs/0604017,AS Relationships: Inference and Validation,3.975235538925736e-06,0.0,3.0,0.0
cs/0506071,"Signal transmission on lossy lines as a dissipative quantum state
  propagation",3.971656735392224e-06,0.0,3.0,0.0
cs/0304045,On a composition of digraphs,3.652283164703462e-06,0.0,4.0,0.0
cs/0510052,"Remarks on ""Toward Compact Interdomain Routing""",3.62335329328243e-06,0.0,2.0,0.0
cs/0508033,Lessons from Three Views of the Internet Topology,3.5947239051154034e-06,1.3541154593654448e-05,5.0,1.0
cs/0512095,"The Internet AS-Level Topology: Three Data Sources and One Definitive
  Metric",3.5947239051154034e-06,0.0,5.0,0.0
cond-mat/0406404,"A statistical approach to the traceroute-like exploration of networks:
  theory and simulations",3.5639713552924924e-06,5.970548265480216e-06,2.0,3.0
cs/0605067,Efficient Operation of Coded Packet Networks,3.49912997646896e-06,0.0,2.0,0.0
cs/0209023,Practical Load Balancing for Content Requests in Peer-to-Peer Networks,3.49912997646896e-06,0.0,2.0,0.0
cs/0404010,On the universality of rank distributions of website popularity,3.477705344085171e-06,0.0,2.0,1.0
cond-mat/0509102,k-core organization of complex networks,3.234979454854909e-06,0.0,4.0,0.0
cs/0107001,Analysis of Network Traffic in Switched Ethernet Systems,3.234418268738941e-06,1.990182755160072e-06,3.0,1.0
cs/9912011,Adaptivity in Agent-Based Routing for Data Networks,2.902659663719872e-06,0.0,1.0,0.0
cond-mat/0305582,On the Tomography of Networks and Multicast Trees,2.875306218013343e-06,1.7912882472283406e-05,3.0,6.0
cond-mat/0402143,Personal Email Networks: An Effective Anti-Spam Tool,2.737706112522473e-06,3.980365510320144e-06,4.0,3.0
cond-mat/0701184,Transport optimization on complex networks,2.679051972526776e-06,0.0,3.0,1.0
cond-mat/0506002,Correlations in interacting systems with a network topology,2.650233333816397e-06,0.0,1.0,0.0
cs/0511012,"Parameters Affecting the Resilience of Scale-Free Networks to Random
  Failures",2.598039282245321e-06,1.990182755160072e-06,1.0,1.0
physics/0504026,Let Your CyberAlter Ego Share Information and Manage Spam,2.5480775912908228e-06,0.0,2.0,0.0
cond-mat/0206084,Internet topology at the router and autonomous system level,2.527512226562572e-06,3.148790097903107e-05,2.0,16.0
cs/0511080,A dissemination strategy for immunizing scale-free networks,2.4711431321721443e-06,0.0,1.0,0.0
cs/0609030,Space Division Multiple Access with a Sum Feedback Rate Constraint,2.4711431321721443e-06,0.0,1.0,0.0
cs/0302017,A Proposal to Separate Handles from Names on the Internet,2.4711431321721443e-06,0.0,1.0,0.0
math/0510013,Network Kriging,2.4711431321721443e-06,0.0,1.0,0.0
cs/0606054,Threshold-Controlled Global Cascading in Wireless Sensor Networks,2.4711431321721443e-06,0.0,1.0,0.0
cs/0010013,A Public-key based Information Management Model for Mobile Agents,2.4711431321721443e-06,0.0,1.0,0.0
cs/0402026,"Redundancy and Robustness of the AS-level Internet topology and its
  models",2.4711431321721443e-06,0.0,1.0,0.0
cs/0512088,Analysis of loss networks with routing,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0410059,Accuracy and Scaling Phenomena in Internet Mapping,2.459610766402485e-06,0.0,1.0,0.0
cs/0702156,Analysis of Steiner subtrees of Random Trees for Traceroute Algorithms,2.459610766402485e-06,0.0,1.0,0.0
nlin/0507021,Measuring Generalized Preferential Attachment in Dynamic Social Networks,2.415206884045539e-06,2.0167921533390666e-06,1.0,2.0
cs/0510007,"Network Inference from TraceRoute Measurements: Internet Topology
  `Species'",2.3879263448248617e-06,1.9827567001035044e-06,2.0,2.0
cond-mat/0308288,Compact Routing on Internet-Like Graphs,2.3534188608214047e-06,5.808259381747969e-06,4.0,3.0
cond-mat/0204111,Principles of statistical mechanics of random networks,2.3390214780393398e-06,6.376562199898719e-06,3.0,16.0
cs/0307036,Small-World File-Sharing Communities,2.300725523621532e-06,7.4260550565674335e-09,1.0,1.0
cs/0405070,Traffic-driven model of the World Wide Web graph,2.1917074790453144e-06,0.0,2.0,3.0
cs/0511101,Chinese Internet AS-level Topology,2.157667735611946e-06,7.4260550565674335e-09,1.0,2.0
cond-mat/0401065,Exploration of scale-free networks,2.1501828403329858e-06,7.960731020640288e-06,1.0,1.0
