id,title,pagerank,betweenness,in_degree,out_degree
quant-ph/0511145,Semantics and simulation of communication in quantum programming,4.011662524909751e-05,0.0,6.0,0.0
cs/0605090,Mathematica: A System of Computer Programs,4.715121399099865e-06,0.0,3.0,0.0
quant-ph/0501151,Structuring quantum effects: superoperators as arrows,4.2842287654556805e-06,0.0,3.0,0.0
cs/0204015,Design Patterns for Functional Strategic Programming,3.62335329328243e-06,0.0,2.0,0.0
cs/0608051,Modules over Monads and Linearity,3.5785533883780654e-06,0.0,3.0,0.0
cs/0703155,Liveness of Heap Data for Functional Programs,3.49912997646896e-06,0.0,2.0,0.0
cs/0612063,Improving Precision of Type Analysis Using Non-Discriminative Union,3.3749066596554898e-06,0.0,1.0,0.0
quant-ph/0602156,Quantum Predicative Programming,3.279263423862175e-06,0.0,3.0,0.0
cs/0211004,The DLV System for Knowledge Representation and Reasoning,2.4711431321721443e-06,0.0,1.0,4.0
cs/0106059,CHR as grammar formalism. A first report,2.4711431321721443e-06,0.0,1.0,2.0
cs/9811015,An Emptiness Algorithm for Regular Types with Set Operators,2.4711431321721443e-06,0.0,1.0,1.0
cs/0404055,"Finite-Tree Analysis for Constraint Logic-Based Languages: The Complete
  Unabridged Version",2.4711431321721443e-06,0.0,1.0,0.0
cs/0512065,Tradeoffs in Metaprogramming,2.4711431321721443e-06,0.0,1.0,0.0
cs/0702042,A Formal Model for Programming Wireless Sensor Networks,2.4711431321721443e-06,0.0,1.0,0.0
cs/0701147,A Generic Analysis Environment for Curry Programs,2.4711431321721443e-06,0.0,1.0,0.0
cs/0703116,"On the Design of Generic Static Analyzers for Modern Imperative
  Languages",2.4711431321721443e-06,0.0,1.0,0.0
cs/9908002,"After Compilers and Operating Systems : The Third Advance in Application
  Support",2.4711431321721443e-06,0.0,1.0,0.0
cs/0607016,An Analysis of Arithmetic Constraints on Integer Intervals,2.4711431321721443e-06,0.0,1.0,0.0
cs/0611009,Efficient constraint propagation engines,2.4711431321721443e-06,0.0,1.0,0.0
cs/0111043,"Prototyping CLP(FD) Tracers: a Trace Model and an Experimental
  Validation Environment",2.4711431321721443e-06,0.0,2.0,0.0
cs/0511094,A Machine-Independent port of the MPD language run time system to NetBSD,2.4711431321721443e-06,0.0,1.0,0.0
cs/0005002,"Application Software, Domain-Specific Languages, and Language Design
  Assistants",2.4711431321721443e-06,0.0,1.0,0.0
cs/0004011,Task Frames,2.4711431321721443e-06,0.0,1.0,0.0
cs/0007008,Compiling Language Definitions: The ASF+SDF Compiler,2.4711431321721443e-06,0.0,1.0,0.0
cs/0606023,"Parallel Evaluation of Mathematica Programs in Remote Computers
  Available in Network",2.429735359900988e-06,0.0,2.0,1.0
cs/0408027,CHR Grammars,2.3469198153586743e-06,0.0,1.0,1.0
quant-ph/0612199,Lineal: A linear-algebraic Lambda-calculus,2.2847470839263382e-06,0.0,3.0,0.0
quant-ph/0407005,"A Process Algebraic Approach to Concurrent and Distributed Quantum
  Computation: Operational Semantics",2.143049589481156e-06,0.0,2.0,1.0
cs/0103009,Toward an architecture for quantum programming,2.042042504209638e-06,4.646006432347736e-05,8.0,9.0
cs/0611093,Effectiveness of Garbage Collection in MIT/GNU Scheme,1.8950380516170012e-06,0.0,1.0,1.0
quant-ph/0508116,A probabilistic branching bisimulation for quantum processes,1.8261377253543384e-06,1.990182755160072e-06,1.0,1.0
cs/0507043,Proof rules for purely quantum programs,1.7327842274509898e-06,0.0,1.0,1.0
cs/0110022,Mixed-Initiative Interaction = Mixed Computation,1.703003024765287e-06,0.0,1.0,1.0
quant-ph/0306077,Quantum Domain Theory - Definitions and Applications,1.7000925000356084e-06,8.955822398220324e-06,2.0,2.0
