source,target
math/0211156,math/0310020
math/0212278,math/0310020
cs/0512067,cs/0605021
math/0211156,math/0301042
math/0212278,math/0301042
math/0310020,math/0312171
math/0211156,math/0312171
math/0301042,math/0312171
math/0212278,math/0312171
cs/0410044,cs/0512073
math/0310020,math/0411056
math/0211156,math/0411056
math/0301042,math/0411056
math/0212278,math/0411056
math/0312171,math/0411056
cs/9811002,cs/0609075
cs/9811002,cs/0501030
cs/0509070,math/0605334
cs/0407066,cs/0510093
math/0301042,math/0507410
math/0310020,math/0507410
math/0211156,math/0507410
math/0411056,math/0507410
math/0212278,math/0507410
math/0312171,math/0507410
math/0310020,math/0510304
math/0211156,math/0510304
math/0411056,math/0510304
math/0212278,math/0510304
cs/0509070,cs/0611041
math/0605334,cs/0611041
cs/0605021,cs/0608032
cs/0510093,cs/0604052
cs/0512072,cs/0604066
math-ph/0201011,cs/0304043
