id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0612240,"All order epsilon-expansion of Gauss hypergeometric functions with
  integer and half/integer values of parameters",2.715298085826005e-05,0.0,44.0,0.0
cs/0604052,"Extension of the functionality of the symbolic program FORM by external
  software",1.4107287100983516e-05,0.0,23.0,0.0
cs/0611041,Groebner Bases Applied to Systems of Linear Difference Equations,1.3926279801372476e-05,0.0,13.0,0.0
math-ph/0508065,"Finding Liouvillian first integrals of rational ODEs of any order in
  finite terms",7.3955508779886174e-06,0.0,4.0,0.0
cs/0608005,A field-theory motivated approach to symbolic computer algebra,6.694331333329797e-06,1.4330786046032405e-08,5.0,1.0
math/0510304,Stationary or static space-times and Young tableaux,6.3056413020003536e-06,0.0,5.0,0.0
hep-ph/0702279,The Multithreaded version of FORM,5.965886813281882e-06,0.0,15.0,0.0
cs/0405021,Computing Multi-Homogeneous Bezout Numbers is Hard,5.655144290770314e-06,0.0,1.0,1.0
math/0507410,"Methods for the construction of generators of algebraic curvature
  tensors",5.340107666330683e-06,0.0,6.0,0.0
cs/0512073,Schwerdtfeger-Fillmore-Springer-Cnops Construction Implemented in GiNaC,5.229028763014751e-06,0.0,2.0,2.0
cs/0510041,Feynman graphs and related Hopf algebras,4.918294102254547e-06,3.980365510320144e-06,7.0,2.0
cs/0510093,ParFORM: recent development,3.964042904822408e-06,7.4260550565674335e-09,6.0,1.0
math/0605334,"Gr\""obner Bases and Generation of Difference Schemes for Partial
  Differential Equations",3.702975115490415e-06,0.0,6.0,1.0
math/0411056,"Generators of algebraic curvature tensors based on a (2,1)-symmetry",3.5168186122354062e-06,0.0,5.0,2.0
cs/0411063,"From Tensor Equations to Numerical Code -- Computer Algebra Tools for
  Numerical Relativity",3.49912997646896e-06,0.0,2.0,0.0
cs/0502044,"The complexity of computing the Hilbert polynomial of smooth
  equidimensional complex projective varieties",3.3749066596554898e-06,0.0,1.0,0.0
cs/0410044,An Example of Clifford Algebras Calculations with GiNaC,3.368447926064598e-06,0.0,1.0,3.0
