id,title,pagerank,betweenness,in_degree,out_degree
dg-ga/9712005,"PU(2) monopoles. II: Top-level Seiberg-Witten moduli spaces and Witten's
  conjecture in low degrees",8.377410997063432e-06,0.0003423409823406,18.0,16.0
funct-an/9612004,"On the infinite dimensional hidden symmetries. I. Infinite dimensional
  geometry of $q_R$-conformal symmetries",7.659613212225666e-06,0.0,11.0,6.0
gr-qc/9503038,Stress-Energy-Momentum Tensors in Constraint Field Theories,6.823758401844917e-06,0.0,4.0,2.0
alg-geom/9503004,"The canonical class and the $C^\infty$ properties of K\""ahler surfaces",6.491195753332623e-06,0.0,8.0,5.0
gr-qc/9510061,"Stress-Energy-Momentum Tensors in Lagrangian Field Theory. Part 1.
  Superpotentials",6.303791906876081e-06,0.0,6.0,4.0
dg-ga/9606003,Equivariant Seiberg-Witten Floer Homology,5.901786391352175e-06,0.0003390400854643,7.0,7.0
dg-ga/9709007,"General existence of minimal surfaces of genus zero with catenoidal ends
  and prescribed flux",5.655144290770314e-06,0.0,1.0,1.0
dg-ga/9709006,An inverse problem of the flux for minimal surfaces,5.655144290770314e-06,0.0,1.0,1.0
dg-ga/9707023,Singular Reduction and Quantization,5.114569970042485e-06,0.0,6.0,0.0
hep-th/9501075,"Localization and Diagonalization: A review of functional integral
  techniques for low-dimensional gauge theories and topological field theories",5.11272694481074e-06,0.0,15.0,21.0
hep-th/9709193,Integration over the u-plane in Donaldson theory,5.088988436408409e-06,7.586838854007959e-05,35.0,80.0
dg-ga/9710032,"PU(2) Monopoles, I: Regularity, Uhlenbeck Compactness, and
  Transversality",4.865000481174527e-06,2.8036091804534024e-07,19.0,14.0
hep-th/9709192,Lectures in Topological Quantum Field Theory,4.709844419621792e-06,2.698131916172119e-05,21.0,22.0
dg-ga/9709018,"Investigation and application of the dressing action on surfaces of
  constant mean curvature",4.651340137579245e-06,0.0,3.0,0.0
dg-ga/9709013,"Deformations of representations of fundamental groups of open Kaehler
  manifolds",4.577965903101972e-06,0.0,1.0,1.0
dg-ga/9709022,PU(2) monopoles and relations between four-manifold invariants,4.379303852207873e-06,8.574766440886339e-08,16.0,17.0
dg-ga/9510006,"Group systems, groupoids, and moduli spaces of parabolic bundles",4.288868609347431e-06,0.0,6.0,5.0
dg-ga/9601011,Seiberg-Witten Floer Homology and Heegaard Splittings,4.253891018552932e-06,1.990182755160072e-06,5.0,6.0
dg-ga/9507005,On a Full Quantization of the Torus,4.054913671981395e-06,0.0,2.0,1.0
funct-an/9702002,"On the infinite-dimensional hidden symmetries. III. $q_R$-conformal
  symmetries at $q_R\to\infty$ and Berezin-Karasev-Maslov asymptotic
  quantization of $C^\infty(S^1)$",4.037083739956716e-06,0.0,7.0,3.0
hep-th/9707104,"Supermanifolds of classical solutions for Lagrangian field models with
  ghost and fermion fields",4.0131233986173686e-06,0.0,3.0,0.0
alg-geom/9712011,Mirror Principle I,3.899342226694321e-06,0.0001346369629719,14.0,20.0
dg-ga/9511009,Regularized and $L^2$-Determinants,3.897130121293731e-06,0.0,2.0,0.0
adap-org/9410001,"Belavkin-Kolokoltsov Watch-Dog Effects in Interactively Controlled
  Stochastic Computer-Graphic Dynamical Systems. A Summary of Mathematical
  Researches",3.895828764866227e-06,0.0,7.0,0.0
hep-th/9708080,The Dynamics of Classical Chiral $QCD_{2}$ Currents,3.670919484292037e-06,0.0,3.0,2.0
hep-th/9709229,"Canonical Structure of Classical Field Theory in the Polymomentum Phase
  Space",3.668828192343129e-06,0.0,10.0,36.0
dg-ga/9710017,Topological rigidity of Hamiltonian loops and quantum homology,3.6539586560806655e-06,0.0,4.0,1.0
gr-qc/9411011,"Crushing singularities in spacetimes with spherical, plane and
  hyperbolic symmetry",3.640899022823612e-06,0.0,4.0,1.0
dg-ga/9601001,"Some curvature estimates for Riemannian manifolds equipped with
  foliations of rank 2",3.62335329328243e-06,0.0,2.0,0.0
dg-ga/9710029,Ring structure of the Floer Cohomology of $\Sigma \times S^1$,3.62335329328243e-06,0.0,2.0,6.0
dg-ga/9712011,"Quadratic Differentials, Quaternionic Forms, and Surfaces",3.62335329328243e-06,0.0,2.0,3.0
dg-ga/9703014,Geometry of growth: Approximation theorems for L^2 invariants,3.62335329328243e-06,0.0,2.0,0.0
dg-ga/9702016,"The Variational Sequence on Finite Jet Bundle Extensions and the
  Lagrangian Formalism",3.540537748740117e-06,0.0,3.0,3.0
hep-th/9706160,BRST Symmetries for the Tangent Gauge Group,3.494412528355918e-06,0.0,2.0,0.0
dg-ga/9504002,Symplectic Surgery and the Spin-C Dirac operator,3.460181475387737e-06,0.0,3.0,7.0
hep-th/9506002,The other topological twisting of N=4 Yang-Mills,3.429568328008366e-06,0.0,14.0,19.0
funct-an/9701009,"On the infinite dimensional hidden symmetries. II. $q_R$-conformal
  modular functor",3.411774364854123e-06,0.0,7.0,4.0
dg-ga/9706012,Circle-valued Morse theory and Reidemeister torsion,3.402979966459974e-06,2.3602784562916877e-05,3.0,4.0
dg-ga/9601007,Adiabatic limits of Seiberg-Witten equations on Seifert manifolds,3.342439332697169e-06,2.7862558572241007e-05,3.0,3.0
alg-geom/9703011,Moduli of flat bundles on open Kaehler manifolds,3.25270768760725e-06,0.0,2.0,1.0
hep-th/9710072,Twistor Spaces for QKT Manifolds,3.2068241028759243e-06,2.1916007069438478e-05,2.0,12.0
dg-ga/9612005,Classical mechanical systems based on Poisson symmetry,3.1907458482130085e-06,0.0,4.0,0.0
dg-ga/9710010,Mathematical Background of Formalism of Operator Manifold,3.1564676950366884e-06,0.0,2.0,1.0
dg-ga/9705002,Holomorphic Morse Inequalities and Symplectic Reduction,3.0655397478584933e-06,0.0,2.0,0.0
dg-ga/9702020,Differential Geometry of Time-Dependent Mechanics,3.053936473844464e-06,0.0,2.0,5.0
gr-qc/9709084,The Cosmological Time Function,3.0472482127272877e-06,0.0,2.0,3.0
hep-th/9710082,"Supersymmetric Yang-Mills, octonionic instantons and triholomorphic
  curves",2.9924278057192973e-06,2.092763683395267e-07,14.0,6.0
dg-ga/9707018,"Moduli spaces of flat connections on 2-manifolds, cobordism, and
  Witten's volume formulas",2.990303628742664e-06,0.0,3.0,0.0
q-alg/9601023,Differential Calculi and Linear Connections,2.970434201986602e-06,0.0,3.0,10.0
dg-ga/9511008,Hamiltonian torus actions on symplectic orbifolds and toric varieties,2.927219026310537e-06,0.0,2.0,4.0
dg-ga/9707021,Lie Group Valued Moment Maps,2.9004849454260223e-06,0.0,2.0,10.0
dg-ga/9602003,Seiberg-Witten-Floer Theory for Homology 3-Spheres,2.876128810744902e-06,2.06892014286501e-06,3.0,5.0
dg-ga/9411009,Poisson structures on certain moduli spaces for bundles on a surface,2.8678094106447453e-06,0.0,5.0,1.0
dg-ga/9706014,"Simple homotopy type of the Novikov complex and Lefschetz
  $\zeta$-function of the gradient flow",2.8649819342021715e-06,1.806344256105479e-05,3.0,7.0
dg-ga/9612018,A symplectic proof of Verlinde factorization,2.857513593734042e-06,0.0,3.0,4.0
dg-ga/9709005,Higher-Order Lagrangian Formalism on Grassmann Manifolds,2.8425236638611105e-06,0.0,2.0,1.0
dg-ga/9409004,On the nonHamiltonian interaction of two rotators,2.833209880203161e-06,0.0,2.0,4.0
dg-ga/9711019,"Poisson harmonic forms, Kostant harmonic forms, and the
  $S^1$-equivariant cohomology of $K/T$",2.825309620707311e-06,0.0,4.0,2.0
alg-geom/9712024,Symplectic cutting of Kaehler manifolds,2.821664191473816e-06,0.0,2.0,1.0
dg-ga/9601012,A compact symmetric symplectic non-Kaehler manifold,2.785437981828769e-06,0.0,2.0,0.0
dg-ga/9510004,Periodic Hamiltonian flows on four dimensional manifolds,2.785437981828769e-06,0.0,2.0,2.0
dg-ga/9711004,"Critical-exponent Sobolev norms and the slice theorem for the quotient
  space of connections",2.7708212367575183e-06,0.0,7.0,4.0
alg-geom/9608029,"Intersection theory on moduli spaces of holomorphic bundles of arbitrary
  rank on a Riemann surface",2.769980809945188e-06,0.0,5.0,7.0
dg-ga/9702008,Duality for Lie-Rinehart algebras and the modular class,2.7637679349938048e-06,0.0,3.0,3.0
gr-qc/9705058,Universal Spin Structure in Gauge Gravitation Theory,2.759608450905896e-06,0.0,2.0,1.0
dg-ga/9710027,Generalized Symplectic Manifolds,2.759195672449716e-06,0.0,3.0,2.0
hep-th/9710048,Gauge theories on manifolds with boundary,2.717315054946265e-06,0.0,2.0,8.0
cond-mat/9703137,Local Writhing Dynamics,2.7015851643942016e-06,0.0,3.0,2.0
