id,title,pagerank,betweenness,in_degree,out_degree
quant-ph/9712009,Questions on quantization,1.3251000734833088e-05,9.954007965407263e-07,14.0,18.0
hep-th/9707206,"Analytic Continuation of Operators -- operators acting complex s-times
  -- Applications: from Number Theory and Group Theory to Quantum Field and
  String Theories",8.28843174291217e-06,0.0,5.0,1.0
funct-an/9612004,"On the infinite dimensional hidden symmetries. I. Infinite dimensional
  geometry of $q_R$-conformal symmetries",7.659613212225666e-06,0.0,11.0,6.0
hep-th/9403148,"Infinite Dimensional Geometry and Quantum Field Theory of Strings. II.
  Infinite Dimensional Noncommutative Geometry of a Self-Interacting String
  Field",6.353983506600307e-06,0.0,20.0,1.0
hep-th/9511060,"Spectral invariants for the Dirac equation on the d-Ball with various
  boundary conditions",5.871869774836746e-06,0.0,10.0,6.0
hep-th/9507029,"Modular Covariance, PCT, Spin and Statistics",5.803550298689531e-06,0.0,4.0,2.0
hep-th/9501075,"Localization and Diagonalization: A review of functional integral
  techniques for low-dimensional gauge theories and topological field theories",5.11272694481074e-06,0.0,15.0,21.0
hep-th/9410016,Schwinger Terms and Cohomology of Pseudodifferential Operators,4.970627185296085e-06,0.0,6.0,4.0
funct-an/9508002,The General Analytic Solution of a Functional Equation of Addition Type,4.89138133904295e-06,0.0,3.0,1.0
funct-an/9703002,Local Hypercomplex Analyticity,4.557838992340928e-06,0.0,3.0,2.0
hep-th/9211009,"A Quadratic Deformation of the Heisenberg-Weyl and Quantum Oscillator
  Enveloping Algebras",4.205859541399298e-06,0.0,5.0,0.0
hep-th/9601063,Analog of Lie Algebra and Lie Group for Quantum Non-Hamiltonian Systems,4.060693230801088e-06,0.0,2.0,0.0
funct-an/9702002,"On the infinite-dimensional hidden symmetries. III. $q_R$-conformal
  symmetries at $q_R\to\infty$ and Berezin-Karasev-Maslov asymptotic
  quantization of $C^\infty(S^1)$",4.037083739956716e-06,0.0,7.0,3.0
hep-th/9712085,"Transmutations between Singular and Subsingular Vectors of the N=2
  Superconformal Algebras",3.894700027087994e-06,0.0001931923340302,8.0,8.0
hep-th/9703129,Extensions of Conformal Nets and Superselection Structures,3.7940855038028977e-06,7.4260550565674335e-09,3.0,1.0
hep-th/9505166,"A Geometrical Formulation of the Renormalization Group Method for Global
  Analysis",3.649388203764792e-06,0.0,1.0,5.0
funct-an/9701009,"On the infinite dimensional hidden symmetries. II. $q_R$-conformal
  modular functor",3.411774364854123e-06,0.0,7.0,4.0
quant-ph/9610016,Mixing Quantum and Classical Mechanics,3.271031241378601e-06,4.97545688790018e-06,4.0,5.0
q-alg/9612026,Hidden symmetries and categorical representation theory,3.2328274604497434e-06,0.0,6.0,1.0
hep-th/9608115,"The $:\phi^4_4:$ quantum field theory, II. Integrability of Wick kernels",3.189798327320794e-06,0.0,3.0,0.0
hep-th/9605165,"Complex structure and the construction of the $:\phi^4_4:$ quantum field
  theory in four-dimensional space-time",3.189798327320794e-06,0.0,3.0,0.0
quant-ph/9706001,On Tracial Operator Representations of Quantum Decoherence Functionals,3.035740002034509e-06,0.0,2.0,1.0
hep-th/9708010,"A New Approach to Functional Analysis on Graphs, the Connes-Spectral
  Triple and its Distance Function",2.5722677446825013e-06,1.8565137641418582e-09,4.0,5.0
