id,title,pagerank,betweenness,in_degree,out_degree
gr-qc/0509039,"Bibliography of Publications related to Classical Self-dual variables
  and Loop Quantum Gravity",0.000293737381823,0.0002171080628021,469.0,2.0
gr-qc/0505065,Analogue Gravity,0.0002843559737488,0.0017194081174822,301.0,37.0
hep-th/0603057,Dynamics of dark energy,0.0002647598880568,0.0101907598482004,236.0,203.0
gr-qc/0601085,Loop Quantum Cosmology,0.0001888722879535,0.0002656757715877,153.0,32.0
hep-th/0608210,Loop Quantum Gravity: An Inside View,0.000170832550236,2.059152746917385e-05,137.0,11.0
hep-th/0611088,Arrow of Time in String Theory,0.0001608562531941,5.739111513753913e-07,69.0,1.0
hep-th/0012062,Vacuum Energy,0.000149509483903,0.0015250171061657,238.0,8.0
hep-th/0608202,"Numerical simulations of a non-commutative theory: the scalar model on
  the fuzzy sphere",0.0001494169424672,2.7492237378831444e-06,89.0,3.0
gr-qc/0611101,Inaccessible Singularities in Toral Cosmology,0.0001493330477019,2.955254951771039e-07,20.0,1.0
hep-th/0604049,Ramifications of Lineland,0.0001383188795723,0.0067484292428402,178.0,9.0
astro-ph/0607626,Accelerated expansion from structure formation,0.000132111427236,0.0002959623024022,223.0,12.0
hep-th/0701288,"Greybody Factors for Brane Scalar Fields in a Rotating Black-Hole
  Background",0.00012812226245,0.0,109.0,0.0
hep-th/0204253,Dilaton Gravity in Two Dimensions,0.0001249492155181,0.0068965825086153,281.0,99.0
gr-qc/0702009,"Why do we Still Believe in Newton's Law ? Facts, Myths and Methods in
  Gravitational Physics",0.0001200478925775,2.2349533701242964e-06,105.0,2.0
gr-qc/0611130,Thermodynamics and evaporation of the noncommutative black hole,0.0001152276677235,0.0,32.0,0.0
gr-qc/0502097,Modern tests of Lorentz invariance,0.0001147865982573,0.0051848251278042,200.0,47.0
gr-qc/0701138,On the Stability of a class of Modified Gravitational Models,0.0001141217575876,1.4526374685754198e-06,39.0,3.0
astro-ph/0612746,"Reconstruction of Hessence Dark Energy and the Latest Type Ia Supernovae
  Gold Dataset",0.0001121536380909,4.304974896550068e-06,130.0,7.0
hep-th/0611071,"Modified gravity and its reconstruction from the universe expansion
  history",0.0001107349777805,9.43093491277073e-05,118.0,20.0
astro-ph/0601594,Weak Gravitational Lensing of the CMB,0.0001078559821292,0.0033178796463196,152.0,13.0
gr-qc/0612164,Predictions in eternal inflation,0.0001035149147868,3.160145289100898e-06,111.0,2.0
gr-qc/0302034,Rotating Stars in Relativity,0.0001001842278187,5.84422240291282e-06,147.0,5.0
hep-th/0702159,"Deformed Special Relativity and Deformed Symmetries in a Canonical
  Framework",9.923390119200172e-05,0.0,28.0,0.0
gr-qc/0312059,Brane-world gravity,9.865696736507686e-05,0.0020967943908453,309.0,190.0
gr-qc/0701114,Probing Noncommutativity with Inflationary Gravitational Waves,9.404270547874836e-05,7.576507592350065e-07,62.0,1.0
hep-ph/0503044,Braneworld cosmology and noncommutative inflation,9.35071046119662e-05,5.350439477337182e-05,383.0,13.0
hep-th/0702031,"Multiple Lambda cosmology: dark fluid with time-dependent equation of
  state as classical analog of cosmological landscape",9.309318261800808e-05,0.0,25.0,0.0
gr-qc/0703144,"Dynamical coherent states and physical solutions of quantum cosmological
  bounces",9.187432470636064e-05,0.0,35.0,0.0
gr-qc/0607062,Classical and Quantum Dilaton Gravity in Two Dimensions with Fermions,8.858908913189223e-05,2.920104238958943e-06,64.0,3.0
hep-th/0701022,Instabilities of Black Strings and Branes,8.845157084047436e-05,1.212966048520442e-05,203.0,10.0
gr-qc/0609011,"The Cosmological Constant Problem, an Inspiration for New Physics",8.68649748420535e-05,9.097264436549016e-06,328.0,7.0
hep-th/0607030,Quantum Dilaton Gravity in Two Dimensions with Fermionic Matter,8.673011284020348e-05,1.349302292764137e-06,71.0,3.0
astro-ph/0701212,"Dark Energy is the Cosmological Quantum Vacuum Energy of Light
  Particles-The Axion and the Lightest Neutrino",8.644705746594031e-05,0.0,24.0,0.0
hep-th/0608193,"Brane Decay of a (4+n)-Dimensional Rotating Black Hole. III: spin-1/2
  particles",8.500723817966954e-05,1.96673645793772e-06,115.0,2.0
hep-th/0703230,Thermodynamics of Black Holes in Two (and Higher) Dimensions,8.491106619826574e-05,2.631875880518381e-06,64.0,2.0
gr-qc/0609012,Why Does Gravity Ignore the Vacuum Energy?,8.392062605706552e-05,6.307234057241547e-06,107.0,4.0
gr-qc/0701083,Brane world cosmology with Gauss-Bonnet and induced gravity terms,8.167359699165354e-05,0.0,71.0,0.0
gr-qc/0409039,Quantum Gravity in 2+1 Dimensions: The Case of a Closed Universe,8.113050112711102e-05,3.196404760183915e-05,158.0,9.0
gr-qc/0703137,Decoherence in Quantum Gravity: Issues and Critiques,8.11263165930264e-05,0.0,17.0,0.0
astro-ph/0607064,Cheng-Weyl Vector Field and its Cosmological Application,8.033337170920665e-05,0.0001049332139996,165.0,3.0
gr-qc/0611007,Emergent Semiclassical Time in Quantum Gravity. I. Mechanical Models,8.032419388724384e-05,1.5910851150490818e-06,42.0,3.0
gr-qc/0610018,The Asymptotic Safety Scenario in Quantum Gravity -- An Introduction,7.729979296415944e-05,5.746491680065852e-06,78.0,3.0
gr-qc/0612180,Conditions for the cosmological viability of f(R) dark energy models,7.722121345044368e-05,0.0001251189900151,28.0,10.0
hep-th/0610178,The Cosmological Constant and Discrete Space-Times,7.698440134868953e-05,2.144346558797998e-06,134.0,2.0
astro-ph/0609597,Observational $H(z)$ Data and Cosmological Models,7.66415478055592e-05,0.0001563704932737,104.0,8.0
gr-qc/0612026,Quantum Stability of a w < - 1 Phase of Cosmic Acceleration,7.657244876858123e-05,5.532802840970434e-06,13.0,20.0
gr-qc/0003101,Numerical hydrodynamics in general relativity,7.647524817020853e-05,0.0007295922509906,107.0,3.0
hep-th/0703215,Cosmic 21-cm Fluctuations as a Probe of Fundamental Physics,7.580848625546336e-05,3.709125815266858e-07,45.0,1.0
