id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0606054,Neutrino masses and mixings and...,0.00065286225584,0.0033067608889937,755.0,57.0
hep-ph/0412158,Heavy Quarkonium Physics,0.0003745056523094,0.0032736918218251,928.0,179.0
hep-ph/9709356,A Supersymmetry Primer,0.0001420301848342,0.1164866131888311,432.0,405.0
hep-ph/0703225,New Hadron States,0.0001362416544918,2.532497543150054e-07,52.0,1.0
hep-ph/0703168,Pion Interactions in the X(3872),0.0001181559404725,1.1412741849636234e-06,61.0,1.0
hep-ph/0608322,Tevatron-for-LHC Report: Preparations for Discoveries,0.000102881286413,1.0196969153214436e-06,333.0,1.0
astro-ph/0603494,Massive neutrinos and cosmology,9.875900535823878e-05,0.0014769806382931,225.0,33.0
hep-ph/0206072,"Ultrahigh Energy Cosmic Rays: The state of the art before the Auger
  Observatory",9.612326316163996e-05,0.0015623593916802,392.0,55.0
hep-ph/0308123,Progress in the physics of massive neutrinos,9.51603662822998e-05,0.0008434722871354,495.0,62.0
hep-ph/0611040,Stable Massive Particles at Colliders,9.01240955914061e-05,1.05795197422851e-05,211.0,6.0
hep-ph/0703162,"Charmless non-leptonic B_s decays to PP, PV and VV final states in the
  pQCD approach",8.838461894954514e-05,1.4519330165113802e-06,105.0,2.0
hep-ph/0702212,Photoproduction at collider energies: from RHIC and HERA to the LHC,8.820664483768759e-05,0.0,44.0,0.0
hep-ph/0702146,The Gaugino Code,8.780235429408509e-05,1.558985532817755e-06,80.0,2.0
hep-ph/0503173,"The Anatomy of Electro-Weak Symmetry Breaking. II: The Higgs bosons in
  the Minimal Supersymmetric Model",8.549019922076954e-05,0.0003930379657843,126.0,57.0
hep-ph/0503172,"The Anatomy of Electro-Weak Symmetry Breaking. I: The Higgs boson in the
  Standard Model",7.882325721503099e-05,0.0018640890822974,129.0,75.0
hep-ph/0504154,Disoriented Chiral Condensate: Theory and Experiment,7.720552316870189e-05,0.0,103.0,0.0
hep-ph/0703176,"Relations between generalized and transverse momentum dependent parton
  distributions",7.707554003449789e-05,0.0,77.0,0.0
hep-ph/0605033,"Topical Review on ""Beta-beams""",7.540730490837598e-05,8.012778115870882e-06,87.0,12.0
hep-ph/0611310,Heavy Hadron Spectroscopy,7.15449710747284e-05,3.061700776344368e-07,116.0,1.0
hep-ph/0608297,Can the X(3872) be a 1^{++} four-quark state?,6.875884789348425e-05,3.668629477384692e-06,29.0,3.0
nucl-th/0606058,Neutral current neutrino-nucleus interactions at intermediate energies,6.750147614930049e-05,3.4172730774091736e-06,51.0,3.0
hep-ph/0701247,Using jet mass to discover vector quarks at the LHC,6.730289824906633e-05,1.1014285782930769e-06,36.0,3.0
hep-ph/0601112,Report of the 2005 Snowmass Top/QCD Working Group,6.444105746649886e-05,1.1440937083150343e-05,122.0,13.0
hep-ph/0703226,Status of SM calculations of b > s transitions,6.35900740365955e-05,0.0,99.0,0.0
hep-ph/0703205,Decays of the X(3872) and $\chi_{c1}(2P)$ charmonium,6.227340467335519e-05,7.07739564142173e-08,9.0,1.0
hep-ph/0312303,"CKM Phenomenology and B-Meson Physics - Present Status and Current
  Issues",6.207521032347288e-05,6.704571547659364e-05,226.0,16.0
hep-ph/0601110,The New Heavy Mesons: A Status Report,6.151814326544331e-05,0.0006229425501277,87.0,46.0
hep-ph/0403015,Physics Opportunities with a TeV Linear Collider,6.076607546645094e-05,2.5826365948424216e-05,133.0,10.0
hep-ph/0611231,Chiral perturbation theory,6.0178092031998354e-05,7.873314417245815e-06,99.0,9.0
hep-ex/0406071,Physics at Super B Factory,5.7400743231972805e-05,0.0001916918576042,310.0,62.0
hep-ph/0612057,Low Energy Precision Test of Supersymmetry,5.728691749133216e-05,1.3143968312516135e-05,47.0,1.0
hep-ph/0611148,Hard Interactions of Quarks and Gluons: a Primer for LHC Physics,5.548340017007702e-05,4.620679251014272e-06,138.0,4.0
hep-ph/0211462,Absolute Values of Neutrino Masses: Status and Prospects,5.44012761407201e-05,0.0002871281510737,191.0,50.0
hep-ph/0005025,QCD,5.329985059430772e-05,0.0010953275482874,298.0,73.0
hep-ph/0703063,Low-energy neutrinos at off-axis from a standard beta-beam,5.298779079230183e-05,1.9896115201557205e-06,37.0,1.0
hep-ph/0612173,Hunting eta_b through radiative decay into J/psi,5.284653536221858e-05,2.0755948749259093e-07,24.0,1.0
hep-ph/0201071,B Physics at the Tevatron: Run II and Beyond,5.056818864779605e-05,0.0019525397148546,213.0,161.0
hep-ph/0311212,Chiral Dynamics: Theory and Experiment (CD2003),4.947746171884933e-05,0.0011137237736941,144.0,10.0
hep-ph/0609287,"Single top quark production at the Tevatron: threshold resummation and
  finite-order soft gluon corrections",4.886339676801556e-05,6.009263695769049e-07,49.0,2.0
hep-ph/0603247,Higgs Sector in Extensions of the MSSM,4.883626323403918e-05,7.736456989069865e-06,91.0,13.0
hep-ph/0612150,To see the exotic Theta^+ baryon from interference,4.760309059295371e-05,0.0,26.0,0.0
hep-ph/0703270,$D-\bar{D}$ mixing constraints on FCNC with a non-universal $Z^\prime$,4.7303405839236855e-05,0.0,28.0,0.0
hep-ph/0605177,Analysis of enhanced tan(beta) corrections in MFV GUT scenarios,4.595749833808968e-05,1.697343905030809e-05,91.0,9.0
hep-ph/0512256,QCD Tests of the Puzzling Scalar Mesons,4.555992462551194e-05,2.9046068665082395e-05,35.0,13.0
hep-lat/0601022,The CKM matrix and CP violation (in the continuum approximation),4.447206712092556e-05,6.752173463844555e-07,162.0,1.0
hep-ex/0312033,QCD and Hadronic Interactions - Experimental Summary of Moriond 03,4.43101078589072e-05,1.2175888552016778e-07,43.0,1.0
hep-ex/0309021,A Cicerone for the Physics of Charm,4.428559765023824e-05,0.0008446235470168,73.0,13.0
hep-ph/0702193,Isospin of new physics in $|\Delta S|=1$ charmless B decays,4.383501247206569e-05,0.0,78.0,0.0
hep-ph/0607322,CPT and Quantum Mechanics Tests with Kaons,4.379343408544212e-05,9.45673275514738e-06,39.0,6.0
hep-ph/0608337,Dispersion analysis of the nucleon form factors including meson continua,4.317376804203328e-05,2.7588408931410142e-06,46.0,4.0
hep-ph/0701003,Probing Low-x QCD With Very High Energy Prompt Muons,4.315669036130966e-05,0.0,5.0,0.0
hep-ph/0301023,Higgs Physics at the Linear Collider,4.301202740467546e-05,0.0008576418134408,195.0,19.0
hep-ph/0609037,"Time-dependent CP Asymmetry in B->K* gamma as a (Quasi) Null Test of the
  Standard Model",4.235866319250652e-05,0.0013594355729923,59.0,9.0
hep-ex/0106056,"Linear Collider Physics Resource Book for Snowmass 2001 - Part 2: Higgs
  and Supersymmetry Studies",4.222794923639063e-05,0.0011724059110463,297.0,197.0
hep-ex/0702006,An improved limit on the axion-photon coupling from the CAST experiment,4.203663545929048e-05,2.3988260363030385e-06,43.0,3.0
hep-ph/0505059,"Light Composite Higgs from Higher Representations versus Electroweak
  Precision Measurements -- Predictions for LHC",4.190235233126585e-05,4.085788425915585e-05,107.0,19.0
hep-ex/0603016,Deep Inelastic Electron-Nucleon Scattering at the LHC,4.17626595976306e-05,8.108521030487895e-06,36.0,8.0
hep-ph/0609195,Hadron Spectroscopy: Theory and Experiment,4.142877676989148e-05,1.897083678314763e-05,38.0,10.0
hep-ph/0412128,Review of Heavy Quark Physics - theory,4.106970309009457e-05,4.645458027516467e-06,100.0,7.0
nucl-th/0703094,B- to light-meson transition form factors,4.02443593686071e-05,0.0,6.0,0.0
nucl-th/0601103,Charged Current Neutrino Nucleus Interactions at Intermediate Energies,4.01669035568628e-05,8.03070836205464e-06,48.0,9.0
hep-ph/0312095,"Summary of the 2003 Moriond Workshop on Electroweak Interactions and
  Unified Theories",4.015048543759339e-05,0.0,49.0,0.0
