id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0412158,Heavy Quarkonium Physics,0.0003745056523094,0.0032736918218251,928.0,179.0
cond-mat/9707221,The Loop Algorithm,0.0001886825825843,0.0012924929783002,140.0,42.0
cond-mat/0012164,Critical Phenomena and Renormalization-Group Theory,0.0001810560300707,0.0034247502594734,302.0,101.0
hep-th/0608202,"Numerical simulations of a non-commutative theory: the scalar model on
  the fuzzy sphere",0.0001494169424672,2.7492237378831444e-06,89.0,3.0
hep-ph/0703225,New Hadron States,0.0001362416544918,2.532497543150054e-07,52.0,1.0
hep-th/0701175,Matrix Models and QCD with Chemical Potential,0.0001310386803873,1.990182755160072e-06,113.0,1.0
hep-lat/0104009,Contents of Lattice 2000 Proceedings,0.0001122588501235,0.0,154.0,0.0
nucl-th/0703073,"Chiral Perturbation Theory and the first moments of the Generalized
  Parton Distriputions in a Nucleon",0.0001105838087211,0.0,10.0,0.0
hep-ph/0612224,"Chiral behavior of the B(s,d)-Bbar(s,d) mixing amplitude in the Standard
  Model and beyond",0.0001081139460553,2.6387675021645013e-07,52.0,1.0
hep-th/0701191,"Nonlinear Aspects of the Renormalization Group Flows of Dyson's
  Hierarchical Model",0.0001056324348334,2.024203556709627e-06,55.0,2.0
hep-ph/0611072,"Lattice QCD, Chiral Perturbation Theory and Hadron Phenomenology",0.0001047817723248,6.400252762890523e-07,73.0,1.0
hep-th/0703209,"Monte Carlo approach to nonperturbative strings -- demonstration in
  noncritical string theory",9.161298870256944e-05,0.0,45.0,0.0
hep-lat/0603008,Lattice QCD with fixed topology,8.891796580150106e-05,1.6683435886546322e-05,114.0,5.0
hep-lat/0307027,Meson and Baryon Spectroscopy on a Lattice,8.875708534257095e-05,0.0004084204688424,228.0,11.0
hep-lat/0608010,Topics in Effective Field Theory for Lattice QCD,8.723704249844e-05,7.249580134286611e-07,204.0,3.0
hep-lat/0703006,"Non-perturbative improvement of the axial current with three dynamical
  flavors and the Iwasaki gauge action",8.484465380879686e-05,2.727846114147271e-06,37.0,1.0
hep-ph/0611216,Effective potential between two gluons from the scalar glueball,8.282634999725264e-05,1.2067871670276467e-06,29.0,2.0
hep-lat/0612028,"Matrix elements of the complete set of \Delta B = 2 and \Delta C = 2
  operators in heavy meson chiral perturbation theory",8.223320587124088e-05,6.591579798996868e-08,26.0,1.0
nucl-th/0611055,Overview of Non-Relativistic QCD,8.058692630595013e-05,0.0007279200401712,83.0,1.0
hep-ph/0606043,Dyons near the Planck scale,7.938256986235799e-05,1.2808353355272052e-07,27.0,1.0
hep-lat/0701006,Advances and applications of lattice supersymmetry,7.654859906115848e-05,0.0,75.0,0.0
cond-mat/0611707,Universality class of 3D site-diluted and bond-diluted Ising systems,7.599698137996484e-05,0.0,26.0,0.0
hep-th/9905111,"Large N Field Theories, String Theory and Gravity",7.511949898306279e-05,0.0093355361845536,598.0,1338.0
hep-lat/0612017,Lattice QCD at finite density: imaginary chemical potential,7.460827505503664e-05,8.129424842169311e-07,60.0,2.0
nucl-th/0612051,The nucleon-nucleon potential beyond the static approximation,7.329521950275428e-05,0.0,53.0,0.0
hep-ph/0611310,Heavy Hadron Spectroscopy,7.15449710747284e-05,3.061700776344368e-07,116.0,1.0
hep-ph/0605173,Infrared Properties of QCD from Dyson-Schwinger equations,7.041905086892224e-05,0.0003202730203713,139.0,20.0
hep-th/0608072,"A non-perturbative study of 4d U(1) non-commutative gauge theory -- the
  fate of one-loop instability",6.950618881563585e-05,2.408021586173798e-05,131.0,8.0
nucl-th/0409021,Bridges from Lattice QCD to Nuclear Physics,6.938489573003748e-05,0.0,117.0,0.0
hep-ph/0608297,Can the X(3872) be a 1^{++} four-quark state?,6.875884789348425e-05,3.668629477384692e-06,29.0,3.0
hep-lat/0611020,"Non-perturbative QCD: renormalization, O(a)-improvement and matching to
  Heavy Quark Effective Theory",6.853227390023748e-05,2.0757771084208704e-06,147.0,3.0
hep-lat/0611003,Two Meson Systems with Ginsparg-Wilson Valence Quarks,6.828840607737522e-05,1.545822260609203e-06,81.0,3.0
hep-th/0703229,"Non-Perturbative Planar Equivalence and the Absence of Closed String
  Tachyons",6.47147206951178e-05,0.0,34.0,0.0
hep-ph/0703228,"Deconfinement transition for nonzero baryon density in the Field
  Correlator Method",6.401894496265856e-05,3.186952556403019e-07,20.0,1.0
hep-ph/0312303,"CKM Phenomenology and B-Meson Physics - Present Status and Current
  Issues",6.207521032347288e-05,6.704571547659364e-05,226.0,16.0
hep-th/0609205,"Quantum Field Theory in a Non-Commutative Space: Theoretical Predictions
  and Numerical Results on the Fuzzy Sphere",6.180775171502805e-05,7.018936630258243e-07,79.0,3.0
hep-ph/0606042,Composite model of quark-leptons and duality,6.176206038586994e-05,2.1619722095157973e-07,13.0,1.0
hep-ph/0611231,Chiral perturbation theory,6.0178092031998354e-05,7.873314417245815e-06,99.0,9.0
cond-mat/0509682,"Multicritical behavior in the fully frustrated XY model and related
  systems",6.014418184939448e-05,5.1982385395972036e-08,48.0,1.0
hep-lat/0703020,Infra-red divergences in the large-N expansion,5.912691968907112e-05,0.0,50.0,0.0
hep-th/0604093,"Probability distribution of the index in gauge theory on 2d
  non-commutative geometry",5.910085284560918e-05,1.4540253990006674e-05,119.0,6.0
hep-th/0703025,"Phases of $\Nc= \infty$ QCD-like gauge theories on $S^3 \times S^1$ and
  nonperturbative orbifold-orientifold equivalences",5.835739486523405e-05,3.562350336801774e-07,42.0,1.0
cond-mat/0612656,Dynamic crossover in the global persistence at criticality,5.645178383003461e-05,0.0,1.0,0.0
hep-lat/0612023,Hot QCD and warm dark matter,5.576368977649719e-05,0.0,61.0,0.0
hep-lat/0702022,"Infrared properties of propagators in Landau-gauge pure Yang-Mills
  theory at finite temperature",5.555469976267543e-05,8.531684282302014e-07,61.0,2.0
hep-lat/0507031,Effective Field Theories for Quantum Chromodynamics on the Lattice,5.517184207188811e-05,2.024535516151153e-05,48.0,5.0
hep-th/0602078,"The index of the overlap Dirac operator on a discretized 2d
  non-commutative torus",5.500754710030207e-05,2.574925122338765e-05,135.0,6.0
hep-lat/0702014,Light dynamical fermions on the lattice: toward the chiral regime of QCD,5.379724874453701e-05,3.475288978924353e-07,53.0,1.0
hep-lat/0701011,"Infrared-suppressed gluon propagator in 4d Yang-Mills theory in a
  Landau-like gauge",5.31833884303044e-05,2.987847623469545e-07,48.0,2.0
hep-lat/0607016,Applications of Chiral Perturbation theory to lattice QCD,5.202291799483624e-05,2.4441597443244564e-05,90.0,9.0
