id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0606054,Neutrino masses and mixings and...,0.00065286225584,0.0033067608889937,755.0,57.0
hep-ph/0412158,Heavy Quarkonium Physics,0.0003745056523094,0.0032736918218251,928.0,179.0
hep-th/0603057,Dynamics of dark energy,0.0002647598880568,0.0101907598482004,236.0,203.0
hep-ph/0701197,Dark Matter and Collider Phenomenology of Universal Extra Dimensions,0.000225642302308,0.0002184988849965,193.0,4.0
hep-ph/0601023,"Proton stability in grand unified theories, in strings, and in branes",0.0001931065393354,0.0061960222715339,384.0,33.0
hep-ph/0202122,Neutrinos in cosmology,0.0001924136623247,0.0016516696391162,492.0,81.0
hep-ph/0606202,Mirror particles and mirror matter: 50 years of speculation and search,0.0001669248294362,1.3240829708807644e-05,138.0,6.0
hep-ph/0702105,NRQCD and Quarkonia,0.0001655682169283,0.0017113697300877,127.0,1.0
astro-ph/0402371,Astrophysical Origins of Ultrahigh Energy Cosmic Rays,0.0001642899036497,0.0003603742599666,328.0,22.0
hep-ph/0604120,"Les Houches Physics at TeV Colliders 2005, Standard Model and Higgs
  working group: Summary report",0.0001617746960362,0.0001673689123912,501.0,31.0
hep-ph/0307382,Generalized Parton Distributions,0.0001601879097063,0.0013376693786504,433.0,81.0
hep-ph/0410364,Physics Interplay of the LHC and the ILC,0.0001523234587159,0.0037221475292138,553.0,139.0
hep-ph/0602198,"Les Houches ""Physics at TeV Colliders 2005'' Beyond the Standard Model
  working group: summary report",0.0001459313378528,0.0003032500226749,531.0,26.0
hep-ph/9709356,A Supersymmetry Primer,0.0001420301848342,0.1164866131888311,432.0,405.0
hep-ph/0510213,Theory of Neutrinos: A White Paper,0.0001378400799859,0.0006913975919866,406.0,79.0
hep-ph/0703225,New Hadron States,0.0001362416544918,2.532497543150054e-07,52.0,1.0
hep-ph/0404189,"Solving the Bethe-Salpeter equation for fermion-antifermion pseudoscalar
  bound state in Minkowski space",0.0001297758312932,0.0019940561264906,10.0,1.0
hep-th/0701288,"Greybody Factors for Brane Scalar Fields in a Rotating Black-Hole
  Background",0.00012812226245,0.0,109.0,0.0
hep-th/0703278,An Inflationary Scenario in Intersecting Brane Models,0.0001253600661673,0.0,96.0,0.0
hep-ph/0511332,"Toward High Precision Higgs-Boson Measurements at the International
  Linear e+e- Collider",0.0001240602162371,0.0001808627950501,359.0,17.0
hep-ph/0703168,Pion Interactions in the X(3872),0.0001181559404725,1.1412741849636234e-06,61.0,1.0
astro-ph/0703403,"Non-Universal Spectra of Ultra-High Energy Cosmic Ray Primaries and
  Secondaries in a Structured Universe",0.0001157922662031,0.0,46.0,0.0
gr-qc/0502097,Modern tests of Lorentz invariance,0.0001147865982573,0.0051848251278042,200.0,47.0
hep-ph/0703262,Probing RS scenarios of flavour at LHC via leptonic channels,0.0001135037509947,0.0,15.0,0.0
astro-ph/0611750,Nongaussianity from Tachyonic Preheating in Hybrid Inflation,0.0001108630898311,3.141966423795782e-05,126.0,8.0
nucl-th/0703073,"Chiral Perturbation Theory and the first moments of the Generalized
  Parton Distriputions in a Nucleon",0.0001105838087211,0.0,10.0,0.0
hep-ph/0607149,Moriond Electroweak 2006: Theory Summary,0.0001095188370299,2.7581357771164496e-06,59.0,2.0
hep-ph/0612224,"Chiral behavior of the B(s,d)-Bbar(s,d) mixing amplitude in the Standard
  Model and beyond",0.0001081139460553,2.6387675021645013e-07,52.0,1.0
astro-ph/0601594,Weak Gravitational Lensing of the CMB,0.0001078559821292,0.0033178796463196,152.0,13.0
hep-ph/0702036,Recoil Detection of the Lightest Neutralino in MSSM Singlet Extensions,0.0001069391165842,0.0,80.0,0.0
hep-ph/0312378,The Soft Supersymmetry-Breaking Lagrangian: Theory and Applications,0.0001062488778192,0.005056100931049,575.0,84.0
hep-ph/0405086,"Prediction of the masses and decay processes of strange, charmed and
  bottomed pentaquarks from the linear molecular crypto-heptaquark model",0.0001049664913251,0.0003795574105154,79.0,5.0
hep-ph/0611072,"Lattice QCD, Chiral Perturbation Theory and Hadron Phenomenology",0.0001047817723248,6.400252762890523e-07,73.0,1.0
hep-ph/0703286,"S-wave and P-wave pion-pion and kaon-pion contributions to three-body
  decay processes in the Resonance-Spectrum Expansion",0.0001045262675794,0.0,32.0,0.0
hep-ph/0304132,The CKM Matrix and the Unitarity Triangle,0.0001040602611408,0.0014940281028892,412.0,243.0
hep-ph/0502236,Mixing of Pentaquark and Molecular States,0.0001029670990711,5.1480024153057065e-06,135.0,1.0
hep-ph/0608322,Tevatron-for-LHC Report: Preparations for Discoveries,0.000102881286413,1.0196969153214436e-06,333.0,1.0
hep-ph/0703179,"Towards a fitting procedure for deeply virtual Compton scattering at
  next-to-leading order and beyond",0.0001021868737999,0.0,131.0,0.0
astro-ph/0603494,Massive neutrinos and cosmology,9.875900535823878e-05,0.0014769806382931,225.0,33.0
gr-qc/0312059,Brane-world gravity,9.865696736507686e-05,0.0020967943908453,309.0,190.0
hep-ph/0206072,"Ultrahigh Energy Cosmic Rays: The state of the art before the Auger
  Observatory",9.612326316163996e-05,0.0015623593916802,392.0,55.0
hep-ph/0308123,Progress in the physics of massive neutrinos,9.51603662822998e-05,0.0008434722871354,495.0,62.0
hep-ph/0310337,Advances in perturbative thermal field theory,9.377702017748394e-05,0.0002854958699751,277.0,18.0
hep-ph/0503044,Braneworld cosmology and noncommutative inflation,9.35071046119662e-05,5.350439477337182e-05,383.0,13.0
hep-ph/0702136,"Charged Lepton Flavour Violation and (g-2)_mu in the Littlest Higgs
  Model with T-Parity: a clear Distinction from Supersymmetry",9.208299102696326e-05,2.529957773272612e-05,104.0,6.0
hep-ph/0702034,A model for fermion masses and lepton mixing in SO(10) x A4,9.178557768195898e-05,4.674732766193234e-07,34.0,3.0
astro-ph/0702328,Angular Signatures of Dark Matter in the Diffuse Gamma Ray Background,9.17744677018664e-05,1.6883879389552288e-06,66.0,1.0
astro-ph/9811011,Origin and Propagation of Extremely High Energy Cosmic Rays,9.1386195325974e-05,0.0014192936463288,117.0,98.0
hep-ph/0703097,"Compressed supersymmetry and natural neutralino dark matter from top
  squark-mediated annihilation to top quarks",9.051224208511528e-05,0.0057902900279915,96.0,1.0
hep-ph/0611040,Stable Massive Particles at Colliders,9.01240955914061e-05,1.05795197422851e-05,211.0,6.0
hep-ph/0404175,"Particle Dark Matter: Evidence, Candidates and Constraints",8.99313805756891e-05,0.0022315945019042,311.0,127.0
hep-th/0306138,Heat kernel expansion: user's manual,8.921083380956964e-05,0.0004847181473103,162.0,54.0
hep-ph/0212380,Chiral corrections in electroweak processes with heavy mesons,8.850091289647835e-05,0.0,181.0,0.0
hep-ph/0703162,"Charmless non-leptonic B_s decays to PP, PV and VV final states in the
  pQCD approach",8.838461894954514e-05,1.4519330165113802e-06,105.0,2.0
hep-ph/0702212,Photoproduction at collider energies: from RHIC and HERA to the LHC,8.820664483768759e-05,0.0,44.0,0.0
hep-ph/0612130,"Method for comparing finite temperature field theory results with
  lattice data",8.802624574655355e-05,0.0,43.0,0.0
hep-ph/0702146,The Gaugino Code,8.780235429408509e-05,1.558985532817755e-06,80.0,2.0
hep-ph/0612193,Probing Models of Quantum Decoherence in Particle Physics and Cosmology,8.769178648517309e-05,7.387599617551075e-07,75.0,1.0
astro-ph/0702613,Neutrino Spectrum from SN 1987A and from Cosmic Supernovae,8.710847569863647e-05,0.0,56.0,0.0
hep-th/0607217,"MSSM GUT String Vacua, Split Supersymmetry and Fluxes",8.668944175082693e-05,1.5539780194570568e-05,123.0,10.0
hep-ph/0701164,Precision Calculations for Future Colliders,8.645132629847248e-05,0.0,166.0,0.0
astro-ph/0701212,"Dark Energy is the Cosmological Quantum Vacuum Energy of Light
  Particles-The Axion and the Lightest Neutrino",8.644705746594031e-05,0.0,24.0,0.0
