id,title,pagerank,betweenness,in_degree,out_degree
gr-qc/0505065,Analogue Gravity,0.0002843559737488,0.0017194081174822,301.0,37.0
hep-th/0603057,Dynamics of dark energy,0.0002647598880568,0.0101907598482004,236.0,203.0
hep-ph/0701197,Dark Matter and Collider Phenomenology of Universal Extra Dimensions,0.000225642302308,0.0002184988849965,193.0,4.0
hep-ph/0601023,"Proton stability in grand unified theories, in strings, and in branes",0.0001931065393354,0.0061960222715339,384.0,33.0
gr-qc/0601085,Loop Quantum Cosmology,0.0001888722879535,0.0002656757715877,153.0,32.0
cond-mat/0012164,Critical Phenomena and Renormalization-Group Theory,0.0001810560300707,0.0034247502594734,302.0,101.0
hep-th/0610327,"Four-dimensional String Compactifications with D-Branes, Orientifolds
  and Fluxes",0.0001717691431461,0.0009000157863568,471.0,32.0
hep-th/0608210,Loop Quantum Gravity: An Inside View,0.000170832550236,2.059152746917385e-05,137.0,11.0
astro-ph/0402371,Astrophysical Origins of Ultrahigh Energy Cosmic Rays,0.0001642899036497,0.0003603742599666,328.0,22.0
hep-th/0611088,Arrow of Time in String Theory,0.0001608562531941,5.739111513753913e-07,69.0,1.0
cond-mat/0410357,Ageing Properties of Critical Systems,0.0001592173197939,2.7019560180473253e-05,137.0,14.0
hep-th/0012062,Vacuum Energy,0.000149509483903,0.0015250171061657,238.0,8.0
hep-th/0608202,"Numerical simulations of a non-commutative theory: the scalar model on
  the fuzzy sphere",0.0001494169424672,2.7492237378831444e-06,89.0,3.0
hep-th/0604128,"Quantum spectral curves, quantum integrable systems and the geometric
  Langlands correspondence",0.0001490639815149,1.8317941097466853e-05,123.0,9.0
hep-th/0703231,Stability of multidimensional black holes: complete numerical analysis,0.0001483484704414,0.0,59.0,0.0
hep-th/0703049,"BRST approach to Lagrangian construction for fermionic higher spin
  fields in AdS space",0.0001464575204631,1.709534573206597e-06,94.0,2.0
hep-ph/9709356,A Supersymmetry Primer,0.0001420301848342,0.1164866131888311,432.0,405.0
hep-th/0604049,Ramifications of Lineland,0.0001383188795723,0.0067484292428402,178.0,9.0
hep-th/0406024,The Casimir effect: Recent controversies and progress,0.0001334966807302,0.0011336120088899,193.0,26.0
hep-th/0701175,Matrix Models and QCD with Chemical Potential,0.0001310386803873,1.990182755160072e-06,113.0,1.0
hep-th/0701288,"Greybody Factors for Brane Scalar Fields in a Rotating Black-Hole
  Background",0.00012812226245,0.0,109.0,0.0
hep-th/0410103,Tachyon Dynamics in Open String Theory,0.0001279183142683,0.0007176194436562,506.0,146.0
hep-th/0511227,Pre-Inflationary Spacetime in String Cosmology,0.0001256597961189,2.873301526563271e-05,128.0,9.0
hep-th/0703278,An Inflationary Scenario in Intersecting Brane Models,0.0001253600661673,0.0,96.0,0.0
hep-th/0204253,Dilaton Gravity in Two Dimensions,0.0001249492155181,0.0068965825086153,281.0,99.0
hep-th/0702229,IR Inflation from Multiple Branes,0.0001230915480904,4.690114296005804e-07,82.0,1.0
hep-th/0702040,On Entropy Function for Supersymmetric Black Rings,0.0001173368468196,5.6448001962326606e-08,70.0,1.0
hep-th/0702075,"7D Randall-Sundrum cosmology, brane-bulk energy exchange and holography",0.0001155865117964,1.5960562988516875e-06,136.0,1.0
hep-th/0611013,On supertwistor geometry and integrability in super gauge theory,0.000115236965844,0.0,156.0,0.0
hep-th/0703118,Massive supermultiplets with spin 3/2,0.000114729355657,1.5521345350331182e-07,33.0,1.0
hep-th/0702182,"Universe Decay, Inflation and the Large Eigenvalue of the Cosmological
  Constant Seesaw",0.0001142112380232,0.0,61.0,0.0
astro-ph/0612746,"Reconstruction of Hessence Dark Energy and the Latest Type Ia Supernovae
  Gold Dataset",0.0001121536380909,4.304974896550068e-06,130.0,7.0
hep-th/0701216,"Black Holes, Black Rings and their Microstates",0.0001115772713399,2.5776219284236533e-06,140.0,3.0
astro-ph/0611750,Nongaussianity from Tachyonic Preheating in Hybrid Inflation,0.0001108630898311,3.141966423795782e-05,126.0,8.0
hep-th/0611071,"Modified gravity and its reconstruction from the universe expansion
  history",0.0001107349777805,9.43093491277073e-05,118.0,20.0
hep-th/0703260,"On Attractor Mechanism and Entropy Function for Non-extremal Black
  Holes/Branes",0.0001080115332406,1.108472539155354e-07,53.0,1.0
hep-ph/0312378,The Soft Supersymmetry-Breaking Lagrangian: Theory and Applications,0.0001062488778192,0.005056100931049,575.0,84.0
hep-th/0701191,"Nonlinear Aspects of the Renormalization Group Flows of Dyson's
  Hierarchical Model",0.0001056324348334,2.024203556709627e-06,55.0,2.0
hep-th/0703248,A Consistency Relation for Power Law Inflation in DBI models,0.0001042782471337,0.0,37.0,0.0
gr-qc/0612164,Predictions in eternal inflation,0.0001035149147868,3.160145289100898e-06,111.0,2.0
hep-th/0609022,Introduction to Non-Linear Algebra,0.0001009507259825,3.2494981496967925e-06,29.0,3.0
hep-th/0502010,Challenges of Matrix Models,0.0001002012112028,0.0001878402601046,210.0,11.0
hep-th/0702159,"Deformed Special Relativity and Deformed Symmetries in a Canonical
  Framework",9.923390119200172e-05,0.0,28.0,0.0
astro-ph/0603494,Massive neutrinos and cosmology,9.875900535823878e-05,0.0014769806382931,225.0,33.0
gr-qc/0312059,Brane-world gravity,9.865696736507686e-05,0.0020967943908453,309.0,190.0
hep-th/0703012,Non-Gaussianities in N-flation,9.806845256789352e-05,1.2726161596210805e-05,54.0,1.0
math-ph/0703019,"Integrable Structure of Ginibre's Ensemble of Real Random Matrices and a
  Pfaffian Integration Theorem",9.689213738909653e-05,0.0,2.0,0.0
hep-th/0702221,Black Hole - String Transition and Rolling D-brane,9.614253741595766e-05,0.0,187.0,0.0
quant-ph/0703044,Entanglement in Many-Body Systems,9.60997531994056e-05,0.0001067060995236,26.0,9.0
gr-qc/0701114,Probing Noncommutativity with Inflationary Gravitational Waves,9.404270547874836e-05,7.576507592350065e-07,62.0,1.0
hep-ph/0310337,Advances in perturbative thermal field theory,9.377702017748394e-05,0.0002854958699751,277.0,18.0
hep-ph/0503044,Braneworld cosmology and noncommutative inflation,9.35071046119662e-05,5.350439477337182e-05,383.0,13.0
hep-th/0702031,"Multiple Lambda cosmology: dark fluid with time-dependent equation of
  state as classical analog of cosmological landscape",9.309318261800808e-05,0.0,25.0,0.0
hep-th/0611031,Deformations of anti-de Sitter black holes,9.208319331940392e-05,0.0,162.0,0.0
gr-qc/0703144,"Dynamical coherent states and physical solutions of quantum cosmological
  bounces",9.187432470636064e-05,0.0,35.0,0.0
hep-th/0703209,"Monte Carlo approach to nonperturbative strings -- demonstration in
  noncritical string theory",9.161298870256944e-05,0.0,45.0,0.0
hep-th/0703267,"Supersymmetric Solitons and How They Help Us Understand Non-Abelian
  Gauge Theories",8.988653804304522e-05,0.0,146.0,0.0
hep-th/0306138,Heat kernel expansion: user's manual,8.921083380956964e-05,0.0004847181473103,162.0,54.0
gr-qc/0607062,Classical and Quantum Dilaton Gravity in Two Dimensions with Fermions,8.858908913189223e-05,2.920104238958943e-06,64.0,3.0
hep-th/0701022,Instabilities of Black Strings and Branes,8.845157084047436e-05,1.212966048520442e-05,203.0,10.0
hep-ph/0702146,The Gaugino Code,8.780235429408509e-05,1.558985532817755e-06,80.0,2.0
hep-th/0701279,Toward logarithmic extensions of ^sl(2)_k conformal field models,8.77919055187827e-05,0.0,46.0,0.0
hep-th/0607030,Quantum Dilaton Gravity in Two Dimensions with Fermionic Matter,8.673011284020348e-05,1.349302292764137e-06,71.0,3.0
