source,target
math/0005260,math/0110058
math/0111195,math/0011094
math/0503111,math/0507372
math/0502517,math/0507372
math/0005055,math/0104203
math/0212225,math/0212226
math/9906030,math/9810142
math/9810142,math/9906030
math/0508062,math/0404361
math/0301255,q-bio/0402015
math/0404361,math/0508062
math/0606312,math/0501479
math/0601101,math/0501479
math/0405523,math/0509570
math/0403156,math/0509570
math/0506265,math/0509570
math/0005055,math/0011236
math/0410257,math/0403156
math/0509570,math/0403156
math/0212226,math/0212225
math/9810113,math/9904079
math/0412361,math/0411228
math/0411228,math/0412361
math/9903124,math/0010157
math/9906171,math/9906170
math/0303203,math/0505473
math/0408408,math/0505473
math/0410264,math/0509475
math/0502144,math/0410069
math/0505473,math/0408408
math/0509247,math/0509544
math/0501352,math/0509544
math/0501345,math/0509544
math/0509544,math/0412044
math/0407187,math/0310032
math/0408162,math/0410257
math/0506223,math/0509390
math/9804052,math/9812095
math/0305286,math/0507404
math/9906170,math/9906171
math/0310369,math/0410220
math/0703070,math/0609825
math/0612616,math/0609825
math/0510030,math/0605046
math/0509475,math/0605046
math/0507372,math/0502517
math/0509247,math/0501345
math/0509544,math/0501345
math/0410069,math/0502144
math/0506391,math/0509657
math/0701270,math/0703035
math/0509657,math/0506391
math/0703035,math/0701270
math/0512423,math/0606357
math/0011094,math/0111195
math/0609825,math/0612616
math/0501345,math/0508359
math/0505421,math/0606312
math/0501479,math/0606312
math/0606736,math/0703644
math/0611711,math/0703644
math/0611838,math/0703644
math/0703643,math/0703644
math/0508287,math/0509247
math/0501345,math/0509247
math/0209324,math/0509394
math/0509475,math/0510030
math/0609291,math/0703643
math/0703644,math/0703643
math/0611711,math/0703643
math/0401031,math/0312513
math/0403156,math/0312513
math/0703644,math/0611711
math/0703643,math/0611711
math/0108117,math/0201014
math/0412044,math/0310369
math/0410220,math/0310369
math/0409090,math/0504077
math/0212033,math/0304118
math/0508021,math/0506265
math/0501479,math/0505421
math/0307035,math/0211279
math/0210270,math/0211279
math/0303203,math/0402232
math/0206063,math/0402406
math/9903124,math/9910071
math/0305434,math/0307082
math/0307154,math/0310108
math/0407052,math/0605136
math/0411631,math/0605136
math/0607736,math/0605136
math/0606539,math/0701296
math/0703417,math/0701296
math/0606357,math/0701296
math/0605487,math/0701296
math/0410107,math/0408016
math/0501226,math/0408016
math/0606539,math/0604301
math/0410107,math/0604301
math/0608542,math/0604301
math/0701296,math/0604301
math/0606353,math/0604301
math/0607306,math/0604301
math/0609371,math/0604301
math/0606357,math/0604301
math/0605487,math/0604301
math/0411181,math/0604301
math/0512021,math/0604301
math/0511022,math/0604301
math/0508392,math/0512283
math/0503666,math/0512283
math/0410107,math/0605487
math/0508589,math/0605487
math/0604301,math/0605487
math/0211279,math/0307035
math/0201014,math/0208122
math/0410107,math/0501226
math/0408016,math/0501226
math/0407375,math/0511022
math/0508589,math/0511022
math/0409097,math/0511022
math/0505678,math/0508067
math/0512283,math/0508392
math/9906032,math/9906036
math/0611064,math/0610537
math/0410107,math/0606539
math/0606353,math/0606539
math/0609371,math/0606539
math/0606357,math/0606539
math/0605487,math/0606539
math/0411181,math/0606539
math/0511022,math/0606539
math/0604301,math/0606539
math/0201014,math/0108117
math/0307037,math/0309027
math/0511022,math/0508589
math/0409097,math/0508589
math/0503278,math/0508589
math/9912199,math/0010073
math/0509570,math/0609291
math/0404361,math/0609291
math/0408399,math/0609291
math/0503685,math/0506298
math/0612616,math/0703070
math/0609825,math/0703070
math/0605046,math/0606353
math-ph/0302062,math/0506418
math/0602626,math/0607684
math/0605136,math/0607736
math/0101122,math/0209156
math/0407375,math/0411181
math/0410107,math/0411181
math/0503203,math/0411181
math/0408016,math/0411181
math/0508359,math/0602052
math/0508287,math/0602052
math/0404034,math/0312412
math/0312513,math/0312412
math/0501501,math/0508214
math/0608019,math/0611948
math/0301164,math/0305286
math/0210131,math/0305286
math/0111187,math/0305286
math/0601654,math/0603733
math/0212225,math/0603733
math/0603733,math/0601654
math/0409090,math/0410497
math/0508062,math/0408399
math/0110089,math/0410375
math/0402245,math/0404191
math/0402180,math/0404191
math/0307294,math/0404191
math/0405202,math/0404191
math/0202133,math/0403432
math/0306120,math/0108144
math/0202303,math/0203235
math/0503685,math/0512521
math/0506298,math/0512521
math/0303233,math/0512521
math/0205251,math/0301238
math/0210096,math/0301238
math/0407158,math/0603273
math/0507372,math/0605150
math/0011236,math/0104187
math/0509570,math/0611838
math/0611711,math/0611838
math/0609291,math/0611838
math/0506418,math/0601558
math/0407181,math/0601558
math/0402348,math/0601558
math/0606638,math/0602616
math/0603259,math/0602616
math/0409090,math/0505146
math/0410497,math/0505146
math/0504077,math/0505146
math/0602052,math/0606683
math/0306100,math/0511582
math/0701296,math/0703417
math/0606539,math/0607306
math/0410107,math/0607306
math/0404517,math/0607306
math/0606353,math/0607306
math/0609371,math/0607306
math/0501226,math/0607306
math/0407189,math/0506526
math/0402180,math/0402245
math/0502144,math/0510487
math/0309259,math/0510487
math/0110058,math/0510487
math/0211146,math/0301266
math/0611790,math/0703258
math/0605046,math/0703258
math/0607306,math/0703258
math/0606353,math/0703258
math/0402406,math/0502541
math/0602616,math/0606638
math/0603259,math/0606638
math/0103170,math/0211450
math/0211181,math/0305215
math/0508413,math/0511059
math/0408311,math/0511059
math/0407375,math/0503203
math/0410107,math/0503203
math/0411181,math/0503203
math/0605487,math/0503203
math/0511022,math/0503203
math/0611948,math/0601674
math/0608019,math/0601674
math/0703258,math/0611790
math/0605046,math/0611790
math/0503146,math/0506614
math/0411082,math/0506614
math/0509180,math/0606593
math/0508067,math/0512198
math/0505678,math/0512198
math/0104203,math/0303110
math/0307222,math/0310493
math/0210131,math/0312486
math/0410625,math/0504492
math/0304447,math/0504492
math/0307378,math/0504492
math/0303151,math/0504492
math/0111040,math/0209404
math/0507404,math/0607638
math/0508439,math/0607639
math/0505421,math/0405247
math/0501479,math/0405247
alg-geom/9506010,alg-geom/9606018
math/0411445,math/0411020
math/0408311,math/0508413
math/0502541,math/0411570
math/0507565,math/0505010
math/0205242,math/0208183
math/0201082,math/0208183
math/9904143,math/0208183
math/0508214,math/0605330
math/0501501,math/0605330
math/0402052,math/0408124
math/0407464,math/0408124
math/0110244,math/0408124
math/9812095,math/0507238
math/0212033,math/0305214
math/0010107,math/0305214
