id,title,pagerank,betweenness,in_degree,out_degree
math/0607736,Mutation in triangulated categories and rigid Cohen-Macaulay modules,2.025148323898837e-05,3.1366904805120765e-06,10.0,6.0
math/0604301,Resolutions of square-free monomial ideals via facet ideals: a survey,1.9502983018085915e-05,1.990182755160072e-06,13.0,3.0
math/0607684,Limits of stable pairs,1.9140971063281715e-05,0.0,8.0,2.0
math/0211263,The regularity of points in multi-projective spaces,1.862917325957024e-05,0.0,5.0,1.0
math/0305214,Multigraded Castelnuovo-Mumford Regularity,1.7931531659786706e-05,1.990182755160072e-06,6.0,1.0
math/0602626,Complete moduli spaces of branchvarieties,1.6788868129609865e-05,0.0,9.0,1.0
math/0703780,On Differential Rota-Baxter Algebras,1.625342575150432e-05,2.701745032169102e-08,8.0,1.0
math/0504492,"Rank 2 arithmetically Cohen-Macaulay bundles on a nonsingular cubic
  surface",1.5915943183596125e-05,1.9976088102166394e-06,14.0,1.0
math/9902118,Results on Secant Varieties Leading to a Geometric Flip Construction,1.5741527237762103e-05,0.0,5.0,2.0
math/0601558,Multiple zeta values and Rota--Baxter algebras,1.4252209182390238e-05,5.043334133514698e-07,20.0,6.0
math/0703258,Arithmetical ranks of Stanley-Reisner ideals via linear algebra,1.422507138285414e-05,1.990182755160072e-06,4.0,1.0
math/0702368,"Toric ideals of phylogenetic invariants for the general group-based
  model on claw trees $K_{1,n}$",1.3535395446420692e-05,0.0,6.0,0.0
math/0606539,"Monomial ideals, edge ideals of hypergraphs, and their graded Betti
  numbers",1.3523783968644738e-05,7.960731020640288e-06,9.0,3.0
math/0605136,Fomin-Zelevinsky mutation and tilting modules over Calabi-Yau algebras,1.2792531736054204e-05,0.0010126876711493,11.0,8.0
math/0611790,On the arithmetical rank of certain monomial ideals,1.2173163377163362e-05,0.0,2.0,1.0
math/0310369,Grobner fan for analytic D-modules with parameters,1.1825089430803648e-05,3.980365510320144e-06,4.0,2.0
math/0511059,"Tropical Algebraic Sets, Ideals and An Algebraic Nullstellensatz",1.1662352982364464e-05,2.9546690707872266e-06,6.0,3.0
math/0606274,The Multiplicity Conjecture for Barycentric Subdivisions,1.1273474770409453e-05,0.0,5.0,0.0
math/0507404,A short course on geometric motivic integration,1.1092567546304952e-05,5.052289531616262e-06,8.0,6.0
math/0701296,Shellable graphs and sequentially Cohen-Macaulay bipartite graphs,1.0593525347286964e-05,1.990182755160072e-06,4.0,2.0
math/0703644,Stability of Gorenstein Categories,1.0457454260256596e-05,0.0,4.0,2.0
math/0503342,Coherent Unit Actions on Operads and Hopf Algebras,1.0078069612425364e-05,9.870791241712216e-06,12.0,3.0
math/0601674,On the canonical discussion of polynomial systems with parameters,9.799320583627054e-06,0.0,3.0,1.0
math/0411181,On the linear strand of an edge ideal,9.796541342855404e-06,1.990182755160072e-06,5.0,4.0
math/0506418,"Mixable Shuffles, Quasi-shuffles and Hopf Algebras",9.335985392558748e-06,8.8114603468239e-07,12.0,6.0
math/0211279,Castelnuovo-Mumford regularity by approximation,9.087592082995425e-06,0.0,2.0,1.0
math/0605487,Whiskers and sequentially Cohen-Macaulay graphs,8.982333885441386e-06,1.990182755160072e-06,4.0,4.0
math/0703643,Homological aspects of semidualizing modules,8.610630379061895e-06,0.0,3.0,2.0
math/0611711,Gorenstein projective dimension with respect to a semidualizing module,8.565699616849422e-06,0.0,2.0,4.0
math/0312416,Links and analytic invariants of superisolated singularities,8.563653792825648e-06,1.990182755160072e-06,5.0,4.0
math/0608633,One higher dimensional analog of jet schemes,7.982492792612278e-06,0.0,2.0,0.0
math/0503203,Splittable ideals and the resolutions of monomial ideals,7.877533058268044e-06,0.0,6.0,1.0
math/0602616,Computing obstructions for existence of connections on modules,7.774652262603179e-06,1.990182755160072e-06,3.0,2.0
math/0606772,Gluing affine torus actions via divisorial fans,7.497091964355639e-06,0.0,2.0,1.0
math/0611643,An Auslander-Buchsbaum identity for semidualizing modules,7.414673546558885e-06,0.0,4.0,0.0
math/0607306,On the arithmetical rank of the edge ideals of forests,7.359109384971412e-06,3.980365510320144e-06,6.0,2.0
math/0606683,Toric geometry of cuts and splits,7.241755756205772e-06,1.990182755160072e-06,2.0,2.0
math/0611838,Foxby equivalence over associative rings,7.205913571286494e-06,0.0,4.0,2.0
math/0401292,Subdivisions of toric complexes,7.165905996358479e-06,0.0,5.0,0.0
math/0607159,Type-B generalized triangulations and determinantal ideals,7.1184178658128825e-06,0.0,5.0,0.0
math/0601654,Rigid Dualizing Complexes over Commutative Rings,7.095751918117204e-06,1.9877074034745493e-06,2.0,1.0
math/0609825,Misere quotients for impartial games,7.0796823404395085e-06,0.0,4.0,4.0
math/0603733,Rigid Complexes via DG Algebras,7.035798278836097e-06,0.0,2.0,1.0
math/0208250,"A Combinatorial Approach to Involution and delta-Regularity II:
  Structure Analysis of Polynomial Modules with Pommaret Base",6.983620642042502e-06,0.0,6.0,0.0
math/0604208,The Tropical Rank of a Tropical Matrix,6.878805841708809e-06,0.0,4.0,0.0
math/0501478,Adjoint line bundles and syzygies of projective varieties,6.788632716574036e-06,0.0,2.0,0.0
math/0307035,Elementary modifications and line configurations in P^2,6.55890781825366e-06,0.0,1.0,1.0
math/0409462,A case study in bigraded commutative algebra,6.55046442012554e-06,0.0,2.0,0.0
math/0505115,Moduli of McKay quiver representations I: the coherent component,6.49518650067265e-06,2.7979537847143065e-06,3.0,2.0
math/0609262,"Poincare series of some pure and mixed trace algebras of two generic
  matrices",6.446775846993064e-06,0.0,2.0,1.0
math/0606246,Face ring multiplicity via CM-connectivity sequences,6.337937754250368e-06,1.990182755160072e-06,4.0,1.0
math/0412044,"Local Gr\""obner fan: polyhedral and computational approach",6.3303472287436805e-06,3.4535581096692724e-05,2.0,5.0
math/0501479,"Multigraded regularity, a*-invariant and the minimal free resolution",6.276687592114239e-06,0.0,2.0,3.0
math/0602052,Toric fiber products,6.172688728573321e-06,0.0,4.0,1.0
math/0605588,Tetrahedral curves via graphs and Alexander duality,6.145456869265213e-06,0.0,1.0,0.0
math/0511308,"Improving the bounds of the Multiplicity Conjecture: the codimension 3
  level case",6.12325137275947e-06,0.0,5.0,0.0
math/0405052,On the ring of invariants of ordinary quartic curves in characteristic 2,6.107026054511987e-06,0.0,1.0,0.0
math/0602019,The algebra of the box spline,6.0564724618160505e-06,1.990182755160072e-06,3.0,1.0
math/0410220,Generic and comprehensive standard bases,6.0405088162418345e-06,1.990182755160072e-06,2.0,2.0
math/0509544,Computing Groebner Fans,6.012471650507068e-06,1.2249238629022788e-05,4.0,2.0
math/0208122,On coseparable and biseparable corings,6.010244159884367e-06,3.980365510320144e-06,5.0,3.0
math/0411107,First Steps in Algorithmic Fewnomial Theory,5.910063314450265e-06,0.0,1.0,3.0
math/0506593,Fourier Mukai Transforms for Gorenstein Schemes,5.802395030142455e-06,0.0,5.0,0.0
math/0508421,"A Computational Solution to a Question by Beauville on the Invariants of
  the Binary Quintic",5.735320599853928e-06,0.0,3.0,0.0
math/0701270,Fast Computation of Secondary Invariants,5.655144290770314e-06,0.0,1.0,1.0
math/0703035,Minimal generating sets of non-modular invariant rings of finite groups,5.655144290770314e-06,0.0,1.0,1.0
math/0502467,Deformation of finite morphisms and smoothing of ropes,5.655144290770314e-06,0.0,1.0,1.0
math/0701146,Homalg: A meta-package for homological algebra,5.655144290770314e-06,0.0,1.0,1.0
math/0509657,On ideals of minors of matrices with indeterminate entries,5.655144290770314e-06,0.0,1.0,1.0
math/0506391,"Relative Beilinson Monad and Direct Image for Families of Coherent
  Sheaves",5.655144290770314e-06,0.0,1.0,1.0
math/0701508,Differentials over differential fields,5.655144290770314e-06,0.0,1.0,1.0
math/0404325,"Asymptotic Improvement of the Gilbert-Varshamov Bound on the Size of
  Binary Codes",5.567786391396275e-06,0.0,1.0,1.0
math/0502149,Sets of Hilbert series and their applications,5.548145956887062e-06,0.0,3.0,0.0
math/0607160,"Frobenius test exponents for parameter ideals in generalized
  Cohen-Macaulay local rings",5.483261506506723e-06,0.0,3.0,0.0
math/0610190,"Monomial ideals arising from flag complexes whose generic initial ideals
  do not depend on term orders",5.389472575977964e-06,0.0,3.0,0.0
math/0408110,Conic divisor classes over a normal monoid algebra,5.340003906671559e-06,0.0,1.0,0.0
math/0411570,Enriched homology and cohomology modules of simplicial complexes,5.250622260250228e-06,3.980365510320144e-06,2.0,1.0
math/0606638,"Connections on modules over singularities of finite CM representation
  type",5.226278804424354e-06,0.0,2.0,1.0
math/0702728,Stanley Conjecture in small embedding dimension,5.21244138363032e-06,0.0,4.0,0.0
math/0504340,Gorenstein dimension of modules over homomorphisms,5.176441869378899e-06,0.0,4.0,0.0
