id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0612127,"Open string amplitudes and large order behavior in topological string
  theory",6.329808521878367e-05,3.7358202329502906e-07,61.0,3.0
math/0403276,Noncommutative localization in noncommutative geometry,3.9634706446046864e-05,6.083936463138429e-06,40.0,4.0
hep-th/0607199,The Half-Twisted Orbifold Sigma Model and the Chiral de Rham Complex,3.567401559733672e-05,0.0,11.0,1.0
hep-th/0606120,"Phase transitions, double-scaling limit, and topological strings",3.541278057811832e-05,2.268670594928866e-06,61.0,8.0
math/0612798,Gaudin models with irregular singularities,3.512711688220464e-05,0.0,14.0,0.0
hep-th/0702092,Stability Conditions and Branes at Singularities,3.247368782687245e-05,0.0,23.0,0.0
hep-th/0510119,"Categories of holomorphic line bundles on higher dimensional
  noncommutative complex tori",3.1193218118068025e-05,4.054302532191683e-06,40.0,3.0
math/0603353,"A Desingularization of the Main Component of the Moduli Space of
  Genus-One Stable Maps into $\Bbb{P}^n$",3.0559377055839056e-05,1.9921845710607967e-05,9.0,3.0
math/0603687,Stable twisted curves and their r-spin structures,3.052202405467767e-05,1.2936722981449766e-05,8.0,5.0
hep-th/0209230,"On Algebraic Singularities, Finite Graphs and D-Brane Gauge Theories: A
  String Theoretic Perspective",3.0272563111147088e-05,0.000114688079287,205.0,10.0
hep-th/0701284,Quantization of the Riemann Zeta-Function and Cosmology,3.0195277160457743e-05,3.578789955445424e-07,23.0,1.0
math/0612510,Tautological relations and the r-spin Witten conjecture,3.0115812978492478e-05,4.598148271468191e-06,31.0,4.0
math/0610526,Katz's middle convolution algorithm,2.981012480071157e-05,0.0,20.0,0.0
hep-th/0612039,Massless Spectra of Three Generation U(N) Heterotic String Vacua,2.979979921854505e-05,1.234329190352438e-06,44.0,3.0
math/0702848,Automorphisms and autoequivalences of generic analytic K3 surfaces,2.955331668390005e-05,0.0,15.0,0.0
math/0601312,L-infinity structures on mapping cones,2.933288840174345e-05,3.4296264052881053e-06,15.0,2.0
math/0612139,Calabi-Yau algebras,2.8431034854645648e-05,0.0010263494118412,36.0,8.0
math/0406480,"Generalized double affine Hecke algebras of rank 1 and quantized Del
  Pezzo surfaces",2.8166801260840054e-05,2.1243085535594476e-05,14.0,5.0
hep-th/0409227,"Zamolodchikov relations and Liouville hierarchy in SL(2,R)_k WZNW model",2.713769091353336e-05,4.25929950026782e-06,42.0,2.0
math/0512199,The Orbifold Chow Ring of Hypertoric Deligne-Mumford Stacks,2.6898550134260445e-05,3.193292918613501e-06,15.0,2.0
math/0505166,Complex hyperplane arrangements,2.683382917161456e-05,0.0,19.0,0.0
math/0701194,"Knot homology via derived categories of coherent sheaves I, sl(2) case",2.671227419494114e-05,7.215692288432636e-07,19.0,1.0
math/0611510,Spaces of stability conditions,2.642610177277269e-05,2.9315596148829926e-05,17.0,8.0
math/0703298,Generalized complex geometry,2.6098111690222937e-05,1.670356398724875e-07,23.0,1.0
math/0702287,"On the classification of rank two representations of quasiprojective
  fundamental groups",2.5941923357867977e-05,0.0,13.0,0.0
math/0611659,"The moduli space of curves, double Hurwitz numbers, and Faber's
  intersection number conjecture",2.5921285962812466e-05,5.003390547432015e-06,8.0,2.0
math/0610097,Perverse Bundles and Calogero-Moser Spaces,2.453804222836826e-05,0.0,19.0,0.0
math/0605708,Invariance of tautological equations II: Gromov--Witten theory,2.3560152816296247e-05,9.6895523185542e-09,10.0,2.0
math/0703120,The zeta-function of monomial deformations of Fermat hypersurfaces,2.2984562103538336e-05,0.0,3.0,0.0
math/0609367,New properties of the intersection numbers on moduli spaces of curves,2.2763019448291453e-05,0.0,7.0,1.0
math/0609016,Local mirror symmetry of curves: Yukawa couplings and genus 1,2.2577939157422065e-05,1.936057500241161e-09,13.0,1.0
math/0605488,On independence of generators of the tautological rings,2.2403625574611453e-05,1.6157042450576555e-06,5.0,1.0
math/0510346,A survey on symplectic singularities and resolutions,2.2378738982346627e-05,1.422064219496386e-06,16.0,2.0
hep-th/0703210,Extension Bundles and the Standard Model,2.2375077521484808e-05,0.0,20.0,0.0
math/0611754,Towards the cohomology of moduli spaces of higher genus stable maps,2.2232384457867607e-05,2.1912028465768035e-05,9.0,1.0
math/0608481,The Quantum Orbifold Cohomology of Weighted Projective Spaces,2.2229462639784186e-05,7.789090211502886e-06,13.0,8.0
hep-th/0405117,"The Liouville Geometry of N=2 Instantons and the Moduli of Punctured
  Spheres",2.197634798264718e-05,1.4088141759811785e-05,98.0,6.0
hep-th/0609129,"Topological Strings, Two-Dimensional Yang-Mills Theory and Chern-Simons
  Theory on Torus Bundles",2.183049413400277e-05,5.407476990208988e-07,55.0,5.0
hep-th/0408142,"Lectures on D-branes, Gauge Theories and Calabi-Yau Singularities",2.1666933149297635e-05,1.930765371008554e-07,94.0,2.0
hep-th/0608050,"Counting BPS Operators in Gauge Theories: Quivers, Syzygies and
  Plethystics",2.1458060461142806e-05,1.1077572662732251e-05,76.0,15.0
math/0603720,D-Bundles and Integrable Hierarchies,2.132243127504554e-05,1.0723962085570464e-07,29.0,2.0
math/0508110,"Schubert classes in the equivariant cohomology of the Lagrangian
  Grassmannian",2.120521503065527e-05,0.0,6.0,3.0
hep-th/0306238,Seiberg-Witten Theory and Random Partitions,2.111146853839452e-05,0.0006608330686191,98.0,73.0
math/0401374,"Arc spaces, motivic integration and stringy invariants",2.1099568087295825e-05,3.613299509980232e-05,18.0,13.0
math/0501365,Mirkovic-Vilonen cycles and polytopes,2.10884159604408e-05,9.938728429430892e-06,15.0,3.0
cond-mat/0611316,"The Q-operator and Functional Relations of the Eight-vertex Model at
  Root-of-unity $\eta = \frac{2m K}{N}$ for odd N",2.089353820838109e-05,2.02494081841095e-06,20.0,2.0
math/0309436,On the quantum cohomology of homogeneous varieties,2.066404205097465e-05,0.0,27.0,0.0
math/0601352,Flop invariance of the topological vertex,2.061652220949597e-05,2.400682464999931e-07,22.0,3.0
math/0610617,"Crepant resolutions of weighted projective spaces and quantum
  deformations",2.044587315299636e-05,6.004154005532235e-06,9.0,2.0
math/0609335,"Braid cobordisms, triangulated categories, and flag varieties",2.0338116685011223e-05,1.409113749920742e-07,38.0,3.0
math/0607187,"Local Gromov-Witten invariants of cubic surfaces via nef toric
  degeneration",1.9740888071230707e-05,0.0,8.0,0.0
math/0601207,The L-series of a cubic fourfold,1.9534966195539757e-05,7.4260550565674335e-09,5.0,1.0
hep-th/0506231,Higher genus superstring amplitudes from the geometry of moduli spaces,1.9353408477837884e-05,4.896553634950909e-06,58.0,4.0
hep-th/0510047,C^2/Z_n Fractional branes and Monodromy,1.9270986779566557e-05,0.0009458113746046,48.0,5.0
math/0702380,"Hodge genera of algebraic varieties, II",1.9244839316257738e-05,4.030416415808889e-06,8.0,3.0
math/0607684,Limits of stable pairs,1.9140971063281715e-05,0.0,8.0,2.0
math/0606631,Twisting Derived Equivalences,1.9103110025057092e-05,0.0,14.0,0.0
math/0312262,Homotopical and Higher Categorical Structures in Algebraic Geometry,1.9083146179591896e-05,3.334028390733206e-05,21.0,11.0
math/0607580,"Stability Conditions, Wall-crossing and weighted Gromov-Witten
  Invariants",1.9042575268251077e-05,4.104946806814939e-05,13.0,3.0
math-ph/0701057,Localization and Conjectures from String Duality,1.8974196713947247e-05,0.0,21.0,0.0
math/0701091,Differential Graded Lie Algebras and Deformations of Holomorphic Maps,1.8960095798408704e-05,0.0,7.0,1.0
math/0607324,"Towards an enumerative geometry of the moduli space of twisted curves
  and r-th roots",1.8827293471204448e-05,0.0,10.0,1.0
math/0211263,The regularity of points in multi-projective spaces,1.862917325957024e-05,0.0,5.0,1.0
hep-th/0507222,On the non-commutative geometry of topological D-branes,1.862073689962508e-05,0.0001147126537107,42.0,5.0
math/0512108,Liaison with Cohen-Macaulay Modules,1.8612368178651447e-05,0.0,2.0,0.0
math/0702234,Computing Genus-Zero Twisted Gromov-Witten Invariants,1.822375154768802e-05,1.7294657436785856e-05,10.0,3.0
math/0201218,"Compactifications defined by arrangements II: locally symmetric
  varieties of type IV",1.8207561127532416e-05,2.985397900324384e-05,2.0,3.0
math/0512619,"On the existence of crepant resolutions of Gorenstein Abelian quotient
  singularities in dimensions \geq 4",1.802609055318289e-05,0.0,8.0,0.0
cs/0703059,Geometry and the complexity of matrix multiplication,1.8002094679962426e-05,0.0,6.0,0.0
math/0305214,Multigraded Castelnuovo-Mumford Regularity,1.7931531659786706e-05,1.990182755160072e-06,6.0,1.0
math/0603200,On global deformation quantization in the algebraic case,1.7735698420852868e-05,0.0,8.0,1.0
math/0511351,GKZ Hypergeometric Structures,1.756206059447425e-05,1.8565137641418582e-09,4.0,1.0
math/0305049,"Higher Operads, Higher Categories",1.740639664655061e-05,6.288240404787636e-06,31.0,12.0
math/0703212,Constant scalar curvature Kaehler surfaces and parabolic polystability,1.7143818368197957e-05,0.0,10.0,0.0
math/0512204,"Schubert Classes in the Equivariant K-Theory and Equivariant Cohomology
  of the Grassmannian",1.7103977951788176e-05,3.977395088297517e-06,7.0,4.0
math/0602245,"Schubert Classes in the Equivariant K-Theory and Equivariant Cohomology
  of the Lagrangian Grassmannian",1.6932550147342392e-05,1.987212333137445e-06,7.0,3.0
math/0602626,Complete moduli spaces of branchvarieties,1.6788868129609865e-05,0.0,9.0,1.0
math/0201162,On classification of Lorentzian Kac-Moody algebras,1.6762655863904304e-05,3.184416175840391e-05,28.0,1.0
math/0702206,Notes on motives in finite characteristic,1.674296658444594e-05,9.32770660502386e-07,8.0,1.0
math/0603712,On the logarithmic Kobayashi conjecture,1.665546402875217e-05,0.0,1.0,0.0
math/0609524,Higher discriminants of polynomials,1.661495365615781e-05,0.0,1.0,1.0
hep-th/0507240,The Ruled Vertex and Nontoric del Pezzo Surfaces,1.656011450679728e-05,1.358019829837481e-06,35.0,1.0
math/0605431,"Extremal contractions, stratified Mukai flops and Springer maps",1.647128740184742e-05,1.977233674175661e-06,7.0,2.0
math/0610899,"Chen-Ruan Cohomology of cotangent orbifolds and Chas-Sullivan String
  Topology",1.636575256360718e-05,0.0,10.0,0.0
math/0603722,Flows of Calogero-Moser Systems,1.6279852221383453e-05,6.123694636140005e-08,18.0,2.0
math/0601238,Modularity of Calabi-Yau varieties,1.6256981275153447e-05,1.990182755160072e-06,13.0,1.0
math/0602129,Derived categories of coherent sheaves,1.6047118772663153e-05,1.76282168468795e-05,21.0,12.0
math/0611208,"Transcendental lattices and supersingular reduction lattices of a
  singular $K3$ surface",1.592706942673834e-05,0.0,5.0,4.0
math/0504492,"Rank 2 arithmetically Cohen-Macaulay bundles on a nonsingular cubic
  surface",1.5915943183596125e-05,1.9976088102166394e-06,14.0,1.0
math/0605297,"L-infinity algebras, Cartan homotopies and period maps",1.5902896322880742e-05,0.0,12.0,0.0
math/0607824,"Toric Degenerations of GIT Quotients, Chow Quotients, and $\bar{M_{0,n}$",1.574865491099762e-05,0.0,11.0,0.0
math/9902118,Results on Secant Varieties Leading to a Geometric Flip Construction,1.5741527237762103e-05,0.0,5.0,2.0
math/0610269,Orbifold Cohomology of A Wreath Product Orbifold,1.5535744229632256e-05,1.0071036015340165e-07,15.0,1.0
math/0703344,Bergman kernels and the pseudoeffectivity of relative canonical bundles,1.5468764277877823e-05,9.95091377580036e-07,7.0,2.0
math/0703637,Excited Young diagrams and equivariant Schubert calculus,1.542471176626208e-05,0.0,4.0,0.0
math/0411601,The symplectic topology of Ramanujam's surface,1.539529779270217e-05,0.0,3.0,1.0
math/0603276,Rigid geometry on projective varieties,1.5366696457452607e-05,0.0,8.0,1.0
hep-th/0612041,Graded D-branes and skew-categories,1.534111903101103e-05,2.4295147921966214e-08,25.0,1.0
math/0501213,Equivariant quantum cohomology of homogeneous spaces,1.5271034894507527e-05,0.0,10.0,0.0
hep-th/0210145,Enumerative geometry and knot invariants,1.5222483847262468e-05,3.524618954529329e-05,73.0,12.0
math/0611686,Non-abelian real Hodge theory for proper varieties,1.5009547389919336e-05,0.0,6.0,1.0
math/0303357,Coherent states for Hopf algebras,1.500164388676636e-05,2.3406314344380964e-06,9.0,4.0
hep-th/0506032,Towards the Theory of Non--Abelian Tensor Fields II,1.494337590894241e-05,2.9320315573807986e-06,13.0,2.0
math/0201123,Stringy orbifolds,1.4897142934195528e-05,4.720762694989583e-05,29.0,6.0
hep-th/0703048,Conformal Field Theory and the Reid Conjecture,1.4889610942654832e-05,0.0,14.0,0.0
math/0601129,Operads and PROPs,1.4836296144795349e-05,1.7835693049628918e-05,29.0,9.0
math/0607558,On the discriminant locus of a Lagrangian fibration,1.4649223633257767e-05,0.0,3.0,0.0
math/0502280,Stringy K-theory and the Chern character,1.4539125393793248e-05,4.147278803045559e-06,21.0,9.0
math/0606322,"Note on orbifold Chow ring of semi-projective toric Deligne-Mumford
  stacks",1.4492784874903053e-05,0.0,9.0,1.0
math/0601439,Indices of vector fields and 1-forms on singular varieties,1.437905082375244e-05,0.0,5.0,0.0
math/0012109,"Generalized Weierstrass Kernels on the Intersection of Two Complex
  Hypersurfaces",1.4322889106579857e-05,0.0,12.0,0.0
math/0611470,On stratified Mukai flops,1.4233514754636916e-05,0.0,5.0,0.0
hep-th/0509051,Heterotic Standard Model Moduli,1.423221098768174e-05,2.159488098486732e-06,48.0,10.0
math/0703701,Contractions of Lie algebras and algebraic groups,1.4188312547301796e-05,0.0,1.0,0.0
math/0111051,On Algebraic Hyperbolicity of Log Varieties,1.415873116292239e-05,1.990182755160072e-06,7.0,1.0
hep-th/0410018,"Topological String Amplitudes, Complete Intersection Calabi-Yau Spaces
  and Threshold Corrections",1.3968219116677413e-05,1.187125920781353e-05,94.0,11.0
math/0601508,Bounding Picard numbers of surfaces using p-adic cohomology,1.3879785869694227e-05,5.970548265480216e-06,6.0,3.0
hep-th/0606055,Crystal Model for the Closed Topological Vertex Geometry,1.387575967632915e-05,0.0,24.0,0.0
math/0601639,Effective model of a finite group action,1.3760154364210323e-05,0.0,4.0,0.0
math/0604303,"Quaternionic Dolbeault complex and vanishing theorems on hyperkahler
  manifolds",1.3713935410691602e-05,8.771374751708597e-06,8.0,3.0
