id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0502134,The Cocycle of the Quantum HJ Equation and the Stress Tensor of CFT,4.8593131874039263e-05,4.118284273356369e-06,28.0,3.0
math-ph/0702007,Variational equations on mixed Riemannian-Lorentzian metrics,3.553489215421548e-05,0.0,2.0,0.0
math/0510557,"Some Inequalities Satisfied by Periodical Solutions of Multi-Time
  Hamilton Equations",2.660862976324598e-05,0.0,5.0,0.0
math-ph/0611061,"Admissible Transformations and Normalized Classes of Nonlinear
  Schroedinger Equations",2.515835370367609e-05,0.0,13.0,0.0
math/0510559,"Periodical Solutions of Poisson-Gradient Dynamical Systems with
  Periodical Potential",2.4775049154155805e-05,0.0,5.0,0.0
nlin/0512046,"Hamiltonian Flows of Curves in symmetric spaces G/SO(N) and Vector
  Soliton Equations of mKdV and Sine-Gordon Type",2.058093060527671e-05,2.9704220226269734e-08,7.0,1.0
math/0612629,Invariant Prolongation and Detour Complexes,1.85959101963299e-05,0.0,9.0,0.0
math/0608354,"Elliptic Theory on Manifolds with Corners: II. Homotopy classification
  and $K$-Homology",1.6444453019232526e-05,0.0,5.0,0.0
math/0703606,"Improved interaction Morawetz inequalities for the cubic nonlinear
  Schr\""odinger equation on $\R^2$",1.544455897370617e-05,0.0,5.0,0.0
math/0602484,Ancient Solutions of the Affine Normal Flow,1.4603200266149173e-05,0.0,1.0,0.0
math/0405061,"Affine Manifolds, SYZ Geometry, and the ""Y"" Vertex",1.3804415535386443e-05,3.668760710599246e-05,12.0,3.0
math/0206206,Differential equations and intertwining operators,1.3773057455263988e-05,5.188226873159733e-06,8.0,12.0
math/0609690,Minimal-mass blowup solutions of the mass-critical NLS,1.2721501798170272e-05,0.0,7.0,2.0
math/0611658,"Quaternionic contact Einstein structures and the quaternionic contact
  Yamabe problem",1.2629333031486112e-05,1.990182755160072e-06,4.0,3.0
math-ph/0703028,"Complex Zeros of Eigenfunctions of 1D Schr\""odinger Operators",1.2382086199844191e-05,0.0,2.0,1.0
math/0506244,"Non-selfadjoint perturbations of selfadjoint operators in 2 dimensions
  IIIa. One branching point",1.23749877460006e-05,0.0,3.0,0.0
math-ph/0511071,"Supersymmetric Representations and Integrable Fermionic Extensions of
  the Burgers and Boussinesq Equations",1.2183262428462757e-05,4.961981526494793e-06,10.0,2.0
math-ph/0303003,Morphing quantum mechanics and fluid dynamics,1.2049528436650331e-05,4.069030633472854e-07,8.0,2.0
math/0703317,"Nonexistence of self-similar singularities in the ideal
  magnetohydrodynamics",1.1952259175265064e-05,0.0,2.0,0.0
math/0611899,Commuting differential operators with regular singularities,1.181264039819085e-05,0.0,1.0,1.0
math/0508516,Elliptic boundary problems on manifolds with polycylindrical ends,1.1521456641178948e-05,1.8475632443767084e-08,7.0,2.0
math/0608332,"On the homotopy classification of elliptic operators on stratified
  manifolds",1.120074968557323e-05,3.980365510320144e-06,4.0,3.0
math/0509218,An improved bilinear estimate for Benjamin-Ono type equations,1.1109880611443978e-05,0.0,5.0,0.0
math/0503021,Resolvents of elliptic boundary problems on conic manifolds,1.0712727735833195e-05,3.980365510320144e-06,6.0,3.0
math-ph/0303027,Physical wavelets and their sources: Real physics in complex spacetime,1.0681907799053512e-05,5.980891699309006e-06,10.0,3.0
math/0302200,Chaos in PDEs and Lax Pairs of Euler Equations,1.0158244257872226e-05,0.0,9.0,0.0
math/0509057,"The Segal-Bargmann transform for the heat equation associated with root
  systems",9.905171677680404e-06,0.0,2.0,0.0
math/0609692,"Global well-posedness and scattering for the mass-critical nonlinear
  Schr\""odinger equation for radial data in high dimensions",9.285767449685824e-06,0.0,3.0,3.0
math/0702257,"A survey on the K\""ahler-Ricci flow and Yau's uniformization conjecture",9.220563709693533e-06,0.0,6.0,0.0
math-ph/0702013,"On Asymptotic Stability of Solitary Waves in a Nonlinear Schr\""odinger
  Equation",9.087592082995425e-06,0.0,2.0,1.0
math/0701857,Loss of regularity for supercritical nonlinear Schrodinger equations,9.034632322678764e-06,0.0,5.0,0.0
quant-ph/0604075,"Weyl's symbols of Heisenberg operators of canonical coordinates and
  momenta as quantum characteristics",8.776033298620755e-06,1.990182755160072e-06,3.0,1.0
hep-th/9909201,"Equivalence Principle, Higher Dimensional Moebius Group and the Hidden
  Antisymmetric Tensor of Quantum Mechanics",8.763577213962224e-06,4.933295045987589e-06,27.0,14.0
math/0410186,"Boundary value problems and layer potentials on manifolds with
  cylindrical ends",8.747430898321023e-06,5.992947140324115e-06,4.0,2.0
math/0609158,Conformal geometry and fully nonlinear equations,8.626284078080707e-06,0.0,9.0,1.0
math/0608275,"Equivariant Gluing Constructions of Contact Stationary Legendrian
  Submanifolds of the (2n+1)-Sphere",8.553223041327326e-06,0.0,7.0,0.0
math-ph/0306014,"Moment inequalities and high-energy tails for the Boltzmann equations
  with inelastic interactions",8.37125039430956e-06,1.990182755160072e-06,9.0,3.0
math/0703405,Incompressible Euler Equations: the blow-up problem and related results,8.231230600259231e-06,0.0,7.0,1.0
math/0606793,Linear stability of homogeneous Ricci solitons,8.22386712111568e-06,0.0,7.0,0.0
math/0702215,On the global well-posedness of the critical quasi-geostrophic equation,8.223700763258716e-06,0.0,5.0,0.0
math/0101207,From PDE Systems and Metrics to Generalized Field Theories,8.150113120463256e-06,0.0,7.0,4.0
math/0608353,"Elliptic Theory on Manifolds with Corners: I. Dual Manifolds and
  Pseudodifferential Operators",7.939455494845068e-06,0.0,4.0,1.0
gr-qc/0702031,"A variational analysis of Einstein-scalar field Lichnerowicz equations
  on compact Riemannian manifolds",7.908389561221586e-06,0.0,7.0,0.0
math/0010110,"Minimizers of the Lawrence-Doniach energy in the small-coupling limit:
  finite width samples in a parallel field",7.82324995062454e-06,0.0,2.0,1.0
math/0010111,"Periodic vortex lattices for the Lawrence-Doniach model of layered
  superconductors in a parallel field",7.82324995062454e-06,0.0,2.0,1.0
math/0505113,Some multi-valued solutions to Monge-Ampere equations,7.735847629448694e-06,0.0,2.0,0.0
math/0502032,Diophantine tori and spectral asymptotics for non-selfadjoint operators,7.735300670469692e-06,0.0,5.0,1.0
math/0501067,Unique continuation results for Ricci curvature and applications,7.732478438443526e-06,1.945423130512968e-05,13.0,2.0
