id,title,pagerank,betweenness,in_degree,out_degree
math/0703826,The electrical response matrix of a regular 2n-gon,6.950047958589808e-05,0.0,4.0,1.0
math/0503507,Advanced Determinant Calculus: A Complement,5.760414364075261e-05,2.1322375286169986e-05,57.0,5.0
math/0701010,Hopf algebras in dynamical systems theory,4.12218618226872e-05,8.607995686492974e-07,9.0,1.0
math/0312182,Selection principles in mathematics: A milestone of open problems,3.734613162876484e-05,0.0,22.0,3.0
math/0612833,"Polynomials, roots, and interlacing",3.668491773890936e-05,9.95091377580036e-06,20.0,1.0
math/0607416,Polya-Schur master theorems for circular domains and their boundaries,3.288608881202597e-05,7.960731020640288e-06,2.0,4.0
hep-th/0612240,"All order epsilon-expansion of Gauss hypergeometric functions with
  integer and half/integer values of parameters",2.715298085826005e-05,0.0,44.0,0.0
math/0606391,"Multivariable Christoffel-Darboux Kernels and Characteristic Polynomials
  of Random Hermitian Matrices",2.2990234613023757e-05,3.9729394552635765e-06,16.0,2.0
math/0601455,Breaking the duality in the return times theorem,2.2184175322275635e-05,0.0,3.0,0.0
math/0702220,"Choquet order for spectra of higher Lame operators and orthogonal
  polynomials",2.030176205204154e-05,0.0,4.0,1.0
math/0701883,Root asymptotics of spectral polynomials for the Lame operator,2.0127168606566885e-05,3.980365510320144e-06,4.0,2.0
math/0703057,Towards Finite-Gap Integration of the Inozemtsev Model,1.8931666999203596e-05,0.0,27.0,0.0
math/0603453,"Pure point diffraction and cut and project schemes for measures: The
  smooth case",1.603405706831587e-05,0.0,7.0,1.0
math-ph/0308036,"Discrete Painlev\'e equations, Orthogonal Polynomials on the Unit Circle
  and $N$-recurrences for averages over U(N) -- \PVI $\tau$-functions",1.531462875446559e-05,1.990182755160072e-06,7.0,2.0
math/0312321,Convexity properties of twisted root maps,1.47662584465938e-05,5.970548265480216e-06,3.0,2.0
math-ph/0609067,Rational solutions of Knizhnik-Zamolodchikov system,1.407682793272778e-05,0.0,2.0,0.0
math/0403117,"Unitary matrix functions, wavelet algorithms, and structural properties
  of wavelets",1.366305882247546e-05,0.0,7.0,1.0
math/0601192,Wiener-Wintner for Hilbert Transform,1.3158287777260763e-05,0.0,4.0,1.0
math/0702404,"Rational solutions of KZ equation, case $S_4$",1.2924617771617494e-05,0.0,1.0,0.0
math/0309242,Summation formulae for elliptic hypergeometric series,1.2691832584150314e-05,0.0,6.0,0.0
math-ph/0703028,"Complex Zeros of Eigenfunctions of 1D Schr\""odinger Operators",1.2382086199844191e-05,0.0,2.0,1.0
math/0603660,Choosing roots of polynomials with symmetries smoothly,1.163268000218284e-05,0.0,6.0,0.0
math/0610278,Sums of squares from elliptic pfaffians,1.1393597724485478e-05,0.0,3.0,2.0
math/0504272,Sums of triangular numbers from the Frobenius determinant,1.1291322809819278e-05,1.632213378229586e-06,4.0,3.0
math/0402382,The Highly Oscillatory Behavior of Automorphic Distributions for SL(2),1.1255697742849651e-05,0.0,3.0,1.0
math/0603086,"Schur Q-polynomials, multiple hypergeometric series and enumeration of
  marked shifted tableaux",1.108273640760346e-05,0.0,2.0,2.0
math/0612730,"The Relationship between Zhedanov's Algebra AW(3) and the Double Affine
  Hecke Algebra in the Rank One Case",1.0987760733895806e-05,0.0,7.0,0.0
math/0505248,An elliptic determinant transformation,1.091739087170594e-05,0.0,4.0,0.0
math/0507087,Rational curves and ordinary differential equations,1.0831924955004526e-05,2.985274132740108e-06,6.0,2.0
math/0512142,"Boundary conditions associated with the Painlev\'e III' and V
  evaluations of some random matrix averages",1.045847953388944e-05,0.0,1.0,1.0
math-ph/0309005,"Lam\'e polynomials, hyperelliptic reductions and Lam\'e band structure",1.0427431347805822e-05,2.3907466891079275e-05,13.0,5.0
nlin/0105002,"Monodromy deformation approach to the scaling limit of the Painleve
  first equation",1.0412433199477127e-05,2.3076298063087893e-06,3.0,2.0
math-ph/0703009,The diagonal Ising susceptibility,1.0378996802442272e-05,0.0,6.0,0.0
math/0307008,"Carleson's Theorem: Proof, Complements, Variations",1.0372498306289105e-05,0.0,9.0,1.0
math-ph/0111007,"Fredholm determinants, Jimbo-Miwa-Ueno tau-functions, and representation
  theory",1.0159585434371403e-05,2.482723058670678e-05,28.0,10.0
math/0606092,Projection formulas for orthogonal polynomials,9.860659741162004e-06,0.0,5.0,0.0
nlin/0211022,Monodromy approach to the scaling limits in the isomonodromy systems,9.779542008208115e-06,1.0962992192861668e-05,4.0,2.0
math/0701936,Fuchsian equations of type DN,9.681764381280855e-06,0.0,1.0,0.0
math/0402024,Measures in wavelet decompositions,9.445481869092534e-06,0.0,2.0,1.0
math/0509157,Some composition determinants,9.347714780729851e-06,0.0,1.0,0.0
math-ph/0703012,"An Explicit Formula for Symmetric Polynomials Related to the
  Eigenfunctions of Calogero-Sutherland Models",9.141929935616016e-06,0.0,13.0,0.0
math/0701436,Generalized elliptic integrals,8.987551457287702e-06,0.0,4.0,0.0
math/0507430,Tables of Calabi--Yau equations,8.91205409864222e-06,7.96865214603396e-06,11.0,5.0
math/0703256,"Finite-gap potential, Heun's differential equation and WKB analysis",8.800228758158853e-06,0.0,2.0,0.0
math-ph/0407065,Averages of Characteristic Polynomials in Random Matrix Theory,8.798211216923035e-06,3.797295383774005e-05,6.0,6.0
quant-ph/0604075,"Weyl's symbols of Heisenberg operators of canonical coordinates and
  momenta as quantum characteristics",8.776033298620755e-06,1.990182755160072e-06,3.0,1.0
math-ph/0702040,Antisymmetric Orbit Functions,8.754758355833327e-06,0.0,6.0,0.0
math/0601272,Lectures on Nehari's Theorem on the Polydisk,8.570112477588491e-06,0.0,6.0,0.0
math/0611240,Tempering the polylogarithm,8.414244520784264e-06,5.970548265480216e-06,2.0,2.0
math/0512293,"Electrostatic models for zeros of polynomials: old, new, and some open
  problems",8.197829878872718e-06,0.0,4.0,0.0
