id,title,pagerank,betweenness,in_degree,out_degree
math/0409069,Some new directions in infinite-combinatorial topology,0.0001136406891165,0.0,17.0,2.0
math/0608422,Boundary Partitions in Trees and Dimers,7.435865910110045e-05,1.990182755160072e-06,20.0,1.0
math/0512275,SPM Bulletin 15,6.418619020133631e-05,0.0,20.0,1.0
math/0503507,Advanced Determinant Calculus: A Complement,5.760414364075261e-05,2.1322375286169986e-05,57.0,5.0
math/0503647,Rota-Baxter Algebras and Dendriform Algebras,5.174179353263221e-05,1.622595931765743e-05,25.0,8.0
math/0701031,Rota-Baxter algebras and new combinatorial identities,5.124664003288783e-05,0.0,6.0,0.0
math/0702474,"A note on percolation on Z^d: isoperimetric profile via exponential
  cluster repulsion",4.933562324047624e-05,0.0,17.0,1.0
math/0604158,"Paths and tableaux descriptions of Jacobi-Trudi determinant associated
  with quantum affine algebra of type C_n",3.8818150076415854e-05,1.31900882671412e-08,17.0,1.0
quant-ph/0703025,"Weighted complex projective 2-designs from bases: optimal state
  determination by orthogonal measurements",3.8247395833527815e-05,0.0,10.0,0.0
cond-mat/0703228,Phase diagram of the chromatic polynomial on a torus,3.7513059243754506e-05,0.0,17.0,0.0
math/0312182,Selection principles in mathematics: A milestone of open problems,3.734613162876484e-05,0.0,22.0,3.0
cond-mat/0401026,Spanning forests and the q-state Potts model in the limit q \to 0,3.621655729367743e-05,1.6397342622371368e-05,49.0,10.0
math-ph/0703015,"Quantum Knizhnik-Zamolodchikov Equation, Totally Symmetric
  Self-Complementary Plane Partitions and Alternating Sign Matrices",3.261828922285042e-05,0.0,16.0,0.0
math/0609401,SPM Bulletin 18,3.218687967824696e-05,0.0,16.0,0.0
math-ph/0703087,"The Rotor Model with spectral parameters and enumerations of Alternating
  Sign Matrices",3.1568783353068644e-05,0.0,21.0,0.0
math/0612753,SPM Bulletin 19,2.9801555030195183e-05,0.0,20.0,0.0
math/0611106,Generalized Noncrossing Partitions and Combinatorics of Coxeter Groups,2.7316388427341904e-05,1.1672510254830089e-05,20.0,4.0
math/0503607,"The multivariate Tutte polynomial (alias Potts model) for graphs and
  matroids",2.7231946907233746e-05,1.4807168901033344e-05,20.0,11.0
math/0505166,Complex hyperplane arrangements,2.683382917161456e-05,0.0,19.0,0.0
math-ph/0610067,"Loop model with mixed boundary conditions, qKZ equation and alternating
  sign matrices",2.6407504918781376e-05,4.37353821736608e-07,23.0,1.0
math/0611659,"The moduli space of curves, double Hurwitz numbers, and Faber's
  intersection number conjecture",2.5921285962812466e-05,5.003390547432015e-06,8.0,2.0
math/0503631,SPM Bulletin 12,2.4693422185878788e-05,0.0,8.0,1.0
hep-th/0609035,A Lie theoretic approach to renormalization,2.407046372322399e-05,6.233088026554817e-07,25.0,2.0
cond-mat/0701491,XXX Spin Chain: from Bethe Solution to Open Problems,2.3678316774535564e-05,0.0,31.0,0.0
math/0411002,On umbral extensions of Stirling numbers and Dobinski-like formulas,2.342884059758028e-05,1.990182755160072e-06,8.0,2.0
math/0606391,"Multivariable Christoffel-Darboux Kernels and Characteristic Polynomials
  of Random Hermitian Matrices",2.2990234613023757e-05,3.9729394552635765e-06,16.0,2.0
math/0611783,Affine transformations of a Leonard pair,2.286524178542757e-05,1.0420805106457756e-06,31.0,1.0
