id,title,pagerank,betweenness,in_degree,out_degree
math/0702746,A brief review of abelian categorifications,6.418038273245115e-05,0.0,21.0,0.0
hep-th/0607247,Duality and defects in rational conformal field theory,5.48789891193397e-05,2.2096619056881147e-06,44.0,4.0
hep-th/0602051,On non-semisimple fusion rules and tensor categories,3.1617313306957444e-05,5.823647879308324e-06,52.0,3.0
math/0701223,The fusion algebra of bimodule categories,2.921390554343968e-05,1.9827567001035044e-06,22.0,1.0
math/0612139,Calabi-Yau algebras,2.8431034854645648e-05,0.0010263494118412,36.0,8.0
math/0608040,Higher Topos Theory,2.6277280853347187e-05,5.346620127016482e-06,5.0,4.0
math/0608420,Lectures on n-Categories and Cohomology,2.566587349732072e-05,7.306311050050347e-06,19.0,1.0
hep-th/0612306,Uniqueness of open/closed rational CFT with given algebra of open states,2.5545577969621605e-05,7.147008304808011e-07,28.0,2.0
math/0511710,Higher Gauge Theory,2.379976358895504e-05,2.419170883963185e-05,25.0,4.0
math/0406310,Distributive laws for actions of monoidal categories,2.3760797734233552e-05,1.8678281366757825e-06,6.0,2.0
math/0510266,Free Rota-Baxter algebras and rooted trees,2.141710226923885e-05,2.059033658409355e-06,17.0,5.0
math/0410328,Higher gauge theory I: 2-Bundles,2.129140254041788e-05,2.118802421592315e-05,15.0,8.0
math/0609748,Generalized operads and their inner cohomomorphisms,2.120267470986371e-05,0.0,14.0,0.0
math/0312262,Homotopical and Higher Categorical Structures in Algebraic Geometry,1.9083146179591896e-05,3.334028390733206e-05,21.0,11.0
math/0703540,Cluster characters for triangulated 2-Calabi--Yau categories,1.843203254618236e-05,0.0,13.0,1.0
math/0305049,"Higher Operads, Higher Categories",1.740639664655061e-05,6.288240404787636e-06,31.0,12.0
math/0608452,"Note on commutativity in double semigroups and two-fold monoidal
  categories",1.6729942557835125e-05,0.0,8.0,1.0
math/0602084,Weak units and homotopy 3-types,1.6156688891808706e-05,0.0,5.0,2.0
math/0610239,"A survey of (\infty, 1)-categories",1.5965588375040337e-05,1.9150848685282147e-06,13.0,3.0
math/0702399,Stacky Lie groups,1.5323994751527148e-05,0.0,10.0,0.0
math/0507116,Weak identity arrows in higher categories,1.527635745179284e-05,5.933785341363954e-06,16.0,3.0
math/0412001,Cyclic structures for simplicial objects from comonads,1.4942941015493757e-05,0.0,4.0,0.0
math/0608760,Pseudo Algebras and Pseudo Double Categories,1.39665076128854e-05,0.0,5.0,0.0
math/0702802,C*-algebras in tensor categories,1.3667570078041884e-05,0.0,25.0,0.0
math/0510594,Bundles of C*-categories and duality,1.3289890602674729e-05,0.0,2.0,1.0
math/0507349,Elementary remarks on units in monoidal categories,1.2985945150190336e-05,1.1139082584851151e-08,4.0,2.0
math/0701231,On the integration of LA-groupoids and duality for Poisson groupoids,1.2710631569223637e-05,0.0,3.0,0.0
math/0311260,Computer theorem proving in math,1.1781003682762992e-05,1.991420431002833e-06,7.0,1.0
math/0512076,Topological and conformal field theory as Frobenius algebras,1.1732676361489636e-05,6.416387188273042e-06,29.0,6.0
math/0604504,Higher and derived stacks: a global overview,1.1452718242673558e-05,1.217964193358733e-06,18.0,8.0
math/0602077,Twining characters and Picard groups in rational conformal field theory,1.119742066995409e-05,1.1392243552688676e-09,29.0,1.0
math/0702840,"Deformation theory of objects in homotopy and derived categories III:
  abelian categories",1.118024091939024e-05,1.98270249532207e-06,4.0,1.0
math/0107188,A Survey of Definitions of n-Category,1.1145203268465354e-05,2.1702343490679547e-05,18.0,7.0
math/0702839,"Deformation theory of objects in homotopy and derived categories II:
  pro-representability of the deformation functor",1.0981417298152991e-05,0.0,3.0,1.0
math/0605530,Categorical Morita equivalence for group-theoretical categories,1.079780261657524e-05,0.0,1.0,0.0
hep-th/0412290,"TFT construction of RCFT correlators IV: Structure constants and
  correlation functions",1.0483383193025572e-05,5.435636814176776e-05,49.0,17.0
math/0511590,"Ribbon categories and (unoriented) CFT: Frobenius algebras,
  automorphisms, reversions",1.0443412369000949e-05,9.621053419091338e-06,24.0,7.0
math/0602079,Categorification and correlation functions in conformal field theory,1.0423388133568678e-05,7.711828496941914e-06,27.0,8.0
math/0606241,"Notes on A-infinity algebras, A-infinity categories and non-commutative
  geometry. I",1.0087188610628924e-05,0.0001838644356059,17.0,20.0
math/0503342,Coherent Unit Actions on Operads and Hopf Algebras,1.0078069612425364e-05,9.870791241712216e-06,12.0,3.0
math/0512453,"2-Gerbes bound by complexes of gr-stacks, and cohomology",1.0070831784765768e-05,0.0,7.0,0.0
math/0306361,A noncommutative theory of Penrose tilings,9.991355610478769e-06,0.0,3.0,1.0
math/0404001,On quantales that classify C*-algebras,9.991355610478769e-06,0.0,3.0,1.0
math/0304277,Weak n-categories: opetopic and multitopic foundations,9.69287706119311e-06,6.823301651511101e-06,8.0,9.0
math/0508416,Simplicial monoids and Segal categories,9.684607712938615e-06,2.9994018534582366e-06,7.0,4.0
math/0301027,Finite tensor categories,9.356776560574318e-06,5.500600288836562e-05,10.0,13.0
math/0611728,Normalisation for the fundamental crossed complex of a simplicial set,9.191286457840117e-06,0.0,2.0,0.0
math/0703204,Derived Algebraic Geometry III: Commutative Algebra,8.8829843141673e-06,0.0,7.0,0.0
math/0608228,Stable Infinity Categories,8.8829843141673e-06,2.00677614714854e-06,7.0,2.0
math/0701293,Dendroidal Sets,8.849291944413297e-06,0.0,4.0,0.0
math/0604514,On the homotopy theory of n-types,8.494335306730747e-06,0.0,5.0,0.0
math/0202130,Module categories over the Drinfeld double of a finite group,8.485215912481671e-06,7.233276461126896e-05,13.0,11.0
math/0601012,Frobenius-Schur Indicators and Exponents of Spherical Categories,8.08823481461234e-06,0.0,3.0,1.0
math/0611930,Double Bicategories and Double Cospans,7.981897060839203e-06,1.9669763331082987e-06,6.0,1.0
math/0607043,Comonads and Galois corings,7.722779303034473e-06,0.0,6.0,2.0
math/0211389,Sums over Graphs and Integration over Discrete Groupoids,7.540172637591575e-06,1.791164479644065e-05,3.0,6.0
math/0306018,Quotients of unital ${A}_\infty$-categories,7.512205127565165e-06,1.1111776231340498e-06,10.0,3.0
math/0006024,Remarks on Quantum Physics and Noncommutative Geometry,7.291300621289244e-06,5.197116083407577e-07,7.0,2.0
math/0408120,Representation theory of 2-groups on finite dimensional 2-vector spaces,7.243396516303087e-06,2.218552852871616e-06,9.0,2.0
math/0508152,Rigidification of algebras over multi-sorted theories,7.215804919563216e-06,4.647852339074924e-06,3.0,3.0
math/0506471,Explaining Gabriel-Zisman localization to the computer,7.201509513005984e-06,0.0,2.0,0.0
math/0609311,The universal Hopf cyclic theory,6.9470561058780245e-06,0.0,4.0,0.0
math/0601490,Equality of Proofs for Linear Equality,6.887568082581487e-06,0.0,5.0,0.0
math/0304285,Opetopic bicategories: comparison with the classical theory,6.846652199370793e-06,1.6026026897329617e-08,7.0,3.0
math/0602510,Representation and character theory in 2-categories,6.6402736392370764e-06,3.94035520355576e-07,5.0,1.0
math/0701507,Topologies on a triangulated category,6.609199411254821e-06,0.0,8.0,0.0
