id,title,pagerank,betweenness,in_degree,out_degree
math/0607416,Polya-Schur master theorems for circular domains and their boundaries,3.288608881202597e-05,7.960731020640288e-06,2.0,4.0
math/0610592,A Riemann-Hilbert problem for skew-orthogonal polynomials,2.738625506090769e-05,0.0,5.0,1.0
math/0611302,Propri\'et\'es ergodiques des applications rationnelles,2.552582081074182e-05,0.0,13.0,0.0
math/0109198,"Lectures on q-analogues of Cartan domains and associated Harish-Chandra
  modules",2.273746406152608e-05,1.990182755160072e-06,23.0,1.0
math/0701923,"Asymptotics of non-intersecting Brownian motions and a 4 x 4
  Riemann-Hilbert problem",2.214528097767567e-05,0.0,6.0,0.0
hep-th/0212313,"Seiberg-Witten Theory, Symplectic Forms, and Hamiltonian Theory of
  Solitons",2.066731750661064e-05,3.197407716722196e-05,92.0,10.0
math/0702220,"Choquet order for spectra of higher Lame operators and orthogonal
  polynomials",2.030176205204154e-05,0.0,4.0,1.0
math/0607747,Semi-global extension of maximally complex submanifolds,1.8365539594886345e-05,5.970548265480216e-06,6.0,2.0
math/0603712,On the logarithmic Kobayashi conjecture,1.665546402875217e-05,0.0,1.0,0.0
hep-th/0512197,Complex Geometry and Supergeometry,1.6157618249569695e-05,6.181613631135735e-08,45.0,1.0
math/0311285,Monogenic Calculus as an Intertwining Operator,1.5797628287700933e-05,0.0,10.0,0.0
math/0703344,Bergman kernels and the pseudoeffectivity of relative canonical bundles,1.5468764277877823e-05,9.95091377580036e-07,7.0,2.0
math/0312321,Convexity properties of twisted root maps,1.47662584465938e-05,5.970548265480216e-06,3.0,2.0
cond-mat/0012369,Chromatic roots are dense in the whole complex plane,1.4727163766577335e-05,9.297874424237378e-06,32.0,7.0
math/0311427,Classification of Escaping Exponential Maps,1.3526830707540135e-05,0.0,7.0,7.0
math/0509135,Noncommutative Symmetric Functions and the Inversion Problem,1.3454776139310031e-05,0.0,11.0,5.0
math/0703788,"Quasi-conformal functions of quaternion and octonion variables, their
  integral transformations",1.315905474723265e-05,0.0,8.0,0.0
math/0411048,Extending holomorphic mappings from subvarieties in Stein manifolds,1.2497534123464429e-05,0.0,3.0,1.0
math-ph/0703028,"Complex Zeros of Eigenfunctions of 1D Schr\""odinger Operators",1.2382086199844191e-05,0.0,2.0,1.0
math/0309107,Topological Dynamics of Exponential Maps on their Escaping Sets,1.2155898320702504e-05,0.0,10.0,8.0
math/0307371,A Landing Theorem for Periodic Rays of Exponential Maps,1.2087436942239678e-05,0.0,9.0,6.0
hep-th/0412189,"Footballs, Conical Singularities and the Liouville Equation",1.2064630632405829e-05,1.109211403163186e-06,25.0,7.0
math/0510654,Transportation to random zeroes by the gradient flow,1.1740200410592274e-05,5.970548265480216e-06,10.0,2.0
math/0605430,Analytical and differential - algebraic properties of Gamma function,1.171851400767436e-05,3.980365510320144e-06,3.0,1.0
math/0512416,Erlangen Program at Large-1: Geometry of Invariants,1.1607504622489385e-05,2.8954104116237826e-06,11.0,3.0
math/0401439,Holomorphic flexibility properties of complex manifolds,1.1577310517001415e-05,0.0,2.0,1.0
math/0702357,"Bergman kernels for weighted polynomials and weighted equilibrium
  measures of C^n",1.1243327609384556e-05,0.0,6.0,0.0
math/0311322,Green currents for holmorphic automorphisms of compact Kahler manifolds,1.1187113879609e-05,0.0,3.0,3.0
math/0611205,Basic properties of log canonical centers,1.094362775454124e-05,0.0,3.0,2.0
math/0701549,Cohomology of semi 1-coronae and extension of analytic subsets,1.0729943986246884e-05,0.0,2.0,1.0
math-ph/0303027,Physical wavelets and their sources: Real physics in complex spacetime,1.0681907799053512e-05,5.980891699309006e-06,10.0,3.0
math/0410008,Decay of correlations and central limit theorem for meromorphic maps,1.0617924760058582e-05,0.0,6.0,1.0
hep-th/9912180,Spin Chain Models with Spectral Curves from M theory,1.0534748959932558e-05,2.6528432645407145e-05,72.0,9.0
math/0311480,Bifurcations in the Space of Exponential Maps,1.0416441286061938e-05,0.0,9.0,6.0
math/0312431,Line antiderivations over local fields and their applications,1.0397782341478403e-05,0.0,2.0,0.0
math/0611859,The minimal log discrepancy,1.0395477185311206e-05,0.0,4.0,0.0
math/0509130,"Deformations and Inversion Formulas For Formal Automorphisms in
  Noncommutative Variables",1.0318737958268202e-05,4.028936099283981e-07,11.0,4.0
math/0601484,Plurisubharmonic Functions in Calibrated Geometries,1.0178629511409622e-05,0.0,4.0,0.0
math/0605058,Rigidity of escaping dynamics for transcendental entire functions,1.0140417274320245e-05,0.0,5.0,1.0
math/0703729,Curvature semipositivity of relative pluricanonical systems,1.0116770287253842e-05,0.0,5.0,1.0
