id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0602170,Solitons in the Higgs phase -- the moduli matrix approach --,5.361348674575382e-05,0.0029839076776999,121.0,26.0
gr-qc/0508023,"Clifford and Riemann-Finsler Structures in Geometric Mechanics and
  Gravity",3.5480423372549366e-05,2.2523161642858032e-05,46.0,14.0
hep-th/0701112,Another infinite tri-Sasaki family and marginal deformations,3.419158701052619e-05,0.0,18.0,0.0
hep-th/0611327,Computing Amplitudes in topological M-theory,3.199748299950122e-05,0.0,28.0,0.0
math/0610037,Handbook of normal frames and coordinates,3.167348691249005e-05,2.6535770068800902e-06,28.0,1.0
math/0701740,Reduction of branes in generalized complex geometry,3.124629295002085e-05,2.5545708898975107e-08,11.0,1.0
math/0703231,"Sasakian Geometry, Holonomy, and Supersymmetry",2.9110199899309715e-05,5.264743353128829e-07,14.0,1.0
gr-qc/0509117,Massless DKP field in Lyra manifold,2.8689449337240334e-05,3.784681941184049e-06,4.0,2.0
math/0602363,Perspectives on geometric analysis,2.8540217920488395e-05,4.0700784124068895e-06,33.0,2.0
math/0504010,"Links between connections, parallel transports, and transports along
  paths in differentiable fibre bundles",2.7170572196223504e-05,6.633942517200226e-07,8.0,2.0
hep-th/0702163,Partition functions and double-trace deformations in AdS/CFT,2.710298548174223e-05,3.305811235504654e-07,34.0,1.0
math/0703298,Generalized complex geometry,2.6098111690222937e-05,1.670356398724875e-07,23.0,1.0
hep-th/0501062,"Generalized complex geometry, generalized branes and the Hitchin sigma
  model",2.5978356681084588e-05,2.4384351633345907e-05,36.0,26.0
math/0702598,Nonholonomic Ricci Flows: II. Evolution Equations and Dynamics,2.58564369142228e-05,0.0,7.0,0.0
hep-th/0610044,"Deformations of calibrated D-branes in flux generalized complex
  manifolds",2.547653853192016e-05,2.1662551647550719e-07,51.0,4.0
hep-th/0612121,"New Dimensions for Wound Strings: The Modular Transformation of Geometry
  to Topology",2.5136005215837475e-05,3.783618480468349e-06,22.0,1.0
gr-qc/0407042,Isolated and dynamical horizons and their applications,2.4959492408999574e-05,0.0001554750117458,82.0,37.0
hep-th/0602277,Hyper-Kahler Sigma Models on (Co)tangent Bundles with SO(n) isometry,2.431671940730226e-05,6.548251159188238e-06,59.0,2.0
math/0703496,"A global view of equivariant vector bundles and Dirac operators on some
  compact homogeneous spaces",2.430213812017052e-05,0.0,7.0,1.0
math/0412436,Curvature in Special Base Conformal Warped Products,2.3880692733028707e-05,1.990182755160072e-06,29.0,1.0
math/0511710,Higher Gauge Theory,2.379976358895504e-05,2.419170883963185e-05,25.0,4.0
math/0607113,Hessian Tensor and Standard Static Space-times,2.337432597321873e-05,0.0,1.0,0.0
math/0703138,"Momentum construction on Ricci-flat K\""ahler cones",2.1597055735454284e-05,2.075945495541073e-09,5.0,1.0
math/0606398,Comparison of the refined analytic and the Burghelea-Haller torsions,2.0775172171331056e-05,2.742850391119501e-05,7.0,5.0
hep-th/0701203,Generalised Geometry for M-Theory,1.9904694459573683e-05,0.0,47.0,0.0
math/0505007,"Logarithmic growth of systole of arithmetic Riemann surfaces along
  congruence subgroups",1.9298374401283943e-05,0.0,13.0,8.0
hep-th/0605230,The Fixed Points of RG Flow with a Tachyon,1.906392531411429e-05,1.8319039996216229e-06,18.0,2.0
math/0604012,Systolic inequalities and Massey products in simply-connected manifolds,1.871168997630473e-05,0.0,19.0,3.0
hep-th/0612171,The Ricci Curvature of Half-flat Manifolds,1.860725663129573e-05,0.0,24.0,0.0
math/0612629,Invariant Prolongation and Detour Complexes,1.85959101963299e-05,0.0,9.0,0.0
hep-th/0611080,Open G2 Strings,1.829528051337624e-05,3.050193436610524e-07,35.0,1.0
math/0409438,The Distortion of a Knotted Curve,1.828755179993008e-05,0.0,9.0,5.0
