id,title,pagerank,betweenness,in_degree,out_degree
math-ph/0703048,"Conservation Laws and Hamilton's Equations for Systems with Long-Range
  Interaction and Memory",3.228056074218865e-05,0.0,15.0,0.0
math/0510557,"Some Inequalities Satisfied by Periodical Solutions of Multi-Time
  Hamilton Equations",2.660862976324598e-05,0.0,5.0,0.0
math/0611302,Propri\'et\'es ergodiques des applications rationnelles,2.552582081074182e-05,0.0,13.0,0.0
math/0510559,"Periodical Solutions of Poisson-Gradient Dynamical Systems with
  Periodical Potential",2.4775049154155805e-05,0.0,5.0,0.0
math-ph/0502028,Completely Integrable Systems Associated with Classical Root Systems,2.304249963131664e-05,0.0,9.0,1.0
math/0601455,Breaking the duality in the return times theorem,2.2184175322275635e-05,0.0,3.0,0.0
math/0604521,Degree-growth of monomial maps,2.204004991965456e-05,3.96361676899682e-06,22.0,2.0
math/0607386,Bernoulli measures for the Teichmueller flow,2.0041078259004623e-05,1.9827567001035044e-06,9.0,1.0
math/0004119,On subgroups of minimal topological groups,1.977936190535238e-05,0.0,13.0,12.0
math/0511648,Characterizations of model sets by dynamical systems,1.73720616987748e-05,0.0,6.0,3.0
nlin/0606070,Psi-Series Solution of Fractional Ginzburg-Landau Equation,1.691695658529465e-05,0.0,20.0,0.0
math/0603453,"Pure point diffraction and cut and project schemes for measures: The
  smooth case",1.603405706831587e-05,0.0,7.0,1.0
math/0703602,Invariant Radon measures on measured lamination space,1.537749019051831e-05,0.0,3.0,0.0
math/0509114,Mapping Class Group Dynamics on Surface Group Representations,1.361091068019295e-05,3.980365510320144e-06,16.0,2.0
math/0311427,Classification of Escaping Exponential Maps,1.3526830707540135e-05,0.0,7.0,7.0
hep-th/0112158,"Nonlinear holomorphic supersymmetry, Dolan-Grady relations and Onsager
  algebra",1.320675588945831e-05,5.923805288162291e-06,20.0,11.0
math/0601192,Wiener-Wintner for Hilbert Transform,1.3158287777260763e-05,0.0,4.0,1.0
math/0608364,On Popa's Cocycle Superrigidity Theorem,1.298028123614166e-05,0.0,12.0,1.0
math/0309020,A Morse complex for infinite dimensional manifolds - Part I,1.2520039875220534e-05,0.0,3.0,1.0
math/0309107,Topological Dynamics of Exponential Maps on their Escaping Sets,1.2155898320702504e-05,0.0,10.0,8.0
math/0307371,A Landing Theorem for Periodic Rays of Exponential Maps,1.2087436942239678e-05,0.0,9.0,6.0
math-ph/0510088,Quasi-Chaplygin Systems and Nonholonimic Rigid Body Dynamics,1.1905625244191376e-05,0.0,6.0,0.0
math/0605296,The structure of reversing symmetry groups,1.155955637801078e-05,0.0,5.0,0.0
math/0512602,Eigenfunctions for substitution tiling systems,1.1449210400796168e-05,0.0,4.0,0.0
math/0603592,KMS states and branched points,1.1217807142938636e-05,0.0,5.0,0.0
math/0311322,Green currents for holmorphic automorphisms of compact Kahler manifolds,1.1187113879609e-05,0.0,3.0,3.0
math/0410008,Decay of correlations and central limit theorem for meromorphic maps,1.0617924760058582e-05,0.0,6.0,1.0
math/0509120,Fundamental Markov systems,1.0595320873276598e-05,0.0,3.0,0.0
math/0311480,Bifurcations in the Space of Exponential Maps,1.0416441286061938e-05,0.0,9.0,6.0
math/0510650,Attractors on $\mathbf{P}^k$,1.0304936738900662e-05,0.0,4.0,1.0
math/0302200,Chaos in PDEs and Lax Pairs of Euler Equations,1.0158244257872226e-05,0.0,9.0,0.0
math/0605058,Rigidity of escaping dynamics for transcendental entire functions,1.0140417274320245e-05,0.0,5.0,1.0
hep-th/0501235,Algebraic Geometry of Discrete Dynamics. The case of one variable,1.0082089911956062e-05,1.6769500127843302e-06,20.0,5.0
math-ph/0401056,Spectral Analysis of a Self-Similar Sturm-Liouville Operator,9.991355610478769e-06,0.0,3.0,1.0
math/0408011,Combinatorics of Bifurcations in Exponential Parameter Space,9.65634162472233e-06,0.0,9.0,7.0
math/0702091,"Totally Non-coisotropic Displacement and Its Applications to Hamiltonian
  Dynamics",9.651750810032278e-06,1.990182755160072e-06,3.0,1.0
math/0412167,"Statistical Consequences of Devroye Inequality for Processes.
  Applications to a Class of Non-Uniformly Hyperbolic Dynamical Systems",9.624731332814796e-06,0.0,1.0,0.0
math/0610453,"On a question of Eremenko concerning escaping components of entire
  functions",9.318582652447356e-06,0.0,1.0,2.0
nlin/0102038,Covariant Time Derivatives for Dynamical Systems,9.3004659300517e-06,0.0,2.0,1.0
math/0608589,Semigroups of local homeomorphisms and interaction groups,9.295928058917596e-06,0.0,5.0,0.0
math/0703702,"Super-potentials of positive closed currents, intersection theory and
  dynamics",9.087592082995425e-06,0.0,2.0,1.0
math/0303282,Hamiltonian dynamics on convex symplectic manifolds,8.970280379049185e-06,0.0,9.0,13.0
math/0507097,Bounded cohomology and isometry groups of hyperbolic spaces,8.942421637919674e-06,0.0001234024699025,3.0,5.0
math-ph/0603067,Nonholonomic Constraints with Fractional Derivatives,8.903204684573277e-06,0.0,16.0,0.0
math/0512230,The mapping class group from the viewpoint of measure equivalence theory,8.829781820964417e-06,0.0001180557102617,10.0,3.0
math/0606667,Periodic attractors of random truncator maps,8.821208668308295e-06,0.0,6.0,0.0
quant-ph/0604075,"Weyl's symbols of Heisenberg operators of canonical coordinates and
  momenta as quantum characteristics",8.776033298620755e-06,1.990182755160072e-06,3.0,1.0
math/0408041,Siegel Disks and Periodic Rays of Entire Functions,8.259831847845399e-06,0.0,4.0,2.0
math/0601046,"A finiteness theorem for canonical heights attached to rational maps
  over function fields",8.162410318964311e-06,0.0,6.0,0.0
math/0602123,Attracting current and equilibrium measure for attractors on P^k,8.14653966412595e-06,0.0,2.0,2.0
math/0601200,The group of Hamiltonian homeomorphisms and continuous Hamiltonian flows,7.938977310563416e-06,0.0,6.0,4.0
math/0110183,"KMS states for generalized gauge actions on Cuntz-Krieger algebras (An
  application of the Ruelle-Perron-Frobenius Theorem)",7.92243140806203e-06,4.7703740007546425e-05,5.0,4.0
math-ph/0106027,Poincare' normal and renormalized forms,7.82324995062454e-06,0.0,2.0,1.0
math-ph/0206026,"Hamiltonian and Linear-Space Structure for Damped Oscillators: I.
  General Theory",7.82324995062454e-06,0.0,2.0,1.0
math-ph/0206027,"Hamiltonian and Linear-Space Structure for Damped Oscillators: II.
  Critical Points",7.82324995062454e-06,0.0,2.0,1.0
math/0607481,Groups of Circle Diffeomorphisms,7.625545462245204e-06,0.0,1.0,0.0
math/0403552,When the Morse index is infinite,7.462671345737004e-06,0.0,1.0,1.0
nlin/0405056,Localised control for non-resonant Hamiltonian systems,7.433625749898626e-06,0.0,5.0,2.0
math-ph/0203003,The Painleve Analysis and Special Solutions for Nonintegrable Systems,7.411662837712833e-06,0.0,9.0,3.0
math/0205122,"Action-angle coordinates around a noncompact invariant manifold of a
  completely integrable Hamiltonian system",7.37136818688287e-06,0.0,2.0,1.0
math/0410464,Topology of quasiperiodic functions on the plane,7.370031065235906e-06,0.0,6.0,0.0
math/0610790,"Global action-angle coordinates for completely integrable systems with
  noncompact invariant submanifolds",7.331727961037207e-06,0.0,6.0,0.0
math-ph/0303051,"Perturbation Theory and Control in Classical or Quantum Mechanics by an
  Inversion Formula",7.314748058356636e-06,0.0,6.0,6.0
math/0409085,Stochastic-like behaviour in nonuniformly expanding maps,7.313294313229518e-06,0.0,5.0,1.0
