source,target
hep-th/9305045,gr-qc/0110034
math/9802034,quant-ph/9712009
math/9809018,math/9808015
math/9809002,math/9808015
math/9808047,math/9808015
math/9808037,math/9808015
math/0206026,math/0212294
math/0009128,math/0212294
math/0308166,math/0212294
math/0212215,quant-ph/0504151
nucl-th/9505029,nucl-th/9505028
nucl-th/9505028,nucl-th/9505029
math/9211211,quant-ph/0310075
math/0607783,math/0602110
math/9807096,math/9906151
funct-an/9501002,funct-an/9712003
hep-th/9706041,hep-th/9701041
math/0106008,math/0201184
math/0502181,math/0508218
math/9808015,math/9808037
math/9912133,math/0001171
math/9912129,math/0001171
hep-th/9401026,q-alg/9610026
math/0608511,math/0609835
math/0608064,math/0609835
funct-an/9606002,math/0105142
hep-th/9701041,hep-th/9706041
math-ph/9910031,math-ph/9910035
math-ph/9910036,math-ph/9910035
math/0502039,math/0601535
math/0401205,math/0601535
math/0201184,math/0106008
math/9808037,math/9808047
math/9808015,math/9808047
math/0307040,math/0408008
math/0403251,math/0408008
math/0303320,math/0408008
math/0609835,math/0608064
math/0501013,math/0501012
math/0501012,math/0501013
quant-ph/0112159,quant-ph/0112158
math/0306352,math/0309354
math/0307130,math/0309354
math/0010245,math/0108096
math/9809002,math/9809018
math/9808047,math/9809018
math/9808037,math/9809018
math/9808015,math/9809018
q-alg/9610026,q-alg/9611003
math/0005089,math/0108014
math-ph/9910031,math-ph/9910036
math-ph/9910035,math-ph/9910036
patt-sol/9508001,hep-th/9505166
math/0602110,math/0607783
math/0608064,math/0608511
math/0609835,math/0608511
math/0511218,math/0612673
math/0504268,math/0612673
math/0408008,math/0612673
math/0702063,math/0612673
math/0210457,math/0306365
math/0006165,math/0306365
math/0001070,math/0306365
math/9806150,math/9807141
funct-an/9704001,math/9807141
funct-an/9712003,math/9807141
quant-ph/9610016,math-ph/0007030
hep-th/9505166,patt-sol/9508001
math/0401205,math/0502039
math/0212275,math/0212273
math/0212273,math/0212275
math/0105097,math/0105044
math/0105044,math/0105097
math-ph/0201005,math/0512398
math/0606545,math/0512398
math/0405174,math/0305091
math/0404189,math/0408207
math/0001070,math/0006165
q-alg/9610026,q-alg/9611019
q-alg/9611003,q-alg/9611019
math/0212294,math/0308166
math/0206026,math/0308166
math/0009128,math/0308166
math/0612673,math/0511218
math/0504268,math/0511218
math/0408008,math/0511218
math/0602081,math/0511218
math/9801026,math/0204060
math/0211284,math/0405063
math/0111015,math/0111019
hep-th/9409068,funct-an/9501001
math/0003067,math-ph/0102002
math/0010051,math-ph/0102002
quant-ph/9502022,quant-ph/9610016
math/0406289,math/0406573
math/0404036,math/0406573
math/0010261,math/0010292
math/9809018,math/9809002
math/9808037,math/9809002
math/9808047,math/9809002
math/9808015,math/9809002
math/0703339,math/0703632
math/0512398,math/0606545
quant-ph/0112158,quant-ph/0112159
math/0108102,math/0502181
math/0508218,math/0502181
math/0001171,math/0107231
math/0605076,nlin/0605021
math/0504257,nlin/0605021
math/0212294,math/0412408
hep-th/9705006,funct-an/9707003
quant-ph/0504189,math/0506491
math/0108044,math/0109117
math-ph/0308002,math/0309020
math/0506505,math/0509240
funct-an/9712003,math/9806150
math/0107218,math/0201214
nlin/0605021,math/0605076
math/0310225,math/0310094
math-ph/0007030,quant-ph/0212101
math/9806150,quant-ph/0212101
quant-ph/9610016,quant-ph/0212101
math/9807141,quant-ph/0212101
math/0410422,math/0404304
math/0607185,math/0609706
funct-an/9608002,hep-th/9707206
math/0609706,math/0607185
funct-an/9501002,math/0204018
math/9806150,math/0204018
math/9807141,math/0204018
funct-an/9712003,math/0204018
math/0511218,math/0602081
math/0303320,math/0602081
math/0303320,math/0307040
hep-th/9707082,hep-th/9708010
math-ph/0203008,math-ph/0307044
math/0109049,math-ph/0307044
math/0107058,math-ph/0307044
physics/9710006,funct-an/9710003
math/0106053,math/0207239
math/0012053,math/0207239
math/0309354,math/0405495
solv-int/9602001,solv-int/9701003
math/0410176,math/0503021
math/0410178,math/0503021
math/0511727,math/0503021
quant-ph/0504189,quant-ph/0511101
math/0601288,math/0611503
math/0305443,math/0411371
math/0407214,math/0411555
funct-an/9311004,funct-an/9312001
math/0507158,math/0509094
math/0601535,math/0602425
math/9512208,math/0210228
math-ph/0102002,math/0206309
math/0612673,math/0702063
math/0504268,math/0702063
math/0511218,math/0606078
math/0408008,math/0606078
math/0303320,math/0606078
math-ph/0007017,math-ph/0007041
q-alg/9702002,q-alg/9703017
math-ph/0303030,math/0409442
math/0601535,math/0609451
math/0206039,math/0210240
funct-an/9606002,math/0210032
math/0105142,math/0210032
hep-th/0603096,hep-th/0605035
math/0508482,math/0508646
math/0403456,math/0509108
math/0403243,math/0503602
funct-an/9602002,funct-an/9605002
math/9807141,math/0208249
funct-an/9712003,math/0208249
math/0204018,math/0208249
math/0411591,math/0510358
math/0611256,math/0611879
math/0609662,math/0611879
math/0510358,math/0609662
math/0611879,math/0609662
math/0012200,math/0101008
quant-ph/0603075,hep-th/0603096
math/0503021,math/0508516
math/0410176,math/0508516
math/0410178,math/0508516
math/9808047,math/9909036
math/0405063,math/0507373
math/0405410,math/0507017
math/0405497,math/0506198
math/0001171,math/0004098
math/9812052,math/0004098
math/0508552,math/0604372
math/0108014,math/0401411
math/0005089,math/0401411
math/0405497,math/0502010
math/0405495,math/0502010
math/0608511,math/0610427
math/0608064,math/0610427
math/0609835,math/0610427
math/0102019,math/0107051
math/0403236,math/0703610
math/0404376,math/0408235
math/0312501,math/0408235
math/0606161,math/0606191
math/0602234,math/0602617
math/0108102,math/0602617
