id,title,pagerank,betweenness,in_degree,out_degree
gr-qc/0110034,Introduction to Modern Canonical Quantum General Relativity,4.971829053364679e-05,0.000917367405873,220.0,232.0
math/0609033,"Kernel theorems and nuclearity in idempotent mathematics. An algebraic
  approach",4.732166823508154e-05,0.0,10.0,0.0
math-ph/0607019,"Properties of probability measures on the set of quantum states and
  their applications",3.990394346929994e-05,4.706859817682484e-06,7.0,1.0
hep-th/0605035,"General Aspects of PT-Symmetric and P-Self-Adjoint Quantum Theory in a
  Krein Space",3.076121598265733e-05,9.854685064134128e-06,35.0,6.0
math-ph/0307044,Mathematics of the Quantum Zeno Effect,2.61452811850518e-05,2.0978605534803e-06,25.0,2.0
math/0109198,"Lectures on q-analogues of Cartan domains and associated Harish-Chandra
  modules",2.273746406152608e-05,1.990182755160072e-06,23.0,1.0
math/0703586,Spectral distance on the circle,1.958980658553133e-05,0.0,8.0,0.0
math/0609040,"Ultrametric and non-locally convex analogues of the general curve lemma
  of convenient differential calculus",1.895881438990062e-05,0.0,6.0,1.0
math/0311170,"Duality of compact groups and Hilbert C*-systems for C*-algebras with a
  nontrivial center",1.6885813517775427e-05,1.990182755160072e-06,4.0,2.0
math/0609041,"Comparison of some notions of C^k-maps in multi-variable non-archimedian
  analysis",1.6626769282820493e-05,0.0,5.0,1.0
quant-ph/0212101,p-Mechanics as a Physical Theory. An Introduction,1.6319663932805748e-05,2.504409541883486e-06,14.0,6.0
math/0311285,Monogenic Calculus as an Intertwining Operator,1.5797628287700933e-05,0.0,10.0,0.0
math/0604120,A Schur-Horn type theorem for II$_1$ factors,1.5044782123812076e-05,0.0,5.0,1.0
math/0605070,"Refinements of spectral resolutions and modelling of operators in II$_1$
  factors",1.4505495387227253e-05,0.0,4.0,1.0
hep-th/0603096,PT-Symmetric Quantum Theory Defined in a Krein Space,1.3509495497177469e-05,5.616839186662049e-07,18.0,7.0
quant-ph/9712009,Questions on quantization,1.3251000734833088e-05,9.954007965407263e-07,14.0,18.0
math/0703788,"Quasi-conformal functions of quaternion and octonion variables, their
  integral transformations",1.315905474723265e-05,0.0,8.0,0.0
math/0309020,A Morse complex for infinite dimensional manifolds - Part I,1.2520039875220534e-05,0.0,3.0,1.0
math/0703632,Approximation via toy Fock space - the vacuum-adapted viewpoint,1.2430623490186183e-05,3.980365510320144e-06,4.0,1.0
math/0703801,Crossed product by an arbitrary endomorphism,1.1886101164760869e-05,0.0,6.0,0.0
quant-ph/0603075,"On Existence of a Biorthonormal Basis Composed of Eigenvectors of
  Non-Hermitian Operators",1.1828803556479514e-05,3.784440311620068e-06,9.0,3.0
math/0508516,Elliptic boundary problems on manifolds with polycylindrical ends,1.1521456641178948e-05,1.8475632443767084e-08,7.0,2.0
math/0609662,"Applications of the Fuglede-Kadison determinant: Szeg\""{o}'s theorem and
  outers for noncommutative $H^p$",1.1443864174221396e-05,0.0,3.0,1.0
math/0501087,A unified framework for graph algebras and quantum causal histories,1.1173946055151414e-05,0.0,7.0,1.0
math/0703115,Lifting endomorphisms to automorphisms,1.0970909613129002e-05,0.0,3.0,0.0
math/0611879,Von Neumann algebraic H^p theory,1.0837795447819585e-05,0.0,3.0,1.0
math/0508218,Z-stable ASH algebras,1.0761602919326089e-05,0.0,7.0,12.0
math/0503021,Resolvents of elliptic boundary problems on conic manifolds,1.0712727735833195e-05,3.980365510320144e-06,6.0,3.0
math/0509240,Special characters on star graphs and representations of $*$-algebras,1.0677845168923792e-05,0.0,3.0,1.0
math/0510064,"Compactifications, Hartman functions and (weak) almost periodicity",1.01947907405935e-05,0.0,1.0,0.0
math-ph/0702064,"Closed-form Dirichlet integral harmonic interpolation-fits for real
  n-dimensional and complex half-space: DIDACKS III",9.706783774216097e-06,0.0,2.0,0.0
nlin/0605021,"Asymptotics of a Class of Operator Determinants with Application to the
  Cylindrical Toda Equations",9.087592082995425e-06,0.0,2.0,1.0
math/0611364,Divisible operators in von Neumann algebras,9.087592082995425e-06,0.0,2.0,1.0
quant-ph/0504151,"Entanglement entropy of fermions in any dimension and the Widom
  conjecture",9.047879559361024e-06,0.0006429610727877,4.0,13.0
math/0610130,"Perelman's Invariant, Ricci Flow, and the Yamabe Invariants of Smooth
  Manifolds",8.914440011174177e-06,0.0,5.0,0.0
math/0602617,Simple C*-algebras with locally finite decomposition rank,8.849568564067845e-06,0.0,9.0,2.0
math/0612673,"Implicit functions from topological vector spaces to Fr\'echet spaces in
  the presence of metric estimates",8.762146525391894e-06,3.980365510320144e-06,5.0,3.0
math/0604434,"The M-ellipsoid, Symplectic Capacities and Volume",8.74132453970143e-06,0.0,2.0,0.0
math/0606078,"Direct limits of infinite-dimensional Lie groups compared to direct
  limits in related categories",8.45126941810675e-06,3.980365510320144e-06,6.0,2.0
math/0512398,Quantum Stochastic Operator Cocycles via Associated Semigroups,8.399355031179684e-06,0.0,2.0,2.0
math/0411519,On the structure of non-commutative white noises,8.394721778889003e-06,0.0,1.0,0.0
math/0606545,"Construction of some Quantum Stochastic Operator Cocycles by the
  Semigroup Method",8.393309358403248e-06,0.0,2.0,1.0
hep-th/9707206,"Analytic Continuation of Operators -- operators acting complex s-times
  -- Applications: from Number Theory and Group Theory to Quantum Field and
  String Theories",8.28843174291217e-06,0.0,5.0,1.0
gr-qc/0607046,"Decay of Solutions of the Teukolsky Equation for Higher Spin in the
  Schwarzschild Geometry",8.28530402871664e-06,0.0,7.0,0.0
math-ph/0203008,Zeno Dynamics of von Neumann Algebras,7.881702020310464e-06,0.0,7.0,2.0
hep-th/0201219,"Spectral Asymptotics of Eigen-value Problems with Non-linear Dependence
  on the Spectral Parameter",7.747846317585393e-06,1.609879425031246e-07,6.0,1.0
math/0212215,"Szego limit theorem for operators with discontinuous symbols and
  applications to entanglement entropy",7.7173374405052e-06,0.0,3.0,1.0
math/0408008,Lie groups over non-discrete topological fields,7.706055411760887e-06,0.0,6.0,9.0
math/0608754,"Idempotent probability measures, I",7.568939049560406e-06,0.0,1.0,0.0
math/0502388,Quotients of Standard Hilbert Modules,7.486854036842753e-06,0.0,5.0,0.0
math-ph/0702063,"Dirichlet integral point-source harmonic interpolation over
  ${\mathbb{R}}^3$ spherical interiors: DIDACKS II",7.436101577256827e-06,1.990182755160072e-06,4.0,1.0
math/0310395,"Analytic Continuation of Resolvent Kernels on noncompact Symmetric
  Spaces",7.352230892659912e-06,0.0,3.0,0.0
quant-ph/0112158,Quantum Finance: The Finite Dimensional Case,7.312279364864352e-06,0.0,2.0,2.0
math/9906151,Metrics on State Spaces,7.268470536449677e-06,0.0020127693690819,8.0,26.0
math/0703408,"Monotone and Boolean Convolutions for Non-compactly Supported
  Probability Measures",7.245733289604619e-06,0.0,6.0,0.0
math/0410577,"Operator integrals with respect to a spectral measure and solutions to
  some operator equations",7.217946363287629e-06,0.0,7.0,0.0
math/0201012,"Tokens: An Algebraic Construction Common in Combinatorics, Analysis, and
  Physics",7.069108873728308e-06,0.0,3.0,1.0
math/0703339,Approximation of quantum Levy processes by quantum random walks,7.038502536853052e-06,0.0,3.0,1.0
math/0610712,"A Linear Programming Inequality with Applications to Concentration of
  Measure",6.895616310963131e-06,0.0,2.0,0.0
math/0701072,"Applications of hypocontinuous bilinear maps in infinite-dimensional
  differential calculus",6.873367831195505e-06,0.0,4.0,0.0
math/0602110,On the noncommutative spectral flow,6.79061900959065e-06,0.0,4.0,3.0
math/0406264,Equilateral sets in finite-dimensional normed spaces,6.681251224771986e-06,0.0,1.0,0.0
math/0409442,The hybrid spectral problem and Robin boundary conditions,6.604543166320717e-06,1.4854962974239023e-06,3.0,2.0
math-ph/0505035,Phase transition and split property in quantum spin chain,6.55890781825366e-06,0.0,1.0,1.0
math/0605076,"On the Inverse and Determinant of Certain Truncated Wiener-Hopf
  Operators",6.55890781825366e-06,0.0,1.0,1.0
math/0403251,"Hoelder continuous homomorphisms between infinite-dimensional Lie groups
  are smooth",6.5304700040745326e-06,0.0,4.0,2.0
math/0607185,Approximation of holomorphic mappings on strongly pseudoconvex domains,6.521986431869525e-06,0.0,2.0,2.0
math/0612378,"Compression functions of uniform embeddings of groups into Hilbert and
  Banach spaces",6.506761117172505e-06,0.0,3.0,0.0
math/0511540,Satbility of Ternary Homomorphisms via Generalized Jensen Equation,6.418412524464124e-06,0.0,4.0,0.0
math/0412408,The max-plus Martin boundary,6.38100927940677e-06,9.617125564849594e-06,7.0,6.0
hep-th/0107115,Geometry of the Gauge Algebra in Noncommutative Yang-Mills Theory,6.37599642729743e-06,3.899431871371739e-06,67.0,21.0
math/0408207,Boundedness in generalized \v{S}erstnev PN spaces,6.355472688138928e-06,0.0,2.0,2.0
hep-th/9403148,"Infinite Dimensional Geometry and Quantum Field Theory of Strings. II.
  Infinite Dimensional Noncommutative Geometry of a Self-Interacting String
  Field",6.353983506600307e-06,0.0,20.0,1.0
hep-th/0202039,Duality in Scalar Field Theory on Noncommutative Phase Spaces,6.25181575076601e-06,4.891162876536982e-05,27.0,28.0
math/0508158,On Some Discrete Inequalities in Normed Linear Spaces,6.19095955862073e-06,0.0,2.0,0.0
math-ph/0011025,The $M_{L}(z);C_{L}(z);W_{L}(z)$ associated Laguerre Polynomials,6.086550152667384e-06,0.0,3.0,0.0
math/0611401,Asymptotic lifts of positive linear maps,6.058596461869177e-06,0.0,3.0,1.0
math/0001171,Wavelet filters and infinite-dimensional unitary groups,6.02379112892886e-06,0.0,6.0,5.0
math/0504125,General Spectral Flow Formula for Fixed Maximal Domain,6.003285691935873e-06,0.0,7.0,0.0
math/0610904,From the Mahler conjecture to Gauss linking integrals,5.927773615503002e-06,0.0,4.0,0.0
hep-th/9511060,"Spectral invariants for the Dirac equation on the d-Ball with various
  boundary conditions",5.871869774836746e-06,0.0,10.0,6.0
hep-th/9507029,"Modular Covariance, PCT, Spin and Statistics",5.803550298689531e-06,0.0,4.0,2.0
math/0008102,"Representations of Cuntz algebras, loop groups and wavelets",5.783859991907158e-06,0.0,2.0,0.0
math/0511218,"Finite order differentiability properties, fixed points and implicit
  functions over valued fields",5.775019740460008e-06,1.1941096530960432e-05,4.0,5.0
math/0205223,Intrinsic characterization of manifold-valued generalized functions,5.718209721195615e-06,0.0,2.0,0.0
math/0608030,Spectral flow and winding number in von Neumann algebras,5.71490973462809e-06,0.0,3.0,0.0
math/0105142,Graph Subspaces and the Spectral Shift Function,5.682884487447424e-06,0.0,6.0,7.0
math/0603183,"Regular rapidly decreasing nonlinear generalized functions. Application
  to microlocal regularity",5.662537346560009e-06,0.0,4.0,0.0
math/0105097,Lower semi-continuity of integrals with G-quasiconvex potential,5.655144290770314e-06,0.0,1.0,1.0
math/0212273,Lower Order Terms in Szego Theorems on Zoll Manifolds,5.655144290770314e-06,0.0,1.0,1.0
math/0212275,Lower order terms in Szego type limit theorems on Zoll manifolds,5.655144290770314e-06,0.0,1.0,1.0
