id,title,pagerank,betweenness,in_degree,out_degree
math/0507014,"The Maslov dequantization, idempotent and tropical mathematics: A brief
  introduction",4.652961767491447e-05,1.990182755160072e-06,55.0,1.0
hep-th/0703017,Expansions of algebras and superalgebras and some applications,3.9762147100728194e-05,1.297900243134945e-07,32.0,1.0
math/0609041,"Comparison of some notions of C^k-maps in multi-variable non-archimedian
  analysis",1.6626769282820493e-05,0.0,5.0,1.0
math/0506475,"Foundations of real analysis and computability theory in
  non-Aristotelian finitary logic",1.4713054021283687e-05,5.970548265480216e-06,5.0,1.0
math/0603599,"A Comment on ""On Some Contradictory Computations in Multi-dimensional
  Mathematics""",1.3590475737133266e-05,2.8784803885932812e-08,5.0,1.0
math/0312189,"Nonstandard Analysis Applied to Special and General Relativity - The
  Theory of Infinitesimal Light-Clocks",1.358386103678638e-05,0.0,8.0,3.0
math/0501038,"The Maslov dequantization, idempotent and tropical mathematics: a very
  brief introduction",1.2871646679377646e-05,4.841367552205469e-06,25.0,2.0
math/0605430,Analytical and differential - algebraic properties of Gamma function,1.171851400767436e-05,3.980365510320144e-06,3.0,1.0
math/0112296,Separations inside a cube,1.097946813721729e-05,0.0,17.0,0.0
math/0703515,Improvement on a Central Theory of PDEs,1.066420036241358e-05,0.0,7.0,0.0
math/0509130,"Deformations and Inversion Formulas For Formal Automorphisms in
  Noncommutative Variables",1.0318737958268202e-05,4.028936099283981e-07,11.0,4.0
math/0212296,Non-Archimedean stochastic processes on non-Archimedean manifolds,9.64884211965478e-06,0.0,6.0,1.0
math-ph/0508068,"Lam\'e equation, quantum top and elliptic Bernoulli polynomials",9.221854445625878e-06,5.241214824023057e-06,5.0,1.0
math/0202269,An Extension to Fermat's Factorisation and a simple primality test,9.087592082995425e-06,0.0,2.0,1.0
math/0605120,The GGU-model and Generation of the Developmental Paradigms,8.092525333353698e-06,0.0,8.0,3.0
math/0609765,Crisis in the geometry development and its social consequences,7.583098240092869e-06,0.0,5.0,0.0
math/0603573,"General Logic-Systems that Determine Significant Collections of
  Consequence Operators",7.343941948640635e-06,0.0,6.0,0.0
math/9911147,Tactical games & behavioral self-organization,6.9337107014970414e-06,0.0,8.0,3.0
math/0001032,"Tactics, dialectics, representation theory",6.634883943817482e-06,0.0,6.0,1.0
math/0109114,A Computational Algorithm for /pi(N),6.55890781825366e-06,0.0,1.0,1.0
math/0504025,Geometric algebra and particle dynamics,6.466864348372653e-06,0.0,3.0,5.0
math/0611445,"Junction Conditions, Resolution of Singularities and Nonlinear Equations
  of Physics",6.40575603304941e-06,0.0,3.0,0.0
math/0607387,"Erlangen Program at Large-0: Starting with the group SL(2,R)",6.206501923109838e-06,0.0,3.0,2.0
math/0511218,"Finite order differentiability properties, fixed points and implicit
  functions over valued fields",5.775019740460008e-06,1.1941096530960432e-05,4.0,5.0
math/0503334,The $k$-orbit theory and polycirculant conjecture,5.74310824339668e-06,0.0,4.0,0.0
math/0312432,"Nonstandard Analysis Applied to Advanced Undergraduate Mathematics -
  Infinitesimal Modeling",5.640269235459436e-06,0.0,4.0,5.0
math/0508188,Geometric triangulations and discrete Laplacians on manifolds,5.56322807563326e-06,0.0,7.0,1.0
hep-th/0107266,"On SUSY-QM, fractal strings and steps towards a proof of the Riemann
  hypothesis",5.285628829587732e-06,6.773030286765413e-06,5.0,5.0
math/0606702,"Combinatorial Speculations and the Combinatorial Conjecture for
  Mathematics",5.164339324857438e-06,0.0,7.0,0.0
math/0611486,How to Define Global Lie Group Actions on Functions,4.8303593020260746e-06,0.0,1.0,0.0
math/0601047,Several Applications of Bezout Matrices,4.775563454392716e-06,0.0,3.0,1.0
math-ph/0508066,Elliptic Faulhaber polynomials and Lam\'e densities of states,4.748655462186104e-06,0.0,4.0,2.0
math/9903082,The Theory of Ultralogics Part II,4.375237755426473e-06,0.0,2.0,9.0
math/0502016,The notion of dimension in geometry and algebra,4.265956839386594e-06,2.5706805099748283e-06,10.0,2.0
math/0412354,Differentially Transcendental Functions,4.226032979787758e-06,0.0,1.0,2.0
math/0512559,General Logic-Systems and Consequence Operators,4.217972532549365e-06,0.0,3.0,3.0
math/0611662,"""Non-strict"" l'Hospital-Type Rules for Monotonicity: Intervals of
  Constancy",4.132978839879297e-06,0.0,4.0,0.0
hep-th/0303162,Massive Feynman diagrams and inverse binomial sums,3.872739830725615e-06,8.898696010752362e-06,8.0,24.0
math/0511451,"Expression of a Tensor Commutation Matrix in Terms of the Generalized
  Gell-Mann Matrices",3.805363860438904e-06,0.0,3.0,1.0
math/0703547,Comments on a recent item by Yu I Manin,3.662959199933061e-06,0.0,2.0,1.0
math/0005275,"New mathematical methods for psychophysical filtering of experimental
  data and their processing",3.644036855033209e-06,0.0,2.0,3.0
math/0312360,Beyond Uncountable,3.62335329328243e-06,0.0,2.0,0.0
math/0507109,"Mathematical computability questions for some classes of linear and
  non-linear differential equations originated from Hilbert's tenth problem",3.498026145358259e-06,0.0,3.0,1.0
math/0404102,"Identical and Nonidentical Relations. Nondegenerate and Degenerate
  Transformations. (Properties of skew-symmetric differential forms)",3.4374595853665712e-06,0.0,4.0,0.0
hep-th/0208221,Final steps towards a proof of the Riemann hypothesis,3.3623056100833957e-06,0.0,3.0,1.0
math/0609847,The work of Andrei Okounkov,3.2166082697012464e-06,0.0,4.0,0.0
math-ph/0109006,On recent strategies proposed for proving the Riemann hypothesis,3.159053738212133e-06,7.4260550565674335e-09,3.0,5.0
math/0106132,"Stochastic processes on non-Archimedean spaces. III. Stochastic
  processes on totally disconnected topological groups",3.1234081109029617e-06,0.0,3.0,2.0
math/0612543,Negative dimension in general and asymptotic topology,3.0534563793997423e-06,0.0,1.0,0.0
math/0502490,The $k$-orbit theory and Fein-Kantor-Schacher Theorem,3.0058404404561305e-06,0.0,3.0,1.0
math/0610902,Oblique Matching Pursuit,2.923024895913817e-06,0.0,1.0,0.0
math/0608141,Redundancies : An Omission in Probability Theory ?,2.855213185875573e-06,0.0,2.0,1.0
math/0104070,"Stochastic processes on non-Archimedean spaces. II. Stochastic
  antiderivational equations",2.753292487717489e-06,0.0,3.0,3.0
math/0508053,Tensor Permutation Matrices in Finite Dimensions,2.7373006378771747e-06,0.0,2.0,2.0
math/0403521,Stochastic arbitrage return and its implications for option pricing,2.734110668784602e-06,0.0,2.0,0.0
math/0510302,On surfaces with $p_g=q=1$ and non-ruled bicanonical involution,2.726959420544478e-06,0.0,1.0,1.0
math/0601016,Ivan Bernoulli Series Universalissima,2.7266361099285818e-06,0.0,3.0,0.0
math/0104069,"Stochastic processes on non-Archimedean spaces. I. Stochastic processes
  on Banach spaces",2.7261209365076626e-06,0.0,3.0,4.0
math/0703400,A generalization of Stokes theorem on combinatorial manifolds,2.697084014042981e-06,0.0,1.0,0.0
math/0604342,From Incompleteness Towards Completeness,2.6631781590238582e-06,0.0,2.0,0.0
math/0611730,"Spreading of infectious diseases on complex networks with non-symmetric
  transmission probabilities",2.642324062390966e-06,0.0,1.0,0.0
math/0510230,Automorphisms of the semigroup of all endomorphisms of free algebras,2.571561301892516e-06,0.0,3.0,0.0
math/0610279,New Method for Solving Large Classes of Nonlinear Systems of PDEs,2.5323920617452204e-06,0.0,4.0,1.0
math/0608450,Solving General Equations by Order Completion,2.5323920617452204e-06,0.0,4.0,1.0
math/0609234,Extending Mappings between Posets,2.5323920617452204e-06,0.0,4.0,1.0
