id,title,pagerank,betweenness,in_degree,out_degree
math/9906113,On what I do not understand (and have something to say): Part I,4.667081502530567e-05,0.0,66.0,10.0
hep-th/0703017,Expansions of algebras and superalgebras and some applications,3.9762147100728194e-05,1.297900243134945e-07,32.0,1.0
math/0703766,Asymptotic Dimension,3.4574652516420634e-05,0.0,21.0,0.0
math/0612104,Representations of finite groups,3.155653432397978e-05,0.0,49.0,1.0
math/0611106,Generalized Noncrossing Partitions and Combinatorics of Coxeter Groups,2.7316388427341904e-05,1.1672510254830089e-05,20.0,4.0
math/0608429,On the Superrigidity of Malleable Actions with Spectral Gap,2.701709718519589e-05,0.0,13.0,0.0
math/0505166,Complex hyperplane arrangements,2.683382917161456e-05,0.0,19.0,0.0
math/0004119,On subgroups of minimal topological groups,1.977936190535238e-05,0.0,13.0,12.0
math/0607600,Measure equivalence rigidity of the mapping class group,1.9762485749832378e-05,0.0001273457956991,8.0,2.0
quant-ph/0609205,Group Theoretical Formulation of Quantum Partial Search Algorithm,1.954294572487797e-05,1.990182755160072e-06,11.0,1.0
math/0603059,Filling functions,1.863822944432147e-05,0.0,9.0,0.0
hep-th/0610278,A Special Class of Rank 10 and 11 Coxeter Groups,1.7577173234509404e-05,0.0,24.0,0.0
math/0701792,Cyclic sieving of noncrossing partitions for complex reflection groups,1.738177940673286e-05,8.067833120191164e-06,9.0,3.0
math/0609634,aleph_n-Free abelain group with no non-zero homomorphism Z,1.6558867619619225e-05,0.0,2.0,0.0
math/0510195,Peripheral fillings of relatively hyperbolic groups,1.6238698668297803e-05,1.990182755160072e-06,9.0,1.0
math/0611437,The classification of 2-compact groups,1.5826808106156573e-05,0.0,5.0,1.0
math/0307039,Every mapping class group is generated by 6 involutions,1.5595630575707128e-05,0.0,5.0,3.0
hep-th/0606123,"Geometric Configurations, Regular Subalgebras of E10 and M-Theory
  Cosmology",1.4611932647745072e-05,6.276707352944024e-07,26.0,2.0
math/0603191,"On the Gauge Equivalence of Twisted Quantum Doubles of Elementary
  Abelian and Extra-Special 2-Groups",1.4003063696341753e-05,1.990182755160072e-06,4.0,1.0
