id,title,pagerank,betweenness,in_degree,out_degree
math/0703766,Asymptotic Dimension,3.4574652516420634e-05,0.0,21.0,0.0
math/0503125,Unknown values in the table of knots,3.4218180927841824e-05,7.96980731015387e-06,11.0,2.0
math/0608627,"Integrality of quantum 3-manifold invariants and rational surgery
  formula",3.2828265112044674e-05,6.3797081283000885e-06,5.0,1.0
math/0501040,The Kontsevich integral,2.7927216380806904e-05,0.0,7.0,0.0
math/0406190,Problems on invariants of knots and 3-manifolds,2.528377065005448e-05,8.352281294406793e-06,41.0,4.0
math/0405428,Virtual Knot Theory --Unsolved Problems,2.4849797371922547e-05,2.008806829746384e-06,20.0,2.0
math/0408182,Finite Type Invariants,2.405981341060574e-05,1.990182755160072e-06,38.0,1.0
math/0703446,Transverse Knots Distinguished by Knot Floer Homology,2.2803091751981347e-05,8.7912448711516e-09,24.0,2.0
math/0612082,The van Kampen obstruction and its relatives,2.205808807440206e-05,1.6089785955896105e-08,7.0,1.0
math/0607265,High distance knots,2.1196563634676056e-05,0.0,9.0,5.0
math/0701765,Knot exteriors with additive Heegaard genus and Morimoto's Conjecture,2.1190101509229792e-05,0.0,7.0,3.0
math/0411029,Integral Lattices in TQFT,2.1035399775702588e-05,4.6615959411470805e-06,3.0,5.0
math/0701460,"Knot concordance and Heegaard Floer homology invariants in branched
  covers",2.044469308101817e-05,2.931242651087346e-07,9.0,1.0
math/0605314,"A unified Witten-Reshetikhin-Turaev invariant for integral homology
  spheres",2.023106992244889e-05,1.4334044705952878e-05,9.0,4.0
math/0607386,Bernoulli measures for the Teichmueller flow,2.0041078259004623e-05,1.9827567001035044e-06,9.0,1.0
math/0612085,The telescope approach to embeddability of compacta,1.986887100188084e-05,0.0,4.0,1.0
math/0604580,Tight contact structures and genus one fibered knots,1.982488803856522e-05,1.1343336297358129e-06,14.0,2.0
math/0607600,Measure equivalence rigidity of the mapping class group,1.9762485749832378e-05,0.0001273457956991,8.0,2.0
math/0609012,"The Kauffman bracket of virtual links and the Bollob\'as-Riordan
  polynomial",1.9115766635177208e-05,6.14183701001468e-06,4.0,2.0
math/0608367,Cluster algebras and triangulated surfaces. Part I: Cluster complexes,1.9113148810715037e-05,1.335159888134886e-05,22.0,4.0
math/0606007,Curves of Finite Total Curvature,1.909857816533123e-05,0.0,9.0,3.0
math/0605164,A Euclidean Geometric Invariant of Framed (Un)Knots in Manifolds,1.85328277345806e-05,1.990182755160072e-06,11.0,2.0
math/0502545,"The topology of 3-manifolds, Heegaard distance and the mapping class
  group of a 2-manifold",1.8509670485153548e-05,0.0,9.0,0.0
hep-th/0306165,"Three-Dimensional Quantum Gravity, Chern-Simons Theory, and the
  A-Polynomial",1.8457710474206983e-05,4.322618939966685e-05,30.0,18.0
math/0601144,The topology and geometry of contact structures in dimension three,1.8381311552275256e-05,0.0,5.0,1.0
math/0409438,The Distortion of a Knotted Curve,1.828755179993008e-05,0.0,9.0,5.0
math/0605579,Khovanov homology of links and graphs,1.7934081818922983e-05,2.6628658002083628e-08,31.0,1.0
math/0606255,"Non-triviality of the Jones polynomial and the crossing numbers of
  amphicheiral knots",1.781981419430088e-05,2.0144979586545154e-06,7.0,2.0
gr-qc/0603085,Exotic Statistics for Strings in 4d BF Theory,1.7278875934552867e-05,3.476213814641733e-06,16.0,3.0
math/0703669,A note on transversal knots that are closed 3-braids,1.724915454120829e-05,0.0,3.0,0.0
math/0606464,Five Lectures on Khovanov Homology,1.6952636360776858e-05,1.188494764195312e-06,29.0,1.0
math/0509499,Notions of positivity and the Ozsvath-Szabo concordance invariant,1.6785217416287474e-05,2.0223623270718645e-06,11.0,3.0
math/0506577,3-manifolds efficiently bound 4-manifolds,1.6774229997515454e-05,0.0,11.0,6.0
math/0306256,Legendrian and Transversal Knots,1.674279690277819e-05,0.0001733432964559,12.0,15.0
math/0611325,"Invariants of three-dimensional manifolds from four-dimensional
  Euclidean geometry",1.670276215638063e-05,3.980365510320144e-06,14.0,1.0
math/0501017,An optimal systolic inequality for CAT(0) metrics in genus two,1.660007813614045e-05,0.0,17.0,7.0
math/0510195,Peripheral fillings of relatively hyperbolic groups,1.6238698668297803e-05,1.990182755160072e-06,9.0,1.0
math/0504008,Bounding volume by systoles of 3-manifolds,1.6104165753587458e-05,0.0,15.0,5.0
math/0307039,Every mapping class group is generated by 6 involutions,1.5595630575707128e-05,0.0,5.0,3.0
math/0505594,"Thurston norm, fibered manifolds and twisted Alexander polynomials",1.5507053544375438e-05,5.972198499937231e-06,4.0,4.0
math/0703602,Invariant Radon measures on measured lamination space,1.537749019051831e-05,0.0,3.0,0.0
math/0611841,"Legendrian knots, transverse knots and combinatorial Floer homology",1.5248223140235932e-05,5.474354139222663e-08,16.0,2.0
hep-th/0210145,Enumerative geometry and knot invariants,1.5222483847262468e-05,3.524618954529329e-05,73.0,12.0
math/0703619,Exotic smooth structures on (2n+2l-1)CP^2#(2n+4l-1)(-CP^2),1.517309362423822e-05,0.0,5.0,0.0
math/0703474,Distance of Heegaard splittings of knot complements,1.4961392251528906e-05,0.0,9.0,1.0
math/0501090,Casson--type invariants in dimension four,1.468814553507476e-05,0.0,4.0,1.0
math/0612714,Rigidity of Polyhedral Surfaces,1.4676047250403966e-05,3.6827374909595055e-06,8.0,2.0
math/0612138,"Dehn filling, volume, and the Jones polynomial",1.4649778029815256e-05,2.068981450482537e-06,9.0,3.0
math/0701766,Knots with g(E(K)) = 2 and g(E(K#K#K)) = 6 and Morimoto's Conjecture,1.4464291173788264e-05,0.0,5.0,1.0
math/0605466,Knot invariants and the Bollobas-Riordan polynomial of embedded graphs,1.442708396263728e-05,8.131194647946245e-06,4.0,1.0
math/0703073,Mednykh's Formula via Lattice Topological Quantum Field Theories,1.4416909291865136e-05,0.0,8.0,0.0
math/0606630,Knots with identical Khovanov homology,1.4376864942108771e-05,0.0,3.0,0.0
math/0508485,Canonical Wick rotations in 3-dimensional gravity,1.4305995384965932e-05,3.964894491320193e-05,7.0,7.0
math/0504206,On the homology of the space of knots,1.415673619031876e-05,2.295121121788445e-05,7.0,6.0
math/0703727,On symplectic quandles,1.4113812169439962e-05,0.0,2.0,0.0
math/0602264,Skein modules,1.403568175152168e-05,9.9457500079445e-06,20.0,4.0
math/0612218,Membrane Topology,1.3856044838138455e-05,0.0,4.0,1.0
math/0606435,Properties of closed 3-braids,1.372265050954938e-05,3.971671719714834e-06,7.0,1.0
math/0703183,A note on circle patterns on surfaces,1.3678792376251729e-05,0.0,6.0,0.0
math/0509114,Mapping Class Group Dynamics on Surface Group Representations,1.361091068019295e-05,3.980365510320144e-06,16.0,2.0
math/0412417,Matrices and Finite Quandles,1.35171046608628e-05,2.357227047239904e-06,5.0,1.0
math/0607601,"Orbit equivalence rigidity for ergodic actions of the mapping class
  group",1.3398104302495216e-05,0.0,5.0,1.0
math/0602215,Algorithmic and asymptotic properties of groups,1.3348973079371585e-05,0.0,7.0,1.0
math/0506229,Unoriented topological quantum field theory and link homology,1.3314276960756492e-05,1.119801952974454e-08,6.0,3.0
math/0702603,Comultiplicativity of the Ozsvath-Szabo contact invariant,1.3105795976559424e-05,0.0,11.0,0.0
