source,target
math/0105155,math-ph/0108022
math/0208184,math/0311260
math/9901043,math/9901074
math/9901043,math/9903001
math/9901074,math/9903001
math/9903001,math/9905165
math/0403252,math/0405323
math/9901043,math/9905180
math/9905165,math/9905180
math/9901074,math/9905180
math/9903001,math/9905180
math/0403252,math/0412421
math/0405323,math/0412421
math/0210035,math/0302333
math/9911150,math/0006024
math/0411091,math/0411418
math/0404335,math/0411418
math/0703427,math/0703547
math/0403252,math/0612104
math/0412421,math/0612104
math/0405323,math/0612104
math/0210035,math/0303352
math/0302333,math/0303352
math/0404335,math/0406055
math/0409576,math/0409571
math/0403252,math/0702029
math/0612104,math/0702029
math/0412421,math/0702029
math/0405323,math/0702029
math/0108072,math/0703096
math/9905180,math/9909051
math/9905165,math/9909051
