id,title,pagerank,betweenness,in_degree,out_degree
math/0702029,Foundations of geometry for university students and high-school students,5.964448160862841e-05,0.0,50.0,0.0
math/0612104,Representations of finite groups,3.155653432397978e-05,0.0,49.0,1.0
math/0211398,Logical Dreams,2.005617786358108e-05,0.0,10.0,0.0
math/0311260,Computer theorem proving in math,1.1781003682762992e-05,1.991420431002833e-06,7.0,1.0
math/0509583,"A brief note on how Einstein's general relativity has influenced the
  development of modern differential geometry",9.658809571333792e-06,0.0,3.0,0.0
math/0703096,History of Knot Theory,8.547187672977866e-06,0.0,5.0,0.0
math/0006024,Remarks on Quantum Physics and Noncommutative Geometry,7.291300621289244e-06,5.197116083407577e-07,7.0,2.0
math/0703441,On Hopf Algebras and Their Generalizations,6.915941695517758e-06,1.980281348417982e-06,7.0,1.0
math/0608172,3-coloring and other elementary invariants of knots,6.4094856208044985e-06,0.0,7.0,0.0
math/0607387,"Erlangen Program at Large-0: Starting with the group SL(2,R)",6.206501923109838e-06,0.0,3.0,2.0
math/0511490,Mathematical table turning revisited,5.655144290770314e-06,0.0,1.0,1.0
math/0701409,On the Alexander-Hirschowitz Theorem,5.352164073138524e-06,4.97545688790018e-06,3.0,2.0
math/0302285,Flashes of noncommutativity,5.2753068405926e-06,0.0,6.0,0.0
math/9909051,Interactive forces,4.905119200732706e-06,0.0,4.0,0.0
cond-mat/0306062,Methods of nonlinear kinetics,4.772180462670082e-06,5.970548265480216e-06,4.0,2.0
cond-mat/0205063,A challenge in enumerative combinatorics: The graph of contribution,4.66454210646279e-06,0.0,3.0,0.0
math/9905180,Caleidoscope-roulette: the resonance phenomena in perception games,4.3062371601118165e-06,0.0,6.0,3.0
math/0505336,What scalars should we use ?,4.250200753959004e-06,1.990182755160072e-06,5.0,4.0
math-ph/0312047,Anomalies of the tides,4.063143711471229e-06,0.0,1.0,1.0
math/9903001,"Interactive games, dialogues and the verbalization",4.03319840031779e-06,0.0,5.0,4.0
math/0303352,From Philosophy to Program Size,3.883200030172389e-06,0.0,3.0,0.0
math/0105155,The Octonions,3.877731000353603e-06,0.0001205733352751,5.0,37.0
math/0703547,Comments on a recent item by Yu I Manin,3.662959199933061e-06,0.0,2.0,1.0
math/9901035,Vita: Friedrich Wilhelm Wiener,3.62335329328243e-06,0.0,2.0,0.0
math/0603007,Variations on a Theme by James Stirling,3.4870386309160864e-06,0.0,1.0,1.0
math/0506552,Epistemology as Information Theory: From Leibniz to Omega,3.429352762945877e-06,0.0,4.0,0.0
math/0411403,"Historical Comments on Monge's Ellipsoid and the Configuration of Lines
  of Curvature on Surfaces Immersed in ${\mathbb R}^3$",3.3749066596554898e-06,0.0,1.0,2.0
math/0405592,Markov's Transformation of Series and the WZ Method,3.2012316491946324e-06,0.0,1.0,0.0
physics/0605140,"About the proof of the so called exact classical confidence intervals.
  Where is the trick?",3.1822234953904627e-06,0.0,3.0,0.0
math/9905165,"Perception games, the image understanding and interpretational geometry",3.063517947006172e-06,0.0,5.0,4.0
math/9901043,The laced interactive games and their a posteriori analysis,3.035691398861598e-06,0.0,3.0,5.0
math/0401114,The Skorokhod embedding problem and its offspring,2.9581530419756067e-06,0.0,3.0,1.0
math/0602499,"Three themes in the work of Charles Ehresmann: Local-to-global;
  Groupoids; Higher dimensions",2.923024895913817e-06,0.0,1.0,1.0
math/0009118,Finding topology in a factory: configuration spaces,2.855213185875573e-06,0.0,2.0,0.0
math/0312168,"Review of ""Knots"" by Alexei Sossinsky, Harvard University Press, 2002,
  ISBN 0-674-00944-4",2.816560000063321e-06,0.0,5.0,0.0
