id,title,pagerank,betweenness,in_degree,out_degree
cs/0702024,Searching for low weight pseudo-codewords,1.889055235652936e-05,0.0,15.0,0.0
quant-ph/0612155,A father protocol for quantum broadcast channels,1.8387895569737142e-05,0.0,19.0,0.0
cs/0701085,Variations on the Fibonacci Universal Code,1.7775437937957215e-05,0.0,2.0,0.0
cs/0703141,"Constructive Conjugate Codes for Quantum Error Correction and
  Cryptography",1.5590275998718635e-05,1.1942746765417387e-06,6.0,1.0
quant-ph/0702005,A decoupling approach to the quantum capacity,1.2764836515916317e-05,5.161474966211098e-08,11.0,2.0
cs/0611010,On the structure of generalized toric codes,1.2196838594086528e-05,0.0,3.0,1.0
quant-ph/0701168,Using quantum key distribution for cryptographic purposes: a survey,1.1301313514556956e-05,0.0,13.0,0.0
quant-ph/0108133,On Classical and Quantum Cryptography,1.0099544495258373e-05,2.654781833862902e-05,26.0,5.0
cs/0609159,Duality for Several Families of Evaluation Codes,9.900479168901206e-06,0.0,1.0,1.0
cs/0511039,The Generalized Area Theorem and Some of its Consequences,8.64912564677558e-06,1.9827567001035044e-06,1.0,1.0
math/0504522,"On the Classification of All Self-Dual Additive Codes over GF(4) of
  Length up to 12",8.152901412356378e-06,3.242538645960001e-06,9.0,6.0
quant-ph/0605030,"Strongly Universal Quantum Turing Machines and Invariance of Kolmogorov
  Complexity",7.988897948584033e-06,0.0,2.0,1.0
quant-ph/0503236,"On Self-Dual Quantum Codes, Graphs, and Boolean Functions",7.77772808460033e-06,4.170589055959859e-06,18.0,7.0
cs/0609154,"Loop Calculus Helps to Improve Belief Propagation and Linear Programming
  Decodings of Low-Density-Parity-Check Codes",7.732841197175994e-06,7.960731020640288e-06,13.0,5.0
cs/0703129,"A theorem on the quantum evaluation of Weight Enumerators for a certain
  class of Cyclic Codes with a note on Cyclotomic cosets",7.701932845982444e-06,0.0,5.0,0.0
cs/0702101,"An identity of Chernoff bounds with an interpretation in statistical
  physics and applications in information theory",7.685752014615258e-06,0.0,3.0,0.0
cond-mat/0608312,On Cavity Approximations for Graphical Models,7.57653639577291e-06,0.0,2.0,0.0
quant-ph/0605096,Quantum Information and Entropy,7.531161885900842e-06,0.0,3.0,0.0
cs/0610159,"Boolean Functions, Projection Operators and Quantum Error Correcting
  Codes",7.162623707008094e-06,0.0,6.0,0.0
cs/0509079,The WSSUS Pulse Design Problem in Multicarrier Transmission,6.898715579340151e-06,5.970548265480216e-06,5.0,3.0
cs/0701084,Pseudo-codeword Landscape,6.099108641439179e-06,0.0,7.0,1.0
cond-mat/0701218,"Generalized Statistics Framework for Rate Distortion Theory with Bregman
  Divergences",6.0262828638478135e-06,0.0,5.0,0.0
quant-ph/0108073,Quantum Information in Space and Time,5.939628062762797e-06,6.24538747910973e-08,11.0,6.0
cs/0512078,"Graph-Cover Decoding and Finite-Length Analysis of Message-Passing
  Iterative Decoding of LDPC Codes",5.671563903000242e-06,0.0,9.0,13.0
cs/0411014,"Rate Distortion and Denoising of Individual Data Using Kolmogorov
  complexity",5.655144290770314e-06,0.0,1.0,1.0
cs/0609121,"Approximating Rate-Distortion Graphs of Individual Data: Experiments in
  Lossy Compression and Denoising",5.655144290770314e-06,0.0,1.0,1.0
